DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5571225;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;3912.3848396
5571227;1;2;1;80;2;1;30;400000;1;3;;2;;;1;;2;2;;2;;1;10;2;25;6554.6635683
5571227;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;6554.6635683
5571228;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;3153.2963683
5571238;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;25;3699.2167408
5571243;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;25;3039.5240427
5571243;1;2;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;25;3039.5240427
5571244;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;2940.1282695
5571246;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;2940.1282695
5571253;1;1;1;80;2;;;;1;7;;2;;;11;;2;2;;2;;1;10;4;25;2567.9667213
5571259;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;3366.4644671
5571259;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3366.4644671
5571259;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3366.4644671
5571301;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3040.1922348
5571301;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3040.1922348
5571311;1;2;1;80;2;1;28;908526;1;2;;2;;;2;;2;2;;2;;1;10;1.2;25;2941.0365651
5571311;1;3;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;25;2941.0365651
5571312;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;2567.9667213
5571314;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;25;2567.9667213
5571316;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;5826.6649576
5571317;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;2827.024136
5571390;1;2;1;80;2;2;;900000;1;6;;2;;;6;;2;2;;2;;1;10;1.2;25;5755.8110427
5571391;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;3707.4829004
5571391;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3707.4829004
5571392;1;1;1;80;2;2;;908526;1;4;;2;;;4;;2;2;;2;;1;10;2;25;2660.676836
5571392;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;25;2660.676836
5571417;1;1;1;80;2;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;25;2303.9294801
5571417;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.3;25;2303.9294801
5571418;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;25;2303.241001
5571419;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;3545.9035675
5571420;1;4;1;80;2;1;48;900000;2;;;;2;;;.;2;2;;2;;1;10;;25;2304.4359632
5571421;1;1;1;80;2;;;;1;9;PANDEMIA;2;;;12;PANDEMIA;2;2;;2;;1;10;2;25;2303.9294801
5571421;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;25;2303.9294801
5571423;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;1871.8411009
5571432;1;1;1;80;2;;;;1;3;;2;;;9;;3;3;;2;;1;10;4;25;1524.7588957
5571432;1;2;1;80;2;;;;1;7;;2;;;8;;2;2;;2;;1;10;4;25;1524.7588957
5571433;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;25;2303.241001
5571434;1;3;1;80;2;2;;600000;1;8;;2;;;2;;2;2;;2;;1;10;1.3;25;2228.5884567
5571435;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;25;2390.1677896
5571435;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;25;2390.1677896
5571465;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;54;880.07261606
5571469;1;1;1;80;2;2;;250000;2;;;;2;;;.;2;2;;2;;1;10;;76;4189.2992768
5571469;2;1;2;80;2;;;;1;6;;2;;;9;;2;2;;2;;1;10;1.4;76;4189.2992768
5571475;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;76;4189.2992768
5571476;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;76;997.45220875
5571477;1;2;1;80;2;;;;1;1;;2;;;8;;2;2;;2;;1;10;3;76;997.45220875
5571502;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;76;2329.0798067
5571502;1;2;1;80;2;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;76;2329.0798067
5571502;1;3;1;80;2;;;;1;9;POR LA PANDEMIA;2;;;9;;2;2;;2;;1;10;2;76;2329.0798067
5571502;1;5;1;80;2;2;;908526;1;3;;2;;;9;;2;2;;2;;1;10;1.2;76;2329.0798067
5571502;1;8;1;80;2;;;;1;9;POR LA PANDEMIA;2;;;1;;2;2;;2;;1;10;2;76;2329.0798067
5571504;1;3;1;80;2;1;56;1200000;2;;;;1;1;8;;2;2;;2;;1;10;;76;9782.1351883
5571505;1;3;1;80;2;1;30;98;2;;;;1;1;2;;;;;2;;1;10;;76;2329.0798067
5571506;1;1;1;80;2;;;;1;9;LOS HIJOS NO LO DEJARON SEGUIR TRABAJANDO;2;;;12;LOS HIJOS NO LO DEJARON;3;3;;2;;1;10;4;76;2329.0798067
5571506;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;76;2329.0798067
5571506;1;3;1;80;2;1;48;908526;1;6;;1;;1;12;PORQUE SE VA HA CAMBIAR DE DOMICILIO A OTRO MUNICIPIO;2;2;;2;;1;10;2;76;2329.0798067
5571508;1;2;1;80;2;2;;600000;1;9;POR MUDANZA DE MUNICIPIO;2;;;12;POR DILIGENCIAS DE CAMBIO DE DOMICILIO;2;2;;2;;1;10;1.2;76;2329.0798067
5571512;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;76;2329.0798067
5571513;1;1;1;80;2;;;;1;9;POR LA PANDEMIA;2;;;12;POR LA PANDEMIA;2;2;;2;;1;10;2;76;2329.0798067
5571514;1;2;1;80;2;2;;99;1;3;;2;;;9;;2;2;;2;;1;10;4;76;2329.0798067
5571514;1;3;1;80;2;1;24;99;2;;;;2;;;.;;;;2;;1;10;;76;2329.0798067
5571516;1;2;1;80;2;1;42;700000;2;;;;2;;;.;2;2;;2;;1;10;;76;2329.0798067
5571518;1;1;1;80;2;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;76;2329.0798067
5571520;1;1;1;80;2;1;48;908526;1;4;;2;;;4;;2;2;;2;;1;10;3;76;2329.0798067
5571521;1;1;1;80;2;2;;500000;1;1;;2;;;9;;2;2;;2;;1;10;1.4;76;9782.1351883
5571527;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;76;2374.8011008
5571528;1;2;1;80;2;1;48;600000;1;7;;2;;;1;;2;2;;2;;1;10;2;76;7563.7597652
5571528;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;76;7563.7597652
5571530;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;76;9782.1351883
5571530;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;76;9782.1351883
5571531;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;76;2329.0798067
5571531;1;3;1;80;2;1;36;908526;1;8;;2;;;9;;2;2;;1;28000;1;10;1.2;76;2329.0798067
5571531;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;76;2329.0798067
5571545;1;1;1;80;2;1;54;150000;1;9;CAMBIO DE DOMICILIO;2;;;4;;2;2;;2;;1;10;1.3;76;2329.0798067
5571547;1;1;1;80;2;2;;98;1;3;;2;;;9;;1;2;;2;;1;10;4;76;2778.2974463
5571548;1;2;1;80;2;;;;1;8;;2;;;9;;2;2;;2;;1;10;4;13;1767.0104026
5571549;1;1;1;80;2;;;;1;5;;2;;;4;;3;3;;2;;1;10;3;13;1277.18999
5571552;1;1;1;80;2;2;;908526;1;8;;1;;2;4;;1;2;;2;;1;10;3;13;967.60616465
5571552;1;2;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;13;967.60616465
5571552;1;3;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;13;967.60616465
5571553;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;13;1818.3900254
5571554;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;13;1877.1781849
5571556;1;1;1;80;2;1;45;908526;1;3;;2;;;9;;2;2;;2;;1;10;4;13;1955.1047727
5571556;1;4;1;80;2;1;35;908526;2;;;;2;;;.;2;2;;2;;1;10;;13;1955.1047727
5571557;1;2;1;80;2;1;48;908526;1;3;;2;;;1;;2;2;;2;;1;10;4;13;1886.9936816
5571557;1;3;1;80;2;1;35;908526;2;;;;2;;;.;2;2;;2;;1;10;;13;1886.9936816
5571557;1;4;1;80;2;2;;908526;2;;;;2;;;.;2;2;;2;;1;10;;13;1886.9936816
5571558;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;13;967.60616465
5571559;1;4;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;13;1621.2600226
5571560;1;2;1;80;2;2;;908526;2;;;;2;;;.;2;2;;2;;1;10;;17;812.5922543
5571560;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;812.5922543
5571561;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;901.49186136
5571561;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;17;901.49186136
5571561;1;5;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;17;901.49186136
5571561;1;6;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;17;901.49186136
5571562;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;17;1380.6859171
5571562;1;2;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;17;1380.6859171
5571563;1;2;1;80;2;1;48;1200000;1;8;;2;;;9;;2;2;;2;;1;10;4;17;2354.4545077
5571564;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;17;1225.2368602
5571564;1;2;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;17;1225.2368602
5571565;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;773.59173809
5571565;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;773.59173809
5571566;1;1;1;80;2;;;;1;7;;2;;;1;;2;2;;2;;1;10;4;17;1402.4402656
5571566;1;2;1;80;2;1;24;908526;1;7;;2;;;1;;2;2;;2;;1;10;2;17;1402.4402656
5571566;1;4;1;80;2;1;20;500000;1;7;;2;;;2;;2;2;;2;;1;10;2;17;1402.4402656
5571569;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;17;1466.0314834
5571570;1;1;1;80;2;;;;1;7;;2;;;4;;2;2;;2;;1;10;2;17;1461.8379099
5571637;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;2846.5335939
5571638;1;1;1;80;2;;;;1;6;;2;;;8;;2;2;;2;;1;10;4;08;2704.5188944
5571638;1;2;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;08;2704.5188944
5571639;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;4860.0883809
5571640;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;5046.3091576
5571640;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;5046.3091576
5571642;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;3269.6038529
5571642;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;3269.6038529
5571643;1;1;1;80;2;;;;1;1;;2;;;4;;2;2;;2;;1;10;1.4;08;4157.868996
5571645;1;3;1;80;2;;;;1;9;CAMBIO DE PAIS;2;;;1;;2;2;;2;;1;10;3;08;3104.9041992
5571645;1;5;1;80;2;2;;750000;1;3;;2;;;9;;2;2;;2;;1;10;4;08;3104.9041992
5571645;1;8;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;3104.9041992
5571645;1;9;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;3104.9041992
5571646;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;5360.5023469
5571646;1;2;1;80;2;1;24;915000;1;6;;2;;;9;;2;2;;2;;1;10;3;08;5360.5023469
5571646;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;5360.5023469
5571646;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;5360.5023469
5571647;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;08;4021.9576857
5571648;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;2846.5335939
5571648;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;2846.5335939
5571650;1;1;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;1.3;08;2026.9443562
5571650;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;08;2026.9443562
5571650;1;4;1;80;2;1;40;908526;2;;;;2;;;.;2;2;;2;;1;10;;08;2026.9443562
5571651;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;08;3159.6963796
5571651;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;3159.6963796
5571651;1;6;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;3159.6963796
5571653;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;08;2026.9443562
5571653;1;2;1;80;2;;;;1;7;;2;;;12;POR ATENDER LA ROSA QUE DEJO SU PAPA;2;2;;2;;1;10;3;08;2026.9443562
5571653;1;3;1;80;2;;;;1;1;;2;;;1;;2;2;;2;;1;10;4;08;2026.9443562
5571654;1;2;1;80;2;1;40;908526;2;;;;2;;;.;2;2;;2;;1;10;;08;2188.1311585
5571654;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;2188.1311585
5571655;1;1;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;08;2026.9443562
5571655;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;08;2026.9443562
5571656;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;4021.9576857
5571657;1;1;1;80;2;;;;1;9;RETIRO VOLUNTARIO POR MIEDO A LOS ATRACOS ( ERA VIGILANTE );2;;;11;;2;2;;2;;1;10;4;08;2026.9443562
5571657;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;2026.9443562
5571658;1;1;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;08;5255.4916598
5571658;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;5255.4916598
5571658;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;08;5255.4916598
5571671;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1728.3302241
5571672;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;3;23;1723.0785495
5571673;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1262.2867434
5571674;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;1915.9753481
5571674;1;2;1;80;2;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;1915.9753481
5571675;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1833.293272
5571675;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1833.293272
5571677;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1771.8879655
5571677;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1771.8879655
5571677;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1771.8879655
5571679;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1188.575478
5571679;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1188.575478
5571681;1;4;1;80;2;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;1140.3226962
5571682;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;903.84784806
5571682;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;903.84784806
5571683;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1579.1345877
5571683;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1579.1345877
5571683;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1579.1345877
5571683;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1579.1345877
5571684;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;23;1179.4929896
5571684;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1179.4929896
5571685;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1904.8923589
5571685;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1904.8923589
5571687;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1986.0814961
5571687;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1986.0814961
5571687;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1986.0814961
5571687;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1986.0814961
5571687;1;7;1;80;2;;;;1;2;;2;;;2;;2;2;;2;;1;10;2;23;1986.0814961
5571687;1;8;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1986.0814961
5571688;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;958.0846194
5571690;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;2036.5133672
5571691;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1501.6144196
5571692;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1528.5423462
5571692;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1528.5423462
5571692;1;10;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1528.5423462
5571694;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;2086.8730667
5571696;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1685.8891265
5571697;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;23;1102.0058371
5571697;1;3;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;1102.0058371
5571697;1;4;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1102.0058371
5571698;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1658.6009154
5571698;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1658.6009154
5571699;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1245.5585471
5571699;1;8;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1245.5585471
5571702;1;2;1;80;2;2;;500000;2;;;;2;;;.;2;2;;2;;1;10;;23;1660.2332544
5571704;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1226.1134325
5571705;1;6;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;2176.7982438
5571706;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;2491.8738155
5571706;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;2491.8738155
5571706;1;8;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;2491.8738155
5571706;1;9;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;2491.8738155
5571711;1;5;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1001.1482352
5571712;1;6;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;738.06785748
5571715;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1148.5453891
5571715;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1148.5453891
5571716;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1364.9985121
5571716;1;5;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1364.9985121
5571718;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;887.83674582
5571720;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;887.83674582
5571722;1;2;1;80;2;1;30;600000;2;;;;2;;;.;2;2;;2;;1;10;;23;1150.8049816
5571723;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;1217.263486
5571723;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;1217.263486
5571723;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1217.263486
5571723;1;4;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1217.263486
5571727;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1253.3193617
5571728;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;23;1249.7078475
5571731;1;1;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;1320.3242288
5575382;1;1;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.4;41;618.41002329
5575385;1;2;1;80;2;1;48;400000;1;4;;2;;;4;;2;2;;2;;1;10;2;41;606.52232579
5575386;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;606.52232579
5575387;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;41;950.64304773
5575388;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;41;816.28826495
5575389;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;855.56199903
5575390;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;776.75652537
5575392;1;2;1;80;2;2;;98;1;3;;2;;;9;;2;2;;2;;1;10;4;41;950.64304773
5575392;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;41;950.64304773
5575393;1;2;1;80;2;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;41;696.86934654
5575409;1;2;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;1308.1442638
5575410;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;2;41;950.64304773
5575410;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;41;950.64304773
5575412;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;606.52232579
5575415;1;2;1;80;2;;;;1;3;;2;;;9;;2;2;;2;;1;10;2;41;726.31002429
5575415;1;3;1;80;2;;;;2;;;;2;;;.;;;;2;;1;10;;41;726.31002429
5575416;1;2;1;80;2;2;;800000;2;;;;2;;;.;2;2;;2;;1;10;;41;1532.4772873
5575417;1;2;1;80;2;2;;98;1;4;;2;;;4;;2;2;;2;;1;10;4;41;618.41002329
5575420;1;3;1;80;2;;;;2;;;;2;;;.;2;2;;2;;1;10;;41;606.52232579
5575421;1;2;1;80;2;2;;98;1;3;;2;;;9;;2;2;;2;;1;10;4;41;563.81490132
5575421;1;3;1;80;2;2;;98;2;;;;2;;;.;2;2;;2;;1;10;;41;563.81490132
5575421;1;4;1;80;2;;;600000;1;3;;2;;;5;;2;2;;2;;1;10;1.2;41;563.81490132
