DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5571535;1;1;1;70;2;52;24;454000;1;;2;76;1;;5;2;1;;2;;;;;;;;;;;1;2;;01;53;53;1;2;10;0141;76;9782.1351883
5571547;1;2;1;70;2;52;72;908526;4;;2;52;4;;2;2;4;;2;;;;;;;;;;;1;2;;41;95;95;1;2;10;4111;76;2778.2974463
5571556;1;7;1;70;2;56;48;908526;1;;2;58;1;;9;2;1;;2;;;BUSCAR UN BUEN TRABAJO;;;;;;;1;;2;;10;39;39;1;2;10;1012;13;1955.1047727
5571642;1;2;1;70;2;8;48;908526;1;;2;76;1;;6;2;2;;2;;;;;;;;;;;1;2;;56;45;45;1;1;10;5619;08;3269.6038529
5571646;1;6;1;70;2;8;48;950000;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;13;77;1;1;10;5619;08;5360.5023469
5571657;1;2;1;70;2;16;48;750000;1;;2;10;1;;5;2;1;;2;;;;;;;;;;;1;2;;88;54;13;1;2;10;8891;08;2026.9443562
5571671;1;1;1;70;2;3;40;300000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;350000;01;62;62;1;1;10;0161;23;1728.3302241
5571688;1;2;1;70;2;20;40;300000;4;;2;20;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;61;61;1;2;10;0161;23;958.0846194
5571688;1;3;1;70;2;8;40;500000;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;61;61;1;1;10;0161;23;958.0846194
5571694;1;2;1;70;2;8;40;800000;8;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;200000;01;62;62;1;1;10;0161;23;2086.8730667
5571699;1;5;1;70;2;8;48;500000;8;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;10;;23;1245.5585471
5571700;1;2;1;70;2;4;40;400000;8;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;150000;01;62;62;1;1;10;0161;23;1611.9804725
5571720;1;1;1;70;2;9;20;150000;4;;2;9;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0161;23;887.83674582
5571734;1;7;1;70;2;4;40;600000;3;;2;2;3;;1;2;1;;2;;;;;;;;;;;1;1;450000;97;54;54;1;1;10;9700;23;945.22985869
5575478;1;3;1;70;2;60;48;908000;1;;2;24;4;;1;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;10;8511;41;698.73122596
5575499;1;1;1;70;2;2;48;908000;1;;2;36;1;;7;2;1;;2;;;;;;;;;1;;;2;;85;13;13;1;1;10;8511;41;501.43839136
5575643;1;2;1;70;2;12;40;400000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;10;;44;2027.5276848
5575646;1;2;1;70;2;40;40;950000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;44;1272.9137808
5575688;1;3;1;70;2;72;48;1000000;1;;2;72;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;32;38;1;2;10;6110;50;428.51863808
5575690;1;2;1;70;2;52;48;980000;1;;2;20;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;33;53;1;2;10;5611;50;802.6828066
5575711;1;1;1;70;2;104;48;1200000;1;;2;208;1;;9;2;1;;2;;;;;;;;;;;1;2;;86;39;39;1;2;10;8610;50;976.16712127
5575721;1;1;1;70;2;3;48;900000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;600000;01;61;97;1;1;10;0161;50;647.30345215
5575810;1;1;1;70;2;60;24;500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;66;1810.8064748
5575826;1;3;1;70;2;50;50;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;2;10;;66;1407.359609
5575843;1;1;1;70;2;6;48;2500000;1;;2;6;4;;8;2;1;;2;;;;;;;;;;;1;2;;84;19;19;1;1;10;8412;66;1279.8778896
5575851;1;4;1;70;2;4;60;800000;1;;2;12;1;;4;2;8;;2;;;;;;;;;;;1;2;;25;87;87;1;1;10;2511;66;1345.2247653
5575942;1;2;1;70;2;2;48;800000;4;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;250000;01;61;61;1;1;10;0123;18;214.78523443
5575944;1;2;1;70;2;6;48;500000;4;;2;12;4;;1;2;1;;2;;;;;;;;;;;1;1;80000;56;53;53;1;1;10;5611;18;332.37453471
5575953;1;3;1;70;2;5;46;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;10;;18;213.31338192
5575958;1;1;1;70;2;5;45;600000;4;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;1;600000;01;62;62;1;1;10;0161;18;361.3854129
5575979;1;1;1;70;2;3;50;700000;1;;2;2;1;;2;2;1;;2;;;;;;;;;;;1;1;900000;01;60;60;1;1;10;0141;18;461.22580637
5575985;1;2;1;70;2;8;24;400000;1;;2;48;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;77;54;1;1;10;9700;18;556.20096885
5576004;1;2;1;70;2;24;40;400000;4;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;2;10;;18;454.93291747
5576161;1;2;1;70;2;8;44;400000;1;;2;8;1;;3;2;7;;2;;;;;;;;;;;1;2;;85;45;59;1;1;10;8513;20;1691.8538478
5576164;1;1;1;70;2;24;48;904000;4;;2;24;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;95;62;1;2;10;0141;20;2355.2762623
5576186;1;2;1;70;2;6;40;1000000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;60;15;15;1;1;10;6020;20;1892.0050117
5576204;1;3;1;70;2;12;44;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;1;10;;20;1748.5350687
5576207;1;2;1;70;2;52;40;900000;1;;2;52;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4711;20;1889.005115
5576207;1;4;1;70;2;12;40;800000;8;;2;24;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;62;45;1;1;10;4741;20;1889.005115
5576965;1;3;1;70;2;4;48;900000;8;;2;4;8;;3;2;1;;2;;;;;;;;;;;1;1;450000;01;62;62;1;1;10;0141;50;747.75731253
5576967;1;1;1;70;2;16;50;980000;8;;2;16;8;;3;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0141;50;788.02848597
5576971;1;1;1;70;2;6;42;980000;4;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0161;50;626.32308163
5576990;1;3;1;70;2;104;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;13;;1;2;10;;50;671.73337952
5576991;1;3;1;70;2;3;45;900000;8;;2;3;8;;3;2;1;;2;;;;;;;;;;;1;1;800000;01;62;62;1;1;10;0122;50;741.23777228
5577016;1;3;1;70;2;2;48;1000000;8;;2;2;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0141;50;747.75731253
5577039;1;3;1;70;2;3;48;600000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;250000;01;62;62;1;1;10;0161;54;1553.5077274
5577041;1;4;1;70;2;8;48;500000;1;;2;10;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;03;62;1;1;10;0125;54;1651.0131651
5577136;1;2;1;70;2;24;50;500000;1;;2;30;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4772;54;556.99822482
5577161;1;1;1;70;2;8;48;600000;4;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0161;54;1068.5381919
5577169;1;2;1;70;2;2;48;800000;1;;2;2;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;32;54;1;1;10;9700;54;577.44718556
5577171;1;3;1;70;2;8;48;900000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;59;;1;1;10;;54;556.99822482
5577176;1;3;1;70;2;8;48;500000;1;;2;8;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;1;10;5611;54;417.66473087
5577196;1;1;1;70;2;3;40;400000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;200000;01;62;62;1;1;10;0161;54;708.368479
5577196;1;3;1;70;2;2;50;400000;4;;2;2;4;;1;2;1;;2;;;;;;;;;;;1;1;210000;01;62;62;1;1;10;0161;54;708.368479
5577196;1;4;1;70;2;3;50;400000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;210000;01;62;62;1;1;10;0161;54;708.368479
5577206;1;3;1;70;2;6;48;500000;4;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;1;150000;01;62;62;1;1;10;0161;54;820.18391708
5577206;1;4;1;70;2;7;48;500000;4;;2;7;4;;1;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0161;54;820.18391708
5577219;1;2;1;70;2;2;48;800000;4;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;250000;01;62;62;1;1;10;0161;54;678.20292747
5577230;1;2;1;70;2;3;48;908526;8;;2;3;8;;5;2;1;;2;;;;;;;;;;;1;1;480000;01;62;62;1;1;10;0123;63;3878.0518399
5577250;1;1;1;70;2;20;50;600000;3;;2;5;4;;1;2;1;;2;;;;;;;;;;;1;1;50000;81;55;55;1;2;10;8121;63;3310.0184206
5577253;1;3;1;70;2;12;48;908500;1;;2;12;1;;9;2;1;;2;;;;;;;;;;;1;2;;01;97;97;1;1;10;0145;63;2037.162921
5577253;1;4;1;70;2;20;48;908500;1;;2;20;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;62;95;1;2;10;4111;63;2037.162921
5577253;1;5;1;70;2;52;48;1000000;4;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;81;54;54;1;2;10;8121;63;2037.162921
5577276;1;3;1;70;2;104;40;2000000;5;;2;24;5;;2;2;1;;2;;;;;;;;;;;1;2;;01;61;61;1;2;10;0141;63;2578.6217119
5577407;1;1;1;70;2;72;48;740000;8;;2;80;8;;4;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0123;63;2967.5328188
5577522;1;2;1;70;2;6;10;70000;8;;2;6;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0123;73;2395.5781002
5577525;1;2;1;70;2;4;48;908526;1;;2;4;4;;1;2;4;;2;;;;;;;;;;;1;1;40000;01;13;62;1;1;10;0123;73;3276.6672379
5577554;1;4;1;70;2;8;40;800000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;10;;73;1887.2190632
5577586;1;3;1;70;2;48;48;908600;1;;2;18;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;39;45;1;2;10;4771;73;1855.2923244
5577586;1;4;1;70;2;36;48;908600;1;;2;24;1;;3;2;1;;2;;;;;;;;;;;1;2;;01;03;03;1;2;10;0141;73;1855.2923244
5577587;1;1;1;70;2;4;48;908600;1;;2;12;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;1;10;0123;73;3143.1482481
5577604;1;1;1;70;2;24;40;500000;4;;2;24;4;;1;2;8;;2;;;;;;;;;;;1;2;;81;55;55;1;2;10;8121;73;3505.9017828
5577610;1;5;1;70;2;24;48;908526;1;;2;24;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4711;73;2925.8472843
5577616;1;2;1;70;2;112;48;908600;3;;2;160;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;73;3442.3209759
5577617;1;2;1;70;2;245;36;908600;1;;2;160;4;;1;2;2;;2;;;;;;;;;;;1;2;;96;59;57;1;2;10;9602;73;3691.1818869
5577617;1;3;1;70;2;150;48;908600;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;62;;1;2;10;;73;3691.1818869
5577618;1;2;1;70;2;52;48;908526;4;;2;52;4;;4;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;2;10;1410;73;5387.0317377
5577644;1;1;1;70;2;40;50;1100000;8;;2;116;8;;2;2;1;;2;;;;;;;;;;;1;2;;01;62;62;1;2;10;0112;73;1948.8266201
5577647;1;1;1;70;2;8;48;1200000;3;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;81;54;55;1;1;10;8121;73;3069.5100631
5577648;1;1;1;70;2;8;48;908526;3;;2;8;8;;5;2;1;;2;;;;;;;;;;;1;2;;01;55;62;1;1;10;0112;73;3638.6987761
5577655;1;2;1;70;2;4;48;600000;3;;2;10;4;;1;2;1;;2;;;;;;;;;;;1;2;;07;54;71;1;1;10;0722;76;997.45220875
5577661;1;2;1;70;2;4;48;1500000;1;;2;104;4;;9;2;2;;2;;;;;;;;;;;1;2;;84;13;19;1;1;10;8412;76;4189.2992768
5577711;1;1;1;70;2;2;30;450000;1;;2;3;1;;3;2;9;SE DESPLAZA AL MUNICIPIO DONDE TIENE EPS S;2;;;;;;;;;;;1;1;640000;56;45;53;1;1;10;5611;76;5498.593473
5577738;1;3;1;70;2;1;48;98;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;55;;1;1;10;;76;2329.0798067
5577738;1;5;1;70;2;1;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;1;10;;76;2329.0798067
5577743;1;10;1;70;2;1;25;450000;8;;2;78;4;;4;2;1;;2;;;;;;;;;;;1;2;;23;62;89;1;1;10;2391;76;9782.1351883
5577747;1;3;1;70;2;8;48;908526;1;;2;80;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;55;45;1;1;10;4771;76;8086.6229144
5577788;1;1;1;70;2;2;48;500000;8;;2;2;8;;3;2;8;;2;;;;;;;;;;;1;1;220000;01;62;61;1;1;10;0111;76;2329.0798067
5578658;1;1;1;70;2;52;48;908526;1;;2;52;1;;3;2;1;;2;;;;;;;;;;;1;2;;10;77;77;1;2;10;1081;52;1196.3726951
5578680;1;4;1;70;2;104;48;200000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;10;45;97;1;2;10;1040;52;1196.3726951
5578689;1;3;1;70;2;6;40;300000;1;;2;6;4;;1;2;1;;2;;;;;;;;;;;1;1;40000;01;45;62;1;1;10;0161;52;1196.3726951
5578730;1;1;1;70;2;4;25;100000;8;;2;5;4;;1;2;1;;2;;;;;;;;;;;1;1;20000;49;62;97;1;1;10;4923;52;1196.3726951
5578762;1;2;1;70;2;4;40;400000;1;;2;6;4;;9;2;1;;2;;;;;;;;;;;1;1;908516;84;45;32;1;1;10;8412;52;3947.4741843
5578798;1;3;1;70;2;48;40;600000;4;;2;48;4;;1;2;1;;2;;;;;;;;;;;1;2;;88;54;54;1;2;10;8891;52;1224.3913764
5578805;1;3;1;70;2;52;48;300000;1;;2;60;1;;2;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;2;10;4111;52;1224.3913764
5578805;1;4;1;70;2;8;40;500000;1;;2;62;1;;3;2;1;;2;;;;;;;;;;;1;2;;56;45;45;1;1;10;5611;52;1224.3913764
5578808;1;3;1;70;2;4;40;1300000;4;;2;8;4;;9;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;1;10;8621;52;1224.3913764
5578817;1;4;1;70;2;2;25;500000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;53;;1;1;10;;52;1224.3913764
5578902;1;4;1;70;2;20;48;1200000;1;;2;18;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;44;45;1;2;10;4799;68;2586.501209
5578919;1;2;1;70;2;40;48;900000;1;;2;104;1;;2;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;2;10;5611;68;2372.7724627
5578924;1;2;1;70;2;52;48;900000;3;;2;52;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;68;1639.2858443
5578934;1;2;1;70;2;12;48;900000;1;;2;12;1;;3;2;8;;2;;;;;;;;;;;1;2;;56;53;53;1;1;10;5611;68;3664.8619733
5579358;1;2;1;70;2;8;48;908000;2;;2;8;2;;9;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;1;10;8610;47;503.4103162
5579358;1;4;1;70;2;8;48;600000;3;;2;52;3;;1;2;4;;2;;;;;;;;;;;1;2;;97;54;54;1;1;10;9700;47;503.4103162
5579359;1;2;1;70;2;52;24;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;47;888.22522275
5579361;1;1;1;70;2;144;48;908526;1;;2;144;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4771;47;564.95262129
5579369;1;2;1;70;2;144;48;350000;3;;2;144;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;47;445.53059686
5579375;1;5;1;70;2;4;48;500000;1;;2;52;1;;2;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;10;4771;47;776.35837825
5579380;1;2;1;70;2;144;24;300000;3;;2;960;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;54;53;1;2;10;5611;47;758.07387719
5579386;1;3;1;70;2;8;24;908526;1;;2;432;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;54;53;1;1;10;5611;47;866.43097958
5579387;1;6;1;70;2;60;48;908000;1;;2;16;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;55;45;1;2;10;4723;47;839.63662508
5579387;1;9;1;70;2;200;48;908000;1;;2;230;1;;4;2;1;;2;;;;;;;;;;;1;2;;85;33;44;1;2;10;8551;47;839.63662508
5579401;1;3;1;70;2;12;48;908526;1;;2;12;2;;9;2;1;;2;;;;;;;;;;;1;2;;84;58;21;1;1;10;8412;47;1015.6166755
5579401;1;6;1;70;2;72;48;908526;1;;2;72;1;;3;2;1;;2;;;;;;;;;;;1;2;;96;57;57;1;2;10;9602;47;1015.6166755
5579401;1;10;1;70;2;72;48;908526;1;;2;72;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;53;53;1;2;10;5619;47;1015.6166755
5579401;1;11;1;70;2;52;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;2;10;;47;1015.6166755
5579406;1;2;1;70;2;12;48;500000;1;;2;76;4;;1;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;1;10;5619;47;759.23801232
5579410;1;3;1;70;2;20;48;800000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;2;10;;47;867.3075373
5579422;1;1;1;70;2;240;24;600000;1;;2;240;4;;2;2;1;;2;;;;;;;;;;;1;2;;96;45;57;1;2;10;9602;47;616.99718154
5579423;1;3;1;70;2;96;48;800000;1;;2;96;1;;3;2;1;;2;;;;;;;;;;;1;2;;88;53;53;1;2;10;8891;47;430.4480705
5579424;1;1;1;70;2;200;48;908000;1;;2;300;4;;1;2;1;;2;;;;;;;;;;;1;2;;41;58;95;1;2;10;4112;47;432.04403219
5579431;1;1;1;70;2;72;48;908000;1;;2;70;1;;3;2;1;;2;;;;;;;;;;;1;2;;45;98;45;1;2;10;4530;47;879.58665789
5579434;1;1;1;70;2;40;48;908526;1;;2;40;4;;9;2;1;;2;;;;;;;;;;;1;2;;88;59;59;1;2;10;8891;47;719.4899504
5579435;1;2;1;70;2;240;48;908526;1;;2;24;2;;9;2;1;;2;;;;;;;;;;;1;2;;84;13;39;1;2;10;8412;47;680.74104852
5579445;1;4;1;70;2;52;24;300000;1;;2;144;4;;1;2;1;;2;;;;;;;;;;;1;2;;56;45;53;1;2;10;5611;47;350.23433381
5579459;1;2;1;70;2;96;48;1500000;1;;2;96;1;;4;2;2;;2;;;;;;;;;;;1;2;;47;45;45;1;2;10;4771;47;630.48374621
5579459;1;6;1;70;2;24;48;1200000;1;;2;4;1;;9;1;1;;2;;;;1;;;;;;;;2;;47;33;33;1;2;10;4711;47;630.48374621
5579522;1;1;1;70;2;72;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;59;;1;2;10;;47;686.27125244
5579573;1;2;1;70;2;90;48;909000;1;;2;150;1;;4;2;1;;2;;;;;;;;;;;1;2;;56;97;53;1;2;10;5619;05;4892.2866372
5579575;1;1;1;70;2;52;48;908000;1;;2;52;1;;9;2;1;;2;;;;;;;;;;;1;2;;50;97;97;1;2;10;5012;05;3326.2121502
5579575;1;2;1;70;2;48;48;908000;1;;2;32;1;;6;2;1;;2;;;;;;;;;;;1;2;;64;33;33;1;2;10;6412;05;3326.2121502
5579578;1;2;1;70;2;52;48;908000;1;;2;48;3;;1;2;2;;2;;;;;;;;;;;1;2;;97;33;54;1;2;10;9700;05;2241.1799857
5579596;1;2;1;70;2;55;48;909000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;97;;1;2;10;;05;3066.0489315
5579602;1;6;1;70;2;8;48;908000;1;;2;16;1;;4;2;7;;2;;;;;;;;;;;1;2;;47;45;45;1;1;10;4755;05;7006.5303019
5579669;1;2;1;70;2;56;48;908600;1;;2;56;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;55;55;1;2;10;5611;68;1698.0799027
5579689;1;3;1;70;2;8;48;1000000;1;;2;8;1;;7;2;1;;2;;;;;;;;;;;1;2;;43;95;95;1;1;10;4390;13;3288.2606529
5579689;1;4;1;70;2;20;48;1000000;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;09;58;58;1;2;10;0910;13;3288.2606529
5579695;1;2;1;70;2;24;48;1200000;1;;2;24;1;;9;2;1;;2;;;;;;;;;;;1;2;;06;58;58;1;2;10;0610;13;6436.3736809
5579720;1;2;1;70;2;52;40;906000;3;;2;56;1;;4;2;8;;2;;;;;;;;;;;1;2;;56;54;53;1;2;10;5619;05;4139.3578179
5579725;1;1;1;70;2;32;48;908500;2;;2;3;4;;1;2;1;;2;;;;;;;;;;;1;1;63000;01;13;45;1;2;10;0145;05;2898.0089804
5579759;1;3;1;70;2;3;48;1500000;1;;2;1;1;;5;2;9;COTIZANTE POR COBERTURA;1;1;;;1;;;;;;;;1;1500000;07;19;19;1;1;10;0722;05;2191.9219293
5579772;1;3;1;70;2;3;48;908000;4;;2;3;4;;2;2;1;;2;;;;;;;;;;;1;1;600000;41;95;95;1;1;10;4112;27;1488.0335056
5579773;1;1;1;70;2;53;48;908000;1;;2;300;4;;2;2;1;;2;;;;;;;;;;;1;2;;47;13;40;1;2;10;4724;27;6249.7407235
5579773;1;2;1;70;2;53;48;908000;1;;2;54;4;;2;2;1;;2;;;;;;;;;;;1;2;;73;45;15;1;2;10;7310;27;6249.7407235
5579777;1;1;1;70;2;52;48;908526;2;;2;52;2;;9;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;10;8530;27;6249.7407235
5579859;1;4;1;70;2;4;40;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;1;10;;19;611.36592287
5579860;1;2;1;70;2;20;48;908300;1;;2;16;1;;9;2;1;;2;;;;;;;;;1;;;2;;01;55;62;1;2;10;0145;19;2142.2515554
5579862;1;3;1;70;2;52;48;908300;1;;2;104;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;58;97;1;2;10;1081;19;611.36592287
5579864;1;2;1;70;2;12;40;600000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;1;10;;19;2567.736876
5579866;1;2;1;70;2;52;40;908300;3;;1;;;;;;;;;;.;.;;;;;;;;;;.;;54;;1;2;10;;19;611.36592287
5579871;1;2;1;70;2;12;32;908300;3;;2;98;1;;2;2;1;;2;;;;;;;;;;;1;2;;10;54;21;1;1;10;1081;19;1077.149012
5579874;1;4;1;70;2;20;40;908300;1;;2;20;1;;2;2;1;;2;;;;;;;;;;;1;2;;56;45;53;1;2;10;5611;19;2567.736876
5579879;1;1;1;70;2;4;40;700000;3;;2;104;3;;1;2;1;;2;;;;;;;;;1;;;2;;97;54;54;1;1;10;9700;19;2567.736876
5579879;1;3;1;70;2;52;48;908300;1;;2;52;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;97;97;1;2;10;1081;19;2567.736876
5579880;1;1;1;70;2;78;40;908526;3;;2;79;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;19;611.36592287
5579880;1;2;1;70;2;26;40;908526;1;;2;26;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;97;97;1;2;10;1082;19;611.36592287
5579883;1;2;1;70;2;32;48;908300;3;;2;98;1;;5;2;1;;2;;;;;;;;;1;;;2;;10;54;97;1;2;10;1072;19;2567.736876
5579885;1;2;1;70;2;104;40;908526;3;;2;24;4;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;10;9700;19;1756.4872654
5579888;1;2;1;70;2;104;40;908526;1;;2;104;1;;9;2;1;;2;;;;;;;;;;;1;2;;64;33;33;1;2;10;6499;19;611.36592287
