DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2710457,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,6,63,784.337.399.045.083
2710457,1,3,1,50,2,3,,3,4,,2,2,2,1,,,,,,,,1,6,63,784.337.399.045.083
2710457,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,6,63,784.337.399.045.083
2710458,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,735.997.391.048.668
2710458,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,735.997.391.048.668
2710459,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,9.377.554.479.395
2710459,1,2,1,50,2,,,2,5,,,,,,,,,,,,,,6,63,9.377.554.479.395
2710459,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,9.377.554.479.395
2710459,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,6,63,9.377.554.479.395
2710460,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,62.813.954.789.716
2710460,1,2,1,50,2,1,,2,4,,2,2,2,1,,,,,,,,1,6,63,62.813.954.789.716
2710460,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,6,63,62.813.954.789.716
2710460,1,5,1,50,2,,,5,4,,2,2,2,2,2,,,,,,,,6,63,62.813.954.789.716
2710461,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,944.198.355.819.981
2710462,1,1,1,50,2,,,1,4,,2,2,2,2,2,,,,,,,,6,63,583.956.734.273.208
2710462,1,2,1,50,2,1,,2,4,,2,2,2,1,,,,,,,,2,6,63,583.956.734.273.208
2710462,1,4,1,50,2,1,,4,4,,2,2,2,1,,,,,,,,1,6,63,583.956.734.273.208
2710463,1,1,1,50,2,,,1,4,,2,2,2,2,2,,,,,,,,6,63,103.908.065.502.404
2710463,1,2,1,50,2,,,1,5,,,,,,,,,,,,,,6,63,103.908.065.502.404
2710463,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,6,63,103.908.065.502.404
2710463,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,6,63,103.908.065.502.404
2710464,1,1,1,50,2,1,,1,2,,2,2,2,1,,,,,,,,1,6,63,895.271.569.013.052
2710464,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,6,63,895.271.569.013.052
2710465,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,609.234.899.107.056
2710465,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,6,63,609.234.899.107.056
2710465,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,6,63,609.234.899.107.056
2710466,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,808.315.346.037.348
2710466,1,2,1,50,2,,,2,4,,2,2,2,2,1,11,,,,,,,6,63,808.315.346.037.348
2710467,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,6,63,639.969.795.521.563
2710467,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,6,63,639.969.795.521.563
2710467,1,3,1,50,2,,,3,4,,2,2,1,,,,,,,,,,6,63,639.969.795.521.563
2710475,1,1,1,50,2,,,1,4,,1,,,,,,,,,,,,6,63,513.207.303.579.951
2710475,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,6,63,513.207.303.579.951
