Directorio;Secuencia_p;Orden;Hogar;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210s1;P6220;Clase;Esc;Mes;p6269;Dpto;Fex_c_2011
3917494;1;2;1;10;1;1;1;3;1978;37;3;6;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;17;1665,51954274354
3917496;1;1;1;10;1;1;1;11;1970;45;1;1;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;17;1242,92497068765
3917496;1;2;1;10;2;2;1;6;1976;39;2;1;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;17;1242,92497068765
3918858;1;1;1;10;1;2;1;7;1985;30;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2314,64311267117
3918858;1;2;1;10;1;1;1;7;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;13;2314,64311267117
3918858;1;3;1;10;1;2;1;10;2011;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;2314,64311267117
3918858;1;4;1;10;1;1;1;2;2013;2;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;2314,64311267117
3918858;1;5;1;10;5;1;1;9;1988;27;5;4;1; ; ;3; ; ;2;1;2; ;4;7; ;2;7;01; ;13;2314,64311267117
3918859;1;1;1;10;1;1;1;12;1974;41;1;2;1; ; ;1;1;210000;2;1;2; ;6;5;4;2;16;01; ;13;2459,58268503228
3918859;1;2;1;10;2;2;1;11;1977;38;2;2;1; ; ;1;5; ;2;1;2; ;6;2;3;2;13;01; ;13;2459,58268503228
3918859;1;3;1;10;3;2;1;4;1998;17;3;6;1; ; ;1;5; ;2;1;1;1;6;0;2;2;11;01;2;13;2459,58268503228
3918859;1;4;1;10;4;1;1;2;2000;15;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ;2;9;01; ;13;2459,58268503228
3918859;1;5;1;10;2;2;1;8;2006;9;3; ;1; ; ;1;5; ;2;1;1;1;3;3; ;2;3;01; ;13;2459,58268503228
3918859;1;6;1;10;2;1;1;6;2008;7;3; ;1; ; ;1;5; ;2;1;1;1;3;2; ;2;2;01; ;13;2459,58268503228
3918860;1;1;1;10;1;2;1;4;1949;66;1;5;1; ; ;1;5; ;2;1;2; ;3;4; ;2;4;01; ;13;2311,76972384705
3918860;1;2;1;10;2;1;1;6;1971;44;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;2311,76972384705
3918860;1;3;1;10;2;1;1;2;2007;8;4; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;13;2311,76972384705
3918860;1;4;1;10;2;2;1;9;2008;7;4; ;1; ; ;3; ; ;2;1;1;1;3;1; ;2;1;01; ;13;2311,76972384705
3918860;1;5;1;10;5;1;1;5;1989;26;5;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2311,76972384705
3918860;1;6;1;10;6;1;1;4;1999;16;4;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;01; ;13;2311,76972384705
3918861;1;1;1;10;1;1;1;6;1980;35;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1043,74498247032
3918861;1;2;1;10;2;2;1;6;1969;46;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1043,74498247032
3918861;1;3;1;10;3;1;1;2;1996;19;5;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1043,74498247032
3918862;1;1;1;10;1;2;1;12;1940;75;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1090,07571283651
3918863;1;1;1;10;1;1;1;12;1944;71;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918863;1;2;1;10;2;2;1;10;1966;49;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918863;1;3;1;10;3;2;1;7;1983;32;3;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918863;1;4;1;10;4;1;1;12;1972;43;5;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918863;1;5;1;10;3;1;1;6;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918863;1;6;1;10;3;1;1;8;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;789,725465327764
3918863;1;7;1;10;7;1;1;6;1984;31;3;4;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;789,725465327764
3918864;1;1;1;10;1;1;1;8;1960;55;1;5;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;1559,01474799595
3918864;1;2;1;10;2;1;1;11;1988;27;3;6;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;1559,01474799595
3918864;1;3;1;10;3;2;1;3;1984;31;3;4;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1559,01474799595
3918864;1;4;1;10;3;2;1;11;2004;11;4;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;13;1559,01474799595
3918864;1;5;1;10;3;2;1;4;2005;10;4;6;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;13;1559,01474799595
3918864;1;6;1;10;3;1;1;12;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1559,01474799595
3918865;1;1;1;10;1;2;1;10;1961;54;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1182,68513488862
3918865;1;2;1;10;2;1;1;12;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;13;1182,68513488862
3918866;1;1;1;10;1;1;1;12;1985;30;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1823,47870354476
3918866;1;2;1;10;2;2;1;11;1992;23;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1823,47870354476
3918867;1;1;1;10;1;1;1;8;1942;73;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1090,75649261967
3918868;1;1;1;10;1;1;1;7;1973;42;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;13;2648,77941832926
3918868;1;2;1;10;2;2;1;3;1980;35;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;2648,77941832926
3918868;1;3;1;10;2;1;1;9;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;13;2648,77941832926
3918868;1;4;1;10;2;2;1;8;2012;3;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;2648,77941832926
3918868;1;5;1;10;2;1;1;12;2014;1;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;2648,77941832926
3918868;2;1;2;10;1;1;1;8;1989;26;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2648,77941832926
3918868;2;2;2;10;2;2;1;12;1999;16;2;2;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;13;2648,77941832926
3918868;2;3;2;10;2;2;1;6;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;2648,77941832926
3918869;1;1;1;10;1;1;1;1;1991;25;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2151,61558926005
3918869;1;2;1;10;2;2;1;9;1997;18;2;2;2;1;1; ; ; ;2;1;2; ;4;6; ;2;6;01; ;13;2151,61558926005
3918869;1;3;1;10;2;2;1;11;2015;0;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ;2; ;01; ;13;2151,61558926005
3918870;1;1;1;10;1;1;1;3;1969;46;1;3;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1893,41744637056
3918870;1;2;1;10;2;2;1;11;1973;42;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1893,41744637056
3918870;1;3;1;10;3;1;1;11;1998;17;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1893,41744637056
3918870;1;4;1;10;4;1;1;1;1993;23;3;1;2;1;16; ; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1893,41744637056
3918870;1;5;1;10;5;2;1;4;1998;17;5;1;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1893,41744637056
3918872;1;1;1;10;1;1;1;3;1960;55;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;789,725465327764
3918872;1;2;1;10;2;2;1;7;1968;47;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;789,725465327764
3918873;1;1;1;10;1;1;1;4;1960;55;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1090,75649261967
3918874;1;1;1;10;1;1;1;3;1987;28;1;2;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;13;2151,61558926005
3918874;1;2;1;10;2;2;1;12;1993;22;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2151,61558926005
3918874;1;3;1;10;2;2;1;12;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;2151,61558926005
3918875;1;1;1;10;1;1;1;10;1965;50;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918875;1;2;1;10;2;2;1;8;1964;51;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918876;1;1;1;10;1;2;1;11;1959;56;1;4;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1120,53500331302
3918876;1;2;1;10;2;1;1;8;1978;37;3;2;1; ; ;3; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1120,53500331302
3918876;1;3;1;10;3;2;1;11;1988;27;5;2;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;13;1120,53500331302
3918876;1;4;1;10;3;1;1;3;2008;7;4; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;01; ;13;1120,53500331302
3918876;1;5;1;10;3;2;1;6;2009;6;4; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;01; ;13;1120,53500331302
3918877;1;1;1;10;1;1;1;12;1950;65;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1090,75649261967
3918880;1;1;1;10;1;1;1;10;1959;56;1;2;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;01; ;13;1664,71034253158
3918880;1;2;1;10;2;2;1;6;1942;73;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1664,71034253158
3918880;1;3;1;10;3;2;1;11;1987;28;3;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1664,71034253158
3918880;1;4;1;10;4;1;1;6;1987;28;5;2;2;1;3; ; ; ;2;1;2; ;3;2; ;2;2;01; ;13;1664,71034253158
3918880;1;5;1;10;4;1;1;2;2009;6;4; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;01; ;13;1664,71034253158
3918880;1;6;1;10;3;2;1;6;2011;4;4; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;13;1664,71034253158
3918880;1;7;1;10;4;2;1;4;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;1664,71034253158
3918880;1;8;1;10;4;1;1;8;2015;0;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;1664,71034253158
3918887;1;1;1;10;1;1;1;1;1977;39;1;3;1; ; ;1;1;45000;2;1;2; ;5;11;2;2;11;01; ;13;883,592031609784
3918887;1;2;1;10;2;2;1;10;1972;43;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;01; ;13;883,592031609784
3918887;1;3;1;10;2;1;1;11;2006;9;5; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;13;883,592031609784
3918888;1;1;1;10;1;1;1;1;1956;60;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;736,28627442385
3918888;1;2;1;10;2;2;1;5;1959;56;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;736,28627442385
3918888;1;3;1;10;3;1;1;2;1998;17;4;6;1; ; ;3; ; ;2;1;1;1;6;0;2;2;11;01;2;13;736,28627442385
3918890;1;1;1;10;1;1;1;2;1975;40;1;2;2;1;12; ; ; ;1;1;2; ;3;5; ;2;5;01; ;13;983,506304800342
3918890;1;2;1;10;2;2;1;1;1976;40;2;2;2;1;12; ; ; ;2;1;2; ;3;5; ;2;5;01; ;13;983,506304800342
3918890;1;3;1;10;3;2;1;6;1999;16;3;6;2;1;12; ; ; ;2;1;1;1;5;10;1;2;10;01; ;13;983,506304800342
3918890;1;4;1;10;2;1;1;8;2004;11;3;6;2;1;12; ; ; ;2;1;1;1;3;3; ;2;3;01; ;13;983,506304800342
3918891;1;1;1;10;1;1;1;10;1936;79;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;789,725465327764
3918891;1;2;1;10;2;2;1;4;1973;42;2;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;13;789,725465327764
3918892;1;1;1;10;1;1;1;2;1982;33;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1109,79359898832
3918892;1;2;1;10;2;2;1;4;1986;29;2;2;1; ; ;3; ; ;2;1;2; ;6;2;3;2;13;01; ;13;1109,79359898832
3918892;1;3;1;10;2;2;1;3;2008;7;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;13;1109,79359898832
3918892;1;4;1;10;2;1;1;4;2011;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ;2;0;01; ;13;1109,79359898832
3918893;1;1;1;10;1;1;1;4;1964;51;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;544,398224742336
3918893;1;2;1;10;2;2;1;1;1968;48;2;3;1; ; ;3; ; ;2;1;2; ;6;3;3;2;14;01; ;13;544,398224742336
3918893;1;3;1;10;3;2;1;5;1990;25;3;6;1; ; ;1;1;25000;2;1;2; ;6;6;3;2;17;01; ;13;544,398224742336
3918893;1;4;1;10;4;2;1;4;1998;17;3;6;1; ; ;3; ; ;2;1;1;1;6;1;2;2;12;01;2;13;544,398224742336
3918893;1;5;1;10;5;2;1;3;2013;2;4; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;544,398224742336
3918894;1;1;1;10;1;1;1;7;1975;40;1;2;1; ; ;3; ; ;2;1;2; ;4;6; ;2;6;01; ;13;719,506892568971
3918894;1;2;1;10;2;2;1;11;1969;46;2;2;1; ; ;3; ; ;2;1;2; ;6;2;3;2;13;01; ;13;719,506892568971
3918894;1;3;1;10;3;1;1;10;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ;2;8;01; ;13;719,506892568971
3918895;1;1;1;10;1;1;1;4;1970;45;1;2;1; ; ;1;1;36000;2;1;2; ;5;11;2;2;11;01; ;13;1453,78119149002
3918895;1;2;1;10;2;2;1;11;1971;44;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;01; ;13;1453,78119149002
3918895;1;3;1;10;3;2;1;9;1994;21;3;6;1; ; ;3; ; ;2;1;2; ;6;3;3;2;14;01; ;13;1453,78119149002
3918895;1;4;1;10;4;2;1;11;1997;18;3;6;1; ; ;1;5; ;2;1;1;1;6;0;2;2;11;01;2;13;1453,78119149002
3918895;1;5;1;10;5;2;1;2;2000;15;3;6;1; ; ;1;5; ;2;1;1;1;5;10;1;2;10;01; ;13;1453,78119149002
3918895;1;6;1;10;2;2;1;4;2004;11;3;6;1; ; ;1;5; ;2;1;1;1;4;6; ;2;6;01; ;13;1453,78119149002
3918896;1;1;1;10;1;1;1;1;1949;67;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1164,37082569604
3918896;1;2;1;10;2;2;1;5;1959;56;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1164,37082569604
3918896;1;3;1;10;2;2;1;3;1998;17;4;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1164,37082569604
3918896;1;4;1;10;2;1;1;11;2009;6;4; ;1; ; ;3; ; ;2;2;1;1;3;1; ;2;1;01; ;13;1164,37082569604
3918897;1;1;1;10;1;1;1;12;1966;49;1;2;1; ; ;1;3;130000;2;1;2; ;5;11;2;2;11;01; ;13;544,398224742336
3918897;1;2;1;10;2;2;1;9;1964;51;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2;2;11;01; ;13;544,398224742336
3918897;1;3;1;10;1;1;1;3;1987;28;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;544,398224742336
3918897;1;4;1;10;4;1;1;4;1989;26;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;544,398224742336
3918898;1;1;1;10;1;2;1;9;1982;33;1;4;1; ; ;1;5; ;2;1;2; ;6;3;3;2;14;01; ;13;719,763675587466
3918898;1;2;1;10;1;2;1;11;2007;8;3; ;1; ; ;1;5; ;2;1;1;1;3;1; ;2;1;01; ;13;719,763675587466
3918899;1;1;1;10;1;1;1;5;1967;48;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;13;1041,23024257341
3918899;1;2;1;10;2;2;1;5;1971;44;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1041,23024257341
3918899;1;3;1;10;3;1;1;7;1994;21;3;6;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1041,23024257341
3918899;1;4;1;10;2;1;1;4;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;13;1041,23024257341
3918900;1;1;1;10;1;2;1;6;1981;34;1;5;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1301,09394725862
3918900;1;2;1;10;1;1;1;3;2003;12;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;13;1301,09394725862
3918900;1;3;1;10;1;1;1;7;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;3; ;2;3;01; ;13;1301,09394725862
3918902;1;1;1;10;1;1;1;6;1977;38;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1043,74498247032
3918902;1;2;1;10;2;2;1;6;1981;34;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1043,74498247032
3918902;1;3;1;10;3;1;1;3;2000;15;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;13;1043,74498247032
3918905;1;1;1;10;1;1;1;3;1978;37;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1469,31479384559
3918905;1;2;1;10;2;2;1;3;1980;35;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1469,31479384559
3918905;1;3;1;10;3;1;1;2;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ;2;7;01; ;13;1469,31479384559
3918905;1;4;1;10;2;2;1;4;2005;10;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ;2;4;01; ;13;1469,31479384559
3918905;1;5;1;10;2;1;1;3;2006;9;3; ;1; ; ;3; ; ;2;1;1;1;3;2; ;2;2;01; ;13;1469,31479384559
3918906;1;1;1;10;1;1;1;8;1992;23;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;2543,69179785833
3918906;1;2;1;10;2;2;1;9;1989;26;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;2543,69179785833
3918906;1;3;1;10;2;1;1;5;2009;6;3; ;1; ; ;3; ; ;2;2;1;1;3;1; ;2;1;01; ;13;2543,69179785833
3918906;1;4;1;10;2;2;1;5;2012;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;2543,69179785833
3918906;1;5;1;10;2;2;1;4;2015;0;3; ;1; ; ;3; ; ;2; ; ; ; ; ; ;2; ;01; ;13;2543,69179785833
3918907;1;1;1;10;1;2;1;6;1963;52;1;4;1; ; ;3; ; ;2;1;2; ;4;9; ;2;9;01; ;13;789,725465327764
3918907;1;2;1;10;2;2;1;11;1989;26;3;6;1; ; ;3; ; ;2;1;2; ;6;3;3;2;14;01; ;13;789,725465327764
3918907;1;3;1;10;3;1;1;9;1991;24;3;6;2;1;28; ; ; ;2;1;2; ;6;3;3;2;14;01; ;13;789,725465327764
3918908;1;1;1;10;1;1;1;10;1958;57;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;13;789,725465327764
3918908;1;2;1;10;2;2;1;8;1961;54;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;789,725465327764
3918908;1;3;1;10;2;2;1;3;2009;6;4; ;1; ; ;3; ; ;2;2;1;1;3;0; ;2;0;01; ;13;789,725465327764
3918909;1;1;1;10;1;2;1;3;1974;41;1;4;1; ; ;1;1;115000;2;1;2; ;6;6;5;2;17;01; ;13;789,725465327764
3918910;1;1;1;10;1;1;1;7;1974;41;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ;2;0;01; ;13;1977,15405965574
3918910;1;2;1;10;2;2;1;12;1977;38;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;1977,15405965574
3918910;1;3;1;10;3;1;1;12;1999;16;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ;2;9;01; ;13;1977,15405965574
3918910;1;4;1;10;4;1;1;4;2002;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ;2;6;01; ;13;1977,15405965574
3918910;1;5;1;10;2;1;1;8;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ;2;5;01; ;13;1977,15405965574
3918911;1;1;1;10;1;1;1;3;1944;71;1;3;1; ; ;3; ; ;2;2;2; ;3;2; ;2;2;01; ;13;789,725465327764
3918911;1;2;1;10;2;2;1;8;1947;68;2;3;1; ; ;3; ; ;2;2;2; ;3;1; ;2;1;01; ;13;789,725465327764
3918911;1;3;1;10;3;1;1;7;1983;32;3;6;1; ; ;3; ; ;2;1;2; ;5;12;2;2;12;01; ;13;789,725465327764
3918911;1;4;1;10;4;1;1;11;1984;31;3;6;1; ; ;3; ; ;2;1;2; ;6;4;3;2;15;01; ;13;789,725465327764
3918912;1;1;1;10;1;1;1;6;1970;45;1;3;1; ; ;3; ; ;2;1;2; ;6;1;3;2;12;01; ;13;1043,74498247032
3918912;1;2;1;10;2;2;1;7;1980;35;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2;2;11;01; ;13;1043,74498247032
3918912;1;3;1;10;3;1;1;5;2000;15;3;6;1; ; ;3; ; ;2;1;1;1;5;10;1;2;10;01; ;13;1043,74498247032
3918913;1;1;1;10;1;1;1;5;1959;56;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ;2;5;01; ;13;789,725465327764
3918913;1;2;1;10;2;2;1;5;1961;54;2;3;1; ; ;3; ; ;2;1;2; ;4;8; ;2;8;01; ;13;789,725465327764
3918913;1;3;1;10;2;2;1;8;2010;5;4; ;1; ; ;3; ; ;2;1;1;1;3;0; ;2;0;01; ;13;789,725465327764
3918914;1;1;1;10;1;1;1;3;1949;66;1;4;2;1;6; ; ; ;2;1;2; ;3;4; ;2;4;01; ;13;951,816340201371
3918914;1;2;1;10;2;1;1;9;1985;30;3;6;1; ; ;3; ; ;2;1;2; ;3;3; ;2;3;01; ;13;951,816340201371
3918915;1;1;1;10;1;1;1;4;1929;86;1;6;1; ; ;3; ; ;2;1;2; ;3;4; ;2;4;01; ;13;1090,75649261967
