DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4295120;1;3;1;10;2;2;1;2013;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;489,017172773357
4295122;1;1;1;10;1;2;11;1987;29;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;620,854992502405
4295122;1;2;1;10;2;2;5;1994;22;2;2;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;03;70;620,854992502405
4295123;1;1;1;10;1;2;12;1926;90;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;370,522424431042
4295124;1;1;1;10;1;2;1;1963;54;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;579,813275023682
4295124;1;2;1;10;2;1;7;1967;49;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;579,813275023682
4295124;1;3;1;10;3;1;1;1983;34;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;579,813275023682
4295124;1;4;1;10;1;1;7;2007;9;5; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;03;70;579,813275023682
4295125;1;1;1;10;1;1;12;1977;39;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;03;70;842,275876006186
4295125;1;2;1;10;2;2;3;1988;29;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;03;70;842,275876006186
4295125;1;3;1;10;2;1;8;2010;6;3; ;2;2; ; ; ; ;2;1;1;1;3;0; ; ;2;0;03;70;842,275876006186
4295125;1;4;1;10;2;1;9;2012;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;03;70;842,275876006186
4295125;1;5;1;10;2;1;10;2013;3;3; ;2;2; ; ; ; ;2;2;2; ;1;0; ; ;2;0;03;70;842,275876006186
4295126;1;1;1;10;1;1;3;1976;41;1;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;1190,38899251776
4295126;1;2;1;10;2;2;6;1976;40;2;3;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;1190,38899251776
4295126;1;3;1;10;1;2;10;2000;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;03;70;1190,38899251776
4295126;1;4;1;10;1;2;8;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;03;70;1190,38899251776
4295126;1;5;1;10;5;1;5;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;1190,38899251776
4295126;1;6;1;10;1;1;7;2005;11;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;03;70;1190,38899251776
4295126;1;7;1;10;1;1;1;2008;9;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;03;70;1190,38899251776
4295126;1;8;1;10;1;2;7;2012;4;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;03;70;1190,38899251776
4295126;1;9;1;10;1;1;7;2015;1;3; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;2; ;03;70;1190,38899251776
4295127;1;1;1;10;1;1;3;1942;75;1;3;1; ; ;3; ; ;2;2;2; ;3;1; ; ;2;1;03;70;650,843519162661
4295127;1;2;1;10;2;2;10;1950;66;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;03;70;650,843519162661
4295128;1;1;1;10;1;1;3;1978;39;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;03;70;827,570619727
4295128;1;2;1;10;2;2;9;1979;37;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;03;70;827,570619727
4295128;1;3;1;10;1;2;9;2000;16;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;03;70;827,570619727
4295128;1;4;1;10;1;1;4;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;03;70;827,570619727
4295128;1;5;1;10;1;2;6;2004;12;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;03;70;827,570619727
4295130;1;1;1;10;1;1;1;1987;30;1;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;491,235424545222
4295130;1;2;1;10;2;2;5;1987;29;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;03;70;491,235424545222
4295130;1;3;1;10;2;2;8;2011;5;3; ;1; ; ;3; ; ;2;2;1;1;2;0; ; ;2;0;03;70;491,235424545222
