DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5226940;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;2324,2529405839
5226941;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;2228,84898058517
5226942;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;68;581,063235145976
5226942;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;68;581,063235145976
5226944;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;1351,04026622385
5226945;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;581,063235145976
5226946;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;68;581,063235145976
5226946;1;2;1;80;2;1;6; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;581,063235145976
5226947;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;877803;2;1;09;1,2;68;2281,16515871835
5226948;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;2324,2529405839
5226948;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;68;2324,2529405839
5226948;2;2;2;80;2;1;8; ;2; ; ;9; ;2; ;2; ;2; ;877803;2;1;09;1,2;68;2324,2529405839
5226949;1;2;1;80;2;1;8; ;2; ; ;4; ;2; ;2; ;2; ;877803;2;1;09;1,3;68;581,063235145976
5226950;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;68;581,063235145976
5226950;1;3;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;68;581,063235145976
5226951;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;68;894,078584454268
5227474;1;3;1;80;2;1;8; ;1; ;1;2; ;2; ;2; ;2; ;980000;2;1;09;1,2;68;777,864065443942
5227474;1;5;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,3;68;777,864065443942
5227475;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;626,682185387567
5227475;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;68;626,682185387567
5227477;1;5;1;80;2;1;7; ;2; ; ;1; ;2; ;2; ;1;48;900000;2;1;09;1,4;68;501,17744387839
5227480;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;68;2004,70977551356
5227481;1;4;1;80;2;1;8; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;68;501,17744387839
5228237;1;1;1;80;2;1;4; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;15;829,146564344538
5228239;1;2;1;80;2;1;9;CUARENTENA;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;15;3316,58625737815
5228239;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;15;3316,58625737815
5228241;1;2;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;15;1235,44704606898
5228241;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;15;1235,44704606898
5228241;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;15;1235,44704606898
5228242;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,3;15;1275,8029448689
5228243;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;15;2900,55978296129
5228244;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;15;829,146564344538
5228244;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;15;829,146564344538
5228368;1;2;1;80;2;2; ; ; ;1;1;5; ;2; ;2; ; ; ; ;2;1;09; ;41;749,477351664101
5228368;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;749,477351664101
5228369;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,3;41;724,992090285841
5228369;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;41;724,992090285841
5228371;1;2;1;80;2;2; ; ; ;1;1;1; ;2; ;2; ; ; ; ;2;1;09; ;41;853,521416282335
5228372;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1077,88389395851
5228372;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1077,88389395851
5228373;1;1;1;80;2;2; ; ; ;1;2;1; ;2; ;2; ; ; ; ;2;1;09; ;41;1328,37248139445
5228595;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1273,98817297345
5228596;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1503,22611255165
5228597;1;1;1;80;2;1;8; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;41;1019,80974990588
5228598;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;994,197534920842
5228598;1;3;1;80;2;1;9;INICIO CUARENTENA POR COVID 19;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;41;994,197534920842
5228598;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;994,197534920842
5228599;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;735,987500333371
5228599;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;735,987500333371
5228600;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;20;350000;2;1;09;1,1;41;1091,37374528924
5228601;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;41;1704,97002483257
5228602;1;2;1;80;2;1;9;VIVIA EN CABECERA MUNICIPAL Y SE TRANSLADO A ZONA RURAL;2; ; ;9; ;2; ;2; ;1;18;150000;2;1;09;1,4;41;1103,49610894354
5228602;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;41;1103,49610894354
5230149;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;30;900000;2;1;09; ;44;938,77392716727
5230150;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;792,159779276058
5230150;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;792,159779276058
5230151;1;2;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ;1;42;500000;2;1;09;1,4;44;940,644145568285
5230153;1;3;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;44;578,160129443812
5230153;1;7;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;578,160129443812
5230154;1;1;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ;1;30;700000;2;1;09;1,4;44;822,459775040451
5230154;1;2;1;80;2;1;5; ;2; ; ;11; ;3; ;2; ; ; ; ;3;1;09;1,4;44;822,459775040451
5230155;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;44;810,53382896759
5230155;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;1;35;500000;2;1;09;1,4;44;810,53382896759
5230156;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;973,410711108466
5230156;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;973,410711108466
5230156;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;973,410711108466
5230157;1;2;1;80;2;1;9;RESTRICCIONES DE LA CUARENTENA;2; ; ;1; ;2; ;2; ;1;42;1000000;2;1;09;1,4;44;689,414268187628
5230157;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;689,414268187628
5230158;1;1;1;80;2;1;4; ;1; ;4;4; ;2; ;2; ;2; ;1600000;2;1;09;1,4;44;810,53382896759
5230159;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ;2; ;600000;2;1;09;1,3;44;792,159779276058
5230159;1;2;1;80;2;1;7; ;2; ; ;1; ;2; ;2; ;1;36;870000;2;1;09;1,4;44;792,159779276058
5230159;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;792,159779276058
5230160;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ;1;25;300000; ;1;09; ;44;906,3471308538
5230161;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;857,579519638219
5230161;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;857,579519638219
5230162;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;2; ;600000;2;1;09; ;44;1109,7288667782
5230163;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;821,603788856607
5230172;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;24;200000;2;1;09;1,3;44;1016,11961360229
5230172;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;1016,11961360229
5230173;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;857,579519638219
5230173;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;857,579519638219
5230174;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;44;1180,30056640896
5230175;1;2;1;80;2;1;3; ;1; ;2;9; ;2; ;2; ; ; ; ;2;1;09;1,3;44;1043,25804060605
5230175;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;1043,25804060605
5230176;1;1;1;80;2;1;9;POR CAUSA DE LA PANDEMIA;2; ; ;12;POR MIEDO A LA PANDEMIA;2; ;2; ;1;40;400000;2;1;09;1,3;44;906,3471308538
5230176;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;906,3471308538
5230177;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,2;44;901,93226202455
5230177;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;901,93226202455
5230180;1;2;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ;2; ;200000; ;1;09; ;44;867,635247310065
5230180;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;867,635247310065
5230181;1;1;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;44;860,315672400341
5230183;1;1;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;09;1,3;44;1060,47235598862
5230185;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;1080,15324114699
5230185;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;1080,15324114699
5230289;1;2;1;80;2;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;1,4;18;964,860533943547
5230290;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;18;1046,98147745411
5230291;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;18;1276,61451519207
5230292;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;40;400000;2;1;09;1,4;18;1622,65415619086
5230292;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;18;1622,65415619086
5230293;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;18;1847,01659376714
5230294;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;1;40;400000;2;1;09;1,3;18;1921,0783772084
5230295;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;18;1046,98147745411
5230295;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;18;1046,98147745411
5230441;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;1;48;950000;2;1;09; ;44;847,954362151701
5230442;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;726,177852677901
5230442;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;726,177852677901
5230442;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;726,177852677901
5230443;1;1;1;80;2;1;9;POR LA PANDEMIA NACIONAL;2; ; ;12;POR LA PANDEMIA NACIONAL;2; ;2; ;1;40;980000;2;1;09;1,3;44;822,459775040451
5230444;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;44;743,470248712923
5230450;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;1034,12178269353
5230451;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ;2; ;877803;2;1;09; ;44;977,407730058558
5230451;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;977,407730058558
5230451;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;977,407730058558
5230452;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;821,603788856607
5230473;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;770,662211114899
5230475;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;44;810,53382896759
5230477;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;923,429830185709
5230477;1;3;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;923,429830185709
5230481;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ;2; ;600000;2;1;09;1,2;44;1164,00572078572
5230485;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;924,349299945037
5230486;1;2;1;80;2;1;1; ;2; ; ;12;CUARENTENA NACIONAL;2; ;2; ;2; ;300000;2;1;09;1,2;44;1052,88319809257
5230486;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;44;1052,88319809257
5230486;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;44;1052,88319809257
5230487;1;2;1;80;2;1;1; ;2; ; ;12;CUARENTENA NACIONAL;2; ;2; ;1;48;250000;2;1;09;1,2;44;967,78257257204
5230503;1;2;1;80;2;1;8; ;2; ; ;1; ;2; ;2; ;1;40;980000;2;1;09;1,3;23;2073,0982540762
5230503;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2073,0982540762
5230505;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2015,04452416623
5230514;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;1517,03128933213
5230514;1;4;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,3;23;1517,03128933213
5230515;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2178,01996290047
5230515;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2178,01996290047
5230529;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;23;1973,45706501169
5230532;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2958,57527004737
5230532;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2958,57527004737
5230532;1;4;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;23;2958,57527004737
5230571;1;1;1;80;2;1;3; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,4;23;1447,93272319133
5230572;1;1;1;80;2;1;3; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;23;1838,5321891532
5230572;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;1838,5321891532
5230572;1;3;1;80;2;1;9;RENUNCIO POR MIEDO A  PANDEMIA COVID 19;2; ; ;12;PANDEMIA COVID 19;2; ;2; ; ; ; ;2;1;09;1,3;23;1838,5321891532
5230573;1;4;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ;2; ;871000;2;1;09;1,2;23;2476,07830491812
5230573;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2476,07830491812
5230574;1;2;1;80;2;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;1,4;23;2602,43430820917
5230574;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2602,43430820917
5230574;1;4;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2602,43430820917
5230574;1;5;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;23;2602,43430820917
5230575;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;1761,12158731518
5230576;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2122,89786378725
5230582;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2443,36078116376
5230582;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2443,36078116376
5230583;1;2;1;80;2;1;1; ;2; ; ;1; ;2; ;2; ; ; ; ;2;1;09;1,3;23;2070,13773336887
5230583;1;5;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2070,13773336887
5230583;1;6;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;23;2070,13773336887
5230583;1;7;1;80;2;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09; ;23;2070,13773336887
5230584;1;1;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;1941,13389892505
5230585;1;1;1;80;2;1;4; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;09;1,3;23;2587,40795499031
5230586;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2229,13165511507
5230587;1;2;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2643,81014357457
5230587;1;3;1;80;2;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09; ;23;2643,81014357457
