DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4404691;1;4;1;70;2;4;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;1;5244;08;18;511,812681489343
4404696;1;1;1;70;2;2;42;3; ;2;2;3; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;54;54;95;1;1;9500;08;18;522,564842814654
4404697;1;3;1;70;2;2;40;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;800000;2; ;77;77;15;1;1;1551;08;18;345,08396324394
4404700;1;1;1;70;2;4;30;1; ;2;16;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;45;45;52;1;1;5211;08;18;558,108130511849
4404759;1;1;1;70;2;4;48;1; ;2;4;1; ;6;2;8; ; ; ; ; ; ; ;1; ; ; ;1;1500000;737717;2; ;85;62;01;1;1;0121;08;18;405,544644988031
4404760;1;1;1;70;2;12;48;1; ;2;36;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;50;55;1;1;5530;08;18;391,379412266446
4404777;1;3;1;70;2;16;30;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ;54; ; ;1;2; ;08;18;206,61693296432
4404818;1;3;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;600000; ; ;95; ; ;1;2; ;08;18;548,726481583217
4404821;1;2;1;70;2;8;40;3; ;2;12;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;350000;2; ;54;54;95;1;1;9500;08;18;574,742537692051
4404827;1;2;1;70;2;2;42;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;45;54;74;1;1;7493;08;18;570,895235137106
4404842;1;3;1;70;2;8;40;3; ;2;8;3; ;2;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;400000;2; ;54;54;95;1;1;9500;08;18;195,000642085059
4404862;1;3;1;70;2;20;42;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;45;45;52;1;2;5211;08;18;525,977914210928
4404864;1;2;1;70;2;4;40;3; ;2;24;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;1;9500;08;18;341,391248835338
4404864;1;4;1;70;2;48;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;350000; ; ;32; ; ;1;2; ;08;18;341,391248835338
4404873;1;2;1;70;2;2;30;2; ;2;32;6; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;62;01;1;1;0121;08;18;652,245877591521
4407256;1;1;1;70;2;25;60;4; ;2;25;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;53;53;55;1;2;5521;08;54;1026,16060061345
4407308;1;1;1;70;2;8;48;4; ;2;12;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;53;53;55;1;1;5529;08;54;1246,46090605113
4407314;1;3;1;70;2;28;50;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;200000;2; ;54;54;95;1;2;9500;08;54;631,285792626505
4407358;1;4;1;70;2;8;50;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;200000; ; ;53; ; ;1;1; ;08;54;987,614798608659
4407378;1;2;1;70;2;8;24;3; ;2;2;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;1;150000;900000;2; ;54;53;55;1;1;5529;08;73;1096,18218963861
4407409;1;1;1;70;2;28;25;4; ;2;52;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;737717;2; ;55;55;74;1;2;7493;08;73;4636,22083834438
4407431;1;1;1;70;2;12;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;880000;2; ;55;55;74;1;1;7493;08;73;1877,71931199524
4407462;1;2;1;70;2;2;40;1; ;2;2;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;737717;2; ;97;95;45;1;1;4521;08;76;1049,84109584519
4407498;1;1;1;70;2;8;48;1; ;2;8;1; ;3;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;98;2; ;95;59;45;1;1;4521;08;76;1492,93974802364
4407501;1;1;1;70;2;1;48;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;450000;737717;2; ;62;62;01;1;1;0140;08;76;821,453359837329
4407559;1;2;1;70;2;1;48;3; ;2;1;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;240000;2; ;54;54;95;1;1;9500;08;18;319,301733970713
4407621;1;2;1;70;2;8;40;3; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;1;9500;08;19;1217,26958441239
4408812;1;2;1;70;2;4;48;4; ;2;4;4; ;2;2;9;AFILIADO AL REGIMEN SUBSIDIADO EN OTRO MUNICIPIO; ; ; ; ; ; ; ; ; ;1;1;200000;737000;2; ;53;53;55;1;1;5529;08;41;2054,94383361803
4408855;1;2;1;70;2;12;48;1; ;2;54;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;53;55;70;1;1;7020;08;41;1999,57514437114
4408868;1;2;1;70;2;52;48;4; ;2;52;4; ;1;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;737717;2; ;55;61;01;1;2;0113;08;41;1761,37591011675
4408885;1;2;1;70;2;24;48;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;53;55;1;2;5521;08;41;905,65650053322
4408939;1;1;1;70;2;4;48;8; ;2;4;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;160000;600000;2; ;62;62;01;1;1;0117;08;68;1214,41721682104
4408964;1;1;1;70;2;10;48;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;99;99;01;1;1;0123;08;68;776,0275004925
4408964;1;3;1;70;2;24;48;1; ;2;98;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;53;53;55;1;2;5523;08;68;776,0275004925
