DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6410S1;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P6790;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P1879;P1805;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P1880;P1881;P1882;P7090;P7100;P7110;P7120;P7130;P7140;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P7240;P7240S1;P6430;OFICIO;RAMA2D;OCI;RAMA4D;RAMA4DP8;RAMA2DP8;INGLABO;MES;DPTO;fex_c_2011
4396207;1;1;1;60;2;76;1;1; ; ;1; ; ;1;1;2;1;30; ;1; ;2;737717;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;2; ; ;1;26000;2;2; ; ;2; ; ;2; ; ;1;713586;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;43; ;.;0;1; ;6;8; ;1; ;1;1;1;3;1; ; ; ; ; ; ; ; ;1;1;1;1;2;48;4; ;2; ; ; ; ; ; ; ;3;3;5;1;36;2;2;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;1;1;2;2;1;6; ;1;60;01;1;0114; ; ;1037717;08;76;3987,63595569101
4396208;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;42; ;1; ;2;737717;2; ; ;2; ;1;500000;2; ;2; ;2; ; ;1;83142;2;1;26000;2;2; ; ;2; ; ;2; ; ;1;760000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;44; ;.;44; ; ;2;8; ;1; ;1;2;1;6;1;1; ; ; ; ; ; ; ; ;1;1;1;2;12;8; ;2; ; ; ; ; ; ; ;9;11;20;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;8;60;01;1;0115; ; ;1237717;08;76;3646,13480337879
4396209;1;1;1;60;2;76;1;2;1; ;1; ; ;1;1;2;1;9; ;1; ;2;737717;2; ; ;2; ;1;300000;2; ;2; ;2; ; ;2; ; ;1;26000;2;2; ; ;2; ; ;2; ; ;1;370000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;60; ;.;60; ; ;2;8; ;1; ;1;1;3;4;1; ; ; ; ; ; ; ; ;1;1;1;1;0;9;8; ;2; ; ; ; ; ; ; ;8;14; ;2; ; ; ;1;1;2;1;2;2;2;2;1;1;2; ;2;1;1;1;1;2;1;1;8; ;8;62;01;1;0130; ; ;1037717;08;76;2996,35024502986
4396209;1;2;1;60;2;76;1;1; ; ;1; ; ;2;2;2;2;9; ;7;LE OFRECIERON EL TRABAJO;2;100000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;18;1; ;34; ; ;1;2; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;10;1; ;2; ; ; ; ; ; ; ;9;3;3;1;12;2;1;1;1;2;1;2;2;2;2;1;2;2; ;2;2;2;2;2;2;1;1;3; ;1;55;92;1;9249; ; ;100000;08;76;2996,35024502986
4396210;1;1;1;60;2;76;1;1; ; ;1; ; ;1;1;2;1;2; ;1; ;2;762000;2; ; ;2; ;1;250000;2; ;2; ;2; ; ;2; ; ;1;26000;2;2; ; ;2; ; ;2; ; ;1;760000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;66; ;.;66; ; ;2;8; ;1; ;1;2;1;7;1;1; ; ; ; ; ; ; ; ;1;1;1;0;84;8; ;2; ; ; ; ; ; ; ;2;11;60;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;1;60;01;1;0115; ; ;1012000;08;76;3982,67248811484
4396211;1;1;1;60;2;76;1;2;2;12;1; ; ;1;1;2;1;25; ;7;LE OFRECIERON EL EMPLEO;2;930000;1;140000;1;1;40000;1;200000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;1;850000;2; ;2; ;2; ;2; ;1;4; ; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ;48; ;.;52; ; ;6;8; ;1; ;1;2;1;25;1;1; ; ; ; ; ; ; ; ;1;1;1;0;15;8; ;2; ; ; ; ; ; ; ;5;11;10;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;8;62;01;1;0114; ; ;1170000;08;76;1938,67807427797
4396212;1;1;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;2; ;1; ;2;500000;2; ; ;1;200000;1;100000;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;45; ;.;45; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;8; ;2; ; ; ; ; ; ; ;3;15;60;1;10;2;1;1;1;1;1;2;1;2;2;2;2;2; ;2;1;2;2;1;2;2;2;9; ;8;62;01;1;0111; ; ;800000;08;76;3646,13480337879
4396212;1;3;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;1; ;1; ;2;380000;2; ; ;1;200000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;8; ; ; ; ; ; ; ; ;45; ;.;36;1; ;2;8; ;5; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;4;7;8; ;2; ; ; ; ; ; ; ;7;3;60;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;8;62;01;1;0119; ; ;580000;08;76;3646,13480337879
4396212;1;4;1;60;2;76;1;2;1; ;1; ; ;1;2;2;2;3; ;2; ;2;800000;1;200000;1;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;10; ; ; ; ; ; ; ; ;49; ;.;49; ; ;6;9; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;1;2;1;0;8;4; ;2; ; ; ; ; ; ; ;8;15;30;2; ; ; ;1;1;1;1;2;1;2;2;2;2;2; ;2;1;1;1;2;2;2;1;8; ;1;95;45;1;4530; ; ;800000;08;76;3646,13480337879
4396212;1;5;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;3; ;2; ;2;380000;2; ; ;1;200000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;3; ; ; ; ; ; ; ; ;45; ;.;45; ; ;5;8; ;4; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;2; ; ; ; ;2; ; ; ; ; ; ; ; ;11;80;1;10;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;8;62;01;1;0119; ; ;580000;08;76;3646,13480337879
4396214;1;3;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;3; ;1; ;2;592000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;1;10; ; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ;40; ;.;50; ; ;5;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;4; ;2; ; ; ; ; ; ; ;8;3;40;1;18;1;1;1;1;2;1;2;2;2;2;2;2;2; ;2;1;1;2;1;2;1;1;8; ;8;62;01;1;0111; ; ;592000;08;76;5428,90780062683
4396215;1;1;1;60;2;76;1;2;2;5;1; ; ;1;2;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;3;850000;1;3400000;3; ;12;2; ; ; ; ;1;1;1;45; ;.;16;1; ;9;6; ;5; ;1;1;2;11;1;1; ; ; ; ; ; ; ; ;1;2;1;0;132;1; ;1;76;14;6; ; ;2;1;1;3;15;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;3; ;4;95;75;1;7512; ; ;850000;08;76;1914,1551187995
4396215;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ;2;50000;1;300000;1; ;12;2; ; ; ; ;3;1;1;42; ;.;42; ; ;2;6; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;60;1; ;2; ; ; ; ; ; ; ;5;3;5;1;20;2;1;1;1;1;1;2;1;2;2;2;1;2; ;2;1;1;2;1;2;2;1;3; ;4;53;55;1;5529; ; ;50000;08;76;1914,1551187995
4396217;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1;1000000;3; ;4;1;2;0;2;0;1;5;1;28;2; ;28; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;12;18;4; ;2; ; ; ; ; ; ; ;9;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;3; ;4;62;01;1;0111; ; ;300000;08;76;1497,53541976845
4396217;1;2;1;60;2;66;1;2;2;12;1; ; ;1;1;2;1;27; ;3; ;2;1040000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;1;83142;1;1;26000;2;2; ; ;2; ; ;2; ; ;1;980000;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;60; ;.;60; ; ;3;7; ;1; ;1;2;1;2;1;1; ; ; ; ; ; ; ; ;1;1;1;4;72;1; ;1;76;12;4; ;300000;2;8;5;11;80;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;1; ;1;58;70;1;7020; ; ;1340000;08;76;1497,53541976845
4396217;1;3;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;60; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1;4000000;3; ;12;1;2;0;2;0;3;3;2;30;2; ;30; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;1;8; ;2; ; ; ; ; ; ; ;1;3;5;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;1;1;5; ;4;61;01;1;0111; ; ;300000;08;76;1497,53541976845
4396217;1;4;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;6; ;1; ;2;320000;2; ; ;1;60000;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;28;2; ;28; ; ;1;2; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;22;4; ;1;76;7;4; ;0;1;1;3;3;45;2; ; ; ;1;1;1;1;2;1;2;2;2;2;2; ;2;1;2;2;2;2;1;1;3; ;3;54;95;1;9500; ; ;380000;08;76;1497,53541976845
4396218;1;1;1;60;2;76;1;1; ; ;1; ; ;1;2;2;2;2; ;7;LE OFRECIERON EL TRABAJO;2;600000;2; ; ;2; ;2; ;2; ;2; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ; ;2; ;2; ;2; ;2; ;2; ;2; ; ;.; ; ; ; ; ; ; ; ;.;11; ; ; ; ; ; ; ; ;50; ;.;50; ; ;2;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;1;13;8; ;2; ; ; ; ; ; ; ;5;3;15;2; ; ; ;1;1;2;1;1;2;2;2;1;1;2; ;2;1;1;2;2;2;2;1;3; ;8;62;01;1;0111; ; ;600000;08;76;1998,55215187233
4396218;1;2;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;7;2; ;7; ; ;2;2; ;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;2;8; ;2; ; ; ; ; ; ; ;1;14; ;1;41;2;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;2;2;1;8; ;7;62;01;1;0122; ; ; ;08;76;1998,55215187233
4396220;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;468; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;350000;1;3810000;3; ;12;2; ; ; ; ;3;5;1;36;2; ;36; ; ;1;8; ;2; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;6;8; ;2; ; ; ; ; ; ; ;10;3;15;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;1;1;3; ;4;61;01;1;0119; ; ;350000;08;76;2373,40230096068
4396221;1;1;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;660; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ;2; ; ;2;300000;1;5580000;3; ;12;1;1;0;0;1;3;5;2;30;2; ;30; ; ;2;8; ;12;RECURSOS DE SU TRABAJO;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;8; ;2; ; ; ; ; ; ; ;10;14; ;2; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;1;8; ;4;61;01;1;0111; ; ;300000;08;76;2001,19274034749
4396221;1;3;1;60;2;76;2; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.;12; ; ; ; ; ; ; ; ;48; ;.;48; ; ;2;8; ;10; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1;2;2;1;0;12;1; ;2; ; ; ; ; ; ; ;1;14; ;2; ; ; ;1;1;1;1;2;1;2;1;1;1;1;DESEA TENER PRESTACIONES Y SEGURIDAD SOCIAL;2;1;1;2;1;2;1;1;3; ;6;62;01;1;0111; ; ; ;08;76;2001,19274034749
