Directorio;Secuencia_p;Orden;Area;Regis;P6016;P6020;P6030;P6030s1;P6030s3;P6050;P6080;P6080s1;P6060;P6060s1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180s1;P6180s2;P6190;P6190s1;P6200;P6200s1;P6210;P6210s1;P6220;P6040;Dpto;Fex_c_2011
373311;1;2;05;10;2;2;1;6;1973;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;6;2;2;34;05;794,735433199437
373311;1;3;05;10;3;1;1;7;1991;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;27;1000;1;70000;2; ;5;10;1;16;05;794,735433199437
373311;1;4;05;10;2;1;1;7;1993;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;7; ;13;05;794,735433199437
373311;1;5;05;10;2;1;1;6;1998;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;1500;2; ;2; ;3;2; ;9;05;794,735433199437
373311;1;6;05;10;6;1;1;5;1989;5;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;18;05;794,735433199437
373311;1;7;05;10;2;1;1;4;1995;9;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;1500;2; ;1;45000;3;4; ;12;05;794,735433199437
373312;1;1;05;10;1;2;1;4;1947;1;6; ;2; ;5;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;3;2; ;60;05;715,522181579509
373312;1;2;05;10;2;2;1;8;1978;3;6; ;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;3;5; ;28;05;715,522181579509
373312;1;3;05;10;3;1;1;7;1977;5;6; ;2; ;2;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;5; ;30;05;715,522181579509
373312;1;4;05;10;2;1;1;8;1995;4;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;1500;2; ;2; ;4;0; ;11;05;715,522181579509
373312;1;5;05;10;5;2;1;7;2002;4;6; ;2; ; ;1; ; ;1;5; ;2;2;1;1;1;300;1500;2; ;2; ;1;0; ;4;05;715,522181579509
373313;1;1;05;10;1;2;1;9;1937;1;6; ;2; ;5;1; ; ;1;2;17348;2;1;2; ; ; ; ; ; ; ; ;3;5; ;69;05;698,029926161409
373314;1;1;05;10;1;1;1;12;1962;1;6; ;2; ;2;1; ; ;1;3;60100;2;1;2; ; ; ; ; ; ; ; ;4;9; ;44;05;689,527352145
373314;1;2;05;10;2;2;1;2;1974;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;33;05;689,527352145
373314;1;3;05;10;2;1;1;11;1995;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;3; ;11;05;689,527352145
373314;1;4;05;10;2;1;1;6;2003;3;6; ;2; ; ;1; ; ;1;5; ;2;2;1;1;2; ; ;2; ;2; ;2;0; ;4;05;689,527352145
373315;1;1;05;10;1;1;1;5;1979;1;6; ;2; ;2;1; ; ;1;1;44000;2;1;2; ; ; ; ;2; ;2; ;5;11;2;28;05;699,079163257591
373315;1;2;05;10;2;2;1;12;1983;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;4;9; ;23;05;699,079163257591
373315;1;3;05;10;2;1;1;9;2004;3;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;699,079163257591
373316;1;1;05;10;1;2;1;2;1955;1;6; ;2; ;3;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;52;05;757,330000271977
373316;1;2;05;10;2;1;1;8;1990;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;8; ;16;05;757,330000271977
373316;1;3;05;10;3;1;1;3;1984;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;23;05;757,330000271977
373316;1;4;05;10;2;2;1;6;1978;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;8; ;29;05;757,330000271977
373317;1;1;05;10;1;1;1;4;1970;1;6; ;2; ;6;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;3;3; ;37;05;766,19474376044
373317;1;2;05;10;2;2;1;1;1973;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;3;3; ;34;05;766,19474376044
373317;1;3;05;10;3;1;1;2;1990;3;6; ;2; ;5;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;17;05;766,19474376044
373317;1;4;05;10;2;2;1;11;1997;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;3500;2; ;2; ;3;3; ;9;05;766,19474376044
373317;1;5;05;10;2;1;1;7;2002;3;6; ;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;4;05;766,19474376044
373318;1;1;05;10;1;1;1;4;1965;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;42;05;612,890996275499
373318;1;2;05;10;2;2;1;4;1970;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;37;05;612,890996275499
373318;1;3;05;10;2;2;1;1;1992;3;6; ;2; ;5;1; ; ;3; ; ;1;1;1;1;1;50;800;2; ;2; ;4;9; ;15;05;612,890996275499
373318;1;4;05;10;2;1;1;7;1996;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;50;1000;2; ;2; ;3;4; ;11;05;612,890996275499
373318;1;5;05;10;2;2;1;5;1998;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;50;1000;2; ;2; ;3;2; ;9;05;612,890996275499
373318;1;6;05;10;6;2;1;12;1945;5;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;61;05;612,890996275499
373318;1;7;05;10;7;2;1;10;1941;5;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;65;05;612,890996275499
373319;1;1;05;10;1;1;1;5;1955;1;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2;52;05;859,256537025019
373319;1;2;05;10;2;2;1;2;1956;2;6; ;2; ;6;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;4;9; ;51;05;859,256537025019
373319;1;3;05;10;2;1;1;5;1979;3;6; ;2; ;5;1; ; ;1;1;28000;2;1;2; ; ; ; ;2; ;2; ;6;5;4;28;05;859,256537025019
373319;1;4;05;10;4;2;1;8;1983;3;6; ;2; ;3;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;3;2;23;05;859,256537025019
373320;1;1;05;10;1;2;1;2;1946;1;6; ;2; ;3;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;61;05;567,056917312017
373320;1;2;05;10;2;2;1;8;1970;3;6; ;2; ;5;1; ; ;1;1;44000;2;1;2; ; ; ; ; ; ; ; ;6;5;4;36;05;567,056917312017
373320;1;3;05;10;3;2;1;11;1982;3;6; ;2; ;5;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;24;05;567,056917312017
373320;1;4;05;10;1;1;1;4;2004;4;6; ;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;3;05;567,056917312017
373321;1;1;05;10;1;1;1;5;1950;1;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;57;05;894,346446691109
373321;1;2;05;10;2;2;1;6;1958;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;49;05;894,346446691109
373321;1;3;05;10;3;1;1;12;1979;3;6; ;2; ;5;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;6;3;3;27;05;894,346446691109
373321;1;4;05;10;4;1;1;4;1978;3;6; ;2; ;5;1; ; ;1;1;17348;2;1;1;2;2; ; ;2; ;2; ;6;1;2;29;05;894,346446691109
373321;1;5;05;10;5;2;1;3;1985;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;6;1;2;22;05;894,346446691109
373321;1;6;05;10;6;1;1;4;1992;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;9; ;15;05;894,346446691109
373322;1;1;05;10;1;1;1;3;1973;1;6; ;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ;2; ;2; ;3;5; ;34;05;847,431659781942
373322;1;2;05;10;2;2;1;2;1965;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;42;05;847,431659781942
373322;1;3;05;10;3;1;1;1;1987;3;6; ;2; ;5;1; ; ;1;1;20587;2;1;2; ; ; ; ;2; ;2; ;5;11;2;20;05;847,431659781942
373322;1;4;05;10;4;1;1;6;1990;3;6; ;2; ;5;2;1;3; ; ; ; ;1;2; ; ; ; ;2; ;2; ;5;10;1;17;05;847,431659781942
373323;1;1;05;10;1;1;1;8;1932;1;6; ;2; ;6;1; ; ;1;2;45000;2;1;2; ; ; ; ; ; ; ; ;3;5; ;74;05;724,367860082176
373323;1;2;05;10;2;2;1;6;1945;2;6; ;2; ;6;1; ; ;1;2;52000;2;1;2; ; ; ; ; ; ; ; ;6;5;4;62;05;724,367860082176
373324;1;1;05;10;1;1;1;10;1931;1;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;75;05;856,327874119908
373324;1;2;05;10;2;1;1;9;1970;3;6; ;2; ;3;2;1;6; ; ; ; ;1;2; ; ; ; ; ; ; ; ;6;3;3;36;05;856,327874119908
373325;1;1;05;10;1;1;1;3;1954;1;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;6;5;4;53;05;859,256537025019
373325;1;2;05;10;2;2;1;2;1954;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2;53;05;859,256537025019
373325;1;3;05;10;3;1;1;12;1981;3;6; ;2; ;5;1; ; ;1;3;54000;2;1;1;2;2; ; ;2; ;2; ;6;1;2;25;05;859,256537025019
373325;1;4;05;10;4;2;1;3;1989;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;2;2; ; ;2; ;2; ;6;0;2;18;05;859,256537025019
373326;1;1;05;10;1;2;1;4;1935;1;6; ;2; ;4;2;1;24; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;5; ;72;05;724,367860082176
373326;1;2;05;10;2;1;1;6;1938;5;6; ;2; ;5;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;3;2; ;69;05;724,367860082176
373327;1;1;05;10;1;1;1;11;1967;1;6; ;2; ;6;2;1;11; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;5; ;39;05;768,479505963471
373327;1;2;05;10;2;2;1;8;1973;2;6; ;2; ;6;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;8; ;33;05;768,479505963471
373327;1;3;05;10;2;1;1;11;1994;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;200;1500;2; ;2; ;4;6; ;12;05;768,479505963471
373327;1;4;05;10;2;1;1;9;2003;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;3;05;768,479505963471
373329;1;1;05;10;1;2;1;3;1977;1;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;6;3;3;30;05;558,616575203451
373329;1;2;05;10;1;1;1;9;2005;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;558,616575203451
373329;1;3;05;10;3;1;1;3;1982;5;6; ;2; ;1;1; ; ;1;1;30000;2;1;2; ; ; ; ;2; ;2; ;5;11;2;25;05;558,616575203451
373329;1;4;05;10;4;2;1;12;1986;5;6; ;2; ;1;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;4; ;20;05;558,616575203451
373329;1;5;05;10;4;1;1;4;2004;5;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;3;05;558,616575203451
373329;1;6;05;10;4;1;2; ; ;5;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;558,616575203451
373330;1;1;05;10;1;1;1;7;1970;1;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;36;05;625,794387614142
373330;1;2;05;10;2;2;1;10;1977;2;6; ;1;2;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ;29;05;625,794387614142
373330;1;3;05;10;2;1;1;6;1995;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;50;1000;2; ;2; ;4;0; ;12;05;625,794387614142
373330;1;4;05;10;2;1;1;8;1997;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;50;1000;2; ;2; ;3;2; ;9;05;625,794387614142
373330;1;5;05;10;2;1;1;6;1999;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;1;50;1000;2; ;2; ;3;1; ;8;05;625,794387614142
373330;1;6;05;10;2;1;1;11;2002;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;4;05;625,794387614142
373330;1;7;05;10;2;2;1;12;2005;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;625,794387614142
373331;1;1;05;10;1;1;1;1;1964;1;6; ;2; ;2;1; ; ;1;1;320000;2;1;2; ; ; ; ; ; ; ; ;6;3;3;43;05;926,434349435711
373331;1;2;05;10;2;2;1;4;1965;2;6; ;2; ;2;1; ; ;1;1;32000;2;1;2; ; ; ; ; ; ; ; ;6;2;3;42;05;926,434349435711
373331;1;3;05;10;2;1;1;1;1995;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;4;0; ;12;05;926,434349435711
373331;1;4;05;10;2;2;1;5;2003;3;6; ;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;4;05;926,434349435711
373331;1;5;05;10;5;1;1;6;1961;5;6; ;2; ;5;1; ; ;1;1;36000;2;1;2; ; ; ; ; ; ; ; ;6;3;3;46;05;926,434349435711
373332;1;1;05;10;1;2;1;9;1952;1;6; ;2; ;6;1; ; ;1;1;17380;2;1;2; ; ; ; ; ; ; ; ;3;3; ;54;05;739,888280689175
373334;1;1;05;10;1;1;1;6;1975;1;6; ;2; ;2;1; ; ;1;1;30000;2;1;2; ; ; ; ;2; ;2; ;5;11;2;32;05;845,146897578911
373334;1;2;05;10;2;2;1;10;1971;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ;35;05;845,146897578911
373334;1;3;05;10;3;1;1;10;1989;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;17;05;845,146897578911
373334;1;4;05;10;4;1;1;7;1993;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;14;05;845,146897578911
373334;1;5;05;10;2;2;1;7;2004;3;6; ;2; ; ;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;3;05;845,146897578911
373336;1;1;05;10;1;1;1;3;1939;1;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2;68;05;904,44671528642
373336;1;2;05;10;2;2;1;12;1937;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;8; ;69;05;904,44671528642
373336;1;3;05;10;3;1;1;11;1968;3;6; ;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;6;3;3;38;05;904,44671528642
373336;1;4;05;10;1;1;1;4;1970;3;6; ;2; ;5;2;2; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;4;9; ;37;05;904,44671528642
373337;1;1;05;10;1;1;1;8;1974;1;6; ;2; ;1;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2;32;05;766,994579127709
373337;1;2;05;10;2;2;1;12;1982;2;6; ;1;1;1;1; ; ;1;5; ;1;1;2; ; ; ; ;2; ;2; ;5;11;2;24;05;766,994579127709
373337;1;3;05;10;2;2;1;7;2007;3;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;0;05;766,994579127709
373338;1;1;05;10;1;1;1;2;1950;1;6; ;2; ;3;2;1;152; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;4; ;57;05;766,288446517785
373339;1;1;05;10;1;1;1;4;1951;1;6; ;2; ;4;1; ; ;3; ; ;1;2;2; ; ; ; ; ; ; ; ;1;0; ;56;05;671,911315311676
373339;1;2;05;10;2;2;1;5;1988;3;6; ;2; ;5;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;4;7; ;19;05;671,911315311676
373339;1;3;05;10;1;2;1;2;2005;4;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;05;671,911315311676
373339;1;4;05;10;4;2;1;6;1989;3;6; ;2; ;5;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;18;05;671,911315311676
373339;1;5;05;10;5;2;1;9;1990;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;16;05;671,911315311676
373339;1;6;05;10;6;1;1;4;1980;5;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;1;180000;6;4;3;27;05;671,911315311676
373340;1;1;05;10;1;1;1;12;1982;1;6; ;2; ;2;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2;24;05;617,729479492948
373340;1;2;05;10;2;2;1;5;1969;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;5;11;2;38;05;617,729479492948
373340;1;3;05;10;2;2;1;10;1992;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;50;2000;2; ;2; ;4;8; ;14;05;617,729479492948
373340;1;4;05;10;2;1;1;2;2001;3;6; ;2; ; ;1; ; ;3; ; ;2;2;1;1;1;80;2000;2; ;2; ;2;0; ;6;05;617,729479492948
373341;1;1;05;10;1;2;1;1;1958;1;6; ;2; ;3;1; ; ;1;1;17300;2;1;2; ; ; ; ; ; ; ; ;4;8; ;49;05;669,625870708184
373341;1;2;05;10;2;2;1;5;1981;3;6; ;2; ;5;1; ; ;1;1;17300;2;1;2; ; ; ; ;2; ;2; ;5;11;2;26;05;669,625870708184
373341;1;3;05;10;2;1;1;1;1999;4;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;2; ;8;05;669,625870708184
373342;1;1;05;10;1;1;1;4;1928;1;6; ;2; ;6;1; ; ;1;2;90000;2;1;2; ; ; ; ; ; ; ; ;5;11;2;79;05;660,572663643476
373342;1;2;05;10;2;2;1;7;1927;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;79;05;660,572663643476
373342;1;3;05;10;3;2;1;8;1956;3;6; ;2; ;4;1; ; ;1;2;17380;2;1;2; ; ; ; ; ; ; ; ;5;11;2;50;05;660,572663643476
373342;1;4;05;10;4;1;1;8;1985;4;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;6;3;2;21;05;660,572663643476
373342;1;5;05;10;5;2;1;9;1995;4;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;80;4000;2; ;2; ;4;0; ;11;05;660,572663643476
373342;1;6;05;10;6;1;1;9;1996;4;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;80;3500;2; ;2; ;3;4; ;10;05;660,572663643476
373343;1;1;05;10;1;1;1;3;1961;1;6; ;2; ;2;1; ; ;1;1;200000;2;1;2; ; ; ; ; ; ; ; ;6;5;4;46;05;838,679684036619
