DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
1161224;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;950,238153125892
1161224;1;5;1;50;05; ; ;5;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;950,238153125892
1161225;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;973,991457540888
1161225;1;2;1;50;05;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;973,991457540888
1161225;1;3;1;50;05; ; ;3;3; ;2;2;2;2;1;12; ; ; ; ; ; ;1;05;973,991457540888
1161228;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1045,05151549847
1161228;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;1045,05151549847
1161228;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1045,05151549847
1161229;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1016,63808560214
1161229;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1016,63808560214
1161229;1;3;1;50;05;3; ;3;6;HACIENDO DILIGENCIAS PARA INGRESO A LA UNIVERSIDAD;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1016,63808560214
1161230;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1012,76690672406
1161230;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1012,76690672406
1161231;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1101,85484571241
1161231;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1101,85484571241
1161232;1;1;1;50;05; ; ;1;6;VOLUNTARIADO;2;2;2;2;1;9; ; ; ; ; ; ;1;05;1026,39092551936
1161232;1;2;1;50;05; ; ;2;4; ;2;2;2;2;1;8; ;2; ;1;8;1;1;05;1026,39092551936
1161232;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1026,39092551936
1161233;1;1;1;50;05;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1073,18987611125
1161233;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1073,18987611125
1161233;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1073,18987611125
1161233;1;4;1;50;05; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1073,18987611125
1161234;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1120,74816935867
1161234;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1120,74816935867
1161234;1;3;1;50;05; ; ;3;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;05;1120,74816935867
1161234;1;6;1;50;05; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1120,74816935867
1161235;1;1;1;50;05; ; ;1;3; ;2;1; ; ; ; ; ; ; ; ; ; ;1;05;882,131866785077
1161235;1;2;1;50;05;3; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;882,131866785077
1161236;1;1;1;50;05; ; ;1;6;ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1102,86534802806
1161236;1;2;1;50;05; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;05;1102,86534802806
1161236;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1102,86534802806
1161237;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1090,72740940103
1161237;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1090,72740940103
1161237;1;3;1;50;05; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1090,72740940103
1161238;1;1;1;50;05; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;3;1;50;05; ; ;3;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;4;1;50;05;2; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1013,12886041604
1161238;1;5;1;50;05; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;6;1;50;05; ; ;6;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;7;1;50;05; ; ;5;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;9;1;50;05; ; ;9;6;VACACIONES;2;1; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161238;1;10;1;50;05; ; ;10;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1013,12886041604
1161240;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1229,38595074873
1161240;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1229,38595074873
1161240;1;3;1;50;05; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1229,38595074873
1161240;1;4;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1229,38595074873
1161240;1;5;1;50;05; ; ;5;6;DESCANSANDO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1229,38595074873
1161241;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;926,554414186515
1161241;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;926,554414186515
1161241;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;926,554414186515
1161242;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1011,64385003473
1161243;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1091,49282642557
1161243;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1091,49282642557
1161243;1;3;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1091,49282642557
1161244;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;956,728993534656
1161244;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;956,728993534656
1161244;1;3;1;50;05; ; ;3;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;956,728993534656
1161245;1;1;1;50;05; ; ;1;6;ENFERMO;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1102,86534802806
1161245;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1102,86534802806
1161245;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1102,86534802806
1161246;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1056,17895180985
1161246;1;2;1;50;05; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1056,17895180985
1161247;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1128,37980189487
1161249;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;874,154946208046
1161249;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;874,154946208046
1161249;1;3;1;50;05; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;874,154946208046
1161251;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1128,37980189487
1161252;1;1;1;50;05; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;791,246788795354
1161252;1;2;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;791,246788795354
1161252;1;3;1;50;05; ; ;3;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;791,246788795354
1161253;1;1;1;50;05; ; ;1;6;HACIENDO DILIGENCIAS DEL HOGAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;996,491415454762
1161253;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;996,491415454762
1161254;1;1;1;50;05; ; ;1;6;ANDANDO LA CALLE;2;2;2;2;2; ; ; ; ; ; ; ;1;05;996,491415454762
1161254;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;996,491415454762
1161255;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;938,114984387235
1161255;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,114984387235
1161255;1;3;1;50;05; ; ;2;4; ;2;2;2;2;1;4; ;1;2; ; ; ;1;05;938,114984387235
1161255;1;4;1;50;05; ; ;2;6;VER  TELEVISION;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,114984387235
1161255;1;5;1;50;05; ; ;5;6;DILIGENCIAS   PERSONALES;1; ; ; ; ; ; ; ; ; ; ; ;1;05;938,114984387235
1161255;1;6;1;50;05; ; ;6;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,114984387235
1161256;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1058,44280062662
1161256;1;2;1;50;05; ; ;2;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;05;1058,44280062662
1161257;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1101,85484571241
1161257;1;2;1;50;05;3; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1101,85484571241
1161258;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;938,677582925172
1161258;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;938,677582925172
1161260;1;1;1;50;05; ; ;1;6;DESCANSANDO;2;2;2;2;1;9; ; ; ; ; ; ;1;05;897,386745220399
1161260;1;2;1;50;05; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;897,386745220399
1161260;1;3;1;50;05; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;897,386745220399
1161260;1;6;1;50;05; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;897,386745220399
1161260;1;7;1;50;05; ; ;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;897,386745220399
1161262;1;1;1;50;05;2; ;1;6;DEPORTE;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1128,37980189487
1161263;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1145,26689079821
1161263;1;2;1;50;05; ; ;1;6;PASEANDO;2;2;2;2;1;13;NO TIENE REFERENCIAS  PERSONALES; ; ; ; ; ;1;05;1145,26689079821
1161264;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1118,01778260802
1161264;1;2;1;50;05; ; ;1;6;PASEAR;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1118,01778260802
1161265;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1048,08078133978
1161265;1;2;1;50;05;2; ;2;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;05;1048,08078133978
1161265;1;3;1;50;05; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1048,08078133978
1161266;1;1;1;50;05; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;05;1027,76552191353
1161266;1;2;1;50;05; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;05;1027,76552191353
1161267;1;1;1;50;08;1; ;1;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;08;731,772722014223
1161267;1;2;1;50;08; ; ;2;2; ;2;1; ; ; ; ; ; ; ; ; ; ;1;08;731,772722014223
1161267;1;3;1;50;08; ; ;3;6;VAGO;2;2;2;2;1;2; ;1;2; ; ; ;1;08;731,772722014223
1161267;1;4;1;50;08; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;731,772722014223
1161267;1;5;1;50;08; ; ;5;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;08;731,772722014223
1161269;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;541,135869299279
1161270;1;1;1;50;08; ; ;1;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;08;685,046572577046
1161270;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;685,046572577046
1161270;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;685,046572577046
1161270;1;4;1;50;08;2; ;4;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;08;685,046572577046
1161270;1;5;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;685,046572577046
1161270;1;7;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;685,046572577046
1161271;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;575,123542562319
1161271;1;2;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;575,123542562319
1161271;1;3;1;50;08; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;575,123542562319
1161273;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;513,228692066456
1161275;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;562,325059535415
1161275;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;562,325059535415
1161275;1;3;1;50;08; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;1;08;562,325059535415
1161275;1;4;1;50;08; ; ;4;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;562,325059535415
1161276;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;573,129925356058
1161276;1;2;1;50;08; ; ;2;4; ;2;2;2;2;1;7; ;2; ;2; ; ;1;08;573,129925356058
1161276;1;3;1;50;08; ; ;3;2; ;1; ; ; ; ; ; ; ; ; ; ; ;1;08;573,129925356058
1161276;1;4;1;50;08;2; ;4;4; ;2;2;2;1; ; ; ; ; ; ; ;1;1;08;573,129925356058
1161277;1;1;1;50;08; ; ;1;6;ESTA ENFERMO;1; ; ; ; ; ; ; ; ; ; ; ;1;08;538,801300480818
1161277;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;538,801300480818
1161277;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;538,801300480818
1161278;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;475,608838387391
1161278;1;2;1;50;08; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;08;475,608838387391
1161279;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;598,756764528005
1161279;1;2;1;50;08; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;08;598,756764528005
1161279;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;598,756764528005
1161279;1;4;1;50;08;1; ;4;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;08;598,756764528005
1161279;1;5;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;598,756764528005
1161279;1;6;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;598,756764528005
1161280;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;528,337386272375
1161280;1;2;1;50;08; ; ;2;4; ;2;2;2;2;1;10; ; ; ; ; ; ;1;08;528,337386272375
1161281;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;528,337386272375
1161281;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;528,337386272375
1161282;1;1;1;50;08;1; ;1;6;HACER DILIGENCIAS;2;2;2;1; ; ; ; ; ; ; ;1;1;08;513,228692066456
1161283;1;1;1;50;08; ; ;1;6;ESTA ENFERMO;2;2;2;2;1;11; ; ; ; ; ; ;1;08;510,894123247995
1161283;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;510,894123247995
1161283;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;510,894123247995
1161284;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;648,614867584457
1161284;1;2;1;50;08; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;08;648,614867584457
1161284;1;3;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;648,614867584457
1161284;1;5;1;50;08; ; ;5;3; ;1; ; ; ; ; ; ; ; ; ; ; ;1;08;648,614867584457
1161285;1;1;1;50;08; ; ;1;6;VER TV;2;2;2;2;2; ; ; ; ; ; ; ;1;08;538,801300480818
1161285;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;538,801300480818
1161285;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;538,801300480818
1161286;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;443,116394391384
1161286;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;443,116394391384
1161286;1;5;1;50;08; ; ;5;4; ;1; ; ; ; ; ; ; ; ; ; ; ;1;08;443,116394391384
1161287;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;500,751096465109
1161287;1;2;1;50;08; ; ;2;6;LICENCIA DE MATERNIDAD;2;1; ; ; ; ; ; ; ; ; ; ;1;08;500,751096465109
1161288;1;1;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;452,615179247682
1161288;1;2;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;452,615179247682
1161288;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;452,615179247682
1161289;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;535,747579043432
1161289;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;535,747579043432
1161289;1;3;1;50;08; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;535,747579043432
1161290;1;1;1;50;08;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;1;08;491,965688132553
1161290;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;491,965688132553
1161291;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;598,830578225771
1161291;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;598,830578225771
1161292;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;551,569649773094
1161292;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;551,569649773094
1161292;1;3;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;551,569649773094
1161292;1;5;1;50;08; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;551,569649773094
1161294;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;504,630350608924
1161294;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;504,630350608924
1161294;1;4;1;50;08; ; ;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;504,630350608924
1161295;1;1;1;50;08; ; ;1;6;JUBILADO  DESCANSA;2;2;2;2;2; ; ; ; ; ; ; ;1;08;502,429602340995
1161295;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;502,429602340995
1161295;1;3;1;50;08; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;502,429602340995
1161296;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;502,186318879375
1161296;1;2;1;50;08; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;502,186318879375
1161296;1;3;1;50;08; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;502,186318879375
1161297;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;578,121675631062
1161297;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;578,121675631062
1161297;1;3;1;50;08; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;578,121675631062
1161297;1;6;1;50;08; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;578,121675631062
1161298;1;1;1;50;08; ; ;1;6;DESCANSA JUBILADO;2;2;2;2;2; ; ; ; ; ; ; ;1;08;450,280610429221
1161298;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;450,280610429221
1161298;1;3;1;50;08; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;450,280610429221
1161298;1;4;1;50;08; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;450,280610429221
1161298;1;5;1;50;08; ; ;5;4; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;450,280610429221
1161299;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;503,195128194658
1161299;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;503,195128194658
1161301;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;475,608838387391
1161301;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;475,608838387391
1161303;1;1;1;50;08; ; ;1;6;DESCANSO;2;1; ; ; ; ; ; ; ; ; ; ;1;08;478,05287011694
1161303;1;2;1;50;08; ; ;2;4; ;2;1; ; ; ; ; ; ; ; ; ; ;1;08;478,05287011694
1161304;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;526,27424882115
1161304;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;526,27424882115
1161304;1;3;1;50;08; ; ;3;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;526,27424882115
1161304;1;4;1;50;08; ; ;1;3; ;2;2;2;2;2; ; ; ; ; ; ; ;1;08;526,27424882115
1161306;1;1;1;50;08; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;586,032095198867
1161306;1;2;1;50;08; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1;08;586,032095198867
