DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,DPTO,fex_c_2011
2693422,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,5,63,121.489.077.818.124
2693423,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,15.550.863.369.659
2693423,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,15.550.863.369.659
2693424,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,123.358.423.142.057
2693424,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,123.358.423.142.057
2693432,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,714.509.995.979.765
2693432,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,714.509.995.979.765
2693432,1,3,1,50,2,2,,3,4,,2,2,2,1,,,,,,,,1,5,63,714.509.995.979.765
2693432,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,714.509.995.979.765
2693433,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,744.239.661.675.478
2693433,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,744.239.661.675.478
2693434,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,131.031.728.832.618
2693435,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,740.847.383.387.508
2693435,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,740.847.383.387.508
2693435,1,3,1,50,2,,,2,5,,,,,,,,,,,,,,5,63,740.847.383.387.508
2693490,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,124.024.298.862.495
2693490,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,124.024.298.862.495
2693491,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,108.863.001.146.587
2693492,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,125.456.565.546.067
2693492,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,63,125.456.565.546.067
2693493,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,523.867.723.724.479
2693493,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,523.867.723.724.479
2693493,1,3,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,63,523.867.723.724.479
2693493,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,5,63,523.867.723.724.479
2693494,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,124.024.298.862.495
2693494,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,124.024.298.862.495
2693495,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,551.508.382.133.159
2693495,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,63,551.508.382.133.159
2693495,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,551.508.382.133.159
2693498,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,105.457.583.299.025
2693498,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,105.457.583.299.025
2693498,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,105.457.583.299.025
2693499,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,836.238.331.745.513
2693499,1,2,1,50,2,,,2,4,,1,,,,,,,,,,,,5,63,836.238.331.745.513
2693500,1,1,1,50,2,,,1,6,VER TELEVISION, LEER Y VIAJAR,2,2,2,2,2,,,,,,,,5,63,108.863.001.146.587
2693501,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,12.823.447.672.044
2693501,1,2,1,50,2,,,2,4,,2,2,2,2,1,10,,,,,,,5,63,12.823.447.672.044
2693501,1,3,1,50,2,1,,3,2,,2,2,2,1,,,,,,,,1,5,63,12.823.447.672.044
2693501,1,4,1,50,2,,,4,3,,2,2,2,2,1,12,,,,,,,5,63,12.823.447.672.044
2693501,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,5,63,12.823.447.672.044
2693502,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,63,523.867.723.724.479
2693502,1,2,1,50,2,1,,2,4,,2,2,2,1,,,,,,,,1,5,63,523.867.723.724.479
2693502,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,63,523.867.723.724.479
2694450,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,107.087.070.691.102
2694450,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,107.087.070.691.102
2694450,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,107.087.070.691.102
2694450,1,4,1,50,2,,,4,1,,,,,,,,,,,,,,5,68,107.087.070.691.102
2694450,1,6,1,50,2,,,6,6,DESCANSAR,2,2,2,2,2,,,,,,,,5,68,107.087.070.691.102
2694461,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,596.578.996.202.895
2694461,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,68,596.578.996.202.895
2694472,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,967.207.784.758.879
2694472,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,68,967.207.784.758.879
2694472,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,967.207.784.758.879
2694483,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,733.807.228.398.027
2694483,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,68,733.807.228.398.027
2694484,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,108.176.538.678.868
2694484,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,108.176.538.678.868
2694484,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,108.176.538.678.868
2694484,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,68,108.176.538.678.868
2694485,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,953.512.712.653.634
2694485,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,953.512.712.653.634
2694485,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,68,953.512.712.653.634
2694486,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,596.578.996.202.895
2694486,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,68,596.578.996.202.895
2694487,1,1,1,50,2,,,1,4,,2,2,2,2,2,,,,,,,,5,68,148.259.156.499.044
2694487,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,68,148.259.156.499.044
2694487,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,148.259.156.499.044
2694494,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,136.069.214.015.679
2694494,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,136.069.214.015.679
2694494,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,136.069.214.015.679
2694494,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,68,136.069.214.015.679
2694505,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,90.523.117.283.985
2694516,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,101.273.398.176.614
2694516,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,101.273.398.176.614
2694526,1,1,1,50,2,,,1,6,CAMINANDO,2,2,2,2,2,,,,,,,,5,68,130.880.166.209.899
2694526,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,130.880.166.209.899
2694526,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,130.880.166.209.899
2694527,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,983.238.135.922.475
2694527,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,68,983.238.135.922.475
2694528,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,108.176.538.678.868
2694528,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,68,108.176.538.678.868
2694528,1,3,1,50,2,1,,3,4,,2,2,2,1,,,,,,,,1,5,68,108.176.538.678.868
2694528,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,68,108.176.538.678.868
2694529,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,133.762.068.521.294
2694529,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,68,133.762.068.521.294
2694529,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,68,133.762.068.521.294
2694530,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,84.836.483.042.783
2694530,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,68,84.836.483.042.783
2694530,1,3,1,50,2,1,,3,6,VER TELEVISION,2,2,2,1,,,,,,,,1,5,68,84.836.483.042.783
2694531,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,68,110.422.012.885.209
2694531,1,2,1,50,2,,,2,3,,2,2,1,,,,,,,,,,5,68,110.422.012.885.209
2697031,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,474.709.878.690.034
2697031,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,13,474.709.878.690.034
2697032,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,353.742.103.060.879
2697032,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,2,,2,,,5,13,353.742.103.060.879
2697033,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,39.901.012.107.376
2697033,1,2,1,50,2,,,2,4,,2,2,2,2,1,2,,2,,2,,,5,13,39.901.012.107.376
2697033,1,3,1,50,2,,,3,4,,2,2,2,2,1,9,,,,,,,5,13,39.901.012.107.376
2697033,1,4,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,13,39.901.012.107.376
2697034,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,338.260.535.852.283
2697034,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,13,338.260.535.852.283
2697042,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,358.230.374.388.778
2697042,1,2,1,50,2,,,2,4,,2,2,2,2,2,,,,,,,,5,13,358.230.374.388.778
2697042,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,13,358.230.374.388.778
2697042,1,5,1,50,2,,,5,1,,,,,,,,,,,,,,5,13,358.230.374.388.778
2697043,1,1,1,50,2,,,1,4,,2,2,2,2,2,,,,,,,,5,13,463.094.194.028.389
2697043,1,2,1,50,2,,,2,1,,,,,,,,,,,,,,5,13,463.094.194.028.389
2697043,1,3,1,50,2,,,3,1,,,,,,,,,,,,,,5,13,463.094.194.028.389
2697043,1,4,1,50,2,,,4,4,,2,2,2,2,2,,,,,,,,5,13,463.094.194.028.389
2697044,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,675.177.695.308.867
2697044,1,2,1,50,2,,,2,4,,2,2,1,,,,,,,,,,5,13,675.177.695.308.867
2697044,1,3,1,50,2,,,3,3,,2,2,2,2,2,,,,,,,,5,13,675.177.695.308.867
2697044,1,4,1,50,2,,,4,3,,2,2,2,2,2,,,,,,,,5,13,675.177.695.308.867
2697044,1,5,1,50,2,,,5,3,,2,2,1,,,,,,,,,,5,13,675.177.695.308.867
2697044,1,6,1,50,2,,,2,3,,2,2,2,2,2,,,,,,,,5,13,675.177.695.308.867
2697045,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,223.618.919.692.251
2697045,1,2,1,50,2,,,2,5,,,,,,,,,,,,,,5,13,223.618.919.692.251
2697046,1,1,1,50,2,,,1,1,,,,,,,,,,,,,,5,13,69.031.447.127.721
