Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3705281;1;2;1;70;54;4;48;1; ;2;4;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;39;45;52;1;1;5261;04;54;365,114137776759
3705283;1;2;1;70;54;4;40;1; ;2;4;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;380000;2;53;53;55;1;1;5529;04;54;457,534506681968
3705299;1;2;1;70;73;6;60;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;50;1;1;5020;04;73;179,726689391235
3705304;1;3;1;70;73;208;40;1; ;2;208;1; ;7;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;37;64;1;2;6412;04;73;359,938847901567
3705305;1;1;1;70;73;52;54;1; ;2;288;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;60;1;2;6021;04;73;208,616501741492
3705307;1;2;1;70;73;2;48;1; ;2;8;1; ;9;2; ; ;1; ; ; ; ; ; ; ; ;2; ;2;15;21;70;1;1;7020;04;73;244,505084521602
3705309;1;2;1;70;73;72;48;1; ;2;96;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;51;1;2;5190;04;73;297,523189133622
3705312;1;3;1;70;08;12;48;1; ;2;12;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;33;65;1;1;6599;04;08;579,232904229806
3705324;2;2;2;70;73;9;48;1; ;2;208;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;24;1;1;2424;04;73;252,142862708287
3705329;1;3;1;70;73;14;40;1; ;2;12;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;74;1;2;7411;04;73;245,242363596736
3705345;1;1;1;70;66;5;48;4; ;2;5;7; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;62;01;1;1;0122;04;66;153,208043694145
3705345;1;2;1;70;66;5;48;1; ;2;5;8; ;4;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;60;60;01;1;1;0122;04;66;153,208043694145
3705354;1;4;1;70;68;12;48;1; ;2;12;1; ;6;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;74;1;1;7499;04;68;422,047669086544
3705354;1;5;1;70;68;8;48;1; ;2;8;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;04;68;422,047669086544
3705366;1;1;1;70;68;12;48;1; ;2;12;1; ;3;9;EL SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;03;39;52;1;1;5219;04;68;488,603758249034
3705374;1;2;1;70;68;8;48;1; ;2;104;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;1;5211;04;68;508,937479477148
3705375;1;1;1;70;68;98;48;1; ;2;98;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;21;50;1;2;5020;04;68;353,387987380401
3705380;1;2;1;70;68;2;45;9;AYUDANTE DE TRABAJADOR POR CUENTA PROPIA;2;2;9;AYUDANTE DE TRABAJADOR POR CUENTA PROPIA.;1;1; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;80;80;19;1;1;1929;04;68;447,764600613549
3705387;2;1;2;70;68;4;48;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;33;33;92;1;1;9241;04;68;412,027894197463
3705388;1;2;1;70;68;3;60;1; ;2;4;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;36;1;1;3611;04;68;514,334195770334
3705390;1;2;1;70;68;4;60;1; ;2;2;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;97;51;1;1;5141;04;68;480,168326715334
3705390;1;3;1;70;68;3;48;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;45;52;1;1;5269;04;68;480,168326715334
3705390;1;4;1;70;68;1;24;4; ;2;52;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;19;1;1;1929;04;68;480,168326715334
3705391;1;1;1;70;68;2;50;1; ;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;1;700000;2;95;95;45;1;1;4522;04;68;554,383251396595
3705403;1;3;1;70;68;12;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;02; ; ;1;1; ;04;68;496,042833681918
3705488;1;2;1;70;17;12;48;1; ;2;192;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;19;80;1;1;8050;04;17;176,881177356689
3705492;1;3;1;70;17;3;48;1; ;2;3;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;1;1000000;2;33;33;65;1;1;6512;04;17;135,503311549629
3705497;1;3;1;70;17;24;48;1; ;2;32;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;32;75;1;2;7530;04;17;170,485289769684
