Directorio;Area;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s2;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s20;P5210s21;P5210s22;P5210s24;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Dpto;Orden;Fex_c_2011
323827;23;2;4;3;2;1;1;1;1;3;1; ; ;30000000;250000; ;1;1;2;1;1;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;1;2;3;1;01;23;1;139,438707030754
323829;23;2;5;4;2;1;1;1;1;3;1; ; ;24000000;200000; ;1;2;2;1;1;1;1;1;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;2;1;1;2;1;1;2;3;1;01;23;1;193,167114235767
323833;23;2;3;2;2;1;1;1;1;3;1; ; ;18000000;200000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;1;2;1;1;2;1;1;2;3;1;01;23;1;126,157434108436
323836;23;2;4;3;1;1;1;1;1;3;1; ; ;50000000;280000; ;1;1;1;2;1;1;2;2;1;2;1;1;1;1;2;1;1;2;2;2;2;1;1;1;4;1;1;1;1;1;3;3;1;01;23;1;177,576967131559
323838;23;2;3;1;2;1;1;1;1;3;3; ; ; ; ;250000;2;2;2;2;1;1;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;1;2;1;1;2;1;1;2;3;1;01;23;1;117,46626796075
323839;23;2;4;2;2;1;1;1;1;3;1; ; ;35000000;350000; ;1;1;2;2;1;1;1;1;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;4;1;1;2;1;1;2;3;1;01;23;1;136,881205930812
323842;23;2;4;3;2;1;1;1;1;3;1; ; ;20000000;200000; ;2;1;2;1;1;2;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;1;1;1;2;1;1;2;1;1;2;3;1;01;23;1;101,142830168297
323844;23;2;4;3;1;1;1;1;1;3;1; ; ;50000000;500000; ;1;1;2;1;1;1;1;1;2;2;1;2;1;2;2;2;1;2;1;1;2;1;1;1;4;1;1;1;1;1;2;3;1;01;23;1;112,695992082807
323846;23;2;4;3;1;1;1;1;1;3;1; ; ;20000000;250000; ;2;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;1;1;1;4;1;1;1;1;1;2;3;1;01;23;1;163,574374525827
323848;23;2;4;3;2;1;1;1;1;3;1; ; ;20000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;2;1;1;1;4;1;1;2;1;1;1;3;1;01;23;1;145,089362348726
