DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
926423,1,5,3,1,1,1,1,3,1,,,100000000,600000,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,839.315.245.924.488
926424,1,5,4,1,1,1,1,1,1,,,100000000,700000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,791.995.817.599.654
926426,1,5,1,1,1,1,1,3,1,,,60000000,400000,,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,72.034.030.903.603
926427,1,5,4,1,1,1,1,4,3,,,,,340000,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,103.210.449.176.426
926428,1,2,1,1,1,1,1,4,3,,,,,300000,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,821.301.061.218.004
926429,1,4,3,1,1,1,1,4,1,,,100000000,600000,,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,854.076.018.610.127
926430,1,5,4,1,1,1,1,4,1,,,120000000,600000,,1,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,87.494.691.880.678
926431,1,4,2,1,1,1,1,3,3,,,,,190000,1,1,2,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,1,1,3,2,1,1,5,1,5,1,963.644.976.706.962
926432,1,4,2,1,1,1,1,3,3,,,,,150000,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,3,2,1,1,5,1,5,1,827.498.473.671.703
926433,1,5,4,1,1,1,1,3,1,,,80000000,350000,,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,942.633.452.769.552
926434,1,5,1,1,1,1,1,4,4,,,,250000,,1,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,978.963.158.863.941
926435,1,2,1,1,1,1,1,1,3,,,,,70000,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,961.642.789.129.231
926435,2,2,1,1,1,1,1,1,3,,,,,70000,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,1,1,5,,5,1,961.642.789.129.231
926436,1,5,3,1,1,1,1,3,1,,,220000000,1200000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,197.472.990.829.092
926437,1,6,4,1,1,1,1,3,3,,,,,1250000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,1,4,1,1,1,1,1,6,2,1,1,5,1,5,1,940.628.148.193.527
926438,1,5,3,1,1,1,1,3,1,,,280000000,1500000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,6,7,1,1,5,1,5,1,200.419.042.694.752
926439,1,7,2,1,1,1,1,3,1,,,260000000,2000000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,2,1,4,1,1,1,1,1,6,3,1,1,5,1,5,1,220.473.665.398.887
926440,1,4,3,1,1,1,1,4,4,,,,400000,,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,2,2,2,1,2,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,905.870.041.647.667
926441,1,3,1,1,1,1,1,3,1,,,40000000,280000,,2,2,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,810.382.847.665.534
