DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,CLASE,P7510S7A1,P7510S7,DPTO,fex_c_2011
945732,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,225.599.430.831.924
945734,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,117.293.870.448.519
945734,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,117.293.870.448.519
945737,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,153.638.846.314.669
945737,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,153.638.846.314.669
945737,1,3,1,95,1,,2,2,90000,,,1,2,,,,,,,,,,,2,,,15,153.638.846.314.669
945738,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,207.435.789.057.228
945738,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,207.435.789.057.228
945738,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,207.435.789.057.228
945738,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,207.435.789.057.228
945740,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.638.827.062.897
945740,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.638.827.062.897
945740,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.638.827.062.897
945740,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.638.827.062.897
945740,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,187.638.827.062.897
945748,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,22.520.487.637.274
945748,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,22.520.487.637.274
945748,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,22.520.487.637.274
945748,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,22.520.487.637.274
945748,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,22.520.487.637.274
945751,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,184.536.457.142.589
945751,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,184.536.457.142.589
945751,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,184.536.457.142.589
945754,1,1,1,95,2,,,,,,,,1,2,2,,,,,50000,2,1,2,2,,2,15,169.590.111.104.265
945755,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,114.530.835.377.835
945755,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,114.530.835.377.835
945755,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,114.530.835.377.835
945755,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,114.530.835.377.835
945755,1,5,1,95,2,,,,,,,,1,2,2,,,,,500000,2,1,2,2,,2,15,114.530.835.377.835
945757,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945757,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945757,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945757,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945757,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945757,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,185.642.604.770.218
945760,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
945760,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
945761,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,248.775.819.093.609
945761,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,248.775.819.093.609
945761,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,248.775.819.093.609
945761,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,248.775.819.093.609
945761,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,248.775.819.093.609
945763,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,174.625.229.366.552
945763,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,174.625.229.366.552
945764,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,200.101.144.211.589
945764,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,200.101.144.211.589
945764,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,200.101.144.211.589
945766,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945766,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945767,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.969.735.345.498
945767,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.969.735.345.498
945770,1,1,1,95,2,,,,,,,,1,2,2,,,,,98,2,1,2,2,,2,15,174.625.229.366.552
945770,1,2,1,95,2,,,,,,,,1,1,2,,,,240000,,2,2,2,2,600000,1,15,174.625.229.366.552
945775,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945775,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945775,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945775,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945775,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945775,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.282.214.694.005
945778,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,104.106.108.486.134
945778,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,104.106.108.486.134
945778,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,104.106.108.486.134
945778,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,104.106.108.486.134
945778,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,104.106.108.486.134
945779,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,123.135.789.945.933
945779,1,2,1,95,1,,2,1,,50000,,2,2,,,,,,,,,,,2,,,15,123.135.789.945.933
945782,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945782,1,9,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,329.109.985.683.955
945785,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,138.592.583.615.651
945785,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,138.592.583.615.651
945785,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,138.592.583.615.651
945787,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,152.315.348.546.498
945787,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,152.315.348.546.498
945790,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,7,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945790,1,8,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,283.790.779.030.796
945793,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,169.590.111.104.265
945795,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,148.540.678.066.367
945795,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,148.540.678.066.367
945800,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,633.866.211.889
945800,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,633.866.211.889
945800,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,633.866.211.889
945811,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,112.753.076.943.976
945811,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,112.753.076.943.976
945811,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,112.753.076.943.976
945813,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,197.705.044.747.054
945813,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,197.705.044.747.054
945813,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,197.705.044.747.054
945815,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,170.478.990.321.194
945815,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,170.478.990.321.194
945818,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945818,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,183.647.577.925.659
945819,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,675.912.950.765.158
945819,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,675.912.950.765.158
945819,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,675.912.950.765.158
945821,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,127.119.062.344.582
945821,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,127.119.062.344.582
945821,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,127.119.062.344.582
945821,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,127.119.062.344.582
945824,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,117.293.870.448.519
945824,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,117.293.870.448.519
945825,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,163.914.779.635.623
945825,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,163.914.779.635.623
945828,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,247.886.939.876.679
945828,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,247.886.939.876.679
945828,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,247.886.939.876.679
945828,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,247.886.939.876.679
945830,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.812.997.831.983
945830,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.812.997.831.983
945830,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.812.997.831.983
945830,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,186.812.997.831.983
945839,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
945839,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,2,,,15,124.598.166.780.271
