Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3769668;1;2;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;239,366750653835
3769671;1;1;1;80;66;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;66;239,366750653835
3769671;1;2;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;239,366750653835
3769674;1;1;1;80;66;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;66;292,530017706421
3769712;1;1;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;144,151051908102
3769712;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;144,151051908102
3769712;1;3;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;144,151051908102
3769712;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;144,151051908102
3769713;1;6;1;80;17;1;2;7; ;2; ;2; ; ; ; ;8;2;1;07;17;244,277120006109
3769714;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;166,544722539187
3769716;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;196,707297588187
3769716;1;3;1;80;17;2; ; ; ;2; ;1;600000;2; ;.; ; ;1;07;17;196,707297588187
3769716;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;196,707297588187
3769717;1;2;1;80;17;1;4;3; ;2; ;2; ; ; ; ;9;2;1;07;17;170,665687161728
3769717;1;3;1;80;17;1;1;4; ;3; ;2; ; ; ; ;4;2;1;07;17;170,665687161728
3769717;1;4;1;80;17;1;2;2; ;2; ;2; ; ; ; ;2;2;1;07;17;170,665687161728
3769718;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;201,443612554908
3769721;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;178,335719993648
3769721;1;2;1;80;17;1;2;5; ;3; ;2; ; ; ; ;10;2;1;07;17;178,335719993648
3769726;1;2;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;153,567506378622
3769726;1;3;1;80;17;1;4;4; ;2; ;2; ; ; ; ;4;2;1;07;17;153,567506378622
3769726;1;4;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;153,567506378622
3769727;1;2;1;80;17;1;3;4; ;2; ;2; ; ; ; ;4;2;1;07;17;160,551658122073
3769728;1;1;1;80;17;1;4;5; ;3; ;2; ; ; ; ;10;2;1;07;17;180,192956303987
3769730;1;1;1;80;17;2; ; ; ;2; ;2; ;2; ;.; ; ;1;07;17;160,551658122073
3769735;1;2;1;80;17;1;1;8; ;2; ;2; ; ; ; ;8;2;1;07;17;178,983965651635
3769735;1;4;1;80;17;1;1;8; ;2; ;2; ; ; ; ;1;2;1;07;17;178,983965651635
3769740;1;1;1;80;76;1;2;8; ;3; ;2; ; ; ; ;8;2;1;07;76;763,276246048996
3769741;1;1;1;80;76;1;4;9;EL ESPOSO NO LA DEJABA TRABAJAR;2; ;2; ; ; ; ;9;2;1;07;76;824,06148009108
3769741;1;2;1;80;76;1;4;5; ;3; ;2; ; ; ; ;4;2;1;07;76;824,06148009108
