Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2904617;1;2;1;70;76;12;48;4; ;2;12;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;74;1;1;7493;03;76;1070,99271343195
2904618;1;2;1;70;76;12;48;4; ;2;9;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;15;1;1;1511;03;76;1088,50978554604
2904618;2;5;2;70;76;4;48;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;03;76;1088,50978554604
2904648;1;1;1;70;52;98;48;1; ;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;80000;2;45;93;45;1;2;4552;03;52;140,671574474757
2904653;1;2;1;70;52;52;40;3; ;2;14;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;03;52;205,804675913781
2904654;1;7;1;70;52;3;40;1; ;2;3;4; ;1;6; ; ; ; ; ; ; ; ; ;1; ;1;98;2;45;45;52;1;1;5262;03;52;84,0689620741468
2904656;3;2;3;70;52;17;30;1; ;2;17;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;03;52;201,870477426411
2904676;1;1;1;70;52;2;54;3; ;2;2;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;54;54;95;1;1;9500;03;52;116,977676692766
2904676;1;2;1;70;52;8;54;3; ;2;8;3; ;1;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;03;52;116,977676692766
2904687;1;1;1;70;50;12;40;1; ;2;8;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;52;1;1;5211;03;50;162,195173308069
2904690;1;2;1;70;50;8;44;1; ;2;9;1; ;9;7; ; ; ; ;1; ; ; ; ; ; ;2; ;2;97;97;52;1;1;5211;03;50;173,97944667121
2904700;1;1;1;70;50;8;48;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;93;45;1;1;4552;03;50;209,173314531677
