DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7490;P7490S1;P7454;P7456;P7458S1;P7458;P7452;CLASE;DPTO;fex_c_2011
560782;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2643,39298696307
560782;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2643,39298696307
560783;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;1920,0695419666
560785;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;3254,27080055745
560785;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3254,27080055745
560785;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3254,27080055745
560786;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2643,39298696307
560787;1;1;80;2; ; ; ;2; ;2; ;1;400000;2; ;.; ; ;2;25;1345,15083132452
560787;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1345,15083132452
560788;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2750,0414136316
560788;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2750,0414136316
560789;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3242,5766037126
560790;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2146,01893832969
560791;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2223,36372784258
560792;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3175,10940380027
560793;1;1;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2499,88736509329
560793;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2499,88736509329
560795;1;1;80;1;3;3; ;2; ;2; ;2; ; ; ; ;8;2;2;25;2667,65789307052
560795;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2667,65789307052
560796;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4351,33870562921
560796;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4351,33870562921
560797;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3074,80607573537
560800;1;2;80;1;4;2; ;3; ;2; ;2; ; ; ; ;9;2;2;25;2146,01893832969
560800;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2146,01893832969
560801;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2146,01893832969
560802;1;3;80;2; ; ; ;2; ;2; ;2; ;1;2; ;9; ;2;25;2123,57063946653
560803;1;2;80;1;1;3; ;2; ;2; ;1;100000; ; ; ;4;2;2;25;2601,71851304066
560803;1;3;80;1;1;8;EMBARAZO;2; ;2; ;1;300000; ; ;EMBARAZO;12;2;2;25;2601,71851304066
560803;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2601,71851304066
560803;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2601,71851304066
560803;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2601,71851304066
560807;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;2;25;2528,76259632352
560807;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2528,76259632352
560809;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2643,39298696307
560809;1;3;80;1;1;7; ;2; ;2; ;1;150000; ; ; ;5;2;2;25;2643,39298696307
560814;1;2;80;1;1;7; ;2; ;2; ;1;180000; ; ; ;1;2;2;25;1770,3976170779
560816;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2123,57063946653
560816;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2123,57063946653
560817;1;2;80;1;1;2; ;2; ;2; ;1;120000; ; ; ;9;2;2;25;3072,92921455886
560818;1;2;80;1;1;2; ;2; ;2; ;1;1680000; ; ; ;9;2;2;25;2221,5471205983
560819;1;2;80;1;2;7; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2147,83554557397
560820;1;2;80;1;1;5; ;2; ;2; ;1;30000; ; ; ;2;2;2;25;2121,75403222224
560820;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2121,75403222224
560821;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3342,8799317775
560821;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3342,8799317775
560823;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3127,88595914082
560824;1;2;80;1;1;7; ;2; ;1;24000;2; ; ; ; ;9;2;2;25;1694,86943480929
560825;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1360,73742279379
560825;1;3;80;1;1;6; ;2; ;2; ;1;30000; ; ; ;4;2;2;25;1360,73742279379
560825;1;4;80;1;1;7; ;2; ;2; ;1;20000; ; ; ;2;2;2;25;1360,73742279379
560827;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3176,86575711234
560835;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2147,83554557397
560836;1;2;80;2; ; ; ;2; ;2; ;2; ;1;1; ;9; ;2;25;3072,92921455886
560837;1;2;80;1;2;7; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2243,93516552924
560839;1;2;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;25;1345,15083132452
560840;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2720,79803040819
560840;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2720,79803040819
560842;1;2;80;1;4;2; ;2; ;2; ;2; ; ;4; ;9;1;2;25;2223,36372784258
560844;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1646,3396225944
560844;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1646,3396225944
560846;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;1247,49412630434
560846;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1247,49412630434
560846;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1247,49412630434
560847;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2975,24152078891
560848;1;4;80;2; ; ; ;2; ;2; ;2; ;1;1; ;9; ;2;25;2625,9834191481
560848;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2625,9834191481
560849;1;2;80;1;2;2; ;2; ;2; ;2; ; ;1; ;9;1;2;25;1619,34125254067
560853;1;1;80;1;2;3; ;2; ;2; ;2; ; ; ; ;4;2;2;25;2827,07830508354
560853;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2827,07830508354
560855;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2121,75403222224
560856;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2599,39166610753
560858;1;2;80;1;1;5; ;2; ;2; ;1;800000; ; ; ;9;2;2;25;3127,88595914082
560859;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4258,72820792742
560859;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4258,72820792742
560859;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4258,72820792742
560859;1;8;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;4258,72820792742
560859;1;10;80;1;2;1; ;2; ;2; ;2; ; ; ; ;9;2;2;25;4258,72820792742
560866;1;2;80;1;1;8;EMBARAZO;2; ;2; ;1;600000; ; ; ;9;2;2;25;2223,36372784258
560867;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1670,60452870184
560867;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1670,60452870184
560868;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2825,56959590021
560868;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;2825,56959590021
560869;1;2;80;2; ; ; ;2; ;2; ;2; ;1;2; ;1; ;2;25;1570,81144032579
560869;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1570,81144032579
560869;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;1570,81144032579
560872;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;25;2168,40698326062
560873;1;2;80;1;1;0; ;2; ;1;217000;1;217000; ; ; ;9;2;2;25;3072,92921455886
560874;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;25;3074,80607573537
560928;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;4486,63485647693
560928;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4486,63485647693
560929;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4263,80229460773
560929;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4263,80229460773
560943;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;2;13;3263,68403663074
560943;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3263,68403663074
560943;1;4;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;3263,68403663074
560944;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2810,54055863206
560944;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2810,54055863206
560945;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2747,13686047813
560945;1;5;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;2747,13686047813
560946;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3678,15539926984
560946;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3678,15539926984
560946;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3678,15539926984
560947;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3909,43896672652
560947;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3909,43896672652
560947;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3909,43896672652
560949;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3071,2856902513
560949;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3071,2856902513
560949;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3071,2856902513
560949;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3071,2856902513
560950;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3738,10968303255
560962;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;6014,26029423191
560962;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;6014,26029423191
560962;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;6014,26029423191
560962;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;6014,26029423191
560974;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3090,68159263323
560974;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3090,68159263323
560975;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;3578,53208044489
560977;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4709,46741834613
560977;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4709,46741834613
560978;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2267,86154725819
560978;1;10;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2267,86154725819
560979;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3029,05361604417
560979;1;4;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;3029,05361604417
560980;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4230,09167197461
560980;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;4230,09167197461
560980;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4230,09167197461
560981;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2971,66237142635
560981;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;2971,66237142635
561006;1;2;80;2; ; ; ;2; ;2; ;2; ;1;4; ;9; ;2;13;4097,58164297133
561006;1;4;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;4097,58164297133
561007;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3453,64914457429
561008;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;3122,74757190814
561011;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;13;3079,7313822233
561011;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3079,7313822233
561011;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3079,7313822233
561011;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3079,7313822233
561012;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4428,63195450987
561020;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;4110,07606358788
561020;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;4110,07606358788
561022;1;2;80;2; ; ; ;2; ;2; ;2; ;1;2; ;9; ;2;13;3211,39163085503
561022;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3211,39163085503
561023;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;3408,96457567859
561023;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;13;3408,96457567859
561024;1;2;80;1;3;2; ;2; ;2; ;2; ; ; ; ;9;2;2;13;2908,49018463066
561106;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2501,27694914329
561106;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2501,27694914329
561109;1;2;80;2; ; ; ;2; ;2; ;2; ;1;4; ;9; ;2;15;1085,04616205885
561109;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1085,04616205885
561110;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2757,98704226693
561113;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1234,2397330702
561114;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1511,20112991969
561115;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;15;1700,54129204493
561117;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;2;15;1573,94872404849
561118;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;15;2205,75354083056
561120;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;15;1328,90031661624
561120;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1328,90031661624
561120;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1328,90031661624
561120;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1328,90031661624
561121;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;15;1563,81470368616
561123;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;15;1378,41871735638
561124;1;1;80;1;4;2; ;2; ;2; ;2; ; ; ; ;8;2;2;15;1814,666718013
561125;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1900,44320125713
561125;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1900,44320125713
561126;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;15;1870,70787428842
561126;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1870,70787428842
561127;1;1;80;1;1;3; ;2; ;2; ;1;2602200; ; ; ;4;2;2;15;1136,42399389812
561127;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1136,42399389812
561128;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;15;2380,93486917501
561128;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2380,93486917501
561162;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;4;2;2;15;1798,16058443295
561162;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1798,16058443295
561163;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1423,67487032745
561164;1;2;80;1;2;2; ;2; ;2; ;2; ; ; ; ;9;2;2;15;1152,93012747816
561165;1;3;80;2; ; ; ;2; ;1;20000;1;50000;2; ;.; ; ;2;15;2600,17297102506
561169;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1478,1888627596
561169;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1478,1888627596
561171;1;2;80;2; ; ; ;2; ;2; ;2; ;1;2; ;2; ;2;15;2194,06619090418
561173;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1408,4044786746
561174;1;2;80;1;2;2; ;2; ;2; ;2; ; ;2; ;9;1;2;15;1461,05904000763
561175;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2145,8245196578
561176;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;848,604342333992
561178;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1426,81103092033
561179;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;2091,62811486249
561180;1;1;80;1;4;3; ;2; ;2; ;2; ; ; ; ;8;2;2;15;1306,12186185043
561181;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;4;2;2;15;1814,666718013
561182;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1644,96885006069
561182;1;5;80;1;2;3; ;2; ;2; ;2; ; ; ; ;8;2;2;15;1644,96885006069
561183;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1374,15646958731
561183;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;15;1374,15646958731
561184;1;2;80;1;1;2; ;2; ;2; ;1;600000; ; ; ;9;2;2;15;1871,94361621563
561665;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;928,707940700889
561666;1;1;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;852,475124599665
561667;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;2188,16001250235
561667;1;5;80;1;1;7; ;2; ;1;125000;1;400000; ; ; ;6;2;2;19;2188,16001250235
561667;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;2188,16001250235
561667;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;2188,16001250235
561667;1;8;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;2188,16001250235
561668;1;3;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1377,45491710046
561668;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1377,45491710046
561668;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1377,45491710046
561668;1;7;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1377,45491710046
561669;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;875,517331048214
561670;1;3;80;1;1;8;INGRESOS BAJOS;2; ;2; ;1;900000; ;1; ;5;1;2;19;855,174641022094
561672;1;1;80;1;3;3; ;2; ;2; ;2; ; ; ; ;4;2;2;19;1093,96860273479
561672;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1093,96860273479
561673;1;2;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1352,02865565172
561678;1;1;80;1;4;8;TRABAJADOR INDEPENDIENTE;2; ;2; ;2; ; ; ; ;4;2;2;19;1325,8956957307
561678;1;2;80;1;4;2; ;2; ;2; ;2; ; ; ; ;9;2;2;19;1325,8956957307
561678;1;5;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;1325,8956957307
561679;1;4;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;694,149731299222
561679;1;6;80;2; ; ; ;2; ;2; ;2; ;2; ;.; ; ;2;19;694,149731299222
