Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011
3691834;1;2;1;90;1;1;2;1;2;2;2;2;2;2;4;30; ;15; ; ; ; ; ; ;2;03;68;2107,99097725098
3691835;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;7; ; ; ; ; ; ;2;03;68;3343,08385671834
3691835;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;30; ;15; ; ; ; ; ; ;2;03;68;3343,08385671834
3691836;1;1;1;90;1;1;2;2;2;2;2;2;2;2;4;20; ; ; ; ; ; ; ; ;2;03;68;2207,4163100362
3691837;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;2;03;68;1991,45619133956
3691837;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1991,45619133956
3691838;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;4; ; ; ; ; ; ;2;03;68;2990,74540962938
3691838;1;2;1;90;1;1;2;1;2;2;2;2;2;2;20;25; ;10; ; ; ; ; ; ;2;03;68;2990,74540962938
3691838;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;2;03;68;2990,74540962938
3691838;1;4;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;68;2990,74540962938
3691838;1;5;1;90;2;1;2;2;2;2;2;2;2;2; ;6; ; ; ; ; ; ; ; ;2;03;68;2990,74540962938
3691838;1;6;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;2;03;68;2990,74540962938
3691839;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;7; ; ; ; ; ; ;2;03;68;1722,07205106916
3691839;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;18; ;7; ; ; ; ; ; ;2;03;68;1722,07205106916
3691839;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;2;03;68;1722,07205106916
3691839;1;4;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;2;03;68;1722,07205106916
3691839;1;5;1;90;1;2;2;1;2;2;2;2;2;2;20; ; ;21; ; ; ; ; ; ;2;03;68;1722,07205106916
3691839;1;6;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;9; ; ; ; ; ; ;2;03;68;1722,07205106916
3691850;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;7; ;14; ; ; ; ; ; ;2;03;68;1276,64166229646
3691850;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;24; ;24; ; ; ; ; ; ;2;03;68;1276,64166229646
3691854;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;7; ; ; ; ; ; ;2;03;68;3017,27598359654
3691854;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;5; ; ; ; ; ; ;2;03;68;3017,27598359654
3691854;1;5;1;90;1;1;2;1;2;2;2;2;2;2;7;28; ;14; ; ; ; ; ; ;2;03;68;3017,27598359654
3691855;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;2;03;68;2237,92151392217
3691856;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691856;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691856;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;2;03;68;1919,65116600277
3691857;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;2;03;68;1504,29775373009
3691857;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;2;03;68;1504,29775373009
