Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3682863;1;5;1;80;50;1;2;2; ;2; ;2; ; ; ; ;9;2;1;03;50;186,618319856323
3682864;1;3;1;80;50;1;3;2; ;2; ;2; ; ; ; ;2;2;1;03;50;182,663248843146
3682864;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;182,663248843146
3682865;1;1;1;80;50;1;1;4; ;3; ;2; ; ; ; ;8;2;1;03;50;234,139048965406
3682865;1;2;1;80;50;1;4;4; ;3; ;2; ; ; ; ;8;2;1;03;50;234,139048965406
3682865;1;3;1;80;50;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;50;234,139048965406
3682865;1;4;1;80;50;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;50;234,139048965406
3682867;1;1;1;80;50;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;50;190,607903260663
3682867;1;2;1;80;50;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;50;190,607903260663
3682870;1;2;1;80;50;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;50;208,431142785764
3682870;1;3;1;80;50;1;1;6; ;2; ;2; ; ; ; ;9;2;1;03;50;208,431142785764
3682870;1;5;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;208,431142785764
3682871;1;2;1;80;50;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;50;213,358109340632
3682872;1;2;1;80;50;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;50;152,959767899624
3682872;1;3;1;80;50;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;50;152,959767899624
3682872;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;152,959767899624
3682873;1;1;1;80;50;1;4;5; ;3; ;2; ; ; ; ;8;2;1;03;50;165,106289682379
3682873;1;2;1;80;50;1;1;4; ;2; ;2; ; ; ; ;4;2;1;03;50;165,106289682379
3682873;1;3;1;80;50;1;2;9;POR EMBARAZO;2; ;2; ; ; ; ;9;2;1;03;50;165,106289682379
3682873;1;4;1;80;50;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;50;165,106289682379
3682894;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;03;76;944,519847992616
3682894;1;2;1;80;76;1;4;9;ESTABA CANSADA DE TRABAJAR;2; ;2; ; ; ; ;11;2;1;03;76;944,519847992616
3682897;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;11;2;1;03;76;1411,30088880178
3682898;1;1;1;80;76;1;3;5; ;3; ;2; ; ; ; ;10;2;1;03;76;863,578155968269
3682900;1;1;1;80;76;1;3;3; ;2; ;2; ; ; ; ;9;2;1;03;76;1209,91960834441
3682901;1;1;1;80;76;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;76;1006,55421413795
3682903;1;1;1;80;76;1;4;5; ;3; ;2; ; ; ; ;10;2;1;03;76;944,519847992616
3682903;1;2;1;80;76;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;76;944,519847992616
3682904;1;1;1;80;76;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;76;812,553139720508
