Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7454;P7456;P7458s1;P7458;P7452;Ini;Mes;Dpto;Fex_c_2011
3693129;1;1;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;2367,28925963679
3693129;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2367,28925963679
3693130;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;2173,77585368304
3693130;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2173,77585368304
3693168;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;3558,283921126
3693169;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;1737,03574878799
3693173;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;20;1662,16314085734
3693174;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1556,81434146192
3693174;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1556,81434146192
3693176;1;1;1;80;2;2; ; ; ;2; ;2; ;1;1; ;9; ;1;03;20;1223,6618818518
3693177;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;2306,14657325689
3693177;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2306,14657325689
3693177;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2306,14657325689
3693178;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;1446,06010017504
3693178;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1446,06010017504
3693179;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;20;3307,05296504716
3693179;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;3307,05296504716
3693179;1;5;1;80;2;2; ; ; ;2; ;2; ;1;4; ;9; ;1;03;20;3307,05296504716
3693181;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;1366,08905512102
3693182;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1911,22661112422
3693182;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;1911,22661112422
3693207;1;1;1;80;2;1;4;4; ;2; ;2; ; ; ; ;1;2;1;03;20;1476,08029647165
3693207;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;20;1476,08029647165
3693208;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;1;2;1;03;20;1519,66992128034
3693211;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;1298,94082148392
3693213;1;1;1;80;2;1;2;6; ;2; ;2; ; ; ; ;1;2;1;03;20;3846,23718634736
3693213;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;3846,23718634736
3693213;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;3846,23718634736
3693213;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;3846,23718634736
3693213;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;3846,23718634736
3693213;1;8;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;20;3846,23718634736
3693216;1;3;1;80;2;1;1;2; ;2; ;2; ; ; ; ;2;2;1;03;20;2660,55884291919
3693216;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2660,55884291919
3693217;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2517,56970901661
3693217;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2517,56970901661
3693218;1;2;1;80;2;1;2;3; ;2; ;2; ; ; ; ;9;2;1;03;20;891,676718609152
3693249;1;3;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;961,559296586839
3693250;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2005,04009670497
3693250;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2005,04009670497
3693250;1;5;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2005,04009670497
3693252;1;2;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2318,03855530634
3693254;1;2;1;80;2;1;4;4; ;2; ;2; ; ; ; ;4;2;1;03;20;961,559296586839
3693254;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;961,559296586839
3693255;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;961,559296586839
3693255;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;961,559296586839
3693256;1;2;1;80;2;1;1;3; ;2; ;2; ; ; ; ;9;2;1;03;20;2637,05476166425
3693257;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;2965,79546425966
3693257;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2965,79546425966
3693257;1;4;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2965,79546425966
3693258;1;2;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;03;20;2715,45842627205
3693258;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2715,45842627205
3693258;1;6;1;80;2;2; ; ; ; ; ;2; ;2; ;.; ; ;1;03;20;2715,45842627205
3693259;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;03;20;925,315430429226
3693260;1;2;1;80;2;1;2;8; ;2; ;2; ; ; ; ;9;2;1;03;20;1500,36988728373
3693261;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;891,676718609152
3693263;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;03;20;2870,07148076654
