DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5431964;2;2;2;70;2;12;48;1; ;2;57;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;52;95;97;1;1;04;5210;76;3273,32280475963
5432005;1;2;1;70;2;12;48;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;120000;908500;2; ;56;61;53;1;1;04;5611;05;4876,63897583387
5432086;1;3;1;70;2;5;42;1; ;2;45;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;47;39;45;1;1;04;4771;18;206,474095643751
5432095;1;4;1;70;2;4;48;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;47;05;45;1;1;04;4711;18;161,149155945502
5432096;1;3;1;70;2;2;42;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;700000;600000;2; ;01;61;61;1;1;04;0161;18;161,149155945502
5432101;1;3;1;70;2;6;42;3; ;2;7;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;81;54;54;1;1;04;8121;18;161,149155945502
5432109;1;1;1;70;2;4;42;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;300000;2; ;01;61;61;1;1;04;0141;18;307,088577905045
5432111;1;4;1;70;2;6;45;4; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;01;61;61;1;1;04;0161;18;161,149155945502
5432129;1;3;1;70;2;8;40;4; ;2;7;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;01;61;61;1;1;04;0161;18;364,568461398879
5432137;1;3;1;70;2;20;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;97;54;54;1;2;04;9700;18;161,149155945502
5432474;1;2;1;70;2;4;48;1; ;2;4;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;908000;908000;2; ;56;53;53;1;1;04;5611;50;3493,61799589947
5432522;1;1;1;70;2;4;50;8; ;2;4;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;01;62;62;1;1;04;0141;50;1618,20768333986
5432535;1;3;1;70;2;52;48;8; ;2;52;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;93;62;58;1;2;04;9329;50;3007,87799049441
5432535;1;6;1;70;2;52;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;56;53;53;1;2;04;5611;50;3007,87799049441
5432556;1;2;1;70;2;4;48;1; ;2;60;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;88;39;54;1;1;04;8890;54;797,992466042952
5432938;1;2;1;70;2;9;24;3; ;2;208;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;100000;2; ;97;54;54;1;1;04;9700;19;6701,33632389407
5432963;1;2;1;70;2;12;48;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;40000;200000;2; ;14;53;79;1;1;04;1410;19;668,007029656045
5432967;1;1;1;70;2;52;24;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;1;75000;500000;2; ;56;53;53;1;2;04;5611;19;1718,1671724536
5432978;1;4;1;70;2;5;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;62;62;1;1;04;0161;19;2045,42830883033
5432979;1;2;1;70;2;12;40;1; ;2;12;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;08;53;71;1;1;04;0811;19;668,007029656045
5433004;1;3;1;70;2;52;40;1; ;2;208;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;68;58;58;1;2;04;6820;19;668,007029656045
5433005;1;2;1;70;2;250;40;1; ;2;250;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;81;53;55;1;2;04;8121;19;668,007029656045
5433006;1;1;1;70;2;104;56;4; ;2;104;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1200000;2; ;42;95;03;1;2;04;4210;19;848,063971789291
5433051;1;2;1;70;2;16;40;3; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;300000; ; ; ;54; ;1;2;04;.;19;1552,78964014001
5433051;1;3;1;70;2;30;40;1; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;200000;2; ;97;53;54;1;2;04;9700;19;1552,78964014001
5433062;1;2;1;70;2;52;48;4; ;2;52;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;51;54;1;2;04;9700;19;668,007029656045
5433064;1;2;1;70;2;52;24;1; ;2;60;1; ;2;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;300000;2; ;15;54;80;1;2;04;1522;19;1560,77081225246
5433068;1;1;1;70;2;52;40;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906500;2; ;85;55;55;1;2;04;8521;19;668,007029656045
5433110;1;4;1;70;2;2;48;8; ;2;32;8; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;1;40000;200000;2; ;01;62;62;1;1;04;0123;76;3273,32280475963
5433154;1;2;1;70;2;24;40;1; ;2;24;1; ;8;2;6; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;01;60;60;1;2;04;0124;19;7277,39048221217
5433155;1;3;1;70;2;52;44;1; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;86;19;19;1;2;04;8692;19;3640,77918291199
