Directorio;Secuencia_p;Orden;Regis;P7480;P7480s1;P7480s2;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s12;P7480s1a1;P7480s2a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;P7480s12a1;Clase;Dpto;Fex_c_2011
186583;2;4;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186583;2;5;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ; ; ;2;50;808,283843293235
186584;2;1;90; ;1;2;1;2;1;2;2;2;2;2;2;2;4; ;28; ;56; ; ; ; ; ; ; ;2;50;774,234541299397
186584;2;2;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;774,234541299397
186584;2;3;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;15; ;25; ; ; ; ; ; ; ;2;50;774,234541299397
186585;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;1; ; ; ; ; ; ; ; ; ;2;50;609,037296701308
186585;2;2;90; ;1;2;1;2;1;2;2;2;2;2;2;2;3; ;70; ;25; ; ; ; ; ; ; ;2;50;609,037296701308
186585;2;3;90; ;1;2;1;2;1;2;2;2;2;2;2;2;4; ;7; ;28; ; ; ; ; ; ; ;2;50;609,037296701308
186585;2;4;90; ;1;2;1;2;2;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ; ;2;50;609,037296701308
186586;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;595,239203457676
186586;2;2;90; ;1;1;2;2;1;2;2;2;2;2;2;2;36;20; ; ;40; ; ; ; ; ; ; ;2;50;595,239203457676
186587;2;1;90; ;1;1;2;2;2;2;2;2;2;2;2;2;7;12; ; ; ; ; ; ; ; ; ; ;2;50;931,778438944284
186587;2;2;90; ;1;2;1;2;2;2;2;2;2;2;2;2;7; ;50; ; ; ; ; ; ; ; ; ;2;50;931,778438944284
186588;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;643,280732880753
186588;2;2;90; ;1;1;1;2;1;2;2;2;2;2;2;2;14;7;21; ;35; ; ; ; ; ; ; ;2;50;643,280732880753
186588;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;2;50;643,280732880753
186589;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186589;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186589;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186589;2;4;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186589;2;5;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;30; ; ; ; ; ; ; ; ; ;2;50;731,840076207852
186590;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;20; ; ; ; ; ; ; ; ; ;2;50;764,102273091836
186590;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ; ;2;50;764,102273091836
186590;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;2; ; ; ; ; ; ; ; ; ;2;50;764,102273091836
186591;2;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;21; ; ; ; ; ; ; ; ; ;2;50;460,147588532327
186591;3;1;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;28; ; ; ; ; ; ; ; ; ;2;50;460,147588532327
186592;2;1;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;10; ;20; ; ; ; ; ; ; ;2;50;643,280732880753
186592;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;36; ;70; ; ; ; ; ; ; ;2;50;643,280732880753
186592;2;3;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;7; ;20; ; ; ; ; ; ; ;2;50;643,280732880753
186593;2;1;90; ;1;1;2;2;2;2;2;2;2;2;2;2;7;14; ; ; ; ; ; ; ; ; ; ;2;50;782,431200433008
186593;2;2;90; ;1;2;1;2;2;2;2;2;2;2;2;2;14; ;56; ; ; ; ; ; ; ; ; ;2;50;782,431200433008
186593;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;782,431200433008
186593;2;4;90; ;1;1;1;2;2;2;2;2;2;2;2;2;7;7;7; ; ; ; ; ; ; ; ; ;2;50;782,431200433008
186594;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;1112,06874480199
186594;2;2;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;40; ; ; ; ; ; ; ; ; ;2;50;1112,06874480199
186594;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;40; ; ; ; ; ; ; ; ; ;2;50;1112,06874480199
186595;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;466,223072851676
186595;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;63; ;12; ; ; ; ; ; ; ;2;50;466,223072851676
186596;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;772,296863486753
186596;2;2;90; ;2;2;1;2;1;2;2;2;2;2;2;2; ; ;21; ;15; ; ; ; ; ; ; ;2;50;772,296863486753
186596;2;3;90; ;2;2;1;2;2;2;2;2;2;2;2;2; ; ;7; ; ; ; ; ; ; ; ; ;2;50;772,296863486753
186597;2;1;90; ;2;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
186597;2;2;90; ;2;2;1;2;2;1;2;2;2;2;2;2; ; ;28; ; ;12; ; ; ; ; ; ;2;50;368,585741437763
186597;2;3;90; ;1;2;1;2;2;2;2;2;2;2;2;2;6; ;10; ; ; ; ; ; ; ; ; ;2;50;368,585741437763
