Directorio;Secuencia_p;Orden;Regis;P7250;P7260;P7280;P7280s1;P7290;P7300;P7310;P7320;P7350;P7350s1;P7360;P7370;P7380;P7380s1;P7390;P7390s1;P7400;P7410;P7410s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P7424;P7424s1;Clase;Oficio1;Oficio2;Rama4d_d;Rama2d_d;Dpto;Area;Fex_c_2011
176937;2;1;70;24;70;1; ;1;1;2;24;1; ;6;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;700000;1;95;95;4521;45;05;05;778,618177145411
176939;2;2;70;36;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;05;05;683,522894438688
176942;2;2;70;4;56;1; ;1;1;2;4;1; ;3;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;300000;1;3500000;1;79;78;1810;18;05;05;952,618574127667
176943;2;1;70;4;48;3; ;1;1;2;52;3; ;1;2;4; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;05;05;869,580737216259
176943;2;2;70;8;48;1; ;2;2;2;8;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;600000;1;32;45;1541;15;05;05;869,580737216259
176944;2;4;70;2;48;1; ;2;2;2;2;1; ;7;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;240000;1;5200000;1;95;95;4522;45;05;05;841,635510991788
176959;2;1;70;6;48;4; ;1;1;2;10;4; ;1;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;1;43;43;5012;50;05;05;973,547882858152
176970;2;2;70;32;60;1; ;2;2;2;40;1; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;03;34;0000;00;05;05;950,595677528183
176976;2;3;70;78;24;1; ;2;2;2;78;3; ;1;2;11; ;1; ;2;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;79;54;9500;95;05;05;818,457428198039
176977;2;1;70;24;48;1; ;1;1;2;24;1; ;2;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;9000000;1;81;95;3619;36;05;05;942,099595384166
176983;2;1;70;24;45;2; ;2;2;2;26;2; ;8;1; ;.;9;PAGA LA EPS;1; ;.; ; ; ; ; ; ; ;1; ;SIN INFORMACION;2; ;1;98;1;19;20;9900;99;05;05;2131,71876608154
176999;2;1;70;156;48;1; ;1;1;2;520;1; ;4;2;2; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;12;45;5269;52;08;08;916,88327275211
177004;2;3;70;17;48;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;39; ; ; ;08;08;503,947959800696
177008;2;3;70;5;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;13; ; ; ;08;08;509,628201719639
177015;2;3;70;12;48;1; ;2;2;2;12;1; ;3;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;4800000;1;37;33;6512;65;08;08;389,481406248775
177027;2;2;70;48;48;4; ;1;1;2;8;4; ;1;2;2; ;2; ;2;9; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;1;41;41;5233;52;08;08;532,303604760068
177028;2;2;70;104;48;1; ;1;1;2;104;1; ;7;1; ;.;3; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;05;40;5233;52;08;08;485,055312636314
177037;2;2;70;16;48;1; ;1;1;2;12;1; ;4;1; ;.;4; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;11;11;5235;52;08;08;485,055312636314
177037;2;3;70;52;24;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;34; ; ; ;08;08;485,055312636314
177039;2;4;70;4;48;1; ;1;1;2;4;1; ;4;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;408000;1;4896000;1;95;95;4521;45;08;08;536,916924279796
177039;2;6;70;4;56;1; ;1;1;2;4;1; ;4;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1256000;1;95;95;4521;45;08;08;536,916924279796
177039;2;11;70;52;30;3; ;1;1;2;52;3; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;54;9500;95;08;08;536,916924279796
177040;2;12;70;4;56;4; ;1;1;2;4;4; ;1;2;9; ;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2400000;1;41;98;6022;60;08;08;563,684849543682
177046;2;1;70;156;48;1; ;1;1;2;260;4; ;1;2;12;SE LO DESCONTABAN DE LA PENSION;1; ;2;10; ; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;98;98;6031;60;08;08;455,91729098343
177047;2;3;70;156;48;1; ;1;1;2;208;2; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;58;58;8512;85;08;08;342,196103336923
177050;2;5;70;1;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;08;08;721,982471678628
177061;2;2;70;4;48;1; ;1;1;2;4;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;900000;1;45;45;5529;55;08;08;436,209305545247
177062;2;2;70;8;48;1; ;1;1;2;8;3; ;2;2;12;PORQUE SU TRABAJO ERA FUERA DEL PAIS;5; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;15000000;1;40;54;9500;95;08;08;405,33572220147
177062;2;4;70;52;48;1; ;2;2;2;52;1; ;7;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;45;5241;52;08;08;405,33572220147
177062;2;5;70;2;48;1; ;1;1;2;208;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;45;45;5239;52;08;08;405,33572220147
177062;3;1;70;104;48;1; ;1;1;2;104;1; ;9;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;39;30;7492;74;08;08;405,33572220147
177063;2;3;70;2;48;1; ;1;1;2;5;1; ;3;2;5; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;53;5529;55;08;08;426,315428113801
177070;2;2;70;4;40;4; ;1;1;2;4;4; ;1;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;99;1;99;1;41;41;5219;52;08;08;518,668122482164
177075;2;1;70;55;48;1; ;1;1;2;5;1; ;7;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;32;32;6593;65;08;08;365,045412633717
177076;2;4;70;4;48;1; ;2;2;2;4;1; ;5;2;4; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;1;13;13;8043;80;08;08;522,937922759893
177085;2;3;70;3;48;1; ;2;2;2;3;1; ;2;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;200000;1;45;45;5231;52;08;08;789,392257499944
177090;3;1;70;8;48;1; ;1;1;2;8;4; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;55;93;5020;50;08;08;1408,29707147237
177094;2;4;70;64;48;1; ;1;1;2;64;1; ;8;2;5; ;5; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;95;4530;45;13;13;262,848590869439
177095;2;2;70;12;48;4; ;2;2;2;20;4; ;1;2;2; ;4; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;54;9500;95;13;13;511,949063685229
177095;3;2;70;8;48;1; ;2;1;2;8;4; ;1;2;2; ;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;13;13;511,949063685229
177113;2;2;70;26;48;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;13;13;206,954114986095
177119;2;2;70;36;48;1; ;1;1;2;156;1; ;9;1; ;.;3; ;1; ;.; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;97;97;0501;05;13;13;238,378702880152
177122;2;3;70;52;48;3; ;1;1;2;52;3; ;1;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;13;13;482,878950696802
177134;2;2;70;8;40;4; ;1;1;2;8;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;1;93;93;4552;45;13;13;248,468584035806
177139;2;3;70;26;40;1; ;2;2;2;156;1; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;45;5233;52;13;13;238,039640645752
177140;2;3;70;2;40;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;13;13;246,485244350409
177142;2;2;70;104;30;1; ;2;2;2;104;1; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;97;1512;15;13;13;262,606816468826
177142;2;3;70;52;30;1; ;2;2;2;156;1; ;9;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;6512;65;13;13;262,606816468826
177143;2;2;70;52;40;1; ;1;1;2;28;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;1;53;45;5234;52;13;13;202,43303892858
177146;2;6;70;84;48;1; ;2;2;2;84;1; ;4;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;32;44;6512;65;13;13;282,400098643152
177149;2;3;70;4;48;1; ;1;1;2;3;1; ;9;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;420000;1;1680000;1;19;44;8512;85;13;13;303,11831939152
177154;2;3;70;8;48;1; ;1;1;2;8;1; ;4;2;5; ;1; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;1;400000;1;45;45;5234;52;13;13;206,674458465153
177154;3;2;70;52;48;1; ;2;2;2;260;1; ;2;1; ;.;1; ;2;4; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;32;39;7421;74;13;13;206,674458465153
177159;2;2;70;52;24;1; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;32; ; ; ;13;13;239,448147182129
177164;2;2;70;52;48;1; ;2;2;2;12;2; ;8;2;4; ;4; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;07;07;8511;85;13;13;223,068633804122
177165;3;2;70;52;48;1; ;1;1;2;60;3; ;1;2;7; ;4; ;2;2; ; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;53;54;9500;95;13;13;316,266413874591
177169;2;1;70;36;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;84; ; ; ;13;13;267,436145101914
177172;2;3;70;105;40;1; ;1;1;2;8;1; ;9;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;940000;1;97;97;9212;92;13;13;292,689376001465
177173;2;4;70;12;40;1; ;2;2;2;12;1; ;2;2;5; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;120000;1;32;45;5529;55;13;13;218,008202841153
177193;2;1;70;17;48;1; ;1;1;2;17;2; ;8;2;9; ;5; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;5100000;1;21;21;9241;92;13;13;227,610697255697
177199;2;3;70;52;24;1; ;1;1;2;52;1; ;6;1; ;.;1; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;2; ;1;45;33;5211;52;13;13;244,004872594665
177200;2;1;70;28;48;4; ;1;1;2;28;4; ;1;2;7; ;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;1;40000;2; ;1;53;53;5529;55;13;13;267,436145101914
177209;2;2;70;48;50;1; ;1;1;2;344;1; ;2;2;4; ;2; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;77;1521;15;13;13;267,436145101914
177213;2;2;70;16;42;1; ;1;1;2;16;7; ;1;2;2; ;2; ;2;11;NO LO HA CONSIDERADO; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;54;9500;95;15;15;93,3250500603441
177215;2;3;70;9;56;1; ;1;1;2;12;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;53;5521;55;15;15;93,0521197418298
177224;2;2;70;48;36;1; ;2;1;2;48;1; ;1;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5211;52;15;15;77,2743683467563
177228;2;2;70;96;60;1; ;2;2;2;96;4; ;1;2;12;NO LE INTERESA AFILIARSE;6; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;97;97;6310;63;15;15;82,8374851942358
177232;2;2;70;20;24;4; ;1;1;2;20;3; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;250000;1;54;54;9500;95;15;15;39,7591110765662
177240;2;2;70;8;16;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;45; ; ; ;15;15;45,783750965245
177241;2;3;70;36;48;1; ;2;1;2;36;1; ;2;1; ;.;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;44;6421;64;15;15;111,089027908391
177244;2;5;70;8;48;1; ;1;1;2;240;1; ;4;2;2; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;45;45;5233;52;15;15;75,0009617201055
177247;2;5;70;10;48;1; ;1;1;2;10;1; ;3;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;1;45;45;5241;52;15;15;49,679982060347
177248;2;2;70;2;30;1; ;1;1;2;104;1; ;4;2;4; ;3; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;53;5521;55;15;15;42,2386544632599
177250;2;2;70;60;40;1; ;1;1;2;60;2; ;9;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;8012;80;15;15;44,6028466466686
177254;2;4;70;52;40;1; ;1;1;2;52;1; ;1;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;95;95;4530;45;15;15;90,6026843009065
177255;2;5;70;18;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;02; ; ; ;15;15;70,4299949628475
177257;2;2;70;52;40;1; ;1;1;2;48;1; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;53;53;5521;55;15;15;65,5756297106312
177257;3;2;70;52;40;1; ;1;1;2;52;4; ;1;2;2; ;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;54;9500;95;15;15;65,5756297106312
177258;2;1;70;24;48;1; ;1;1;2;24;1; ;4;2;5; ;3; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;360000;1;98;99;5020;50;15;15;102,075969419002
177259;2;3;70;24;40;1; ;1;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;16; ; ; ;15;15;92,5836823453866
177259;2;5;70;32;40;1; ;1;1;2;200;1; ;1;2;2; ;2; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;59;45;5233;52;15;15;92,5836823453866
177261;2;2;70;4;40;1; ;1;1;2;4;1; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;416000;1;5000000;1;55;77;5529;55;15;15;17,7475667401774
177261;2;3;70;4;40;1; ;1;1;2;4;1; ;2;2;5; ;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;200000;1;55;77;5529;55;15;15;17,7475667401774
177273;2;2;70;4;40;2; ;1;1;2;6;2; ;9;1; ;.;5; ;1; ;.; ; ;1; ; ; ; ; ; ; ;2; ;1;10000000;1;08;13;8060;80;15;15;58,430901419005
177288;2;1;70;30;48;1; ;1;1;2;30;2; ;6;1; ;.;1; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;21;30;8511;85;15;15;101,296547432728
177301;2;2;70;40;40;2; ;2;2;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;16; ; ; ;15;15;87,2129448735648
177302;2;1;70;48;40;2; ;2;2;2;48;2; ;9;1; ;.;7; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;32;32;7523;75;15;15;35,4951334803547
177303;2;2;70;48;40;1; ;2;2;2;350;2; ;9;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;13;13;8012;80;15;15;63,5477288132916
177303;2;3;70;24;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;32; ; ; ;15;15;63,5477288132916
177309;2;3;70;12;48;2; ;2;2;2;72;1; ;5;2;2; ;2; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;12;45;1591;15;15;15;60,4108674931824
177312;2;2;70;4;48;1; ;2;1;2;5;4; ;1;1; ;.;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1060000;1;39;39;7414;74;15;15;82,8374851942358
177313;2;1;70;12;40;1; ;1;1;2;13;4; ;1;2;2; ;2; ;1; ;.; ;1; ; ; ; ; ; ; ; ;2; ;1;6300000;1;45;41;5211;52;15;15;89,6371777658709
177317;2;3;70;24;48;2; ;1;1;2;3;1; ;3;2;5; ;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;408000;1;13;19;8041;80;15;15;210,344536587741
177324;2;3;70;6;40;1; ;1;1;1; ; ;.; ; ; ;.; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;1;49; ; ; ;15;15;67,2356011077648
177326;2;1;70;98;48;1; ;1;2;2;240;2; ;9;1; ;.;2; ;1; ;.; ; ; ; ; ; ;1; ; ; ;2; ;2; ;1;03;44;7512;75;15;15;176,962305969144
177327;2;2;70;6;40;1; ;1;1;2;7;4; ;2;2;3; ;7; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;98;1;50;51;5530;55;15;15;51,3978090037939
177336;2;3;70;4;48;1; ;1;1;2;20;1; ;9;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;85;44;9303;93;17;17;122,326229607138
177338;2;3;70;4;48;1; ;1;1;2;20;1; ;9;1; ;.;8; ;1; ;.; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;1;85;44;9303;93;17;17;122,326229607138
177348;2;1;70;52;20;1; ;2;2;2;52;4; ;1;2;2; ;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;1;54;45;5262;52;17;17;170,430950799748
