DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;fex_c_2011
2151541;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;50;856,222391317402
2151542;1;1;1;80;2;1;1;9;CAMBIO DE DOMICILIO;3; ;2; ; ;1; ;9;1;1;02;50;1589,77008218275
2151542;1;2;1;80;2;1;1;8; ;2; ;2; ; ; ;TRABAJO TEMPORAL TERMINADO;12;2;1;02;50;1589,77008218275
2151542;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;50;1589,77008218275
2151546;1;1;1;80;2;1;4;5; ;3; ;2; ; ;4; ;8;1;1;02;50;846,263867703416
2151546;1;2;1;80;2;1;3;3; ;2; ;2; ; ; ; ;9;2;1;02;50;846,263867703416
2151546;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;50;846,263867703416
2151715;1;2;1;80;2;1;1;4; ;2; ;2; ; ; ; ;4;2;1;02;63;3956,23306391507
2151716;1;3;1;80;2;1;1;9;POR TRASLADO DE LA CIUDAD AL CAMPO;2; ;1;22000; ; ;DESEA SEGUIR ESTUDIANDO;12;2;1;02;63;3810,17575330658
2151718;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3906,97678532443
2151718;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3906,97678532443
2151718;1;8;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3906,97678532443
2151719;1;1;1;80;2;1;3;7; ;2; ;2; ; ; ; ;8;2;1;02;63;2162,45239137965
2151719;1;2;1;80;2;1;4;9;POR LA EDAD NO CONSIGUE TRABAJO;2; ;2; ; ; ; ;8;2;1;02;63;2162,45239137965
2151719;1;3;1;80;2;1;4;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;02;63;2162,45239137965
2151722;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2162,45239137965
2151724;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3515,19904895824
2151724;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3515,19904895824
2151725;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3534,67913402329
2151739;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4999,75039662546
2151739;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4999,75039662546
2151742;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4287,96042809187
2151742;1;4;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;4287,96042809187
2151743;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;3940,65064511502
2151745;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;2834,92510685469
2151745;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2834,92510685469
2151745;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;2834,92510685469
2151746;1;1;1;80;2;1;2;4; ;2; ;2; ; ; ; ;4;2;1;02;63;4535,43796677446
2151746;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4535,43796677446
2151747;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4535,43796677446
2151747;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4535,43796677446
2151749;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;63;4451,58886171591
2158338;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;1606,13803838319
2158340;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;1836,73109299849
2158341;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;1635,30059220948
2158342;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;2048,17453971233
2158343;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;2019,01198588604
2158344;1;1;1;80;2;1;3;4; ;2; ;2; ; ; ; ;4;2;1;02;13;2245,91936018116
2158344;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;2245,91936018116
2158345;1;4;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;2483,5409013305
2158345;1;5;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;2483,5409013305
2158346;1;2;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;1908,32651064105
2158346;1;3;1;80;2;2; ; ; ;2; ;2; ;2; ;.; ; ;1;02;13;1908,32651064105
2158347;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;13;1972,89344174958
2158598;1;2;1;80;2;1;4;3; ;2; ;2; ; ; ; ;9;2;1;02;63;3429,71242851412
