DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;P6430;RAMA4D_R4;INGLABO;MES;DPTO;fex_c_2011;RAMA4DP8_R4
6037225;1;1;1;60;05;5;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;1000000;1;;3;;3;2;12;48;;.;48;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;1;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;8;10;8;;1;;98;49;1;4;4921;1000000;12;05;1365.4612961;
6037226;1;2;1;60;05;5;1;1;;;1;;1;2;2;2;12;;1;;2;700000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;30;1;;30;;;;2;7;;1;;3;;;;;;;;;;;;;2;2;1;0;120;1;;4;2;;;;;;;;1;10;1;1;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;10;LA PENSION;;;80;15;1;1;1522;700000;12;05;932.55461846;
6037226;1;4;1;60;05;5;1;2;1;;1;;1;1;2;1;36;;3;;1;1200000;2;;;2;;2;;2;;2;;2;;;1;106454;1;2;;;2;;;2;;;2;;;1;1180000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;3;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;8;;1;;39;06;1;1;0610;1200000;12;05;932.55461846;
6037226;1;5;1;60;05;5;1;2;1;;1;;1;1;2;1;36;;1;;2;2000000;2;;;2;;2;;2;;2;;2;;;1;106454;1;1;36900;2;2;;;2;;;2;;;1;1800000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;3;1;;;;;;;;;1;1;1;0;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;8;;1;;33;25;1;1;2511;2000000;12;05;932.55461846;
6037227;1;2;1;60;05;5;1;2;1;;1;;1;1;2;1;60;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;38300;2;2;;;2;;;2;;;1;950000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;8;7;;1;;1;1;1;12;1;;;;;;;;;1;1;1;2;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;40;8;;1;;55;42;1;1;4210;908526;12;05;1530.2828685;
6037227;1;3;1;60;05;5;1;2;2;3;1;;1;1;2;1;8;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;8;48;;.;48;;;;6;10;;1;;1;1;1;0;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;2;2;1;1;2;2;;1;1;1;1;1;2;1;1;4;90;3;;1;1;97;08;1;1;0811;908526;12;05;1530.2828685;
6037231;1;1;1;60;05;5;1;1;;;1;;1;1;2;1;2;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;5;2;;1;;1;1;1;4;1;;;;;;;;;1;1;1;0;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;30;8;;1;;95;43;1;1;4330;908526;12;05;1585.600668;
6037232;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;128;;1;;2;1000000;2;;;2;;2;;2;;2;;2;;;1;106454;2;1;394000;2;2;;;2;;;2;;;1;980000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;9;7;;1;;1;1;1;18;1;;;;;;;;;1;1;1;4;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;60;3;;1;;45;47;1;1;4752;1000000;12;05;1571.8626497;
6037232;1;2;1;60;05;5;1;2;1;;1;;1;1;2;1;96;;1;;2;3200000;2;;;2;;2;;2;;2;;2;;;2;;;1;39400;2;2;;;2;;;2;;;1;3100000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;9;7;;1;;1;2;1;16;;;;1;;;;;;1;1;1;6;12;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;50;8;;1;;11;73;1;1;7310;3200000;12;05;1571.8626497;
6037233;1;1;1;60;05;5;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;600000;1;;3;;6;2;12;60;;.;60;;;;1;1;;3;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;3;;1;;41;47;1;4;4711;600000;12;05;1136.5227312;
6037235;1;1;1;60;05;5;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;0;0;3;7;;1;1;2021;2;3500000;1;;3;;6;2;12;50;;.;50;;;;2;7;;3;;2;;;;;;;;;;;;1;2;2;1;0;30;4;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;5;;1;;41;47;1;5;4752;3500000;12;05;1155.4021972;
6037235;1;2;1;60;05;5;1;1;;;1;;1;2;2;2;18;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;2;7;;1;;1;1;2;5;1;;;;;;;;;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;3;;1;;45;47;1;1;4752;908526;12;05;1155.4021972;
6037236;1;1;1;60;05;5;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;1;;;;;3;1900000;1;;1;;4;1;12;20;2;;20;;;;1;1;;1;;1;1;2;10;1;;;;;;;;;1;2;1;6;60;1;;1;2;;;;;;;;2;;;;1;1;1;2;2;2;2;1;2;2;;2;1;2;2;1;2;2;1;14;;3;;1;1;16;73;1;4;7310;1900000;12;05;1789.6773011;
6037236;1;2;1;60;05;5;1;2;1;;1;;1;2;2;2;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;3;2200000;1;;3;;3;2;12;50;;.;50;;;;9;7;;1;;1;2;2;1;1;;;;;;;;;1;1;1;2;6;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;15;2;;1;;14;94;1;4;9491;2200000;12;05;1789.6773011;
6037237;1;1;1;60;05;5;1;2;1;;1;;1;1;2;1;18;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;890000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;4;;1;;1;2;1;10;;;;;;;;;1;1;1;1;0;84;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;60;8;;1;;98;46;1;1;4631;908526;12;05;1211.9829563;
6037237;1;2;1;60;05;5;2;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;0;1;;1;;1;2;1;8;1;;8;;;;1;1;;3;;2;;;;;;;;;;;;1;2;1;1;19;36;3;;13;2;;;;;;;;1;48;1;1;1;2;1;2;1;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;2;2;2;2;2;1;14;;3;;1;1;77;56;1;4;5619;0;12;05;1211.9829563;
6037237;1;3;1;60;05;5;1;1;;;1;;2;2;2;2;2;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;2;50;;.;50;;;;3;5;;3;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;1;TENER PRESTACIONES SOCIALES;1;1;1;2;1;2;2;1;3;10;8;;1;1;97;47;1;1;4711;908526;12;05;1211.9829563;
6037238;1;1;1;60;05;5;1;1;;;1;;2;2;2;2;36;;1;;2;1400000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;2;7;;3;;2;;;;;;;;;;;;1;2;2;1;0;18;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;8;;1;;45;47;1;1;4771;1400000;12;05;1151.523709;
6037238;1;3;1;60;05;5;1;2;2;3;1;;2;1;2;1;2;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106464;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;9;7;;1;;1;1;1;0;1;;;;;;;;;1;1;2;;;;;;2;;;;;;;;2;;;;1;1;1;2;1;2;2;2;2;2;;1;1;1;2;1;2;2;1;4;60;8;;1;1;97;14;1;1;1410;908526;12;05;1151.523709;
6037239;1;1;1;60;05;5;1;1;;;1;;1;2;2;2;12;;1;;2;800000;2;;;1;70000;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;50;;.;50;;;;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;24;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;4;35;5;;1;;59;97;1;3;9700;870000;12;05;1113.822416;
6037240;1;1;1;60;05;5;2;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;3;1400000;1;;3;;1;1;12;50;;.;30;6;;1;1;2;;2;;2;;;;;;;;;;;;1;2;2;1;4;72;1;;13;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;1;POR UN EMPLEO CON TODAS LAS GARANTIAS SOCIALES;1;1;1;2;1;2;2;1;2;45;3;;1;1;95;41;1;4;4111;1400000;12;05;1296.0920571;
6037240;1;2;1;60;05;5;1;2;1;;1;;1;1;2;1;36;;1;;2;908526;2;;;1;160000;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;908526;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;4;7;;1;;2;;;;;;;;;;;;1;1;1;1;6;120;3;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;25;3;;1;;53;56;1;1;5611;1068526;12;05;1296.0920571;
6037241;1;2;1;60;05;5;1;2;1;;1;;1;1;2;1;6;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;60;;.;60;;;;4;7;;1;;1;1;1;15;1;;;;;;;;;1;1;1;0;60;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;2;45;3;;1;;53;56;1;1;5611;908526;12;05;1063.332643;
6037241;1;4;1;60;05;5;1;2;1;;1;;1;1;2;1;60;;1;;2;908526;2;;;2;;2;;2;;2;;2;;;1;106454;2;2;;;2;;;2;;;2;;;1;900000;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;54;;.;54;;;;4;7;;1;;1;2;1;20;1;;;;;;;;;1;1;1;0;48;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;4;90;3;;1;;55;96;1;1;9602;908526;12;05;1063.332643;
6037243;1;1;1;60;05;5;2;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;550000;1;;3;;3;2;12;60;;.;60;;;;1;4;;2;;2;;;;;;;;;;;;1;2;2;1;0;3;4;;2;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;5;;1;;98;49;1;4;4921;550000;12;05;1211.9829563;
6037244;1;1;1;60;05;5;1;1;;;1;;1;2;2;2;18;;1;;2;800000;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;2;7;;4;;2;;;;;;1;;;;;;;2;2;1;0;6;1;;3;2;;;;;;;;1;10;2;1;1;1;1;2;1;2;1;1;2;2;;2;1;1;1;1;2;2;1;3;10;5;;1;1;89;23;1;1;2396;800000;12;05;1750.4222404;
6037245;1;1;1;60;05;5;1;2;1;;1;;2;1;2;1;42;;1;;2;1000000;2;;;2;;2;;2;;2;;2;;;2;;;1;38000;2;2;;;2;;;2;;;1;1000000;2;;2;;1;12000000;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;48;;.;48;;;;5;5;;1;;1;1;1;20;1;;;;;;;;;1;1;1;36;120;1;;9;2;;;;;;;;2;;;;1;1;1;2;2;2;2;2;2;2;;2;1;1;2;1;2;1;1;8;15;3;;1;1;45;21;1;1;2100;1000000;12;05;1136.5227312;
