"DIRECTORIO","SECUENCIA_P","ORDEN","HOGAR","REGIS","AREA","P7250","P7260","P7280","P7280S1","P7310","P7320","P7350","P7350S1","P7360","P9460","P7390","P7390S1","P7420","P7420S1","P7420S2","P7420S3","P7420S4","P7420S5","P7420S6","P7420S7","P7420S7A1","P7420S8","P7422","P7422S1","P1806","P1519","P1883","OFICIO1","OFICIO2","RAMA2D_D","DSI","DSCY","RAMA4D_D","MES","DPTO","fex_c_2011"
4421591,1,3,1,"70","76",2,36,1,"",2,6,1,"",4,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,99,2,1.79769313486232e+308,"39","45","51",1,1,"5127","09","76",1129.04740816575
4421592,1,2,1,"70","76",92,50,1,"",2,92,1,"",4,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,800000,2,1.79769313486232e+308,"33","33","52",1,2,"5211","09","76",1060.32576414783
4421596,1,2,1,"70","76",1,48,1,"",2,52,1,"",8,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"45","33","52",1,1,"5234","09","76",737.485177140616
4421606,1,2,1,"70","76",32,48,1,"",2,32,1,"",4,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,2,1.79769313486232e+308,800000,3,1.79769313486232e+308,"79","79","18",1,2,"1810","09","76",1086.9743995091
4421608,1,1,1,"70","76",52,48,1,"",2,156,1,"",5,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1,"ES PENSIONADO",1.79769313486232e+308,2,1.79769313486232e+308,737717,3,1.79769313486232e+308,"58","58","52",1,2,"5233","09","76",1342.27856270589
4421608,1,2,1,"70","76",34,48,1,"",2,104,1,"",6,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,737717,2,1.79769313486232e+308,"55","55","80",1,2,"8043","09","76",1342.27856270589
4421608,1,5,1,"70","76",4,48,1,"",2,4,1,"",9,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,370000,737717,2,1.79769313486232e+308,"39","97","21",1,1,"2101","09","76",1342.27856270589
4421612,1,1,1,"70","76",3,48,4,"",2,3,4,"",1,2,1,"","",1,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1,300000,1200000,1,4,"95","95","45",1,1,"4521","09","76",1216.96878287273
4421613,1,2,1,"70","76",6,48,4,"",2,312,1,"",6,2,2,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,"55","55","65",1,1,"6593","09","76",828.039510224032
4421615,1,1,1,"70","76",2,48,1,"",2,3,1,"",4,2,7,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,650000,737717,2,1.79769313486232e+308,"95","95","45",1,1,"4522","09","76",517.979486943112
4421618,1,2,1,"70","76",6,48,1,"",2,6,4,"",1,2,4,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,"55","45","52",1,1,"5262","09","76",1035.63786746322
4421618,1,3,1,"70","76",156,72,2,"",2,25,1,"",9,2,9,"AYUDA DE CABILDO","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,900000,2,1.79769313486232e+308,"58","58","52",1,2,"5211","09","76",1035.63786746322
4421619,1,2,1,"70","76",2,44,1,"",2,32,3,"",1,2,1,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,2,1.79769313486232e+308,600000,2,1.79769313486232e+308,"55","54","95",1,1,"9500","09","76",1393.15536660698
4421619,1,5,1,"70","76",1,48,1,"",2,2,1,"",2,2,7,"","",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",1,1,600000,900000,2,1.79769313486232e+308,"58","95","45",1,1,"4521","09","76",1393.15536660698
4421636,1,2,1,"70","76",12,48,1,"",1,1.79769313486232e+308,1.79769313486232e+308,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,"",".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,".",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,737717,1.79769313486232e+308,1.79769313486232e+308,"99","","",1,1,"","09","76",872.394363980338
