DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4707842;1;1;1;70;50;254;48;3; ;2;416;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;54;54;95;1;2;9500;09;50;140,604694959585
4707842;1;4;1;70;50;4;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;32;13;80;1;1;8060;09;50;140,604694959585
4707849;1;1;1;70;50;24;60;4; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;95;95;45;1;2;4552;09;50;143,256200674416
4707856;1;2;1;70;50;4;48;1; ;2;4;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;30;30;60;1;1;6022;09;50;272,191382664205
4707866;1;1;1;70;50;52;48;4; ;2;8;4; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;2;4552;09;50;171,708908003202
4707867;1;1;1;70;50;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;55;70;1;1;7020;09;50;152,907200497555
4707867;1;2;1;70;50;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;45;52;1;1;5237;09;50;152,907200497555
4707867;1;4;1;70;50;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;53;55;52;1;2;5233;09;50;152,907200497555
4707870;1;2;1;70;50;52;48;1; ;2;52;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;750000;2; ;55;54;95;1;2;9500;09;50;300,883026069687
4707875;1;1;1;70;50;24;84;1; ;2;24;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;83;83;26;1;2;2699;09;50;267,64275555759
4707875;1;2;1;70;50;104;48;1; ;2;52;1; ;5;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;32;26;1;2;2699;09;50;267,64275555759
4707876;1;1;1;70;50;28;48;1; ;2;28;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;95;95;45;1;2;4552;09;50;213,585071268901
4707878;1;1;1;70;50;98;48;1; ;2;306;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;742242;2; ;54;54;55;1;2;5511;09;50;211,373863042535
4707878;1;2;1;70;50;52;48;1; ;2;52;1; ;9;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;741242;2; ;39;34;74;1;2;7492;09;50;211,373863042535
4707885;1;1;1;70;50;104;48;1; ;2;104;4; ;1;2;1; ; ; ; ; ;1; ; ; ; ; ;2; ;800000;2; ;58;45;51;1;2;5125;09;50;243,298377846953
4707885;1;3;1;70;50;29;60;2; ;2;29;2; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;2000000;2; ;07;07;75;1;2;7512;09;50;243,298377846953
4707885;1;4;1;70;50;16;30;1; ;2;68;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;781200;2; ;45;53;55;1;2;5530;09;50;243,298377846953
