DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S2,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S2A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,CLASE,FT,DPTO,AREA,fex_c_2011
926374,1,2,1,90,,2,,2,2,1,2,2,2,2,2,2,,,,,20,,,,,,,1,1,5,5,614.154.166.862.986
926374,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,614.154.166.862.986
926374,1,6,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,614.154.166.862.986
926375,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,808.079.064.019.732
926375,1,2,1,90,,2,,1,2,2,2,1,2,2,2,2,,,14,,,,42,,,,,1,1,5,5,808.079.064.019.732
926376,1,1,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,386.208.917.996.052
926376,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,386.208.917.996.052
926376,1,3,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,386.208.917.996.052
926376,1,4,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,386.208.917.996.052
926377,1,1,1,90,,2,,2,2,2,2,2,1,2,2,2,,,,,,,,8,,,,1,1,5,5,880.692.183.723.681
926377,1,2,1,90,,2,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,1,1,5,5,880.692.183.723.681
926378,1,1,1,90,,2,,1,2,2,2,2,2,2,2,2,,,10,,,,,,,,,1,1,5,5,958.489.302.329.764
926378,1,2,1,90,,2,,1,2,1,2,2,2,2,2,2,,,56,,7,,,,,,,1,1,5,5,958.489.302.329.764
926378,1,3,1,90,,2,,1,2,2,2,2,2,2,2,2,,,36,,,,,,,,,1,1,5,5,958.489.302.329.764
