DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
926470;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;639.640.550.119.205
926470;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;639.640.550.119.205
926470;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;639.640.550.119.205
926473;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;957.923.041.427.605
926473;1;2;1;80;5;1;4;0;;2;;2;;;;;9;2;1;5;957.923.041.427.605
926475;1;2;1;80;5;1;3;2;;2;;2;;;;;9;2;1;5;386.208.917.996.052
926475;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;386.208.917.996.052
926475;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;386.208.917.996.052
926475;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;386.208.917.996.052
926475;1;6;1;80;5;2;;;;2;;2;;2;;.;;;1;5;386.208.917.996.052
926477;1;1;1;80;5;1;4;3;;3;;2;;;;;4;2;1;5;125.887.361.493.497
926477;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;125.887.361.493.497
926477;1;5;1;80;5;2;;;;2;;2;;2;;.;;;1;5;125.887.361.493.497
926478;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;150.315.298.188.157
926479;1;1;1;80;5;1;4;3;;2;;2;;;;;4;2;1;5;808.079.064.019.732
926479;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;808.079.064.019.732
926480;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;614.984.065.876.518
926480;1;3;1;80;5;2;;;;2;;2;;1;1;;2;;1;5;614.984.065.876.518
926480;1;4;1;80;5;2;;;;2;;2;;2;;.;;;1;5;614.984.065.876.518
926481;1;1;1;80;5;1;4;4;;3;;2;;;4;;10;1;1;5;969.856.653.768.409
926481;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;969.856.653.768.409
926481;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;969.856.653.768.409
926481;1;8;1;80;5;2;;;;2;;2;;2;;.;;;1;5;969.856.653.768.409
926482;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;195.877.584.377.452
926483;1;2;1;80;5;1;1;8;PRACTICA  LABORAL;2;;2;;;;;2;2;1;5;18.066.959.155.101
926484;1;1;1;80;5;2;;;;2;;1;160000;2;;.;;;1;5;851.227.169.264.451
926488;1;1;1;80;5;1;4;4;;3;;2;;;;;10;2;1;5;72.034.030.903.603
926489;1;1;1;80;5;1;4;7;;2;;1;10000;;1;;1;1;1;5;869.003.315.029.619
926489;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;869.003.315.029.619
926490;1;2;1;80;5;1;4;5;;2;;2;;;;;6;2;1;5;999.190.030.505.684
926491;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;87.494.691.880.678
926493;1;2;1;80;5;2;;;;2;;2;;2;;.;;;1;5;723.496.062.131.233
926493;1;3;1;80;5;2;;;;2;;2;;2;;.;;;1;5;723.496.062.131.233
926494;1;2;1;80;5;1;4;2;;2;;2;;;;;9;2;1;5;82.608.871.499.458
