DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,FT,DPTO,fex_c_2011
926376,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,386.208.917.996.052
926376,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,386.208.917.996.052
926376,1,3,1,50,5,3,3,,2,2,2,2,,,1,12,,,,,,,1,5,386.208.917.996.052
926376,1,4,1,50,5,4,3,,1,,,,,,,,,,,,,,1,5,386.208.917.996.052
926377,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926377,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926378,1,1,1,50,5,1,6,DILIGENCAS A UN FAMILIAR,2,2,2,1,1,,,,,,,,,1,1,5,958.489.302.329.764
926378,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,958.489.302.329.764
926378,1,3,1,50,5,3,4,,2,2,2,2,,,1,10,,,,,,,1,5,958.489.302.329.764
926378,1,4,1,50,5,4,6,VIENDO TV,2,2,2,1,1,,,,,,,,,1,1,5,958.489.302.329.764
926378,1,6,1,50,5,6,3,,2,1,,,,,,,,,,,,,1,5,958.489.302.329.764
926379,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926379,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926381,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,176.138.436.744.736
926381,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,176.138.436.744.736
926383,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,72.034.030.903.603
926384,1,1,1,50,5,1,4,,1,,,,,,,,,,,,,,1,5,517.242.636.838.419
926384,1,2,1,50,5,2,3,,2,2,2,1,3,,,,,,,,,2,1,5,517.242.636.838.419
926384,1,3,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,517.242.636.838.419
926384,1,4,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,517.242.636.838.419
926385,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,751.576.490.940.786
926385,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,751.576.490.940.786
926385,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,751.576.490.940.786
926386,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926386,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926387,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,726.987.142.303.868
926388,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,839.285.690.779.153
926389,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,684.708.636.153.737
926389,1,2,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,684.708.636.153.737
926390,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,870.595.176.531.444
926390,1,2,1,50,5,2,6,ANDANDO LA CALLE,1,,,,,,,,,,,,,,1,5,870.595.176.531.444
926391,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,148.308.852.348.211
926392,1,1,1,50,5,1,6,REPARACIONES DE SU HOGAR,2,2,2,2,,,2,,,,,,,,1,5,967.676.164.847.783
926393,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,853.001.239.734.702
926393,1,2,1,50,5,2,4,,2,2,2,2,,,1,8,,2,,2,,,1,5,853.001.239.734.702
926393,1,3,1,50,5,2,6,VIENDO TV,2,2,2,2,,,2,,,,,,,,1,5,853.001.239.734.702
926395,1,1,1,50,5,1,6,SALIR A CAMINAR,2,2,2,2,,,2,,,,,,,,1,5,990.697.998.819.728
926395,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,990.697.998.819.728
926395,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,990.697.998.819.728
926395,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,990.697.998.819.728
926395,1,5,1,50,5,5,1,,,,,,,,,,,,,,,,1,5,990.697.998.819.728
926396,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926396,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,888.168.916.005.052
926397,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,735.130.636.867.004
926397,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,735.130.636.867.004
926397,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,735.130.636.867.004
926398,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,790.427.486.966.953
926398,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,790.427.486.966.953
926399,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,880.692.183.723.681
926399,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926400,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,84.981.860.947.263
926400,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,84.981.860.947.263
926400,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,84.981.860.947.263
926401,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,90.584.551.447.153
926401,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,90.584.551.447.153
926401,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,90.584.551.447.153
926401,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,90.584.551.447.153
926402,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,834.259.840.120.218
926402,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,834.259.840.120.218
926403,1,1,1,50,5,1,6,CAMINANDO,2,1,,,,,,,,,,,,,1,5,104.993.630.256.814
926403,1,2,1,50,5,2,6,CUIDANDO A UN ENFERMO,2,2,2,2,,,1,9,,,,,,,1,5,104.993.630.256.814
926403,1,3,1,50,5,3,6,CLASES DE GUITARRA Y DE BAJO,2,2,2,1,3,,,,,,,,,1,1,5,104.993.630.256.814
926405,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,813.824.328.936.633
926406,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,863.609.122.513.469
926406,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,863.609.122.513.469
926406,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,863.609.122.513.469
926407,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,729.146.294.096.672
926407,1,2,1,50,5,2,4,,1,,,,,,,,,,,,,,1,5,729.146.294.096.672
926407,1,3,1,50,5,3,3,,2,2,2,2,,,1,12,,,,,,,1,5,729.146.294.096.672
926408,1,1,1,50,5,1,6,NAVEGANDO EN INTERNET,2,2,2,2,,,2,,,,,,,,1,5,671.486.638.955.465
926408,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,671.486.638.955.465
926408,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,671.486.638.955.465
926409,1,1,1,50,5,1,6,DEPORTES,1,,,,,,,,,,,,,,1,5,583.747.883.971.763
926409,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,583.747.883.971.763
926410,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,906.153.545.566.202
926410,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,906.153.545.566.202
926411,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,684.708.636.153.737
926411,1,2,1,50,5,2,3,,2,2,2,1,1,,,,,,,,,2,1,5,684.708.636.153.737
926413,1,1,1,50,5,1,6,HACIENDO DILIGENCIAS DEL HOGAR,2,2,2,2,,,2,,,,,,,,1,5,808.441.671.673.436
926413,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,808.441.671.673.436
926413,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,808.441.671.673.436
926413,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,808.441.671.673.436
926413,1,5,1,50,5,5,1,,,,,,,,,,,,,,,,1,5,808.441.671.673.436
926414,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,839.285.690.779.153
926415,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926415,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,880.692.183.723.681
926416,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,702.718.287.128.585
926416,1,2,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,702.718.287.128.585
926416,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,702.718.287.128.585
926416,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,702.718.287.128.585
926417,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,681.851.920.663.567
926417,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,681.851.920.663.567
926417,1,3,1,50,5,3,6,buscando empleo,2,2,2,2,,,2,,,,,,,,1,5,681.851.920.663.567
926417,1,4,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,681.851.920.663.567
926417,1,5,1,50,5,5,3,,2,2,2,2,,,2,,,,,,,,1,5,681.851.920.663.567
926418,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,684.708.636.153.737
926418,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,684.708.636.153.737
926419,1,1,1,50,5,1,6,DILIGENCIAS PERSONAL,2,2,2,2,,,2,,,,,,,,1,5,808.079.064.019.732
926419,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,808.079.064.019.732
926421,1,1,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,635.825.410.927.838
926422,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,148.819.951.731.883
926422,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,148.819.951.731.883
926422,1,3,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,148.819.951.731.883
926423,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,839.315.245.924.488
926423,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,839.315.245.924.488
926423,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,839.315.245.924.488
926423,1,4,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,839.315.245.924.488
926424,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,791.995.817.599.654
926424,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,791.995.817.599.654
926424,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,791.995.817.599.654
926424,1,4,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,791.995.817.599.654
926424,1,5,1,50,5,5,6,VER TV,2,2,2,2,,,2,,,,,,,,1,5,791.995.817.599.654
926426,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,72.034.030.903.603
926427,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,103.210.449.176.426
926427,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,103.210.449.176.426
926427,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,103.210.449.176.426
926427,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,103.210.449.176.426
926427,1,5,1,50,5,5,1,,,,,,,,,,,,,,,,1,5,103.210.449.176.426
926427,1,6,1,50,5,6,1,,,,,,,,,,,,,,,,1,5,103.210.449.176.426
926428,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,821.301.061.218.004
926429,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,854.076.018.610.127
926429,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,854.076.018.610.127
926429,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,854.076.018.610.127
926430,1,1,1,50,5,1,6,CAMINAR,2,2,2,2,,,2,,,,,,,,1,5,87.494.691.880.678
926430,1,2,1,50,5,2,6,HOSPITALIZADA,2,2,2,2,,,2,,,,,,,,1,5,87.494.691.880.678
926430,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,87.494.691.880.678
926431,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,963.644.976.706.962
926431,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,963.644.976.706.962
926432,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,827.498.473.671.703
926432,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,827.498.473.671.703
926433,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,942.633.452.769.552
926433,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,942.633.452.769.552
926433,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,942.633.452.769.552
926433,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,942.633.452.769.552
926433,1,5,1,50,5,2,6,SE RETIRO DE ESTUDIAR HACE DOS SEMANAS , SE DEDICA A CHATIAR Y VER VIDEOS,2,2,2,2,,,2,,,,,,,,1,5,942.633.452.769.552
926434,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,978.963.158.863.941
926434,1,2,1,50,5,2,6,CAMINAR,2,2,2,2,,,1,8,,2,,2,,,1,5,978.963.158.863.941
926435,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,961.642.789.129.231
926435,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,961.642.789.129.231
926435,2,1,2,50,5,1,2,,2,2,2,1,2,,,,,,,,,1,1,5,961.642.789.129.231
926435,2,2,2,50,5,2,1,,,,,,,,,,,,,,,,1,5,961.642.789.129.231
926435,2,3,2,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,961.642.789.129.231
926436,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,197.472.990.829.092
926436,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,197.472.990.829.092
926436,1,3,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,197.472.990.829.092
926437,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,940.628.148.193.527
926437,1,2,1,50,5,2,3,,2,2,2,2,,,2,,,,,,,,1,5,940.628.148.193.527
926437,1,3,1,50,5,3,2,,2,2,2,1,2,,,,,,,,,1,1,5,940.628.148.193.527
926437,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,940.628.148.193.527
926438,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,200.419.042.694.752
926438,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,200.419.042.694.752
926439,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,220.473.665.398.887
926439,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,220.473.665.398.887
926439,1,4,1,50,5,4,1,,,,,,,,,,,,,,,,1,5,220.473.665.398.887
926440,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,905.870.041.647.667
926440,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,905.870.041.647.667
926440,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,905.870.041.647.667
926440,1,4,1,50,5,1,5,,,,,,,,,,,,,,,,1,5,905.870.041.647.667
926441,1,1,1,50,5,1,6,CAMINAR Y EVENTOS DE LA TERCERA EDAD,2,2,2,2,,,2,,,,,,,,1,5,810.382.847.665.534
926442,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,885.609.184.300.963
926442,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,885.609.184.300.963
926443,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,751.576.490.940.786
926443,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,751.576.490.940.786
926443,1,3,1,50,5,1,3,,2,2,2,2,,,2,,,,,,,,1,5,751.576.490.940.786
926444,1,1,1,50,5,2,6,VISITA LOS PUEBLOS,2,2,2,2,,,2,,,,,,,,1,5,844.073.344.555.729
926444,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,844.073.344.555.729
926444,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,844.073.344.555.729
926444,1,4,1,50,5,4,3,,2,2,2,2,,,2,,,,,,,,1,5,844.073.344.555.729
926445,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,909.039.816.201.706
926445,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,909.039.816.201.706
926446,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,709.340.098.982.725
926446,1,2,1,50,5,2,4,,2,2,2,2,,,2,,,,,,,,1,5,709.340.098.982.725
926447,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926447,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,880.692.183.723.681
926448,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,151.266.917.914.405
926448,1,2,1,50,5,2,6,SE REUNE CON LOS DE LA TERCERA EDAD,2,2,2,2,,,2,,,,,,,,1,5,151.266.917.914.405
926448,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,151.266.917.914.405
926449,1,1,1,50,5,1,2,,2,2,2,1,2,,,,,,,,,1,1,5,17.763.378.320.101
926449,1,2,1,50,5,2,6,INCAPACITADA POR UNA CIRUGIA HACE MAS DE UN AÑO,2,2,2,2,,,2,,,,,,,,1,5,17.763.378.320.101
926450,1,1,1,50,5,1,2,,2,2,2,1,1,,,,,,,,,1,1,5,130.767.012.380.537
926450,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,130.767.012.380.537
926450,1,3,1,50,5,3,3,,2,2,2,2,,,2,,,,,,,,1,5,130.767.012.380.537
926451,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,702.693.265.714.886
926451,1,2,1,50,5,2,1,,,,,,,,,,,,,,,,1,5,702.693.265.714.886
926452,1,1,1,50,5,1,4,,2,2,2,2,,,2,,,,,,,,1,5,831.833.979.911.481
926452,1,2,1,50,5,2,6,DEPORTE,2,2,2,1,3,,,,,,,,,1,1,5,831.833.979.911.481
926452,1,3,1,50,5,3,1,,,,,,,,,,,,,,,,1,5,831.833.979.911.481
926453,1,1,1,50,5,1,1,,,,,,,,,,,,,,,,1,5,968.527.859.321.428
