directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P3148;P6500;P6750;P6760;P6870;P6880;P6920;P6930;Oci;mes;area;dpto;fex_c_2011
141393;1;1;81;16;1630;4;48;3;6;1; ;400000;1;1;2;1;1;1;07;47;47;141,842036180594
141394;1;1;95;41;4111;4;48;24;6;1; ;350000;1;1;2;2; ;1;07;52;52;213,294885458361
141394;1;3;95;41;4111;4;48;48; ; ; ;300000;1;1;2;2; ;1;07;52;52;213,294885458361
141395;1;1;98;49;4923;4;30;30; ; ; ;600000;1;2;4;2; ;1;07;19;19;104,961767473923
141396;1;1;45;47;4782;4;48;12;6;1; ;0;1;1;6;2; ;1;07;68;68;335,385739048807
141406;1;1;55;81;8121;4;12;4;6;1; ;50000;1;1;2;2; ;1;07;52;52;156,670923226425
141406;1;2;55;81;8121;4;12;12; ; ; ;400000;1;1;2;2; ;1;07;52;52;156,670923226425
141410;1;1;98;49;4921;4;48;24;5;1; ;0;1;2;4;2; ;1;07;19;19;188,732417448264
141413;1;1;45;47;4792;4;15;15; ; ; ;50000;1;1;5;2; ;1;07;52;52;277,215946638649
141414;1;1;97;47;4711;1;48;48; ; ;1050000; ; ;8;7;1;1;1;07;50;50;158,517315609957
141417;1;3;32;84;8413;2;48;40;2; ;1800000; ; ;9;7;1;2;1;07;23;23;119,795171073949
141418;1;1;39;86;8621;1;45;45; ; ;1500000; ; ;9;7;1;1;1;07;19;19;182,44011934509
141420;1;1;62;81;8130;4;40;7;6;1; ;40000;1;1;2;2; ;1;07;19;19;188,244938785255
141426;1;1;94;32;3290;4;56;56; ; ; ;0;1;1;1;2; ;1;07;41;41;104,896282976895
141429;1;1;49;77;7729;4;10;2;6;1; ;30000;1;1;1;2; ;1;07;41;41;81,9814973879389
141430;1;1;95;41;4112;4;56;18;6;1; ;120000;1;1;2;2; ;1;07;19;19;180,686298288554
141430;1;3;41;47;4711;1;36;36; ; ;360000; ; ;2;2;2; ;1;07;19;19;180,686298288554
141431;1;1;98;49;4921;4;56;56; ; ; ;350000;1;1;4;2; ;1;07;52;52;284,990397565309
141431;1;2;45;47;4782;4;48;48; ; ; ;200000;1;1;6;2; ;1;07;52;52;284,990397565309
141434;1;1;13;85;8530;2;30;30; ; ;3320000; ; ;9;7;1;3;1;07;23;23;268,297309627194
141439;1;1;53;56;5619;4;20;20; ; ; ;60000;1;2;1;2; ;1;07;19;19;91,3876210847617
141439;1;3;45;47;4759;4;48;48; ; ; ;800000;1;2;7;2; ;1;07;19;19;91,3876210847617
141439;1;5;39;35;3513;1;48;48; ; ;1000000; ; ;9;7;1;2;1;07;19;19;91,3876210847617
141442;1;2;84;45;4520;4;60;60; ; ; ;600000;1;2;7;2; ;1;07;11;11;4026,22826662073
141442;1;3;95;41;4111;4;60;2;6;1; ;100000;1;1;2;2; ;1;07;11;11;4026,22826662073
141446;1;1;15;60;6010;4;50;40;6;1; ;600000;1;1;1;2; ;1;07;23;23;85,4559931979374
141446;1;2;59;86;8621;1;48;48; ; ;900000; ; ;9;7;1;1;1;07;23;23;85,4559931979374
141446;1;4;59;85;8559;4;35;12;6;1; ;100000;1;1;2;2; ;1;07;23;23;85,4559931979374
141446;1;5;57;96;9602;4;60;48;6;1; ;0;1;1;7;2; ;1;07;23;23;85,4559931979374
141446;1;7;62;01;0161;4;40;8;6;1; ;100000;1;1;8;2; ;1;07;23;23;85,4559931979374
141448;1;3;32;85;8544;1;48;0;1;2;1200000; ; ;9;7;1;1;1;07;23;23;295,189246678643
141448;1;4;95;73;7310;1;48;20;6;1;1000000; ; ;3;7;1;1;1;07;23;23;295,189246678643
141450;1;2;32;50;5011;1;48;48; ; ;877800; ; ;6;7;1;2;1;07;47;47;179,713283285959
141451;1;3;13;85;8512;1;35;35; ; ;980657; ; ;4;7;1;1;1;07;19;19;186,64271269101
141451;1;4;58;84;8423;2;70;70; ; ;1600000; ; ;9;7;1;3;1;07;19;19;186,64271269101
141453;1;1;84;45;4520;4;56;16;6;1; ;300000;1;2;2;2; ;1;07;44;44;84,3200189924831
141453;1;6;45;56;5619;4;1;1; ; ; ;25000;1;1;1; ; ;1;07;44;44;84,3200189924831
141455;1;1;42;47;4711;1;60;60; ; ;877800; ; ;9;7;1;2;1;07;47;47;162,321279573166
141455;1;4;45;47;4792;4;21;21; ; ; ;0;1;1;5;2; ;1;07;47;47;162,321279573166
141457;1;1;32;86;8621;2;48;40;2; ;1600000; ; ;9;7;1;2;1;07;41;41;84,9887465573015
141457;1;2;57;96;9602;4;40;4;6;1; ;20000;1;1;2;2; ;1;07;41;41;84,9887465573015
141458;1;1;45;47;4782;1;60;50;6;1;600000; ; ;2;6;2; ;1;07;11;11;6079,68537074886
141460;1;3;33;71;7120;4;40;40; ; ; ; ;1;4;7;1;1;1;07;54;54;199,02378774455
141461;1;2;37;69;6910;4;40;0;5;1; ;0;1;3;4;2; ;1;07;13;13;240,765155676087
141461;1;3;32;69;6910;1;40;0;5;1;0; ; ;3;7;1;1;1;07;13;13;240,765155676087
141462;1;1;13;85;8530;2;30;60; ; ;2100000; ; ;7;7;1;3;1;07;68;68;368,820264362427
141466;1;1;45;56;5619;4;8;8; ; ; ;90000;1;2;2;2; ;1;07;13;13;462,233587344441
141466;1;2;53;56;5619;4;8;8; ; ; ;90000;1;2;1;2; ;1;07;13;13;462,233587344441
141467;1;1;33;64;6492;1;48;48; ; ;1300000; ; ;5;7;1;2;1;07;19;19;204,251635034616
141470;1;1;77;56;5619;4;20;10;6;1; ;80000;1;2;1;2; ;1;07;23;23;169,240456316206
141470;1;3;55;81;8121;4;20;16;6;1; ;150000;1;1;2;2; ;1;07;23;23;169,240456316206
141470;1;4;95;41;4111;1;48;48; ; ;400000; ; ;3;9;2; ;1;07;23;23;169,240456316206
141470;1;5;77;56;5619;6;10;10; ; ; ; ; ;2;1;2; ;1;07;23;23;169,240456316206
141470;1;6;45;47;4781;4;60;40;6;1; ;500000;1;1;6;2; ;1;07;23;23;169,240456316206
141472;1;2;98;49;4923;1;48;48; ; ;1500000; ; ;9;4;1;2;1;07;13;13;344,359913752522
141473;1;1;51;56;5611;4;70;40;6;1; ;0;1;1;7;2; ;1;07;17;17;94,4780167961736
141474;1;2;84;45;4520;4;48;48; ; ; ;200000;1;1;7;2; ;1;07;19;19;254,812562492077
141475;1;1;53;56;5619;4;42;42; ; ; ;200000;1;2;1;2; ;1;07;47;47;186,38024005568
141475;1;2;45;56;5619;6;48;48; ; ; ; ; ;2;6;2; ;1;07;47;47;186,38024005568
141475;1;4;45;56;5619;6;35;35; ; ; ; ; ;2;6;2; ;1;07;47;47;186,38024005568
141476;1;1;79;95;9529;4;40;20;6;1; ;150000;1;1;1;2; ;1;07;11;11;4200,4361706036
141477;1;1;95;41;4112;4;40;20;7; ; ;270000;1;1;9;2; ;1;07;27;27;17,0729176765212
141479;1;1;59;47;4773;1;48;48; ; ;980000; ; ;8;7;1;1;1;07;19;19;159,274574471439
141480;1;1;51;56;5611;4;50;40;6;1; ;650000;1;2;7;2; ;1;07;66;66;254,578801096456
141480;1;2;53;56;5611;6;32;24;6;1; ; ; ;2;7;2; ;1;07;66;66;254,578801096456
141480;1;5;98;49;4921;4;50;50; ; ; ;750000;1;1;4;2; ;1;07;66;66;254,578801096456
141483;1;1;59;86;8610;1;48;48; ; ;877803; ; ;6;7;1;2;1;07;68;68;438,036120726668
141485;1;1;98;49;4921;4;40;24;6;1; ;400000;1;1;4;2; ;1;07;13;13;396,061200103553
141487;1;6;98;49;4921;4;50;30;7; ; ;600000;1;1;4;2; ;1;07;44;44;77,862243433191
141490;1;1;03;45;4520;4;48;30;6;1; ;900000;1;2;7;2; ;1;07;17;17;348,238767834975
141497;1;1;99;46;4665;4;50;50; ; ; ;500000;1;1;5;2; ;1;07;66;66;291,01732862874
141500;1;1;97;46;4610;1;40;40; ; ;900000; ; ;6;7;1;1;1;07;47;47;139,599491501938
141500;1;2;45;27;2750;1;40;40; ; ;877800; ; ;9;7;1;1;1;07;47;47;139,599491501938
141501;1;1;97;10;1081;1;48;48; ; ;877803; ; ;7;7;1;1;1;07;44;44;58,243216915828
141501;1;2;41;47;4729;4;70;40;6;1; ;300000;1;1;1;2; ;1;07;44;44;58,243216915828
141503;1;1;77;56;5619;4;40;40; ; ; ;0;1;1;1;2; ;1;07;13;13;456,753116446445
141503;1;3;45;47;4792;4;24;12;6;1; ;400000;1;1;1;2; ;1;07;13;13;456,753116446445
141503;1;4;45;47;4711;1;48;48; ; ;700000; ; ;3;7;2; ;1;07;13;13;456,753116446445
141504;1;1;33;25;2511;1;48;48; ; ; ; ; ;5;7;1;1;1;07;68;68;516,427950491849
141504;1;2;21;33;3312;1;48;48; ; ; ; ; ;5;7;1;1;1;07;68;68;516,427950491849
141506;1;1;58;68;6820;1;48;48; ; ;1314000; ; ;9;7;1;1;1;07;11;11;4497,39201234387
141507;1;2;97;52;5224;4;40;10;6;1; ;100000;1;1;7;2; ;1;07;13;13;399,957317268057
141510;1;1;59;96;9609;4;50;30;6;1; ;450000;1;1;5;2; ;1;07;66;66;271,689588605973
141511;1;3;95;10;1011;1;48;40;6;1;900000; ; ;9;7;1;1;1;07;63;63;102,417253929795
141512;1;1;41;47;4711;4;80;70;6;1; ;950000;1;1;1;2; ;1;07;17;17;261,746966214322
141513;1;1;02;28;2829;1;48;48; ; ; ; ; ;4;7;1;2;1;07;68;68;381,806841844061
141513;1;2;44;64;6492;1;48;48; ; ; ; ; ;9;7;1;1;1;07;68;68;381,806841844061
141514;1;1;84;71;7110;1;48;48; ; ;1300000; ; ;8;7;1;2;1;07;13;13;329,450790936366
141515;1;4;97;25;2511;1;48;48; ; ;900000; ; ;9;7;1;1;1;07;68;68;364,355946233269
141516;1;1;45;47;4781;4;50;50; ; ; ;350000;1;1;6;2; ;1;07;66;66;192,91770390395
141517;1;1;13;88;8890;4;40;30;6;1; ;1350000;1;9;7;1;1;1;07;27;27;55,2566054338162
141518;1;3;77;10;1020;1;48;48; ; ;900000; ; ;7;7;1;2;1;07;68;68;365,883348010786
141519;1;1;54;97;9700;3;48;24;6;1;600000; ; ;1;2;2; ;1;07;15;15;55,8401929521392
141519;1;2;95;41;4111;4;48;48; ; ; ;877803;1;1;2;2; ;1;07;15;15;55,8401929521392
141520;1;2;02;43;4321;4;40;32;2; ; ;1200000;1;1;2;1;1;1;07;66;66;608,927968563859
141522;1;1;97;46;4620;1;48;48; ; ;900000; ; ;9;7;1;1;1;07;68;68;270,163329282905
141522;1;2;55;85;8544;1;48;48; ; ;900000; ; ;9;7;1;2;1;07;68;68;270,163329282905
141528;1;2;11;64;6492;1;48;24;6;1;680000; ; ;3;7;1;2;1;07;68;68;398,546536506828
141529;1;1;95;41;4111;4;48;48; ; ; ;800000;1;2;2;1;2;1;07;17;17;96,7990947916639
141529;1;4;12;69;6910;4;40;20;6;1; ;0;1;1;1;2; ;1;07;17;17;96,7990947916639
141529;1;6;98;49;4921;1;60;40;6;1;900000; ; ;9;4;1;1;1;07;17;17;96,7990947916639
141530;1;2;03;95;9522;4;35;14;6;1; ;170000;1;1;2;2; ;1;07;13;13;383,794499073101
141531;1;1;57;96;9602;4;30;20;7; ; ;300000;1;1;2;2; ;1;07;44;44;49,7039617863332
141531;1;2;81;31;3110;4;45;30;6;1; ;400000;1;2;7;2; ;1;07;44;44;49,7039617863332
141533;1;1;41;47;4711;4;40;40; ; ; ;900000;1;1;1;3; ;1;07;68;68;531,606098620901
141539;1;2;98;49;4921;4;56;30;6;1; ;500000;1;1;4;2; ;1;07;27;27;133,353031633581
141541;1;1;99;46;4665;4;24;8;6;1; ;300000;1;1;6;2; ;1;07;68;68;350,11493700463
141542;1;1;98;49;4923;4;50;36;6;1; ;0;1;1;4;2; ;1;07;63;63;132,785244330217
141543;1;1;61;01;0141;4;56;56; ; ; ;0;1;1;1;2; ;1;07;68;68;351,642338782146
141547;1;1;98;49;4921;1;48;48; ; ;1100000; ; ;9;4;1;2;1;07;13;13;433,365126713895
141547;1;2;55;81;8121;4;24;8;6;1; ;0;1;1;2;2; ;1;07;13;13;433,365126713895
141548;1;1;98;49;4921;4;50;30;6;1; ;500000;1;9;4;1;1;1;07;17;17;158,993670202464
141548;1;2;41;47;4719;4;60;50;6;1; ; ;1;1;7;2; ;1;07;17;17;158,993670202464
141549;1;1;45;49;4921;1;48;40;2; ;877803; ; ;9;7;1;1;1;07;68;68;335,385739048807
141549;1;2;41;47;4724;4;40;40; ; ; ;200000;1;1;7;2; ;1;07;68;68;335,385739048807
141549;1;3;39;46;4645;1;48;40;2; ;1200000; ; ;6;7;1;1;1;07;68;68;335,385739048807
141551;1;1;13;94;9499;1;40;20;7; ;1800000; ; ;6;1;1;2;1;07;27;27;13,8881831952282
141551;1;3;95;41;4112;4;48;20;7; ; ;270000;1;1;9;2; ;1;07;27;27;13,8881831952282
141552;1;1;56;96;9601;4;20;20; ; ; ;120000;1;1;2;2; ;1;07;27;27;237,60340336541
141554;1;1;53;56;5621;4;14;4;7; ; ;0;1;1;2;2; ;1;07;70;70;179,050858229117
141555;1;1;98;49;4921;4;48;0;6;1; ;100000;1;1;4;2; ;1;07;13;13;331,189247488208
141555;1;2;39;52;5222;1;48;48; ; ;1300000; ; ;9;7;1;2;1;07;13;13;331,189247488208
141559;1;2;41;47;4721;4;14;14; ; ; ;300000;1;1;7;2; ;1;07;15;15;123,828042714993
141559;1;5;58;84;8423;2;60;60; ; ;1800000; ; ;9;7;1;3;1;07;15;15;123,828042714993
141563;1;1;55;97;9700;3;30;30; ; ;400000; ; ;1;2;2; ;1;07;41;41;136,337935252214
141565;1;2;59;86;8691;1;24;24; ; ;650000; ; ;9;7;1;2;1;07;50;50;60,7022477448495
141565;1;3;45;47;4762;1;48;48; ; ;980657; ; ;5;7;1;1;1;07;50;50;60,7022477448495
141567;1;1;41;47;4711;4;56;56; ; ; ;200000;1;1;1;2; ;1;07;52;52;190,526247669301
141567;1;2;16;73;7310;4;20;6;6;1; ;100000;1;1;1;2; ;1;07;52;52;190,526247669301
141569;1;1;98;05;0510;1;48;0;7; ; ; ; ;9;10;1;2;1;07;44;44;102,272719456504
141575;1;2;08;84;8413;2;40;40; ; ;1250000; ; ;9;7;1;2;1;07;13;13;221,53397157191
141580;1;5;95;41;4112;4;45;15;7; ; ;250000;1;1;9;2; ;1;07;47;47;122,10852610627
141581;1;1;98;49;4921;4;56;56; ; ; ;400000;1;1;4;2; ;1;07;52;52;323,745290312669
141583;1;1;58;84;8423;2;50;50; ; ;2800000; ; ;9;2;1;1;1;07;19;19;119,277915522599
141585;1;3;39;84;8412;4;40;32;2; ; ;1800000;1;9;7;1;2;1;07;76;76;1055,01398332478
141586;1;1;95;41;4111;4;50;2;6;1; ;0;1;1;2;2; ;1;07;54;54;429,893308864371
141587;1;1;21;45;4520;4;56;42;7; ; ;50000;1;1;7;2; ;1;07;70;70;188,940748340089
141588;1;2;62;01;0161;8;60;60; ; ;600000; ; ;1;8;2; ;1;07;41;41;194,059421044811
141590;1;1;98;61;6110;1;60;60; ; ;1100000; ; ;9;4;1;1;1;07;50;50;146,079705319012
141591;1;1;99;38;3822;1;48;48; ; ; ; ; ;5;7;1;1;1;07;15;15;99,337924368535
141592;1;1;03;95;9512;4;60;40;6;1; ;400000;1;1;7;2; ;1;07;23;23;136,767218538367
141592;1;2;59;86;8692;1;48;24;6;1;450000; ; ;6;7;1;1;1;07;23;23;136,767218538367
141593;1;4;53;56;5619;4;20;20; ; ; ;200000;1;1;2;2; ;1;07;50;50;115,199179606366
141594;1;1;41;47;4752;5;56;50;5;1; ;1300000;1;2;7;2; ;1;07;19;19;99,1042419949213
141594;1;2;41;47;4752;4;56;56; ; ; ;1000000;1;1;7;2; ;1;07;19;19;99,1042419949213
141595;1;1;19;84;8423;2;130;130; ; ; ; ; ;9;7;1;3;1;07;44;44;39,9186368565592
141595;1;2;41;47;4773;4;14;0;6;1; ;400000;1;1;1;2; ;1;07;44;44;39,9186368565592
141596;1;1;45;47;4781;4;56;0;6;1; ;0;1;1;6;2; ;1;07;52;52;236,122545931375
141597;1;2;39;86;8621;1;48;48; ; ;877803; ; ;6;7;1;1;1;07;23;23;286,553068369712
141602;1;1;03;61;6110;1;48;48; ; ;1500000; ; ;9;2;1;1;1;07;68;68;1115,88562725081
141602;1;2;57;96;9602;4;28;0;5;1; ;0;1;1;5;2; ;1;07;68;68;1115,88562725081
141603;1;1;45;47;4792;4;20;7;6;1; ;200000;1;1;2;2; ;1;07;44;44;69,9260918468343
141605;1;1;53;56;5619;4;40;24;6;1; ;300000;1;1;1;2; ;1;07;13;13;467,330989725264
141606;1;1;53;56;5619;4;35;20;6;1; ;200000;1;1;1;2; ;1;07;13;13;550,912324786386
141607;1;1;45;47;4773;1;55;55; ; ;877803; ; ;9;7;1;1;1;07;63;63;193,235946281481
141607;1;2;41;47;4759;4;25;25; ; ; ;100000;1;1;2;2; ;1;07;63;63;193,235946281481
141607;1;3;59;86;8610;1;60;60; ; ;877803; ; ;9;7;1;1;1;07;63;63;193,235946281481
141608;1;1;59;94;9499;1;40;20;7; ;2000000; ; ;6;7;1;2;1;07;27;27;30,1187412716716
141609;1;1;21;47;4771;1;40;40; ; ;2000000; ; ;9;7;1;1;1;07;44;44;52,3686796758296
141610;1;3;59;94;9499;1;40;24;7; ;1115000; ; ;9;7;1;1;1;07;47;47;105,649984659375
141611;1;1;45;47;4789;4;48;48; ; ; ;400000;1;2;6;2; ;1;07;23;23;184,619417663936
141611;1;2;45;47;4789;6;10;10; ; ; ; ; ;2;6;2; ;1;07;23;23;184,619417663936
141612;1;1;03;43;4321;4;48;48; ; ; ;900000;1;8;2;1;1;1;07;13;13;399,104648693829
141612;1;2;45;47;4723;4;10;6;6;1; ;80000;1;1;1;2; ;1;07;13;13;399,104648693829
141613;1;3;45;47;4792;4;14;14; ; ; ;200000;1;1;1;2; ;1;07;19;19;147,059749915026
141614;1;1;98;49;4921;4;72;72; ; ; ;1000000;1;1;4;2; ;1;07;50;50;98,9584669460276
141614;1;3;33;47;4711;1;16;16; ; ;240000; ; ;9;7;2; ;1;07;50;50;98,9584669460276
141615;1;3;97;10;1081;1;48;0;5;1;500000; ; ;7;7;1;1;1;07;17;17;94,4780167961736
141615;1;4;77;10;1081;1;48;0;5;1;600000; ; ;7;7;1;1;1;07;17;17;94,4780167961736
141616;1;1;53;56;5619;4;25;15;6;1; ;150000;1;1;1;2; ;1;07;13;13;550,912324786386
141617;1;2;45;47;4781;4;40;40; ; ; ;550000;1;1;6;2; ;1;07;66;66;243,972872593634
141617;1;3;79;14;1410;1;48;48; ; ;877803; ; ;5;7;2; ;1;07;66;66;243,972872593634
141618;1;1;45;47;4781;4;77;60;5;1; ;700000;1;1;4;2; ;1;07;19;19;98,0871542012463
141621;1;1;97;53;5320;4;35;35; ; ; ;300000;1;1;4;2; ;1;07;13;13;773,882849237339
141623;1;1;58;41;4112;1;48;48; ; ;1000000; ; ;9;7;1;1;1;07;50;50;167,421756454439
141623;1;4;58;42;4210;1;48;48; ; ;1000000; ; ;9;7;1;1;1;07;50;50;167,421756454439
141624;1;1;99;45;4520;4;48;35;6;1; ;400000;1;1;6;2; ;1;07;68;68;1268,53321973552
141624;1;2;94;32;3290;4;20;20; ; ; ;100000;1;1;1;2; ;1;07;68;68;1268,53321973552
141625;1;1;98;49;4921;4;40;40; ; ; ;400000;1;1;4;2; ;1;07;52;52;119,839527360636
141626;1;2;58;23;2392;4;48;30;7; ; ;300000;1;1;7;2; ;1;07;47;47;96,5348397491143
141626;1;3;98;47;4752;4;60;35;7; ; ;600000;1;1;4;2; ;1;07;47;47;96,5348397491143
141628;1;1;45;46;4663;4;60;60; ; ; ;200000;1;1;6;2; ;1;07;23;23;128,826496845333
141630;1;1;57;96;9602;4;48;40;5;1; ;700000;1;1;2;2; ;1;07;19;19;99,2410598496391
141633;1;2;12;69;6910;4;48;30;6;1; ;1000000;1;1;1;2; ;1;07;13;13;231,403128435572
141633;1;6;54;97;9700;3;48;48; ; ;800000; ; ;1;1;2; ;1;07;13;13;231,403128435572
141634;1;1;41;47;4771;4;60;48;6;1; ; ;1;1;7;2; ;1;07;54;54;321,630775886345
141634;1;2;41;47;4771;4;60;48;6;1; ; ;1;1;7;2; ;1;07;54;54;321,630775886345
141637;1;2;08;84;8413;4;40;40; ; ; ;3200000;1;9;1;1;2;1;07;19;19;44,0448411210983
141640;1;1;97;52;5224;4;70;70; ; ; ;400000;1;1;7;2; ;1;07;54;54;372,227140145537
141643;1;1;55;86;8610;1;49;49; ; ;980657; ; ;9;7;1;1;1;07;19;19;237,060079956534
141644;1;1;41;47;4711;4;59;59; ; ; ;150000;1;1;1;2; ;1;07;76;76;1919,18563527803
141644;1;3;55;97;9700;3;30;4;6;1;80000; ; ;1;2;2; ;1;07;76;76;1919,18563527803
141645;1;2;53;56;5619;4;75;75; ; ; ; ;1;1;6;2; ;1;07;17;17;195,546389900798
141647;1;1;98;49;4923;1;48;48; ; ;980000; ; ;5;4;1;1;1;07;50;50;332,131518420862
141648;1;4;59;52;5222;1;48;48; ; ;1200000; ; ;9;7;1;1;1;07;47;47;50,8620022329885
141649;1;1;55;93;9329;1;48;0;1;1;440000; ; ;7;7;1;2;1;07;23;23;92,4430396390548
141649;1;2;99;45;4542;4;60;40;6;1; ;300000;1;1;6;2; ;1;07;23;23;92,4430396390548
141649;1;3;21;61;6190;4;60;40;6;1; ;300000;1;1;1;2; ;1;07;23;23;92,4430396390548
141650;1;1;58;68;6820;1;48;48; ; ;877803; ; ;6;7;1;1;1;07;52;52;293,036656341864
141650;1;2;45;47;4782;1;48;48; ; ;380000; ; ;2;5;1;1;1;07;52;52;293,036656341864
141652;1;1;80;15;1522;4;76;0;7; ; ;0;1;4;2;2; ;1;07;54;54;131,671830247628
141652;1;2;80;15;1522;4;76;0;7; ; ;0;1;4;2;2; ;1;07;54;54;131,671830247628
141653;1;1;15;58;5813;1;48;48; ; ;960000; ; ;9;7;1;2;1;07;41;41;142,691575646714
141654;1;1;21;86;8621;1;48;24;6;1;2544000; ; ;8;7;1;1;1;07;68;68;915,681334959209
141657;1;2;41;47;4724;4;42;42; ; ; ;500000;1;1;1;2; ;1;07;47;47;171,643470054096
141657;1;4;39;42;4210;4;48;48; ; ; ;700000;1;1;7;2; ;1;07;47;47;171,643470054096
141658;1;2;53;56;5613;1;54;45;2; ;400000; ; ;2;7;2; ;1;07;68;68;389,669307155185
141658;1;4;38;66;6619;1;44;36;2; ;1200000; ; ;5;7;1;1;1;07;68;68;389,669307155185
141659;1;1;13;85;8544;1;40;50; ; ;4800000; ; ;9;7;1;1;1;07;68;68;1060,83226588243
141660;1;3;08;94;9491;1;40;40; ; ;890000; ; ;9;7;1;1;1;07;19;19;61,3047718219591
141661;1;1;45;47;4729;4;45;45; ; ; ;450000;1;1;5;2; ;1;07;23;23;131,47285165291
141662;1;1;55;84;8424;1;44;44; ; ;877803; ; ;9;7;1;1;1;07;23;23;175,470708435277
141662;1;4;45;47;4782;4;36;18;6;1; ;200000;1;1;6;2; ;1;07;23;23;175,470708435277
141663;1;1;41;47;4721;4;40;0;6;1; ;0;1;1;1;2; ;1;07;76;76;1956,81735040468
141663;1;2;03;17;1709;1;48;48; ; ;900000; ; ;9;7;1;1;1;07;76;76;1956,81735040468
141663;1;3;03;62;6201;1;48;48; ; ;900000; ; ;6;7;1;1;1;07;76;76;1956,81735040468
141664;1;1;21;47;4755;1;60;60; ; ;1244000; ; ;8;7;1;1;1;07;68;68;332,685613222902
141667;1;1;97;23;2392;1;54;54; ; ;800000; ; ;9;7;1;2;1;07;54;54;658,107978517435
141668;1;2;39;85;8544;4;48;48; ; ; ; ;1;9;7;1;2;1;07;68;68;458,927249305359
141671;1;1;21;70;7020;1;48;48; ; ;1000000; ; ;4;7;2; ;1;07;68;68;301,803622645225
141674;1;1;06;86;8621;4;40;20;6;1; ;2400000;1;4;7;1;1;1;07;15;15;104,321833200106
141675;1;2;44;64;6412;1;48;48; ; ;1900000; ; ;9;7;1;2;1;07;52;52;233,03446731036
141676;1;1;45;47;4761;1;48;48; ; ;240000; ; ;2;7;2; ;1;07;23;23;145,755295433249
141677;1;1;98;49;4923;1;48;48; ; ;1400000; ; ;5;4;1;1;1;07;68;68;425,057152773844
141678;1;2;45;47;4773;1;45;45; ; ;900000; ; ;3;7;2; ;1;07;19;19;91,9913019938073
141680;1;1;33;86;8610;1;48;48; ; ;980657; ; ;9;7;1;1;1;07;50;50;53,7840469547615
141681;1;1;19;69;6910;1;48;30;6;1;1400000; ; ;4;7;3; ;1;07;08;08;501,002166961481
141681;1;2;19;94;9499;4;48;48; ; ; ;2000000;1;7;7;1;1;1;07;08;08;501,002166961481
141681;1;4;70;21;2100;1;48;48; ; ;1200000; ; ;9;7;1;1;1;07;08;08;501,002166961481
