Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3024304;1;3;1;70;2;26;40;3; ;2;56;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;08;52;752,902561316273
3024306;1;2;1;70;2;104;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;90000;2;61;61;01;1;2;0116;08;52;1079,03597331721
3024307;1;2;1;70;2;4;40;3; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;2;54;61;01;1;1;0116;08;52;1203,82987587613
3024643;1;3;1;70;2;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;08;54;841,729134522155
3024675;1;1;1;70;2;2;48;4; ;2;2;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;61;61;01;1;1;0115;08;54;1196,87002428211
3024676;1;1;1;70;2;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;97;63;1;1;6310;08;54;485,470647439959
3024696;1;1;1;70;2;2;48;8; ;2;4;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;62;61;01;1;1;0116;08;54;1486,69912337256
3026047;1;2;1;70;2;36;48;1; ;2;36;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;08;15;688,718982924257
3026051;1;4;1;70;2;12;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;08;15;639,860192081942
3026124;1;4;1;70;2;2;40;8; ;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;240000;2;62;62;01;1;1;0118;08;15;1038,93111470103
3026131;1;1;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;61;61;01;1;1;0116;08;15;1915,66575915554
3026136;1;3;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;100000;2;61;61;01;1;1;0118;08;15;1417,43385144767
3026160;1;4;1;70;2;2;40;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;2;61;61;01;1;1;0118;08;15;4155,72445880412
3026161;1;3;1;70;2;2;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;180000;2;61;61;01;1;1;0118;08;15;1758,24889924759
3026488;1;1;1;70;2;12;34;3; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;08;13;1808,62847819278
3026584;1;2;1;70;2;1;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;08;05;11117,041518848
3026608;1;3;1;70;2;20;40;8; ;2;40;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;61;01;1;2;0111;08;05;4453,4510070592
3026660;1;2;1;70;2;20;48;8; ;2;20;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0111;08;05;4920,72916526457
3026661;1;2;1;70;2;20;48;8; ;2;20;8; ;3;1; ; ; ; ;1; ; ; ; ; ; ;2; ;2;62;62;01;1;2;0111;08;05;5514,60742567901
3026682;1;2;1;70;2;48;48;1; ;2;48;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;55;85;1;2;8511;08;05;7365,07620990788
3026729;1;3;1;70;2;4;48;3; ;2;4;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;54;54;95;1;1;9500;08;05;1441,29543674937
3026762;1;3;1;70;2;32;48;1; ;2;96;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;54;95;1;2;9500;08;05;1853,84119285497
3026789;1;3;1;70;2;48;48;1; ;2;48;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;62;01;1;2;0112;08;05;1456,0087973306
3026856;1;4;1;70;2;8;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;21; ; ;1;1; ;08;68;1140,7995313756
3026892;1;1;1;70;2;1;24;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;56;56;93;1;1;9301;08;68;2228,39013048455
3026893;1;1;1;70;2;6;48;8; ;2;20;8; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0117;08;68;1121,00924364875
3027445;1;7;1;70;2;2;16;8; ;2;39;1; ;2;9;CON CODIGO DE DESPLA; ; ; ; ; ; ; ; ;1; ;2; ;2;62;53;01;1;1;0140;08;76;4348,83315691734
3027454;1;1;1;70;2;36;72;2; ;2;36;2; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;58;75;1;2;7514;08;76;3893,14556460464
3027455;1;2;1;70;2;1;48;1; ;2;32;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;33;33;85;1;1;8512;08;76;3707,33241670353
3027543;1;3;1;70;2;4;54;3; ;2;26;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;76;1604,76982554883
3027548;1;2;1;70;2;3;48;3; ;2;104;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;08;76;1891,73958768638
