DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2509118;1;3;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;09;68;68;804,95281509056
2509124;1;1;1;70;1;10;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;70;70;101,594420534277
2509145;1;4;1;70;1;4;48;1; ;2;84;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;54;95;1;1;9500;09;73;73;244,115387059874
2509152;1;1;1;70;1;2;48;1; ;2;28;5; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;41;55;1;1;5522;09;73;73;230,124216084666
2509152;1;2;1;70;1;2;48;1; ;2;28;5; ;3;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;06;53;55;1;1;5522;09;73;73;230,124216084666
2509167;1;1;1;70;1;12;40;5; ;2;18;5; ;4;2; ; ; ; ;1;1; ; ; ; ; ;2; ;2;61;21;31;1;1;3190;09;76;76;765,454714965659
2509173;1;2;1;70;1;52;48;1; ;2;11;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;12;12;40;1;2;4010;09;76;76;671,214532079891
2509173;1;3;1;70;1;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;11; ; ;1;2; ;09;76;76;671,214532079891
2509196;1;1;1;70;1;52;48;1; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;74;1;2;7412;09;05;05;1005,64805958417
2509197;1;3;1;70;1;32;48;1; ;2;98;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;58;98;60;1;2;6021;09;05;05;1170,84850605724
2509199;1;2;1;70;1;12;24;1; ;2;55;4; ;1;9;CON LA HOJA DEL SISBEN; ; ; ; ; ; ; ; ;1; ;1;10000;2;79;79;18;1;1;1810;09;05;05;588,075917532801
2509221;1;3;1;70;1;2;48;1; ;2;3;2; ;9;3; ; ; ; ; ; ; ; ; ;1; ;1;70000;2;58;58;75;1;1;7522;09;05;05;1025,809812236
2509224;1;1;1;70;1;2;40;3; ;2;20;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;52;1;1;5233;09;05;05;843,902161672314
2509229;1;3;1;70;1;4;48;1; ;2;16;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;45;52;1;1;5223;09;11;11;2370,39271015307
2509246;1;3;1;70;1;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;16; ; ;1;1; ;09;15;15;73,344746307563
2509254;1;1;1;70;1;50;40;1; ;2;50;5; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;09;15;15;97,4472485810581
2509255;1;4;1;70;1;4;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;05; ; ;1;1; ;09;15;15;54,0078142941638
2509259;1;1;1;70;1;6;48;1; ;2;48;1; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;77;77;15;1;1;1551;09;17;17;172,77242324389
2509269;1;3;1;70;1;4;48;1; ;2;4;2; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;08;21;75;1;1;7512;09;17;17;148,630759024825
2509280;1;3;1;70;1;32;48;1; ;2;32;1; ;7;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;32;51;1;2;5135;09;17;17;147,571390577334
2509283;1;2;1;70;1;2;48;3; ;2;2;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;175000;2;54;54;95;1;1;9500;09;17;17;141,80263450697
2509292;1;2;1;70;1;8;48;1; ;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;32;50;1;1;5020;09;17;17;206,33038831265
2509293;1;2;1;70;1;24;48;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;32;28;1;2;2811;09;17;17;185,175018177863
2509307;1;1;1;70;1;8;50;4; ;2;8;4; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0111;09;18;18;62,7697735819385
2509308;1;2;1;70;1;1;24;4; ;2;48;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;09;18;18;55,5860123077918
2509310;1;2;1;70;1;12;56;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;09;18;18;38,7714693006646
2509312;1;3;1;70;1;8;40;1; ;2;46;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;45;15;1;1;1551;09;18;18;35,7851827108935
2509318;1;1;1;70;1;12;48;4; ;2;12;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;09;19;19;120,789007635241
2509325;1;3;1;70;1;4;48;4; ;2;4;4; ;1;5; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;85;1;1;8532;09;19;19;79,358225971601
2509327;1;2;1;70;1;4;40;4; ;2;4;4; ;2;1; ; ;1; ;1; ; ; ; ; ; ;1;98;2;02;02;45;1;1;4530;09;19;19;107,897621617577
2509334;1;1;1;70;1;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;32000;2;41;41;52;1;1;5241;09;20;20;124,188371345298
2509336;1;2;1;70;1;52;48;1; ;2;8;1; ;9;3; ; ;1; ; ; ; ; ; ; ; ;2; ;2;16;16;22;1;2;2212;09;20;20;125,628801831234
2509337;1;1;1;70;1;4;48;1; ;2;6;4; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;45;52;1;1;5261;09;20;20;113,654098876709
2509342;1;2;1;70;1;102;48;1; ;2;48;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;32;80;1;2;8045;09;20;20;112,702053068534
2509345;1;1;1;70;1;2;44;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;95;95;45;1;1;4521;09;20;20;270,017537475112
2509348;1;2;1;70;1;80;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;09;20;20;259,156776209504
2509349;1;1;1;70;1;8;40;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4522;09;20;20;81,6917351679257
2509351;1;2;1;70;1;20;40;1; ;2;40;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0111;09;20;20;96,5330889012303
2509358;1;6;1;70;1;3;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;09;23;23;129,812226587854
2509362;1;2;1;70;1;14;48;1; ;2;36;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;18;1;2;1810;09;23;23;160,969201056024
2509363;1;1;1;70;1;16;60;4; ;2;16;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;55;1;2;5519;09;23;23;133,991104667163
