DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
2629646;1;3;1;70;2;8;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;58;;;1;1;;2;19;995.037.014.428.595
2629646;3;1;3;70;2;20;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;2;19;995.037.014.428.595
2629660;1;2;1;70;2;10;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;1;;2;19;176.035.041.913.726
2629680;1;5;1;70;2;24;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;59;;;1;2;;2;19;145.523.375.374.317
2629682;1;1;1;70;2;10;50;1;;1;;;.;;;.;.;;;;;;;;;.;;;;97;;;1;1;;2;19;105.082.985.048.238
2629693;1;2;1;70;2;6;48;4;;2;8;4;;1;1;;;;;;;;;;1;;2;;2;54;54;74;1;1;7493;2;19;122.959.752.306.866
2629694;1;3;1;70;2;200;50;1;;2;260;2;;9;4;;;;;;;;;;1;;2;;2;59;59;75;1;2;7512;2;19;235.087.860.556.425
2630108;1;2;1;70;2;3;25;4;;2;3;4;;1;9;SISBEN;;;;;;;;;1;;1;20000;2;53;53;55;1;1;5529;2;50;125.711.656.179.889
2630120;1;1;1;70;2;3;48;1;;2;8;1;;9;1;;;;;;;;;;1;;2;;2;99;58;74;1;1;7492;2;50;969.833.854.451.523
2630121;1;4;1;70;2;3;56;8;;2;3;8;;4;9;CODIGO DE DESPLAZADO;;;;;;;;;1;;1;350000;2;62;62;1;1;1;121;2;50;769.705.832.429.426
2630129;1;2;1;70;2;10;48;1;;2;10;1;;9;1;;;;;;;;;;1;;2;;2;58;58;80;1;1;8050;2;50;757.467.929.503.612
2630204;1;1;1;70;2;2;54;8;;2;2;8;;6;3;;;;;;;;;;1;;1;312000;2;62;62;1;1;1;115;2;50;969.833.854.451.523
2630222;1;4;1;70;2;5;56;1;;2;4;1;;2;1;;;;;;;;;;1;;1;200000;2;98;98;1;1;1;121;2;50;12.236.643.815.915
2630253;1;10;1;70;2;52;40;8;;2;52;8;;2;1;;;;;;;;;;1;;2;;2;62;62;1;1;2;140;2;50;8.217.598.800.936
2630259;1;3;1;70;2;16;40;2;;2;16;2;;9;9;CON CARTA  DE DESPLAZADO;;;;;;;;;1;;2;;2;58;58;75;1;2;7524;2;50;131.646.161.945.069
2630259;1;4;1;70;2;14;48;2;;2;8;4;;2;9;CARTA DE  DESPLAZADO;;;;;;;;;1;;2;;2;87;61;1;1;2;117;2;50;131.646.161.945.069
2630259;1;6;1;70;2;16;40;1;;2;16;8;;2;9;CARTA  DE DESPLAZADO;;;;;;;;;1;;2;;2;95;62;1;1;2;117;2;50;131.646.161.945.069
2630278;1;6;1;70;2;3;40;2;;2;8;8;;2;7;;;;;;;;;;1;;2;;2;58;62;1;1;1;121;2;50;123.753.623.147.423
2630299;1;4;1;70;2;1;48;8;;2;1;8;;6;1;;;;;;;;;;1;;1;500000;2;62;62;1;1;1;117;2;17;880.612.268.079.875
2630349;1;3;1;70;2;6;60;8;;2;12;8;;5;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;111;2;17;122.473.248.751.469
2630349;1;6;1;70;2;20;60;8;;2;20;3;;1;1;;;;;;;;;;1;;2;;2;62;54;95;1;2;9500;2;17;122.473.248.751.469
2630356;1;3;1;70;2;4;60;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;2;17;105.642.685.422.134
2630365;1;1;1;70;2;7;70;8;;2;7;8;;6;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;121;2;17;77.455.749.114.232
2630372;1;3;1;70;2;20;48;2;;2;22;2;;9;1;;;;;;;;;;1;;2;;2;13;13;80;1;2;8043;2;17;486.208.152.955.838
2630385;1;1;1;70;2;4;56;8;;2;6;8;;7;4;;;;;;;;;;1;;2;;2;62;62;1;1;1;117;2;17;77.455.749.114.232
2630393;1;1;1;70;2;6;54;8;;2;8;8;;3;1;;;;;1;;;;;;;2;;2;62;62;1;1;1;111;2;17;871.774.367.610.971
2630965;1;2;1;70;2;8;40;1;;2;8;1;;3;1;;;;;;;;;;1;;2;;2;32;53;55;1;1;5529;2;25;346.482.613.643.739
2631085;1;5;1;70;2;2;40;1;;2;5;1;;5;2;;;;;;;;;;1;;2;;2;34;53;15;1;1;1530;2;25;361.733.459.498.055
2631102;1;3;1;70;2;2;48;1;;2;2;4;;1;4;;;;;;;;;;1;;2;;2;45;61;1;1;1;118;2;25;329.618.695.983.969
2631112;1;4;1;70;2;32;15;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;2;25;336.984.434.418.709
2631301;1;2;1;70;2;4;40;1;;2;4;1;;4;1;;;;;;;;;;1;;2;;2;62;62;1;1;1;113;2;47;401.520.688.946.167
2631496;1;2;1;70;2;4;40;1;;2;572;1;;7;1;;;;;;;;1;;;;2;;2;45;58;55;1;1;5511;2;41;77.863.646.907.473
2631504;1;3;1;70;2;4;40;1;;2;24;1;;2;1;;;;;;;;;;1;;2;;2;3;3;74;1;1;7421;2;41;70.621.379.691.632
2631537;1;4;1;70;2;5;40;3;;2;8;3;;1;2;;;;;;;;;;1;;2;;2;53;53;95;1;1;9500;2;41;859.981.480.115.796
2631544;1;3;1;70;2;120;40;3;;2;120;4;;1;1;;;;;;;;;;1;;2;;2;53;61;1;1;2;111;2;41;753.893.593.612.417
2631637;1;2;1;70;2;28;48;1;;2;28;1;;3;1;;;;;;;;;;1;;2;;2;32;33;52;1;2;5211;2;66;751.328.034.812.182
2631638;1;1;1;70;2;50;48;1;;2;50;4;;1;5;;;;;1;;;;;;;2;;2;59;53;55;1;2;5521;2;66;197.473.263.049.456
2631638;1;3;1;70;2;53;48;1;;2;53;1;;7;8;;;;;;;;;;1;;2;;2;13;59;85;1;2;8512;2;66;197.473.263.049.456
2631640;1;6;1;70;2;4;36;3;;2;52;4;;1;4;;;;;;;;;;1;;2;;2;54;53;55;1;1;5521;2;66;642.254.150.153.998
2631649;1;2;1;70;2;2;24;3;;2;500;3;;1;1;;;;;;;;;;1;;2;;2;54;54;95;1;1;9500;2;66;989.966.401.258.543
2631665;1;2;1;70;2;20;40;3;;1;;;.;;;.;.;;;;;;;;;.;;;;54;;;1;2;;2;66;575.541.735.026.939
2631672;1;2;1;70;2;53;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;2;66;115.444.225.769.998
2631675;1;1;1;70;2;4;48;1;;2;8;1;;3;4;;;;;;;;;;1;;2;;2;50;50;55;1;1;5521;2;66;102.217.286.002.681
2631700;1;2;1;70;2;3;45;1;;2;204;3;;1;1;;;;;;;;;;1;;2;;2;53;54;95;1;1;9500;2;66;431.844.510.864.362
2631724;1;5;1;70;2;4;40;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;1;;2;66;522.564.285.237.373
2631756;1;2;1;70;2;36;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;2;66;18.710.121.848.103
2631786;1;2;1;70;2;8;48;1;;2;8;1;;2;2;;;;;;;;;;1;;2;;2;13;21;64;1;1;6422;2;66;100.774.696.710.966
2631790;1;3;1;70;2;36;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;59;;;1;2;;2;66;632.586.731.299.465
2631813;1;3;1;70;2;20;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;32;;;1;2;;2;66;113.775.766.731.571
