DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,CLASE,INI,DPTO,fex_c_2011
697686,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,103.998.944.787.995
697689,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,148.072.355.010.261
697689,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697689,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697689,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,148.072.355.010.261
697692,1,2,80,1,3,7,,2,,2,,,,,9,2,2,1,63,124.248.746.721.118
697694,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,136.423.462.910.293
697697,1,3,80,1,1,7,,2,,2,,,,,2,2,2,1,63,956.613.065.656
697699,1,2,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697699,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697699,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,144.306.751.737.772
697701,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,742.901.301.994.899
697701,1,3,80,2,,,,2,,2,,2,,.,,,2,1,63,742.901.301.994.899
697704,1,2,80,1,4,2,,2,,2,,,,,9,2,2,1,63,119.424.555.724.237
697704,1,3,80,1,4,2,,3,,2,,,,,8,2,2,1,63,119.424.555.724.237
697705,1,1,80,1,2,6,,2,,2,,,,,1,2,2,1,63,854.922.138.146.744
697707,1,4,80,2,,,,2,,2,,2,,.,,,2,1,63,130.183.365.241.965
697707,1,5,80,2,,,,2,,2,,2,,.,,,2,1,63,130.183.365.241.965
697709,1,2,80,1,1,8,CAMBIO DE DOMICILIO,2,,2,,,,,9,2,2,1,63,131.348.121.975.966
697709,1,7,80,2,,,,2,,2,,2,,.,,,2,1,63,131.348.121.975.966
697709,1,8,80,2,,,,2,,2,,2,,.,,,2,1,63,131.348.121.975.966
697919,1,2,80,1,3,2,,2,,2,,,,,9,2,2,1,66,155.126.618.764.231
697919,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,155.126.618.764.231
697925,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,497.410.791.255.895
697925,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,497.410.791.255.895
697925,1,8,80,2,,,,2,,2,,2,,.,,,2,1,66,497.410.791.255.895
697927,1,2,80,2,,,,2,,2,,2,,.,,,2,1,66,564.164.733.909.898
697927,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,564.164.733.909.898
697929,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,711.932.315.056.224
697929,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,711.932.315.056.224
697929,1,5,80,2,,,,2,,2,,2,,.,,,2,1,66,711.932.315.056.224
697929,2,2,80,2,,,,2,,2,,1,3,,9,,2,1,66,711.932.315.056.224
697938,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,929.045.249.320.908
697938,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,929.045.249.320.908
697940,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,102.541.127.035.743
697940,1,4,80,1,4,6,,2,,2,,,,,9,2,2,1,66,102.541.127.035.743
697941,1,4,80,2,,,,2,,2,,2,,.,,,2,1,66,119.815.853.022.261
697945,1,3,80,2,,,,2,,2,,2,,.,,,2,1,66,128.442.074.593.105
697947,1,2,80,2,,,,2,,2,,1,4,,9,,2,1,66,84.051.519.442.203
