DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6016,P6020,P6030,P6030S1,P6030S3,P6050,P6060,P6060S1,P6070,P6081S1,P6081,P6082,P6083S1,P6083,P6084,P6085,P6071S1,P6071,P6085S1,P6090,P6140,P6150,P6100,P6110,P6120,P6125,P6992,P6992S1,P6160,P6170,P6175,P6180,P6180S1,P6180S2,P6190,P6190S1,P6200,P6200S1,P6210,P6210S1,P6220,P6177,P6177S1,P6040,DPTO,fex_c_2011
678022,1,1,17,10,1,2,1,2,1932,1,2,,4,,3,2,,3,2,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,3,2,,,,76,17,131.958.630.770.528
678023,1,1,17,10,1,2,1,12,1957,1,2,,6,,3,1,4,1,,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,50,17,118.120.086.791.793
678023,1,2,17,10,2,1,1,8,1983,3,2,,6,,2,2,1,1,,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,5,11,2,9,,24,17,118.120.086.791.793
678023,1,3,17,10,1,2,1,7,1997,3,2,,6,,3,3,1,1,,2,,,,1,,,3,,,2,,.,1,1,1,1,0,1000,2,,2,,3,4,,,,10,17,118.120.086.791.793
678023,1,4,17,10,4,2,1,12,1925,5,2,,5,,3,1,,3,1,2,,,,1,,,1,5,,2,,.,2,2,,,,,,,,,1,0,,,,82,17,118.120.086.791.793
678023,1,5,17,10,5,2,1,9,1952,5,2,,6,,3,1,4,1,,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,3,2,,,,55,17,118.120.086.791.793
678023,1,6,17,10,6,2,1,9,1952,5,2,,3,,3,1,4,1,,2,,2,,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,55,17,118.120.086.791.793
678023,1,7,17,10,7,1,1,2,1965,5,2,,6,,2,2,6,1,,2,,,,1,,,3,,,2,,.,1,2,,,,,,,,,3,5,,,,43,17,118.120.086.791.793
678024,1,1,17,10,2,1,1,6,1986,1,2,,6,,3,3,2,1,,2,,,,1,,,1,1,18460,2,,.,1,2,,,,,,,,,5,11,2,2,,21,17,177.389.845.607.908
678024,1,2,17,10,2,2,1,2,1951,5,2,,6,,3,2,,2,2,2,,,,1,,,1,5,,2,,.,1,2,,,,,,,,,3,3,,,,57,17,177.389.845.607.908
