DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4229705;1;1;1;70;50;8;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;52;1;1;5211;01;50;345,70327927815
4229706;1;4;1;70;50;32;48;3; ;2;104;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;54;53;55;1;2;5521;01;50;492,12219560394
4229707;1;3;1;70;50;104;48;1; ;2;104;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;13;53;55;1;2;5521;01;50;454,254959753487
4229707;1;4;1;70;50;44;48;1; ;2;44;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;2;4521;01;50;454,254959753487
4229710;1;1;1;70;50;8;48;4; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;1;5521;01;50;430,601302605325
4229712;1;1;1;70;50;14;48;1; ;2;16;4; ;1;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;95;45;51;1;2;5155;01;50;203,465850192151
4229712;1;3;1;70;50;4;48;1; ;2;5;1; ;3;2;1; ; ; ; ;1; ; ; ; ; ; ;1;700000;95;95;45;1;1;4521;01;50;203,465850192151
4229715;1;1;1;70;50;4;48;1; ;2;4;1; ;6;2;1; ; ;1; ; ; ; ; ; ; ; ;1;689455;39;39;85;1;1;8532;01;50;388,152290941737
4229719;1;1;1;70;50;12;48;1; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;01;50;224,165027495216
4229719;1;2;1;70;50;8;40;4; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;74;1;1;7493;01;50;224,165027495216
4229723;1;3;1;70;50;52;48;4; ;2;5;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6031;01;50;393,187324003652
4229723;1;4;1;70;50;3;48;1; ;2;3;1; ;8;2;2; ; ; ; ; ; ; ; ; ; ;1;1;800000;59;45;52;1;1;5233;01;50;393,187324003652
4229730;1;1;1;70;50;3;48;1; ;2;4;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;45;52;1;1;5224;01;50;405,992389493462
4229731;1;2;1;70;50;2;46;1; ;2;7;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;16;59;45;1;1;4530;01;50;221,225556065717
4229739;1;1;1;70;50;3;48;1; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;58;58;74;1;1;7492;01;50;499,941667221536
4229745;1;3;1;70;50;24;60;1; ;2;4;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;600000;95;95;45;1;2;4530;01;50;191,586208823304
4229746;1;6;1;70;50;26;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;36;60;1;2;6021;01;50;210,98948219395
4229752;1;1;1;70;50;24;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;98;98;60;1;2;6031;01;50;191,739935894856
4229753;1;1;1;70;50;10;48;1; ;2;10;1; ;3;2;8; ; ; ; ;1; ; ; ; ; ; ;2; ;95;95;45;1;1;4521;01;50;220,700227536989
4229759;1;5;1;70;50;5;48;1; ;2;4;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;1;700000;59;59;52;1;1;5231;01;50;218,053703529329
4229759;1;6;1;70;50;6;48;1; ;2;5;1; ;6;2;3; ; ; ; ; ; ; ; ; ; ;1;1;800000;95;95;45;1;1;4521;01;50;218,053703529329
