DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;P750S1;P750S1A1;P750S2;P750S2A1;P750S3;P750S3A1;P750S4;AREA;MES;P1661S1;P1661S1A1;P1661S2;P1661S2A1;P1661S3;P1661S3A1;P1661S4;P1661S4A1;P1661S4A2;DPTO;fex_c_2011
3927788;1;1;1;95;2; ; ; ; ; ; ;1;1;2; ; ; ;300000; ;2;2;2; ;2; ; ;1;300000; ; ; ;17;02;1;300000; ; ; ; ; ; ; ;17;136,041868500227
3927788;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;136,041868500227
3927788;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;136,041868500227
3927788;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;136,041868500227
3927789;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;4200000;2;1;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;621,380551808381
3927790;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;607,084609692643
3927790;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;607,084609692643
3927790;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;607,084609692643
3927792;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;217,929761064459
3927792;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;217,929761064459
3927792;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;217,929761064459
3927792;1;4;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;1680000;2;1;2;300000;1; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;217,929761064459
3927793;1;1;1;95;1;2;1; ;689455; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;681,575862916115
3927793;1;2;1;95;1;2;1; ;689455; ;2;1;2;2; ; ; ; ;4800000;2;1;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;681,575862916115
3927793;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;681,575862916115
3927794;1;1;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;631,630298048257
3927795;1;1;1;95;1;1;2; ; ;900000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;807,161833296377
3927795;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;807,161833296377
3927796;1;1;1;95;2; ; ; ; ; ; ;1;2;2; ; ; ; ;24000000;2;1;2; ;2; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;544,16747400091
3927796;1;2;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;544,16747400091
3927796;1;3;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;544,16747400091
3927796;1;4;1;95;2; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;02; ; ; ; ; ; ; ; ; ;17;544,16747400091
