DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011;AREA
3203144;1;2;1;70;1;19;48;4; ;2;6;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;2;5521;05;63;112,8131343088;63
3203147;1;3;1;70;1;2;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;2;95;41;52;1;1;5241;05;63;102,600892395525;63
3203152;1;3;1;70;1;4;48;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;95;61;01;1;1;0117;05;63;135,881060202941;63
3203153;1;2;1;70;1;8;48;4; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;99;51;1;1;5125;05;63;151,366162739146;63
3203156;1;2;1;70;1;3;48;4; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;550000;2;03;03;45;1;1;4542;05;63;183,42457596443;63
3203156;1;3;1;70;1;3;50;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;740000;2;95;95;45;1;1;4521;05;63;183,42457596443;63
3203159;1;2;1;70;1;12;48;1; ;2;99;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;54;95;1;1;9500;05;63;144,997194636463;63
3203159;1;6;1;70;1;14;48;4; ;2;23;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;55;74;1;2;7493;05;63;144,997194636463;63
3203165;1;2;1;70;1;16;48;1; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;55;95;1;2;9500;05;19;65,7930651229043;19
3203166;1;3;1;70;1;20;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;05;19;107,471098897643;19
3203193;1;3;1;70;1;8;48;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;45;52;1;1;5225;05;44;81,8315516502662;44
3203198;1;2;1;70;1;3;40;3; ;2;40;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;39;15;1;1;1522;05;20;144,215674292989;20
3203206;1;2;1;70;1;8;48;1; ;2;192;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;51;55;1;1;5521;05;20;134,624761297802;20
3203212;1;2;1;70;1;2;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;41;163,243359239518;41
3203217;1;1;1;70;1;5;48;1; ;2;5;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;63;129,449215558469;63
3203219;2;2;2;70;1;3;48;3; ;2;20;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;45;52;1;1;5261;05;63;148,863952692064;63
3203219;2;3;2;70;1;16;48;1; ;2;28;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;95;45;1;2;4521;05;63;148,863952692064;63
3203220;1;1;1;70;1;20;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;2; ;05;63;161,099091942328;63
3203221;1;2;1;70;1;2;48;2; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;99; ; ;1;1; ;05;63;178,21448590209;63
3203228;1;2;1;70;1;8;24;3; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;74;1;1;7493;05;63;162,116418245332;63
3203231;1;1;1;70;1;3;50;1; ;2;24;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;63;129,449215558469;63
3203234;1;1;1;70;1;28;45;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;05;63;117,026584474034;63
3203236;1;1;1;70;1;6;40;4; ;2;1;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;1;104000;2;61;61;01;1;1;0111;05;63;187,071320822774;63
3203236;1;2;1;70;1;20;45;4; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;55;95;1;2;9500;05;63;187,071320822774;63
3203236;1;3;1;70;1;20;30;4; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;2;4521;05;63;187,071320822774;63
3203264;1;2;1;70;1;4;48;1; ;2;20;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;40;33;65;1;1;6519;05;70;105,062757188213;70
3203275;1;3;1;70;1;84;48;1; ;2;16;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;16;16;92;1;2;9213;05;68;496,76120398135;68
3203281;1;2;1;70;1;2;24;1; ;2;24;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;87;50;1;1;5020;05;68;145,730667239698;68
3203297;1;2;1;70;1;8;48;4; ;2;16;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;80;80;19;1;1;1921;05;68;526,597527347136;68
3203299;1;3;1;70;1;12;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;05;68;490,032272297545;68
3203302;1;2;1;70;1;16;48;3; ;2;16;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;2;9500;05;76;932,007070136086;76
3203302;1;3;1;70;1;2;48;3; ;2;132;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;77;55;1;1;5529;05;76;932,007070136086;76
3203307;1;1;1;70;1;4;54;1; ;2;2;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;55;62;01;1;1;0140;05;76;1002,19024690447;76
3203307;1;2;1;70;1;20;48;1; ;2;24;1; ;5;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;33;51;1;2;5125;05;76;1002,19024690447;76
3203316;1;2;1;70;1;4;66;1; ;2;16;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;52;1;1;5221;05;76;718,946368801739;76
3203323;1;1;1;70;1;6;48;1; ;2;52;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;84;84;24;1;1;2423;05;76;765,196274006123;76
3203344;1;3;1;70;1;16;48;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;18000;2;44;95;45;1;2;4521;05;52;178,539679738405;52
3203347;1;3;1;70;1;12;44;1; ;2;12;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;05;52;197,349619931757;52
3203362;1;4;1;70;1;26;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;34; ; ;1;2; ;05;50;177,789683091301;50
3203363;1;2;1;70;1;27;30;1; ;2;54;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;33;85;1;2;8513;05;50;176,551087891973;50
3203380;1;2;1;70;1;24;40;1; ;2;24;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;54;85;1;2;8532;05;15;41,1701520912552;15
3203380;1;4;1;70;1;3;40;1; ;2;3;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;600000;2;59;54;95;1;1;9500;05;15;41,1701520912552;15
3203381;1;1;1;70;1;52;48;1; ;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;45;15;1;2;1551;05;15;111,028719117853;15
