DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4148513;1;1;1;10;1;2;10;1935;80;1;5;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;1675,10198778638
4148513;1;2;1;10;2;1;5;1954;62;3;4;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;63;1675,10198778638
4148526;1;1;1;10;1;1;6;1942;74;1;5;1; ; ;1;3;86200;2;1;2; ;5;11;2; ;2;11;09;63;957,412128466214
4148526;1;2;1;10;2;2;1;1957;59;3;5;1; ; ;1;3;86200;2;1;2; ;4;9; ; ;2;9;09;63;957,412128466214
4148526;1;3;1;10;3;2;10;1978;37;4;6;1; ; ;3; ; ;2;1;2; ;6;2;3; ;2;13;09;63;957,412128466214
4148526;1;4;1;10;4;2;6;1984;32;4;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;957,412128466214
4148526;1;5;1;10;5;1;12;1957;58;3;4;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;09;63;957,412128466214
4148526;1;6;1;10;6;2;6;1955;61;9;6;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;957,412128466214
4148527;1;1;1;10;1;2;6;1975;41;1;4;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;1319,1142036295
4148527;1;2;1;10;2;2;3;2001;15;3;6;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;09;63;1319,1142036295
4148527;1;3;1;10;3;1;8;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;09;63;1319,1142036295
4148528;1;1;1;10;1;1;10;1978;37;1;2;2;1;108; ; ; ;2;1;2; ;3;4; ; ;2;4;09;63;1326,25589624809
4148528;1;2;1;10;2;2;3;1985;31;2;2;2;1;108; ; ; ;2;1;2; ;4;9; ; ;2;9;09;63;1326,25589624809
4148528;1;3;1;10;3;2;1;2005;11;3;6;2;1;108; ; ; ;2;1;1;1;3;5; ; ;2;5;09;63;1326,25589624809
4148528;1;4;1;10;4;2;7;2006;10;3;6;2;1;108; ; ; ;2;1;1;1;3;3; ; ;2;3;09;63;1326,25589624809
4148529;1;1;1;10;1;1;8;1984;32;1;2;1; ; ;1;3;86200;2;1;2; ;5;11;2; ;2;11;09;63;1356,77278564536
4148529;1;2;1;10;2;2;10;1972;43;2;2;1; ; ;1;3;86200;2;1;2; ;5;11;2; ;2;11;09;63;1356,77278564536
4148530;1;1;1;10;1;1;2;1936;80;1;3;1; ; ;1;3;86200;2;1;2; ;4;6; ; ;2;6;09;63;1675,10198778638
4148530;1;2;1;10;2;2;2;1940;76;2;3;1; ; ;1;5; ;2;1;2; ;4;9; ; ;2;9;09;63;1675,10198778638
4148531;1;1;1;10;1;1;9;1987;29;1;2;2;1;96; ; ; ;2;1;2; ;4;8; ; ;2;8;09;63;2180,14231004617
4148531;1;2;1;10;2;2;3;1989;27;2;2;2;1;96; ; ; ;2;1;2; ;4;9; ; ;2;9;09;63;2180,14231004617
4148531;1;3;1;10;2;2;10;2015;0;3; ;2;1;11; ; ; ;2; ; ; ; ; ; ; ;2; ;09;63;2180,14231004617
4148531;1;4;1;10;4;1;8;1959;57;5;4;1; ; ;1;1;27600;2;1;2; ;3;1; ; ;2;1;09;63;2180,14231004617
4148532;1;1;1;10;1;1;2;1947;69;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1069,08922393015
4148532;1;2;1;10;2;2;5;1972;44;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1069,08922393015
4148533;1;1;1;10;1;1;8;1986;30;1;2;2;1;30; ; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1356,77278564536
4148533;1;2;1;10;2;2;11;1965;50;2;2;2;1;30; ; ; ;1;1;2; ;3;1; ; ;2;1;09;63;1356,77278564536
4148534;1;1;1;10;1;1;7;1988;28;1;2;1; ; ;1;4; ;2;1;2; ;5;11;2; ;2;11;09;63;1741,96290020543
4148534;1;2;1;10;2;2;12;1985;30;2;2;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;09;63;1741,96290020543
4148534;1;3;1;10;2;1;7;2014;2;3; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;2; ;09;63;1741,96290020543
4148535;1;1;1;10;1;1;1;1959;57;1;2;2;1;7; ; ; ;2;1;2; ;3;2; ; ;2;2;09;63;1235,42919748675
4148535;1;2;1;10;2;2;12;1964;51;2;2;2;1;7; ; ; ;2;1;2; ;4;6; ; ;2;6;09;63;1235,42919748675
4148535;1;3;1;10;3;1;11;1993;22;3;6;2;1;7; ; ; ;1;1;2; ;5;11;2; ;2;11;09;63;1235,42919748675
4148535;1;4;1;10;4;1;10;2001;14;3;6;2;1;7; ; ; ;2;1;1;1;4;7; ; ;2;7;09;63;1235,42919748675
4148536;1;1;1;10;2;1;5;1947;69;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;63;1815,88080609104
4148536;1;2;1;10;2;1;7;1992;24;4;6;1; ; ;3; ; ;1;1;2; ;6;2;3; ;2;13;09;63;1815,88080609104
4148537;1;1;1;10;1;1;10;1934;81;1;3;1; ; ;1;5; ;2;1;2; ;3;4; ; ;2;4;09;63;1675,10198778638
4148537;1;2;1;10;2;2;3;1939;77;2;3;1; ; ;1;3;89000;2;1;2; ;4;6; ; ;2;6;09;63;1675,10198778638
4148538;1;1;1;10;1;1;12;1977;38;1;4;1; ; ;1;4; ;2;1;2; ;3;5; ; ;2;5;09;63;2020,39438102795
4148539;1;1;1;10;1;1;7;1982;34;1;6;2;1;3; ; ; ;2;1;2; ;3;4; ; ;2;4;09;63;1962,78554950159
4148539;1;2;1;10;2;2;1;1954;62;5;3;2;1;3; ; ; ;2;1;2; ;3;2; ; ;2;2;09;63;1962,78554950159
4148540;1;1;1;10;1;1;9;1957;59;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;63;1069,08922393015
4148540;1;2;1;10;2;2;7;1963;53;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;63;1069,08922393015
4148541;1;1;1;10;1;1;6;1952;64;1;3;2;1;4; ; ; ;1;1;2; ;3;1; ; ;2;1;09;63;1863,8420986602
4148541;1;2;1;10;2;2;4;1960;56;2;3;2;1;4; ; ; ;2;1;2; ;3;3; ; ;2;3;09;63;1863,8420986602
4148541;1;3;1;10;2;1;4;1980;36;3;6;2;1;4; ; ; ;2;2;2; ;1;0; ; ;2;0;09;63;1863,8420986602
4148541;1;4;1;10;4;1;12;1997;18;3;6;2;1;4; ; ; ;2;1;2; ;4;6; ; ;2;6;09;63;1863,8420986602
4148542;1;1;1;10;1;1;4;1959;57;1;4;1; ; ;3; ; ;1;1;2; ;6;1;2;2;2;12;09;63;1732,71081931274
4148543;1;1;1;10;1;1;11;1961;54;1;4;2;1;36; ; ; ;2;1;2; ;3;5; ; ;2;5;09;63;2020,39438102795
4148544;1;1;1;10;1;1;2;1943;73;1;3;2;1;1; ; ; ;2;1;2; ;3;1; ; ;2;1;09;63;2045,0336576478
4148544;1;2;1;10;2;2;7;1938;78;2;3;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;63;2045,0336576478
4148544;1;3;1;10;3;2;7;2000;16;4;6;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;09;63;2045,0336576478
4148544;1;4;1;10;2;1;12;2011;4;4; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;63;2045,0336576478
4148545;1;1;1;10;1;2;2;1964;52;1;6;1; ; ;1;5; ;2;1;2; ;3;4; ; ;2;4;09;63;1251,20266154984
4148546;1;1;1;10;1;2;4;1971;45;1;6;1; ; ;2;1;84900;2;1;2; ;6;5;4; ;2;16;09;63;616,107619784777
4148546;1;2;1;10;2;2;9;1944;72;5;5;1; ; ;1;2;82700;2;1;2; ;3;2; ; ;2;2;09;63;616,107619784777
4148546;1;3;1;10;3;2;6;1982;34;5;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;616,107619784777
4148546;1;4;1;10;4;2;7;1998;18;5;6;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;09;63;616,107619784777
4148546;1;5;1;10;5;2;1;1976;40;9;6;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;63;616,107619784777
4148547;1;1;1;10;1;1;11;1964;51;1;2;1; ; ;1;4; ;2;1;2; ;3;3; ; ;2;3;09;63;1228,01864152848
4148547;1;2;1;10;2;2;1;1970;46;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1228,01864152848
4148547;1;3;1;10;3;1;3;1993;23;3;6;2;1;6; ; ; ;2;1;1;1;6;1;2;2;2;12;09;63;1228,01864152848
4148547;1;4;1;10;4;1;3;1994;22;3;6;2;1;1; ; ; ;2;1;2; ;4;9; ; ;2;9;09;63;1228,01864152848
4148547;1;5;1;10;2;1;7;2010;6;3; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;09;63;1228,01864152848
4148557;1;1;1;10;1;1;1;1950;66;1;2;1; ; ;1;4; ;2;1;2; ;3;2; ; ;2;2;09;63;1077,95072561401
4148557;1;2;1;10;2;2;9;1960;56;2;2;1; ; ;1;5; ;2;2;2; ;1;0; ; ;2;0;09;63;1077,95072561401
4148558;1;1;1;10;1;1;7;1971;45;1;3;1; ; ;1;1;160000;2;1;2; ;6;5;4; ;2;16;09;63;747,448184480328
4148558;1;2;1;10;2;2;10;1972;43;2;3;1; ; ;1;5; ;2;1;2; ;6;5;4; ;2;16;09;63;747,448184480328
4148558;1;3;1;10;2;1;8;2004;12;3;6;1; ; ;1;5; ;2;1;1;2;4;6; ; ;2;6;09;63;747,448184480328
4148558;1;4;1;10;2;1;7;2010;6;3; ;1; ; ;1;5; ;2;1;1;2;3;0; ; ;2;0;09;63;747,448184480328
4148558;1;5;1;10;5;2;12;1977;38;6;3;1; ; ;1;1;27600;2;1;2; ;3;5; ; ;2;5;09;63;747,448184480328
4148559;1;1;1;10;1;1;4;1969;47;1;2;1; ; ;1;4; ;2;1;2; ;3;5; ; ;2;5;09;63;926,622598321871
4148559;1;2;1;10;2;2;10;1972;43;2;2;1; ; ;1;5; ;1;1;2; ;3;4; ; ;2;4;09;63;926,622598321871
4148559;1;3;1;10;3;1;6;1992;24;3;4;2;1;96; ; ; ;1;1;2; ;3;5; ; ;2;5;09;63;926,622598321871
4148560;1;1;1;10;1;1;5;1955;61;1;3;1; ; ;1;4; ;2;2;2; ;1;0; ; ;2;0;09;63;1115,02278582193
4148561;1;1;1;10;1;1;7;1964;52;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;63;1093,0939909075
4148561;1;2;1;10;2;2;2;1969;47;2;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;63;1093,0939909075
4148561;1;3;1;10;2;2;5;1987;29;3;3;1; ; ;2;5; ;2;1;2; ;3;2; ; ;2;2;09;63;1093,0939909075
4148561;1;4;1;10;2;2;5;2016;0;4; ;1; ; ;2;5; ;2; ; ; ; ; ; ; ;2; ;09;63;1093,0939909075
4148562;1;1;1;10;1;1;3;1954;62;1;3;1; ; ;1;4; ;2;1;2; ;3;4; ; ;2;4;09;63;687,973337196348
4148562;1;2;1;10;2;2;4;1966;50;2;3;1; ; ;1;5; ;2;1;2; ;3;2; ; ;2;2;09;63;687,973337196348
4148563;1;1;1;10;1;1;10;1944;71;1;3;1; ; ;1;3;86200;2;1;2; ;6;7;5; ;2;18;09;63;1071,74240415351
4148563;1;2;1;10;2;2;10;1945;70;2;3;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;09;63;1071,74240415351
4148563;1;3;1;10;3;1;9;1987;28;3;6;2;2; ; ; ; ;2;1;2; ;6;5;4; ;2;16;09;63;1071,74240415351
4148563;1;4;1;10;4;2;12;1927;88;5;5;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;09;63;1071,74240415351
4148563;1;5;1;10;5;2;9;1948;68;5;5;1; ; ;1;3;86200;2;1;2; ;5;11;2; ;2;11;09;63;1071,74240415351
4148564;1;1;1;10;1;1;10;1943;72;1;3;1; ; ;1;2;360000;2;1;2; ;6;5;4; ;2;16;09;63;1077,95072561401
4148564;1;2;1;10;2;2;7;1947;69;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;09;63;1077,95072561401
4148565;1;1;1;10;1;1;4;1943;73;1;3;1; ; ;1;2;384000;2;1;2; ;3;5; ; ;2;5;09;63;1077,95072561401
4148565;1;2;1;10;2;2;7;1942;74;2;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;09;63;1077,95072561401
4148566;1;1;1;10;1;2;7;1961;55;1;3;1; ; ;1;3;92000;2;1;2; ;6;5;4; ;2;16;09;63;1131,47173403658
4148566;1;2;1;10;2;1;11;1992;23;3;6;1; ; ;1;5; ;2;1;2; ;6;2;2;2;2;13;09;63;1131,47173403658
4148566;1;3;1;10;1;1;12;1932;83;5;5;1; ; ;1;5; ;2;2;2; ;1;0; ; ;2;0;09;63;1131,47173403658
4148571;1;1;1;10;1;1;5;1954;62;1;3;2;1;4; ; ; ;2;1;2; ;3;5; ; ;2;5;09;63;1068,13171061997
4148571;1;2;1;10;2;2;4;1957;59;2;3;2;1;4; ; ; ;2;1;2; ;6;4;3; ;2;15;09;63;1068,13171061997
4148571;1;3;1;10;3;2;3;1993;23;3;6;2;1;4; ; ; ;2;1;2; ;6;2;3; ;2;13;09;63;1068,13171061997
4150621;1;1;1;10;1;1;6;1984;32;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;2312,56000421204
4150621;1;2;1;10;2;2;6;1994;22;2;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;09;66;2312,56000421204
4150621;1;3;1;10;2;2;6;2011;5;3; ;1; ; ;3; ; ;2;2;1;1;2;1; ; ;2;0;09;66;2312,56000421204
4150621;1;4;1;10;2;2;7;2013;3;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;2312,56000421204
4150622;1;1;1;10;1;1;9;1964;52;1;4;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;66;1220,0292589214
4150623;1;1;1;10;1;1;11;1988;27;1;2;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;66;819,296723322622
4150623;1;2;1;10;2;2;11;1978;37;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;819,296723322622
4150624;1;1;1;10;1;1;2;1959;57;1;3;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;09;66;610,789499884699
4150624;1;2;1;10;2;2;11;1948;67;2;3;1; ; ;3; ; ;2;1;1;2;3;1; ; ;2;1;09;66;610,789499884699
4150624;1;3;1;10;2;2;3;1966;50;9;6;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;610,789499884699
4150625;1;1;1;10;1;1;7;1949;67;1;3;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;09;66;1011,52203548348
4150625;1;2;1;10;2;2;5;1958;58;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;1011,52203548348
4150626;1;1;1;10;1;2;5;1970;46;1;4;1; ; ;1;5; ;2;1;2; ;6;3;3; ;2;14;09;66;755,547466507241
4150627;1;1;1;10;1;2;9;1966;49;1;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;09;66;805,770243944388
4150627;1;2;1;10;1;1;10;2002;13;4;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;09;66;805,770243944388
4150628;1;1;1;10;1;1;3;1959;57;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;1011,52203548348
4150628;1;2;1;10;2;2;6;1953;63;2;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;66;1011,52203548348
4150629;1;1;1;10;1;1;2;1978;38;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;66;819,296723322622
4150629;1;2;1;10;2;2;12;1989;26;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;66;819,296723322622
4150630;1;1;1;10;1;1;11;1967;48;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;919,742278196916
4150630;1;2;1;10;2;2;6;1972;44;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;919,742278196916
4150630;1;3;1;10;2;1;5;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;09;66;919,742278196916
4150630;1;4;1;10;2;1;12;2004;11;3;6;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;09;66;919,742278196916
4150631;1;1;1;10;1;2;3;1979;37;1;3;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;09;66;724,761534137228
4150631;1;2;1;10;1;1;4;1970;46;2;3;1; ; ;1;1;27578;2;1;2; ;5;11;2; ;2;11;09;66;724,761534137228
4150631;1;3;1;10;1;1;4;2001;15;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ; ;2;9;09;66;724,761534137228
4150631;1;4;1;10;4;2;8;1957;59;5;4;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;66;724,761534137228
4150631;1;5;1;10;1;1;1;1953;63;5;6;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;66;724,761534137228
4150632;1;1;1;10;1;1;1;1944;72;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;66;774,984311574375
4150632;1;2;1;10;2;2;4;1950;66;2;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;774,984311574375
4150632;1;3;1;10;3;1;10;1980;35;3;6;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;774,984311574375
4150632;1;4;1;10;4;2;9;1978;38;3;4;1; ; ;3; ; ;2;1;2; ;4;8; ; ;2;8;09;66;774,984311574375
4150632;1;5;1;10;4;1;1;2000;16;4;6;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;09;66;774,984311574375
4150632;1;6;1;10;4;1;3;2002;14;4;6;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;09;66;774,984311574375
4150633;1;1;1;10;1;1;8;1954;62;1;3;1; ; ;3; ; ;2;1;2; ;3;3; ; ;2;3;09;66;1011,52203548348
4150633;1;2;1;10;2;2;6;1957;59;2;3;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;09;66;1011,52203548348
4150634;1;1;1;10;1;2;2;1935;81;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;1011,52203548348
4150634;1;2;1;10;2;1;4;1943;73;2;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;09;66;1011,52203548348
4150635;1;1;1;10;1;1;1;1959;57;1;3;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;09;66;661,012277321846
4150635;1;2;1;10;2;2;12;1969;46;2;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;66;661,012277321846
4150635;1;3;1;10;2;1;3;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;8; ; ;2;8;09;66;661,012277321846
4150635;1;4;1;10;2;2;12;1924;91;5;5;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;09;66;661,012277321846
4150636;1;1;1;10;1;2;1;1969;47;1;3;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;09;66;645,576995184838
4150636;1;2;1;10;2;1;7;1947;69;2;3;1; ; ;1;2;82744;2;1;2; ;1;0; ; ;2;0;09;66;645,576995184838
4150637;1;1;1;10;1;1;3;1972;44;1;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;09;66;910,528359789314
4150637;1;2;1;10;2;2;11;1977;38;2;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;09;66;910,528359789314
4150637;1;3;1;10;2;1;10;1998;17;3;6;1; ; ;3; ; ;2;1;1;1;6;0;2;2;2;11;09;66;910,528359789314
4150637;1;4;1;10;2;2;9;2000;16;3;6;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;09;66;910,528359789314
4150637;1;5;1;10;2;1;7;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;09;66;910,528359789314
4150638;1;1;1;10;1;1;1;1995;21;1;2;1; ; ;3; ; ;2;1;2; ;4;7; ; ;2;7;09;66;1270,96972620731
4150638;1;2;1;10;2;2;6;1991;25;2;2;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;09;66;1270,96972620731
