DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4205417;1;1;1;70;2;2;56;4; ;2;10;4; ;4;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;53;53;55;1;1;5519;11;27;1006,1326512051
4205419;1;2;1;70;2;4;8;4; ;2;12;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;55;55;55;1;1;5511;11;27;1830,90323949188
4205429;1;1;1;70;2;46;40;2; ;2;460;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;13;13;80;1;2;8012;11;27;847,451299859968
4205430;1;1;1;70;2;4;40;4; ;2;2;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1800000;53;53;55;1;1;5519;11;27;1005,886738586
4205433;1;1;1;70;2;2;48;4; ;2;2;4; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;53;53;55;1;1;5511;11;27;1766,55038078772
4205434;1;1;1;70;2;2;105;4; ;2;8;4; ;4;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;54;54;55;1;1;5511;11;27;1077,77082471892
4205456;1;1;1;70;2;6;40;4; ;2;7;4; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;77;55;1;1;5511;11;27;898,476686999944
4205467;1;2;1;70;2;16;40;4; ;2;24;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;41;41;52;1;2;5233;11;27;672,228848028931
4205599;1;1;1;70;2;48;49;4; ;2;73;4; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;2;0121;11;44;1031,31510420566
4205628;1;2;1;70;2;7;40;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;58;58;40;1;1;4010;11;44;959,168365499016
4205770;1;1;1;70;2;3;40;1; ;2;3;1; ;9;2;8; ; ; ; ;1; ; ; ; ; ; ;1;920000;95;62;01;1;1;0115;11;50;3231,93772804062
4205775;1;2;1;70;2;3;48;1; ;2;4;1; ;7;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;32;05;01;1;1;0115;11;50;3507,54091568931
4205779;1;2;1;70;2;12;48;1; ;2;12;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;1;5530;11;50;1170,37401329786
4205779;1;3;1;70;2;30;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;95; ; ;1;2; ;11;50;1170,37401329786
4205783;1;2;1;70;2;52;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;55; ; ;1;2; ;11;50;2558,28056024472
