directorio;secuencia_p;orden;P6240;P6250;P6260;P6270;P6280;P6290;P6300;P6310;P6320;P6330;P6340;P6350;P6351;Ft;Mes;Area;Fex_c_2011
168;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;155,090707341567
168;1;3;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;23;155,090707341567
168;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;155,090707341567
168;1;5;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;155,090707341567
169;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;779,200443365366
169;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;779,200443365366
169;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;779,200443365366
170;1;1;4;2;2;2;2; ;1;9; ; ; ; ; ;1;03;23;271,497568730277
170;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;23;271,497568730277
170;1;3;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;271,497568730277
170;1;4;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;271,497568730277
171;1;1;3;1; ; ; ; ; ; ; ; ; ; ; ;1;03;73;168,26127483158
172;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;506,499494556187
172;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;506,499494556187
173;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;223,262920651172
174;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;938,394398914889
177;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;314,839004623142
177;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;314,839004623142
183;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;282,800547307121
184;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;73;382,736435402009
187;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;328,332425814115
191;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;73;461,516639538047
192;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;400,491975371964
192;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;400,491975371964
194;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;307,745123611008
194;1;2;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;307,745123611008
195;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;23;253,290015460468
195;1;2;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;253,290015460468
195;1;3;4;2;2;2;2; ;1;11; ; ; ; ; ;1;03;23;253,290015460468
195;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;253,290015460468
197;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;372,132379986271
197;2;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;372,132379986271
197;2;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;372,132379986271
197;2;4;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;66;372,132379986271
200;1;1;2;2;2;2;1;3; ; ; ; ; ; ;1;1;03;66;355,540519650609
200;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;355,540519650609
200;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;355,540519650609
202;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;73;134,598568601049
202;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;73;134,598568601049
202;1;3;2;2;2;2;1;3; ; ; ; ; ; ;1;1;03;73;134,598568601049
205;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;686,193348281045
205;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;686,193348281045
205;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;686,193348281045
205;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;686,193348281045
208;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;1025,66147647628
208;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;1025,66147647628
216;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;637,875323056284
220;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;360,257563838668
220;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;360,257563838668
221;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;222,640387972128
221;1;2;4;2;2;2;1;4; ; ; ; ; ; ;1;1;03;54;222,640387972128
222;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;899,135487762616
228;2;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;2991,32927865486
228;2;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;2991,32927865486
228;2;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;2991,32927865486
234;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;267,920811982212
234;1;2;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;66;267,920811982212
234;1;3;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;66;267,920811982212
234;1;4;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;66;267,920811982212
234;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;267,920811982212
234;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;267,920811982212
235;1;1;2;1; ; ; ; ; ; ; ; ; ; ; ;1;03;73;90,8139790731865
236;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;13;380,603642595711
236;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;380,603642595711
236;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;380,603642595711
236;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;380,603642595711
238;2;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;83,502664798643
241;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;304,596385176473
241;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;54;304,596385176473
241;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;304,596385176473
248;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;1025,66147647628
248;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;1025,66147647628
249;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;05;972,94958453578
249;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;972,94958453578
249;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;972,94958453578
251;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;444,381285368675
256;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;614,197634583875
256;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;614,197634583875
256;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;614,197634583875
256;1;4;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;66;614,197634583875
259;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;837,399321145756
259;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;837,399321145756
260;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;396,205397601406
260;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;396,205397601406
260;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;396,205397601406
262;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;691,998739998062
262;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;691,998739998062
262;1;4;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;691,998739998062
263;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;867,837711118043
263;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;867,837711118043
264;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;451,415230736764
267;1;1;6;2;2;2;2; ;1;2;1;2; ; ; ;1;03;54;230,55590498036
267;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;230,55590498036
267;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;230,55590498036
267;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;230,55590498036
269;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;575,554419189376
273;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;73;458,672143562571
273;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;458,672143562571
273;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;458,672143562571
274;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;142,565357260394
275;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;151,200343086566
275;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;151,200343086566
276;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;138,41863764826
276;1;2;3;2;2;2;2; ;1;12; ; ; ; ; ;1;03;23;138,41863764826
280;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;752,580090001698
280;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;05;752,580090001698
280;1;3;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;752,580090001698
280;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;752,580090001698
281;1;1;4;2;2;2;2; ;1;5;1;1; ;8;1;1;03;50;265,709988857599
282;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;783,182968095888
283;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;943,241615385183
283;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;943,241615385183
285;1;1;4;2;2;2;1;2; ; ; ; ; ; ;1;1;03;76;1150,93376092561
285;1;2;6;2;2;2;1;2; ; ; ; ; ; ;1;1;03;76;1150,93376092561
285;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1150,93376092561
289;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;471,888379227737
289;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;471,888379227737
289;1;3;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;471,888379227737
289;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;471,888379227737
290;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;73;97,7519065574599
290;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;97,7519065574599
290;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;97,7519065574599
290;1;4;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;73;97,7519065574599
290;1;5;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;73;97,7519065574599
292;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;622,906447998738
292;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;622,906447998738
292;1;5;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;622,906447998738
292;1;7;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;622,906447998738
293;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;988,42060155376
293;1;2;6;2;2;2;1;2; ; ; ; ; ; ;1;1;03;05;988,42060155376
295;1;1;6;2;2;2;2; ;1;2;1;2; ; ; ;1;03;54;220,36722063015
295;1;2;4;2;2;2;2; ;1;7;2; ;2; ; ;1;03;54;220,36722063015
295;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;220,36722063015
295;1;4;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;220,36722063015
296;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;427,465972555229
299;3;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;68;446,776303304652
299;3;2;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;68;446,776303304652
299;3;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;446,776303304652
299;3;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;446,776303304652
300;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;881,173971944303
300;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;881,173971944303
301;1;1;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;50;138,995201031131
304;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;880,658701110875
304;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;880,658701110875
304;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;880,658701110875
304;1;4;2;2;2;2;1;4; ; ; ; ; ; ;1;1;03;05;880,658701110875
304;1;6;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;880,658701110875
308;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;893,071436663366
308;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;893,071436663366
308;1;3;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;893,071436663366
308;1;4;6;2;2;2;2; ;1;3;2; ;1;1;1;1;03;05;893,071436663366
309;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;274,136746658826
309;1;3;4;2;2;2;2; ;1;11; ; ; ; ; ;1;03;54;274,136746658826
309;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;274,136746658826
310;1;1;2;2;2;2;1;1; ; ; ; ; ; ;2;1;03;50;252,744812156796
310;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;252,744812156796
310;1;3;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;50;252,744812156796
311;1;1;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;05;947,873130217059
312;1;1;4;2;2;2;2; ;1;11; ; ; ; ; ;1;03;08;442,794885650824
312;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;442,794885650824
312;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;08;442,794885650824
312;1;4;2;2;2;2;1;7; ; ; ; ; ; ;1;1;03;08;442,794885650824
312;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;08;442,794885650824
315;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;68;479,801803959937
320;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;76;1210,73175190656
320;1;2;4;2;2;2;2; ;1;13; ; ; ; ; ;1;03;76;1210,73175190656
321;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;331,164237010253
323;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;142,565357260394
325;1;1;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;68;385,701997392316
326;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;179,902551356096
326;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;179,902551356096
326;1;3;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;179,902551356096
326;1;4;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;179,902551356096
328;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;432,506107361086
328;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;432,506107361086
329;1;1;6;2;2;1; ; ; ; ; ; ; ; ; ;1;03;73;72,8376242913311
329;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;73;72,8376242913311
332;1;1;2;2;2;2;1;1; ; ; ; ; ; ;1;1;03;54;340,40789829637
332;1;2;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;54;340,40789829637
337;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;142,565357260394
339;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;653,916718372812
340;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;577,648403505444
340;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;577,648403505444
344;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;477,812138631633
344;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;477,812138631633
345;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;787,837325046494
345;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;787,837325046494
348;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;305,012834430038
348;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;305,012834430038
350;1;1;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;68;672,93665347832
350;1;2;4;2;2;2;1;1; ; ; ; ; ; ;1;1;03;68;672,93665347832
350;1;3;4;2;2;2;2; ;1;10; ; ; ; ; ;1;03;68;672,93665347832
351;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;50;76,6422536738623
351;1;2;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;50;76,6422536738623
353;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;386,49732019601
353;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;386,49732019601
355;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;170,969683238708
355;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;170,969683238708
356;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;66;384,173058495493
356;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;66;384,173058495493
357;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;391,318159853291
357;1;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;391,318159853291
358;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;55,5000527971743
358;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;50;55,5000527971743
358;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;55,5000527971743
358;1;4;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;50;55,5000527971743
359;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;54;135,599057651451
359;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;135,599057651451
361;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;162,392317183965
362;1;1;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;13;327,948581237533
362;1;2;5; ; ; ; ; ; ; ; ; ; ; ; ;1;03;13;327,948581237533
364;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;23;196,493077671845
364;1;2;6;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;196,493077671845
364;1;3;6;2;1; ; ; ; ; ; ; ; ; ; ;1;03;23;196,493077671845
364;1;4;4;2;2;2;2; ;1;2;2; ;2; ; ;1;03;23;196,493077671845
364;1;5;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;196,493077671845
366;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;954,120355777918
366;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;954,120355777918
366;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;05;954,120355777918
367;1;1;4;2;2;2;2; ;1;13; ; ; ; ; ;1;03;50;70,1445620325667
367;1;2;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;50;70,1445620325667
367;1;3;3;2;2;2;1;3; ; ; ; ; ; ;1;1;03;50;70,1445620325667
370;1;1;4;2;2;2;2; ;1;11; ; ; ; ; ;1;03;05;623,853491769265
370;1;3;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;623,853491769265
371;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;05;702,211409307471
375;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;293,838748716206
375;1;2;2;2;2;2;1;2; ; ; ; ; ; ;1;1;03;54;293,838748716206
376;1;1;6;2;2;2;2; ;2; ; ; ; ; ; ;1;03;05;1340,69876326473
379;1;1;6;2;2;2;2; ;1;11; ; ; ; ; ;1;03;23;83,454516181198
379;1;2;4;2;2;2;2; ;2; ; ; ; ; ; ;1;03;23;83,454516181198
379;1;3;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;23;83,454516181198
381;1;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;54;274,482540348108
381;1;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;54;274,482540348108
381;1;4;4;1; ; ; ; ; ; ; ; ; ; ; ;1;03;54;274,482540348108
381;1;5;4;2;2;2;2; ;1;2;2; ;1;2;1;1;03;54;274,482540348108
383;1;1;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;286,475476816661
383;2;1;4;2;1; ; ; ; ; ; ; ; ; ; ;1;03;13;286,475476816661
383;2;2;3;2;2;2;2; ;2; ; ; ; ; ; ;1;03;13;286,475476816661
384;2;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1;03;23;220,568551519415
