DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2626299,1,4,3,6,,4,4,4,5,4,,,,80000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,5,1,1,1,2,1,2,2,2,2,0,,,1,2,2,13,1,184.030.799.396.884
2626300,1,2,1,6,,4,9,5,5,4,,,,80000,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,,2,2,,8,1,1,1,2,1,2,2,2,2,0,,,1,2,2,13,1,241.868.129.670.956
2626301,1,1,1,4,1,4,2,5,4,4,,,,200000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,1,2,2,2,2,2,2,,,,1,2,2,13,1,133.997.684.712.556
2626302,1,3,2,6,,4,4,5,5,1,,,10000000,150000,,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,1,2,1,2,2,2,2,1,,,1,2,2,13,1,146.786.372.139.808
2626303,1,4,1,2,1,3,3,1,4,1,,,45000000,200000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,2,1,2,2,2,2,1,,,1,2,2,13,1,118.564.919.272.599
2628398,1,4,3,2,1,1,2,1,5,1,,,99,2000000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,1,1,4,1,2,2,1,2,1,2,,1,2,2,73,1,632.586.731.299.465
2628409,1,4,2,3,1,3,2,1,5,4,,,,100000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,,5,1,1,1,4,1,2,2,2,2,1,,,1,2,2,73,1,140.322.279.400.424
2628411,1,2,1,3,1,3,1,1,5,4,,,,60000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,1,1,4,1,2,2,2,1,1,,1,1,2,2,73,1,25.899.856.762.871
2628413,1,4,2,3,1,4,1,1,4,1,,,99,50000,,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,2,2,2,1,1,,1,1,2,2,73,1,257.490.742.004.255
2628414,1,4,2,3,1,3,2,1,5,4,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,3,1,1,1,4,1,2,2,2,2,1,,,1,2,2,73,1,257.490.742.004.255
2628415,1,3,3,2,1,4,1,1,5,3,,,,,20000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,6,1,1,4,1,1,2,2,2,1,1,,2,1,2,2,73,1,352.943.116.832.394
2628416,1,3,2,3,1,3,2,1,5,4,,,,20000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,,4,1,1,4,2,1,2,2,2,2,1,,,1,2,2,73,1,215.547.963.757.402
