DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
718963;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;629.575.053.763.425
718963;1;2;5;80;1;1;2;;2;;2;;;;;9;2;1;5;629.575.053.763.425
718963;1;6;5;80;2;;;;2;;2;;2;;.;;;1;5;629.575.053.763.425
718965;1;2;5;80;1;2;2;;2;;2;;;1;;6;1;1;5;745.095.250.616.489
718965;1;3;5;80;2;;;;2;;2;;2;;.;;;1;5;745.095.250.616.489
718965;1;4;5;80;2;;;;2;;2;;2;;.;;;1;5;745.095.250.616.489
718965;1;6;5;80;1;1;2;;2;;2;;;;;9;2;1;5;745.095.250.616.489
718968;1;1;5;80;1;1;2;;1;2;1;30000;;;;9;2;1;5;707.920.995.248.457
718968;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;707.920.995.248.457
718969;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;760.039.285.259.296
718974;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;104.725.823.650.394
718974;1;2;5;80;2;;;;2;;1;80000;2;;.;;;1;5;104.725.823.650.394
718974;1;5;5;80;2;;;;2;;2;;2;;.;;;1;5;104.725.823.650.394
718975;1;2;5;80;1;4;8;POR  LA  EDAD;2;;2;;;;;8;2;1;5;717.255.876.026.196
718977;1;1;5;80;1;3;8;CAMBIO  DE   PAIS;3;;2;;;;;8;2;1;5;760.039.285.259.296
718978;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;760.039.285.259.296
718983;1;2;5;80;2;;;;2;;2;;2;;.;;;1;5;707.920.995.248.457
718985;1;1;5;80;1;3;4;;3;;2;;;;;10;2;1;5;788.960.530.995.267
718985;1;2;5;80;1;4;6;;2;;2;;;;;9;2;1;5;788.960.530.995.267
718986;1;1;5;80;2;;;;2;;2;;2;;.;;;1;5;417.667.586.057.462
718988;1;1;5;80;1;4;4;;3;;2;;;;;8;2;1;5;666.559.536.693.299
718993;1;1;5;80;1;1;3;;1;4;1;80000;;;;4;2;1;5;603.406.097.357.131
