DIRECTORIO SECUENCIA_P ORDEN HOGAR REGIS AREA P7430 P7450 P7450S1 P7452 P7454 P7456 P7458 P7458S1 P7460 P7470 P7472 P7472S1 P744 P1884 P1807 P6921 INI MES p7440 DPTO fex_c_2011
5544925 1 2 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1361.4363577
5544926 1 2 1 80 05 1 4  2   9  2  2     2 1 09 4 05 2234.2078383
5544926 1 3 1 80 05 2    2   . 2  2     2 1 09  05 2234.2078383
5544927 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 2643.4050956
5544927 1 3 1 80 05 2    1 1 2  2  2  1 24 908526 2 1 09  05 2643.4050956
5544928 1 2 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1375.3849351
5544929 1 2 1 80 05 2    2   . 2  2     2 1 09  05 2067.2634093
5544932 1 1 1 80 05 2    2   . 2  2     2 1 09  05 1469.8399829
5544936 1 2 1 80 05 1 4  2   1  2  2     2 1 09 3 05 1086.9392383
5544937 1 1 1 80 05 2    2   . 2  2     2 1 09  05 1565.7964051
5544939 1 2 1 80 05 1 3  2   9  2  2     2 1 09 4 05 1299.5020536
5544943 1 1 1 80 05 1 9 PANDEMIA 2   9  2  2  2  908526 2 1 09 1.4 05 1109.1328844
5544945 1 3 1 80 05 2    2   .   2      1 09  05 1308.2242089
5544947 1 1 1 80 05 1 3  2   4  2  2     2 1 09 4 05 971.69740056
5544947 1 3 1 80 05 2    2   .   2      1 09  05 971.69740056
5544948 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1267.7324304
5544948 1 5 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1267.7324304
5544949 1 4 1 80 05 1 8  2   9  2  2  1 48 980000 2 1 09 1.1 05 1050.1112402
5544949 1 5 1 80 05 2    2   .   2      1 09  05 1050.1112402
5544949 1 8 1 80 05 1 9 "LA PANDEMIA" 2   8  2  1 60000 1 48 908526 2 1 09 2 05 1050.1112402
5544949 1 10 1 80 05 2    2   . 2  2     2 1 09  05 1050.1112402
5544950 1 1 1 80 05 1 5  2   10  2  2     2 1 09 4 05 1407.1545583
5544950 1 2 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1407.1545583
5544951 1 1 1 80 05 1 4  2   4  2  2     2 1 09 1.3 05 1361.4363577
5544951 1 2 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1361.4363577
5544952 1 1 1 80 05 1 5  2   10  3  2     3 1 09 4 05 1078.6828921
5544953 1 3 1 80 05 2    2   . 2  2     2 1 09  05 818.3242766
5544956 1 3 1 80 05 2    2   .   2      1 09  05 948.17727545
5544956 1 4 1 80 05 2    2   .   2      1 09  05 948.17727545
5544957 1 2 1 80 05 1 9 "LA GENTE NO CANCELO CUENTAS" 2   9  2  2     2 1 09 1.2 05 1299.5020536
5544957 1 3 1 80 05 1 8  1  3 1  2  2  1 48 1000000 2 1 09 3 05 1299.5020536
5544959 1 2 1 80 05 1 4  2   4  2  2     2 1 09 1.4 05 1156.8377291
5544961 1 2 1 80 05 2    2   . 2  2     2 1 09  05 1156.8377291
5544962 1 1 1 80 05 2    2   . 2  2     2 1 09  05 1033.6317047
5544963 1 1 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1156.8377291
5544964 1 3 1 80 05 2    2   .   2      1 09  05 1429.1164712
5544964 1 6 1 80 05 1 4  2   4  2  2     2 1 09 4 05 1429.1164712
5544965 1 1 1 80 05 1 8  2   8  3  2     3 1 09 2 05 1111.1195285
5544969 1 4 1 80 05 1 9 PANDEMIA 2   9  2  2     2 1 09 2 05 1286.0237147
5544970 1 1 1 80 05 1 1  2   8  2  2     2 1 09 3 05 1082.5828351
5544970 1 3 1 80 05 2    2   . 2  2     2 1 09  05 1082.5828351
5544970 2 1 2 80 05 1 4  2   4  2  2     2 1 09 2 05 1082.5828351
5544970 2 2 2 80 05 2    2   . 2  2     2 1 09  05 1082.5828351
5544970 2 3 2 80 05 1 8  2   1  2  2     2 1 09 1.3 05 1082.5828351
5544970 2 4 2 80 05 2    2   . 2  2     2 1 09  05 1082.5828351
5544970 2 6 2 80 05 1 3  2   9  2  2     2 1 09 3 05 1082.5828351
5544973 1 3 1 80 05 2    2   .   2      1 09  05 1367.8447509
5544973 1 4 1 80 05 2    2   .   2      1 09  05 1367.8447509
