DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;AREA;P5070;DPTO;ORDEN;fex_c_2011
1072325;1;3;1;1;1;1;1;3;3; ; ; ; ;270000;1;1;2;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;908,424478817667
1072326;1;3;2;1;1;1;1;4;4; ; ; ;250000; ;1;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1045,19500946216
1072327;1;4;3;1;1;1;1;3;3; ; ; ; ;290000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;876,982238944848
1072329;1;4;3;1;1;1;1;3;1; ; ;50000000;300000; ;1;1;2;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1080,32408119328
1072330;1;4;3;1;1;1;1;4;3; ; ; ; ;170000;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;1;2;2;01;05;1;05;1;503,799546630677
1072331;1;4;3;1;1;1;1;3;4; ; ; ;200000; ;1;1;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;1;1;1;1;3;2;1;01;05;1;05;1;976,23325569865
1072334;1;5;1;1;1;1;1;3;4; ; ; ;350000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;4;2;1;01;05;1;05;1;908,424478817667
1072335;1;2;1;1;1;1;1; ;3; ; ; ; ;85000;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;6;05;1;1006,65691270233
1072336;1;3;1;1;1;1;1;3;1; ; ;40000000;300000; ;1;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;1006,65691270233
1072337;1;4;1;1;1;1;1; ;4; ; ; ;250000; ;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;6;05;1;1050,65069415032
1072338;1;5;3;1;1;1;1;3;1; ; ;98;300000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;936,697140329248
1072339;1;3;2;1;1;1;1;1;3; ; ; ; ;120000;2;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;3;2;1;2;1;1;1;1;2;1;01;05;1;05;1;726,938402368292
1072340;1;3;2;1;1;1;1;4;1; ; ;10000000;120000; ;1;2;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;1;2;2;2;1;1;3;2;1;2;1;1;1;1;2;1;01;05;1;05;1;747,494086500993
1072341;1;2;1;1;1;1;1;4;3; ; ; ; ;220000;1;1;2;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072342;1;1;1;1;2;1;1;4;3; ; ; ; ;150000;1;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;3;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1178,55651507795
1072343;1;3;2;1;1;1;1;4;1; ; ;40000000;300000; ;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;1034,92957421391
1072344;1;3;2;1;1;1;1;4;3; ; ; ; ;250000;1;1;2;1;1;1;1;1;1;2;1;2;1;1;2;2;2;1;2;2;2;1;2;1;4;1;2;1;1;1;2;2;1;01;05;1;05;1;1041,80757100507
1072345;1;6;4;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;1046,71028156881
1072346;1;1;1;1;1;1;1;3;3; ; ; ; ;170000;1;1;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;844,578788047675
1072348;1;6;2;1;1;1;1;1;1; ; ;70000000;400000; ;1;2;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;1;2;1;4;1;2;1;1;1;3;2;1;01;05;1;05;1;1148,87620900277
1072349;1;5;3;1;1;1;1;3;1; ; ;80000000;500000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;2;2;2;2;1;2;2;2;1;1;1;4;1;1;1;1;1;3;2;1;01;05;1;05;1;1084,06683119647
1072351;1;4;3;1;1;1;1;4;4; ; ; ;200000; ;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;934,525580577587
1072352;1;2;2;1;1;1;1;4;3; ; ; ; ;220000;1;1;2;1;1;1;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1041,80757100507
1072353;1;3;2;1;1;1;1;4;3; ; ; ; ;180000;1;1;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;1060,91612939857
1072354;1;4;2;1;1;1;1;1;1; ; ;30000000;200000; ;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2;1;2;1;2;1;1;1;2;2;1;01;05;1;05;1;815,669316192778
1072355;1;6;4;1;1;1;1;3;1; ; ;45000000;250000; ;1;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;1007,03278850799
1072356;1;3;2;1;1;1;1; ;3; ; ; ; ;230000;1;1;1;2;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;6;05;1;933,010308470938
1072357;1;6;4;1;1;1;1;3;1; ; ;80000000;450000; ;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;2;1;4;1;1;1;1;1;2;2;1;01;05;1;05;1;815,669316192778
