DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S4;P7510S6;P7510S2A1;P7510S4A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
1072251;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;856,720703668828
1072251;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;856,720703668828
1072251;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;856,720703668828
1072252;1;1;1;95;1; ;1;2; ; ;400000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;908,424478817667
1072252;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;908,424478817667
1072254;1;1;1;95;1; ;1;1; ;1000000;370000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;848,682746317116
1072254;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2;2400000; ; ; ; ; ;2;2;1; ;2;05;05;848,682746317116
1072254;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;848,682746317116
1072254;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;848,682746317116
1072255;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1162,83539514154
1072255;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1162,83539514154
1072255;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;520000; ; ; ;2;2;2; ;2;05;05;1162,83539514154
1072256;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,12490437247
1072256;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,12490437247
1072256;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;190000; ; ; ;2;2;2; ;2;05;05;1365,12490437247
1072256;1;4;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;114000; ; ; ;2;2;2; ;2;05;05;1365,12490437247
1072256;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,12490437247
1072256;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,12490437247
1072256;1;7;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1365,12490437247
1072257;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2;3500000; ; ; ; ;2000000;2;1;1; ;2;05;05;796,261364398058
1072258;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;733,964254995929
1072258;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;733,964254995929
1072258;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;733,964254995929
1072258;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;733,964254995929
1072258;2;1;2;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;1200000;2;1;2; ;2;05;05;733,964254995929
1072259;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;4200000;2;1;2; ;2;05;05;920,566394438819
1072259;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;600000;2;1;2; ;2;05;05;920,566394438819
1072259;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;920,566394438819
1072259;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;920,566394438819
1072259;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;920,566394438819
1072260;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;3;1;95;1; ;2;1; ;180000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;6;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;8;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;9;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;525,083978798305
1072260;1;10;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;100000;2;1;2; ;2;05;05;525,083978798305
1072263;1;1;1;95;1; ;1;2; ; ;180000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;849,091349959087
1072263;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;849,091349959087
1072263;1;4;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;700000; ; ; ;2;2;2; ;2;05;05;849,091349959087
1072263;1;5;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;849,091349959087
1072264;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;98;1;05;05;654,397444289528
1072264;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;654,397444289528
1072264;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;654,397444289528
1072264;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;654,397444289528
1072264;2;1;2;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ; ;2;2;2;850000;1;05;05;654,397444289528
1072264;2;2;2;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;654,397444289528
1072265;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;100000; ; ; ;2;2;2; ;2;05;05;924,167185325685
1072265;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;924,167185325685
1072267;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;799,239176901126
1072267;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;799,239176901126
1072267;1;3;1;95;2; ; ; ; ; ; ; ;1;2; ;2; ; ; ; ; ;900000;2;1;2; ;2;05;05;799,239176901126
1072269;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;120000; ; ; ;2;2;2; ;2;05;05;1050,65069415032
1072271;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1147,11427520513
1072271;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1147,11427520513
1072271;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1147,11427520513
1072271;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1147,11427520513
1072272;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;2;3000000; ; ; ; ; ;2;2;1; ;2;05;05;1178,55651507795
1072272;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2;98; ; ; ; ; ;2;2;1; ;2;05;05;1178,55651507795
1072273;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;300000;1000000; ; ;1;2;2; ;2;05;05;1178,55651507795
1072273;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;300000;400000; ; ;1;2;2; ;2;05;05;1178,55651507795
1072274;1;1;1;95;2; ; ; ; ; ; ; ;1;2; ;1; ; ;9000000; ; ; ;2;2;2; ;2;05;05;1050,28948588406
1072274;1;2;1;95;2; ; ; ; ; ; ; ;1;2; ;2;4200000; ; ; ; ;1600000;2;1;1; ;2;05;05;1050,28948588406
1072275;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072275;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072275;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072275;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1078,15252144162
1072276;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1178,55651507795
1072276;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ;05;05;1178,55651507795
