DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;P7510S7A1;P7510S7;DPTO;fex_c_2011
905248;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;476.181.672.071.264
905250;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;255.237.302.262.923
905250;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;255.237.302.262.923
905250;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;255.237.302.262.923
905250;1;6;1;95;2;;;;;;;;1;2;2;;;;;80000;2;1;2;2;;2;13;255.237.302.262.923
905257;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;467.698.402.957.765
905257;1;2;1;95;2;;;;;;;;1;2;2;;;;;450000;2;1;2;2;;2;13;467.698.402.957.765
905257;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;467.698.402.957.765
905258;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;461.455.634.181.115
905258;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;461.455.634.181.115
905258;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;461.455.634.181.115
905260;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905260;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905260;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905260;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905263;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;448.666.681.366.149
905263;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;448.666.681.366.149
905264;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905264;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905264;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905264;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905264;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905264;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;836.656.206.577.204
905266;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905266;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905268;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905269;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905269;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;238.297.165.577.728
905318;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;321.000.687.104.861
905318;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;321.000.687.104.861
905318;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;321.000.687.104.861
905318;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;321.000.687.104.861
905320;1;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;2;;;13;306.417.496.989.699
905320;1;2;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;2;;;13;306.417.496.989.699
905320;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;306.417.496.989.699
905320;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;306.417.496.989.699
905320;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;306.417.496.989.699
905322;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;148.596.314.823.909
905330;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;419.390.194.995.336
905330;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;419.390.194.995.336
905330;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;419.390.194.995.336
905332;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;379.482.910.131.825
905332;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;13;379.482.910.131.825
905526;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905526;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905526;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905526;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;129.547.336.457.394
905528;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905528;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905528;1;3;1;95;1;;2;2;250000;;;1;2;2;2;;;;;;2;2;2;2;;2;15;19.156.317.154.676
905528;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905528;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905528;1;7;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905528;1;8;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;19.156.317.154.676
905533;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;167.242.293.999.581
905533;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;167.242.293.999.581
905535;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;118.452.844.997.016
905535;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;118.452.844.997.016
905535;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;118.452.844.997.016
905538;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;102.616.574.587.008
905538;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;102.616.574.587.008
905538;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;102.616.574.587.008
905539;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;606.168.310.452.217
905539;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;606.168.310.452.217
905539;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;606.168.310.452.217
905541;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;941.932.735.050.656
905541;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;941.932.735.050.656
905543;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;961.933.023.253.634
905543;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;961.933.023.253.634
905545;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;136.705.142.858.593
905545;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;136.705.142.858.593
905545;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;136.705.142.858.593
905545;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;136.705.142.858.593
905548;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;106.322.893.498.391
905548;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;106.322.893.498.391
905553;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;686.844.986.481.005
905553;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;686.844.986.481.005
905553;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;686.844.986.481.005
905555;1;1;1;95;1;;2;2;99;;;1;2;;;;;;;;;;;2;;;15;791.482.011.695.404
905557;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905557;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905557;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905557;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;139.237.123.493.594
905559;1;1;1;95;1;;2;2;480000;;;1;2;;;;;;;;;;;2;;;15;738.293.599.111.844
905561;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;108.569.971.479.281
905561;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;108.569.971.479.281
905563;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;760.386.707.742.223
905563;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;760.386.707.742.223
905563;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;760.386.707.742.223
905563;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;760.386.707.742.223
905563;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;760.386.707.742.223
905577;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;115.449.997.719.128
905577;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;115.449.997.719.128
905577;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;115.449.997.719.128
905579;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905579;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905579;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905579;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905579;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905579;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;162.553.099.686.662
905581;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;2;;;15;150.233.636.884.726
