DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;DPTO;fex_c_2011
885463;1;2;1;10;2;2;1;2;1979;29;2;2;1;;;3;;;2;1;2;;4;7;;5;7;5;84.053.837.568.103
885463;1;3;1;10;2;1;1;11;2002;5;3;;1;;;3;;;2;2;1;1;2;0;;5;0;5;84.053.837.568.103
885463;1;4;1;10;2;2;1;7;2004;4;3;;1;;;3;;;2;2;1;1;1;0;;5;0;5;84.053.837.568.103
885463;1;5;1;10;2;1;1;4;2006;2;3;;1;;;3;;;1;;;;;;;5;;5;84.053.837.568.103
885464;1;1;1;10;1;2;1;6;1959;49;1;4;1;;;3;;;1;1;2;;4;7;;5;7;5;82.331.465.631.021
885464;1;2;1;10;2;1;1;11;1978;29;3;6;1;;;3;;;2;1;2;;3;5;;5;5;5;82.331.465.631.021
885464;1;3;1;10;3;1;1;5;1990;18;3;6;1;;;3;;;1;1;1;1;4;9;;5;9;5;82.331.465.631.021
885465;1;1;1;10;1;1;1;1;1960;48;1;3;1;;;1;1;80000;2;1;2;;6;7;5;5;18;5;299.099.315.904.188
885465;1;2;1;10;2;2;1;4;1961;47;2;3;1;;;1;1;112000;2;1;2;;6;6;5;5;17;5;299.099.315.904.188
885465;1;3;1;10;2;2;1;4;1994;14;3;6;1;;;1;5;;2;1;1;2;4;7;;5;7;5;299.099.315.904.188
885465;1;4;1;10;2;2;1;5;1998;10;3;6;1;;;1;5;;2;1;1;2;3;3;;5;3;5;299.099.315.904.188
885466;1;1;1;10;1;2;1;2;1969;39;1;3;1;;;1;5;;2;1;2;;5;11;2;5;11;5;752.611.257.419.416
885466;1;2;1;10;2;1;1;3;1967;41;2;3;1;;;1;1;22000;2;1;2;;5;11;2;5;11;5;752.611.257.419.416
885466;1;3;1;10;1;2;1;8;1995;13;3;6;1;;;1;5;;2;1;1;1;4;7;;5;7;5;752.611.257.419.416
885466;1;4;1;10;1;2;1;7;1948;60;5;6;1;;;1;2;57700;2;2;2;;1;0;;5;0;5;752.611.257.419.416
885467;1;1;1;10;1;1;1;3;1943;65;1;3;1;;;1;2;112000;2;1;2;;3;3;;5;3;5;8.079.211.076.326
885467;1;2;1;10;2;2;1;10;1960;48;2;3;1;;;1;5;;2;1;2;;4;6;;5;6;5;8.079.211.076.326
885467;1;3;1;10;3;1;1;12;1987;20;3;6;1;;;1;1;18400;2;1;2;;5;11;2;5;11;5;8.079.211.076.326
885468;1;1;1;10;1;1;1;10;1960;48;1;4;2;1;12;;;;2;1;2;;4;7;;5;7;5;84.849.850.805.416
885468;1;2;1;10;2;1;1;11;1988;19;3;6;2;1;12;;;;2;1;2;;4;7;;5;7;5;84.849.850.805.416
885469;1;1;1;10;1;2;1;7;1975;33;1;2;1;;;3;;;2;1;2;;3;5;;5;5;5;906.391.521.485.685
885469;1;2;1;10;2;1;1;9;1959;49;2;2;1;;;1;1;20000;2;1;2;;4;9;;5;9;5;906.391.521.485.685
885469;1;3;1;10;1;1;1;12;2003;4;3;;1;;;3;;;2;2;2;;1;0;;5;0;5;906.391.521.485.685
885470;1;1;1;10;1;2;1;2;1982;26;1;4;1;;;1;1;18400;2;1;2;;5;11;2;5;11;5;218.088.638.353.384
885470;1;2;1;10;1;2;1;8;2003;5;3;;1;;;1;5;;2;2;2;;1;0;;5;0;5;218.088.638.353.384
885471;1;1;1;10;1;1;1;6;1968;40;1;3;1;;;1;1;98;2;1;2;;5;11;2;5;11;5;252.246.521.193.024
885471;1;2;1;10;2;2;1;11;1973;34;2;3;1;;;1;5;;2;1;2;;5;11;2;5;11;5;252.246.521.193.024
885471;1;3;1;10;3;2;1;5;1999;9;3;;1;;;1;5;;2;1;1;1;3;3;;5;3;5;252.246.521.193.024
885471;1;4;1;10;1;1;1;11;2004;3;3;;1;;;1;5;;2;2;2;;1;0;;5;0;5;252.246.521.193.024
885472;1;1;1;10;2;2;1;2;1965;43;1;4;1;;;1;1;18400;2;1;2;;5;11;2;5;11;5;208.263.017.047.883
885472;1;2;1;10;2;1;1;12;1987;20;3;6;2;1;2;;;;2;1;2;;5;11;2;5;11;5;208.263.017.047.883
885473;1;1;1;10;1;1;1;6;1980;28;1;2;2;1;1;;;;2;1;2;;5;11;2;5;11;5;231.340.008.529.731
885473;1;2;1;10;2;2;1;5;1984;24;2;2;1;;;1;1;18400;2;1;2;;5;11;2;5;11;5;231.340.008.529.731
885473;1;3;1;10;2;2;1;10;2002;6;3;;2;1;1;;;;2;2;1;1;2;0;;5;0;5;231.340.008.529.731
885474;1;1;1;10;2;2;1;10;1975;32;1;2;1;;;1;3;57700;2;1;2;;4;8;;5;8;5;214.000.903.206.649
885474;1;2;1;10;2;1;1;2;1973;35;2;2;1;;;1;5;;2;1;2;;3;5;;5;5;5;214.000.903.206.649
885474;1;3;1;10;2;2;1;5;1993;15;3;6;1;;;1;5;;2;1;1;1;4;7;;5;7;5;214.000.903.206.649
885474;1;4;1;10;2;2;1;7;1999;9;3;;1;;;1;5;;2;1;1;1;3;2;;5;2;5;214.000.903.206.649
885474;1;5;1;10;2;2;1;2;1999;9;3;;1;;;1;5;;2;1;1;1;3;3;;5;3;5;214.000.903.206.649
885474;1;6;1;10;6;1;1;10;1984;24;5;6;2;1;12;;;;2;1;2;;6;2;3;5;13;5;214.000.903.206.649
885475;1;1;1;10;1;1;1;10;1959;49;1;4;2;1;2;;;;1;1;2;;5;11;2;5;11;5;246.442.719.380.346
885476;1;1;1;10;1;1;1;4;1979;29;1;2;1;;;1;1;24000;2;1;1;1;4;0;;5;5;5;840.821.737.310.079
885476;1;2;1;10;2;2;1;4;1980;28;2;2;1;;;1;5;;2;1;2;;5;11;2;5;11;5;840.821.737.310.079
