directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P6500;P6750;P6760;Oci;Mes;Area;clase;DPTO;Fex_c_2011
12466;1;1;37;53;5320;1;48;32;3;877803; ; ;1;04;23;1;23;325,477025266189
12466;1;2;45;47;4773;1;48;40;2;877803; ; ;1;04;23;1;23;325,477025266189
12477;1;1;98;49;4921;4;30;0;7; ;600000;1;1;04;17;1;17;229,66093329732
12477;1;2;55;81;8121;4;24;0;7; ;400000;1;1;04;17;1;17;229,66093329732
12481;1;2;33;47;4731;1;40;15;6;877803; ; ;1;04;63;1;63;122,682148502974
12486;1;1;53;56;5619;4;60;0;7; ; ;1;1;04;17;1;17;380,963984496624
12486;1;3;45;10;1081;1;48;0;7;877802; ; ;1;04;17;1;17;380,963984496624
12489;1;1;02;71;7110;1;48;48; ;1150000; ; ;1;04;17;1;17;229,66093329732
12489;1;2;39;82;8299;1;48;48; ;1000000; ; ;1;04;17;1;17;229,66093329732
12494;1;1;98;49;4921;4;60;0;7; ; ;1;1;04;17;1;17;616,87317005455
12494;1;2;59;86;8610;1;48;0;7; ; ; ;1;04;17;1;17;616,87317005455
12496;1;1;44;64;6422;1;48;48; ;1000000; ; ;1;04;17;1;17;314,485290004062
12502;1;3;13;85;8530;2;30;30; ;2800000; ; ;1;04;63;1;63;91,1910614879163
12509;1;1;13;85;8530;2;40;40; ;4000000; ; ;1;04;63;1;63;110,39994322243
12516;1;1;97;15;1522;1;48;0;6;877802; ; ;1;04;17;1;17;210,429086345627
12516;1;2;55;82;8220;1;48;48; ;877802; ; ;1;04;17;1;17;210,429086345627
12516;1;3;07;86;8610;1;48;48; ;877802; ; ;1;04;17;1;17;210,429086345627
12517;1;1;21;56;5621;5;70;0;7; ; ;1;1;04;63;1;63;126,264546675576
12523;1;1;41;47;4711;4;60;30;7; ;600000;1;1;04;17;1;17;220,935149479453
12523;1;2;39;22;2219;1;48;0;7;950000; ; ;1;04;17;1;17;220,935149479453
12582;1;1;39;47;4755;1;48;0;7;877802; ; ;1;04;17;1;17;73,3756279571782
12583;1;1;30;10;1089;1;48;48; ;2304000; ; ;1;04;17;1;17;519,125550660793
12601;1;1;54;97;9700;3;48;48; ;350000; ; ;1;04;70;1;70;127,70854579044
12604;1;1;61;01;0145;4;42;42; ; ;200000;1;1;04;70;1;70;144,972093658419
12604;1;2;77;56;5619;4;3;3; ; ;25000;1;1;04;70;1;70;144,972093658419
12604;1;3;62;01;0145;6;7;3;7; ; ; ;1;04;70;1;70;144,972093658419
12615;1;1;45;47;4782;4;6;6; ; ;400000;1;1;04;70;1;70;179,578337817345
12615;1;2;35;49;4921;1;48;30;6;877803; ; ;1;04;70;1;70;179,578337817345
12615;1;3;98;49;4921;4;48;0;5; ;600000;1;1;04;70;1;70;179,578337817345
12621;1;1;39;84;8415;2;49;49; ;2500000; ; ;1;04;17;1;17;86,9469026317363
12627;1;1;37;47;4752;1;48;0;7;950000; ; ;1;04;17;1;17;90,3132864055912
12627;1;2;41;47;4771;4;15;15; ; ;800000;1;1;04;17;1;17;90,3132864055912
12636;1;1;11;65;6511;1;48;0;3;1100000; ; ;1;04;17;1;17;111,052059262159
12640;1;1;97;52;5224;4;48;10;7; ;400000;1;1;04;70;1;70;74,2662147119771
12642;1;1;95;41;4112;4;48;8;7; ;100000;1;1;04;70;1;70;136,225188101123
12645;1;1;11;10;1011;1;48;48; ;975000; ; ;1;04;63;1;63;191,809892452343
12646;1;3;41;47;4729;4;48;48; ; ; ;1;1;04;63;1;63;177,70518438089
12648;1;2;45;47;4772;1;40;0;7;230000; ; ;1;04;70;1;70;90,9833240418381
12662;1;2;13;85;8530;1;48;48; ;900000; ; ;1;04;23;1;23;156,789573141574
12663;1;1;06;47;4773;1;48;48; ;1800000; ; ;1;04;17;1;17;268,123274788565
12666;1;1;45;47;4792;4;15;0;7; ;80000;1;1;04;23;1;23;156,789573141574
12666;1;2;02;41;4111;1;48;48; ;1400000; ; ;1;04;23;1;23;156,789573141574
12670;1;1;98;49;4921;4;56;10;7; ;140000;1;1;04;11;1;11;4716,12274926342
12671;1;1;45;47;4759;1;56;48;7;1400000; ; ;1;04;63;1;63;172,24138977063
12674;1;1;85;95;9522;4;54;0;7; ;400000;1;1;04;76;1;76;1284,38514951468
12679;1;1;39;35;3520;1;48;0;5;877803; ; ;1;04;70;1;70;217,293135976313
12679;1;2;79;14;1410;4;50;0;5; ;500000;1;1;04;70;1;70;217,293135976313
12681;1;1;98;49;4921;4;50;0;7; ;800000;1;1;04;70;1;70;85,1336253135877
12684;1;1;98;49;4921;4;42;0;7; ;500000;1;1;04;70;1;70;138,662362255616
12684;1;3;84;45;4542;4;48;0;5; ;470000;1;1;04;70;1;70;138,662362255616
12686;1;1;45;47;4789;4;45;0;7; ;500000;1;1;04;70;1;70;81,6978196553274
12689;1;1;16;74;7410;4;52;52; ; ;1500000;1;1;04;70;1;70;195,880424830295
12689;1;2;11;85;8544;1;44;24;7;1000000; ; ;1;04;70;1;70;195,880424830295
12690;1;2;99;38;3830;4;50;0;7; ;350000;1;1;04;76;1;76;1479,44073153944
12694;1;1;59;85;8512;9;30;0;7; ;300000;1;1;04;70;1;70;192,332904480394
12696;1;1;95;31;3110;1;48;0;7;500000; ; ;1;04;23;1;23;192,562070808415
12696;1;2;32;31;3110;1;48;0;7;877803; ; ;1;04;23;1;23;192,562070808415
12713;1;1;99;38;3830;4;42;0;7; ;50000;1;1;04;70;1;70;73,791674334313
12715;1;2;55;32;3290;1;60;0;7;900000; ; ;1;04;17;1;17;154,377242083127
12717;1;1;98;49;4921;4;48;10;7; ;500000;1;1;04;68;1;68;463,493420248765
12717;1;2;41;47;4729;4;48;21;7; ;100000;1;1;04;68;1;68;463,493420248765
12720;1;3;33;47;4711;1;48;48; ;877803; ; ;1;04;11;1;11;1735,254576949
12721;1;2;02;41;4112;1;48;24;5;4000000; ; ;1;04;11;1;11;2461,15662693098
12723;1;1;03;35;3513;1;45;45; ;2000000; ; ;1;04;63;1;63;99,8908493568853
12727;1;1;87;25;2592;4;48;48; ; ;800000;1;1;04;13;1;13;511,060970471449
12727;1;2;32;84;8423;1;48;48; ;877802; ; ;1;04;13;1;13;511,060970471449
12729;1;1;32;78;7810;1;48;0;6;1300000; ; ;1;04;05;1;05;2454,70417560858
12730;1;1;57;96;9602;4;40;0;5; ;400000;1;1;04;13;1;13;222,156890833767
12730;1;2;53;10;1012;1;48;48; ;1200000; ; ;1;04;13;1;13;222,156890833767
12731;1;1;53;56;5611;1;72;36;6;878000; ; ;1;04;11;1;11;1451,0718201198
12731;1;2;58;68;6820;1;48;0;3;900000; ; ;1;04;11;1;11;1451,0718201198
12731;1;3;45;47;4772;1;20;0;5;500000; ; ;1;04;11;1;11;1451,0718201198
12733;1;3;98;25;2599;1;48;0;6;900000; ; ;1;04;63;1;63;80,3183111487597
12734;1;1;77;56;5619;4;48;0;5; ;600000;1;1;04;20;1;20;275,133921647452
12734;1;2;41;47;4771;4;40;0;5; ;200000;1;1;04;20;1;20;275,133921647452
12735;1;1;58;94;9491;1;60;60; ;1000000; ; ;1;04;63;1;63;204,011824641779
12743;1;1;54;97;9700;3;40;0;7;250000; ; ;1;04;52;1;52;299,504464161252
12743;1;2;84;45;4542;4;48;0;7; ;200000;1;1;04;52;1;52;299,504464161252
12745;1;1;95;52;5224;4;40;0;7; ;300000;1;1;04;05;1;05;916,584533960834
12748;1;1;58;84;8423;2;60;60; ;1600000; ; ;1;04;11;1;11;4815,37466352505
12749;1;1;41;47;4721;4;40;0;5; ;500000;1;1;04;13;1;13;267,132574898727
12749;1;2;97;52;5224;4;48;30;6; ;800000;1;1;04;13;1;13;267,132574898727
12750;1;1;77;56;5619;4;56;0;6; ;600000;1;1;04;47;1;47;167,957067513845
12751;1;5;80;15;1512;4;50;36;7; ;300000;1;1;04;63;1;63;75,4983657642766
12752;1;2;39;84;8412;4;48;48; ; ;1200000;1;1;04;63;1;63;242,533715168467
12758;1;1;95;41;4111;4;55;0;5; ;450000;1;1;04;52;1;52;181,32088986947
12758;1;2;55;81;8121;4;48;0;5; ;350000;1;1;04;52;1;52;181,32088986947
12758;1;3;03;46;4631;1;48;0;5;900000; ; ;1;04;52;1;52;181,32088986947
12760;1;2;84;45;4520;4;48;0;6; ;300000;1;1;04;47;1;47;185,228273321675
12760;1;3;84;45;4520;4;42;0;6; ;200000;1;1;04;47;1;47;185,228273321675
12760;1;5;84;45;4520;4;42;0;6; ;200000;1;1;04;47;1;47;185,228273321675
12767;1;1;03;61;6190;1;48;48; ;877000; ; ;1;04;50;1;50;195,558240437195
12767;1;2;34;47;4759;1;48;48; ;440000; ; ;1;04;50;1;50;195,558240437195
12769;1;1;39;41;4111;1;45;25;7;877000; ; ;1;04;63;1;63;46,2877651501169
12770;1;3;19;85;8544;1;45;45; ;2600000; ; ;1;04;68;1;68;224,843255948659
12771;1;1;51;56;5619;5;70;0;6; ;500000;1;1;04;11;1;11;5817,81354216232
12771;1;2;33;64;6412;1;40;0;3;1000000; ; ;1;04;11;1;11;5817,81354216232
12773;1;1;33;47;4711;1;48;0;3;1300000; ; ;1;04;54;1;54;169,719342091547
12773;1;2;44;70;7010;1;48;30;6;1600000; ; ;1;04;54;1;54;169,719342091547
12774;1;2;98;49;4921;1;60;0;3;877803; ; ;1;04;68;1;68;974,132030576817
12777;1;2;41;46;4642;4;48;60; ; ;1500000;1;1;04;11;1;11;1942,76151643438
12777;1;3;03;09;0910;1;48;48; ;2025000; ; ;1;04;11;1;11;1942,76151643438
12779;1;2;37;65;6511;1;48;0;6;890000; ; ;1;04;11;1;11;1481,89945415989
12781;1;1;13;85;8530;2;30;35; ; ; ; ;1;04;73;1;73;265,502277961508
12782;1;1;99;38;3830;4;60;0;5; ;150000;1;1;04;52;1;52;200,083152236236
12782;1;2;85;45;4520;4;60;0;5; ;400000;1;1;04;52;1;52;200,083152236236
12784;1;1;12;84;8424;2;40;0;7;4200000; ; ;1;04;47;1;47;69,3615358244761
12784;1;3;07;86;8610;1;48;48; ;1000000; ; ;1;04;47;1;47;69,3615358244761
12786;1;1;13;85;8559;4;30;0;5; ;300000;1;1;04;13;1;13;264,690171820221
12786;1;2;45;47;4752;1;48;0;5;900000; ; ;1;04;13;1;13;264,690171820221
12786;1;4;57;96;9602;4;30;0;6; ;200000;1;1;04;13;1;13;264,690171820221
12792;1;1;45;47;4722;1;48;48; ;877803; ; ;1;04;11;1;11;2175,22290046966
12792;1;2;13;85;8530;1;48;0;6;877803; ; ;1;04;11;1;11;2175,22290046966
12796;1;1;85;61;6120;1;48;48; ;900000; ; ;1;04;05;1;05;2986,44966504815
12800;1;1;41;47;4772;4;48;0;5; ; ;1;1;04;19;1;19;137,344624235368
12801;1;1;98;49;4921;4;48;0;5; ; ;1;1;04;20;1;20;407,173878544454
12803;2;2;54;81;8121;4;12;0;6; ;240000;1;1;04;68;1;68;230,835105028964
12803;2;3;37;49;4921;4;48;0;6; ;0;1;1;04;68;1;68;230,835105028964
12805;1;3;58;85;8544;1;60;60; ;1100000; ; ;1;04;41;1;41;175,24848317721
12811;1;1;45;47;4792;4;24;8;6; ;150000;1;1;04;13;1;13;209,909459223892
12811;1;2;08;85;8530;1;40;0;5;1500000; ; ;1;04;13;1;13;209,909459223892
12812;1;3;39;85;8544;1;42;0;5;877803; ; ;1;04;70;1;70;153,55724748483
12813;1;3;03;82;8299;1;45;45; ;1100000; ; ;1;04;11;1;11;1484,58318383859
12813;1;4;03;65;6512;1;48;40;1;950000; ; ;1;04;11;1;11;1484,58318383859
12814;1;1;83;95;9529;4;84;0;7; ;400000;1;1;04;63;1;63;109,524006690829
12815;1;2;95;42;4210;4;48;48; ; ;800000;1;1;04;13;1;13;581,13003813563
12816;1;2;45;10;1040;1;48;48; ;980000; ; ;1;04;19;1;19;200,730649106547
12818;1;1;98;49;4921;1;70;0;3;877803; ; ;1;04;63;1;63;132,092636770662
12823;1;2;12;84;8413;4;40;50; ; ; ;1;1;04;11;1;11;2512,19161607894
12823;1;3;03;62;6201;1;40;58; ;1200000; ; ;1;04;11;1;11;2512,19161607894
12825;1;2;45;56;5619;4;40;0;5; ; ;1;1;04;54;1;54;106,755024594812
12826;1;3;98;85;8530;1;60;0;5;1300000; ; ;1;04;05;1;05;1861,6119026294
12826;1;6;39;49;4921;1;50;24;6;1100000; ; ;1;04;05;1;05;1861,6119026294
12826;1;7;98;49;4921;1;72;0;5;1300000; ; ;1;04;05;1;05;1861,6119026294
12833;1;1;21;45;4520;4;50;0;7; ;600000;1;1;04;70;1;70;66,5989178321306
12833;1;3;99;45;4520;4;49;0;6; ;500000;1;1;04;70;1;70;66,5989178321306
12841;1;1;41;47;4759;4;70;0;5; ;300000;1;1;04;19;1;19;87,9103920315389
12841;1;2;45;47;4754;1;54;0;6;350000; ; ;1;04;19;1;19;87,9103920315389
12842;1;1;80;95;9523;4;70;0;7; ;250000;1;1;04;54;1;54;311,5239138107
12844;1;1;77;56;5619;4;36;0;6; ;100000;1;1;04;47;1;47;94,3520891730006
12844;1;2;77;56;5619;4;30;0;6; ;100000;1;1;04;47;1;47;94,3520891730006
12845;1;1;84;45;4542;4;54;0;7; ;700000;1;1;04;52;1;52;275,087419467371
12845;1;2;45;47;4781;4;48;0;7; ;50000;1;1;04;52;1;52;275,087419467371
12846;1;2;41;47;4723;4;15;15; ; ;500000;1;1;04;13;1;13;268,805522931523
12849;1;1;98;49;4921;4;42;0;7; ;700000;1;1;04;52;1;52;251,97883152569
12851;1;1;40;47;4773;1;60;48;6;1100000; ; ;1;04;50;1;50;173,656334388991
12851;1;2;58;80;8010;1;72;72; ;1800000; ; ;1;04;50;1;50;173,656334388991
12852;1;1;41;47;4755;4;77;0;5; ;700000;1;1;04;19;1;19;111,524698411446
12853;1;1;58;84;8423;2;65;65; ;1600000; ; ;1;04;17;1;17;91,8022157304299
12853;1;2;45;47;4792;4;20;0;6; ;0;1;1;04;17;1;17;91,8022157304299
12854;1;1;85;71;7110;1;48;0;3;877803; ; ;1;04;68;1;68;768,044768958998
12856;1;2;54;97;9700;3;25;25; ;100000; ; ;1;04;63;1;63;40,9753986798993
12856;1;5;39;84;8412;2;44;0;3;1200000; ; ;1;04;63;1;63;40,9753986798993
12858;1;1;41;47;4711;4;56;0;5; ; ;1;1;04;19;1;19;87,9103920315389
12859;1;1;55;70;7010;1;48;48; ;980657; ; ;1;04;19;1;19;116,269437594568
12859;1;3;58;84;8423;2;60;60; ;1800000; ; ;1;04;19;1;19;116,269437594568
12862;1;1;55;68;6820;1;48;48; ;877803; ; ;1;04;11;1;11;2022,37646788279
12862;1;3;39;36;3600;1;48;0;5;877803; ; ;1;04;11;1;11;2022,37646788279
12863;1;2;45;28;2813;1;48;0;3;2000000; ; ;1;04;11;1;11;2386,11912945472
12863;1;4;58;84;8423;2;60;60; ;1700000; ; ;1;04;11;1;11;2386,11912945472
12865;1;1;19;82;8230;1;45;0;6;1300000; ; ;1;04;11;1;11;2397,8246794283
12865;1;2;39;84;8424;2;48;48; ;1800000; ; ;1;04;11;1;11;2397,8246794283
12866;1;1;41;47;4721;4;58;0;6; ;600000;1;1;04;50;1;50;328,140838148675
12867;1;1;97;52;5224;4;24;0;5; ;100000;1;1;04;52;1;52;197,250969381285
12868;1;1;77;56;5619;4;25;0;6; ;300000;1;1;04;13;1;13;262,161404412704
12870;1;1;38;82;8220;1;40;30;6;980000; ; ;1;04;05;1;05;1767,97567005333
12870;1;2;54;97;9700;3;40;0;6;877800; ; ;1;04;05;1;05;1767,97567005333
12871;1;1;84;20;2012;1;48;48; ;1000000; ; ;1;04;47;1;47;201,54855257187
12874;1;1;77;10;1081;4;60;0;6; ;600000;1;1;04;05;1;05;813,443665545808
12875;1;1;19;47;4711;1;72;36;6;1100000; ; ;1;04;76;1;76;1025,78855778791
12875;1;3;11;86;8621;1;56;56; ;877807; ; ;1;04;76;1;76;1025,78855778791
12877;1;1;95;41;4111;1;48;0;7;700000; ; ;1;04;17;1;17;146,781253425783
12878;1;2;79;14;1410;4;60;0;6; ;500000;1;1;04;11;1;11;3608,57486433603
12880;1;1;53;56;5619;4;36;0;6; ;100000;1;1;04;47;1;47;217,886305261228
12880;1;2;53;56;5619;4;40;0;6; ;200000;1;1;04;47;1;47;217,886305261228
12881;1;1;41;47;4711;4;60;60; ; ;480000;1;1;04;54;1;54;542,241721057324
12882;1;1;95;41;4111;5;57;0;6; ;525000;1;1;04;68;1;68;1610,24279216058
12882;1;3;95;41;4111;4;57;0;6; ;280000;1;1;04;68;1;68;1610,24279216058
12882;1;4;45;47;4781;4;42;0;6; ;240000;1;1;04;68;1;68;1610,24279216058
12884;1;1;19;88;8890;4;30;20;6; ;900000;1;1;04;50;1;50;175,277880571258
12884;1;6;45;56;5619;4;42;0;6; ;200000;1;1;04;50;1;50;175,277880571258
12885;1;1;54;97;9700;3;20;0;7;400000; ; ;1;04;05;1;05;2131,44617030859
12887;1;1;79;14;1410;4;48;20;5; ;300000;1;1;04;70;1;70;179,466098417206
12888;1;1;58;68;6820;1;48;48; ;900000; ; ;1;04;11;1;11;2076,60090397302
12888;1;2;39;94;9411;1;48;0;5;877803; ; ;1;04;11;1;11;2076,60090397302
12889;1;1;97;52;5224;4;50;0;6; ;200000;1;1;04;47;1;47;179,038177164443
12889;1;2;57;96;9602;4;40;0;6; ;150000;1;1;04;47;1;47;179,038177164443
12890;1;2;97;10;1011;1;60;0;3;900000; ; ;1;04;08;1;08;600,444955150055
12891;1;1;33;29;2910;1;48;0;7;2040; ; ;1;04;63;1;63;172,564761927228
12892;1;3;45;47;4721;4;48;0;7; ;100000;1;1;04;08;1;08;754,347073260211
12892;1;9;41;47;4724;4;40;0;7; ;120000;1;1;04;08;1;08;754,347073260211
12895;1;1;53;56;5619;4;30;0;6; ;100000;1;1;04;50;1;50;125,255135034379
12899;1;1;84;45;4520;4;48;0;6; ;1200000;1;1;04;68;1;68;912,191742807947
12899;1;3;33;49;4921;2;48;48; ;877900; ; ;1;04;68;1;68;912,191742807947
12900;1;1;54;97;9700;3;40;0;5;650000; ; ;1;04;13;1;13;299,068567712727
12903;1;1;45;47;4781;4;60;0;7; ;360000;1;1;04;54;1;54;444,546674143645
12904;1;1;41;47;4711;4;50;0;6; ;400000;1;1;04;52;1;52;224,500196930117
12904;1;2;84;45;4542;4;54;0;5; ;300000;1;1;04;52;1;52;224,500196930117
12906;1;1;45;47;4723;1;40;40; ;600000; ; ;1;04;08;1;08;386,301226243073
12906;1;2;55;81;8121;4;20;0;6; ;30000;1;1;04;08;1;08;386,301226243073
12909;1;1;55;81;8121;4;30;0;6; ;250000;1;1;04;52;1;52;133,636005786513
12909;1;2;77;10;1081;1;30;0;5;250000; ; ;1;04;52;1;52;133,636005786513
12911;1;1;41;47;4711;4;60;30;6; ; ;1;1;04;76;1;76;1568,34962843706
12911;1;2;38;35;3520;1;48;0;1;877807; ; ;1;04;76;1;76;1568,34962843706
12913;1;2;45;47;4762;1;48;0;7;877802; ; ;1;04;17;1;17;399,780143147187
12914;1;1;61;01;0128;4;48;12;7; ;1500000;1;1;04;05;1;05;1676,98530709762
12915;1;1;85;43;4321;4;45;0;7; ;800000;1;1;04;70;1;70;128,0395940438
12915;1;2;41;56;5619;4;20;20; ; ;90000;1;1;04;70;1;70;128,0395940438
12915;1;7;16;74;7420;4;42;0;7; ;500000;1;1;04;70;1;70;128,0395940438
12916;1;1;45;47;4789;4;30;0;7; ;1000000;1;1;04;52;1;52;126,290342896092
12916;1;2;05;75;7500;4;30;2;7; ;1000000;1;1;04;52;1;52;126,290342896092
12917;1;2;59;47;4773;1;44;30;7;870000; ; ;1;04;19;1;19;59,5053817623563
12920;1;1;79;14;1410;4;24;0;5; ;0;1;1;04;52;1;52;130,998274525532
12922;1;1;59;86;8610;2;48;48; ;877803; ; ;1;04;70;1;70;161,640931155003
12927;1;1;79;95;9529;4;26;10;6; ;120000;1;1;04;70;1;70;87,3931286575469
12927;1;2;98;49;4921;4;53;0;7; ;350000;1;1;04;70;1;70;87,3931286575469
12932;1;1;53;56;5611;1;25;0;6;200000; ; ;1;04;68;1;68;652,347904681722
12932;1;2;97;18;1811;1;60;0;5;400000; ; ;1;04;68;1;68;652,347904681722
12932;1;3;53;56;5619;4;49;0;5; ;0;1;1;04;68;1;68;652,347904681722
12932;1;6;97;10;1090;1;48;48; ;925000; ; ;1;04;68;1;68;652,347904681722
12932;1;7;58;68;6820;1;72;48;6;1200000; ; ;1;04;68;1;68;652,347904681722
12934;1;1;77;56;5619;4;30;10;6; ;80000;1;1;04;23;1;23;199,100705093771
12934;1;2;55;68;6820;1;48;40;6;800000; ; ;1;04;23;1;23;199,100705093771
12935;1;2;55;82;8220;1;48;48; ;877802; ; ;1;04;17;1;17;235,582943809347
12936;1;4;98;49;4921;4;46;0;7; ;600000;1;1;04;70;1;70;118,761431057908
12937;1;1;55;85;8544;1;48;16;6;877807; ; ;1;04;76;1;76;1242,88093685919
12938;1;4;45;47;4771;1;48;0;5;438900; ; ;1;04;47;1;47;94,3520891730006
12941;1;1;79;95;9529;4;40;0;6; ;0;1;1;04;05;1;05;1098,02776149806
12941;1;2;03;62;6209;1;48;48; ;1035000; ; ;1;04;05;1;05;1098,02776149806
12942;1;1;84;45;4520;4;49;10;5; ;80000;1;1;04;70;1;70;193,604761142082
12943;1;1;39;85;8544;1;48;48; ;1600000; ; ;1;04;05;1;05;859,895788861243
12943;1;2;59;94;9499;4;6;0;5; ;320000;1;1;04;05;1;05;859,895788861243
12944;1;2;99;45;4520;4;84;0;7; ;1000000;1;1;04;76;1;76;2426,09237846742
12944;1;3;99;45;4520;4;84;0;7; ; ;1;1;04;76;1;76;2426,09237846742
12944;1;4;79;14;1410;4;48;0;5; ;720000;1;1;04;76;1;76;2426,09237846742
12946;1;1;02;71;7110;4;56;56; ; ;2000000;1;1;04;17;1;17;140,733972726359
12948;1;1;84;45;4520;4;30;0;5; ;200000;1;1;04;52;1;52;166,626647855735
12948;1;2;56;96;9601;4;9;0;5; ;300000;1;1;04;52;1;52;166,626647855735
12949;1;1;39;55;5511;1;48;0;5;900000; ; ;1;04;05;1;05;1328,88312078846
12949;1;2;54;55;5511;1;16;0;5;280000; ; ;1;04;05;1;05;1328,88312078846
12949;1;3;57;96;9602;4;40;0;5; ;600000;1;1;04;05;1;05;1328,88312078846
12950;1;2;16;93;9329;1;45;45; ;2000000; ; ;1;04;52;1;52;153,87347183882
12951;1;1;19;82;8230;1;36;0;7; ; ; ;1;04;17;1;17;140,733972726359
12953;1;3;85;43;4321;4;84;0;6; ;400000;1;1;04;50;1;50;125,967681068678
12953;1;6;85;43;4321;4;84;0;6; ;400000;1;1;04;50;1;50;125,967681068678
12956;1;2;33;47;4731;1;40;40; ;2200000; ; ;1;04;11;1;11;2461,15662693098
12957;1;1;03;46;4665;1;48;48; ;877802; ; ;1;04;17;1;17;251,939834202985
12961;1;1;19;84;8424;1;48;48; ; ; ; ;1;04;17;1;17;319,646751101321
12965;1;1;45;92;9200;4;66;0;6; ;280000;1;1;04;05;1;05;997,479115079042
12966;1;1;33;43;4321;1;45;0;6;960000; ; ;1;04;11;1;11;2185,20599885312
12967;1;1;53;56;5619;4;35;0;6; ;400000;1;1;04;52;1;52;205,476763306065
12967;1;2;13;85;8559;4;10;0;7; ;100000;1;1;04;52;1;52;205,476763306065
12967;1;3;53;56;5611;1;36;0;5;480000; ; ;1;04;52;1;52;205,476763306065
12969;1;1;45;47;4752;1;48;0;7;600000; ; ;1;04;20;1;20;369,859974202188
12971;1;2;45;47;4761;1;48;0;5;877803; ; ;1;04;05;1;05;1314,41156356061
12971;1;3;16;96;9602;4;48;0;5; ;800000;1;1;04;05;1;05;1314,41156356061
12974;1;1;39;85;8544;1;46;40;6;1800000; ; ;1;04;23;1;23;181,108255356767
12974;1;2;42;29;2930;1;45;30;6;1800000; ; ;1;04;23;1;23;181,108255356767
12975;1;1;42;46;4631;1;48;48; ;877802; ; ;1;04;17;1;17;238,032151814186
12975;1;2;30;47;4759;1;48;0;7;2000000; ; ;1;04;17;1;17;238,032151814186
12975;1;4;38;61;6190;1;48;48; ;877802; ; ;1;04;17;1;17;238,032151814186
12977;1;1;55;68;6820;1;48;0;5;877803; ; ;1;04;47;1;47;204,706410041759
12979;1;2;30;46;4659;1;48;0;5;970000; ; ;1;04;05;1;05;1047,46404088093
12979;1;3;98;71;7110;1;55;0;3;1400000; ; ;1;04;05;1;05;1047,46404088093
12986;1;1;97;52;5224;4;28;28; ; ;750000;1;1;04;47;1;47;239,758783522134
12986;1;4;98;49;4921;4;21;21; ; ;600000;1;1;04;47;1;47;239,758783522134
12986;1;7;98;49;4921;4;40;21;6; ;600000;1;1;04;47;1;47;239,758783522134
12987;1;1;41;47;4729;4;48;0;6; ; ;1;1;04;63;1;63;67,027181368054
12992;1;1;13;85;8530;2;30;0;3;2400000; ; ;1;04;23;1;23;306,164188341675
12993;1;1;13;85;8530;2;30;0;7; ; ; ;1;04;17;1;17;98,93828010279
12994;1;3;13;85;8544;2;24;24; ;1900000; ; ;1;04;47;1;47;217,996608989976
12996;1;1;98;49;4921;4;72;0;7; ;1100000;1;1;04;05;1;05;2130,36747771595
12997;1;1;41;47;4755;4;58;0;6; ;890000;1;1;04;50;1;50;518,757671943879
