DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
5468973;1;2;1;10;2;1;10;1999;21;3;6; ;6;2; ;1;1; ; ; ; ; ;1; ; ; ; ; ;1; ;EL ENCIERRO; ;1; ; ;1;1;36341;2;1;1;1;6;2;2;2;05;13;06;05;1936,19125930905
5468973;1;3;1;10;1;1;7;2014;6;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;3;0; ; ;05;0;06;05;1936,19125930905
5468973;1;4;1;10;1;1;1;2016;5;4;6; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;06;05;1936,19125930905
5468974;1;1;1;10;1;1;2;1988;33;1;6; ;3;2; ;3; ;1;2; ; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;1;1;36341;2;1;2; ;4;9; ; ;05;9;06;05;1028,82873907499
5468974;1;2;1;10;2;2;12;1981;39;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ;1; ;1; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;10;1; ;05;10;06;05;1028,82873907499
5468974;1;3;1;10;3;1;12;2003;17;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;06;05;1028,82873907499
5468975;1;1;1;10;1;1;10;1984;36;1;6; ;4;3; ;2; ; ; ;1; ; ; ; ; ; ; ; ;1; ;LAS LIMITACIONES;2;1; ; ;1;1;40000;2;1;2; ;6;3;3; ;05;14;06;05;1107,44801240058
5468977;1;1;1;10;1;2;2;1939;82;1;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;5; ;2;1;2; ;3;4; ; ;05;4;06;05;1046,44738449498
5468977;1;2;1;10;2;2;4;1941;80;5;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;05;4;06;05;1046,44738449498
5468978;1;1;1;10;1;1;5;1931;90;1;6; ;5;3; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;1;2;72682;2;1;2; ;3;5; ; ;05;5;06;05;1190,52494481797
5468978;1;2;1;10;2;2;9;1952;68;5;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;3;113565;2;1;2; ;3;3; ; ;05;3;06;05;1190,52494481797
5468978;1;3;1;10;3;2;1;1963;58;5;6; ;6;3; ;3; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;2;110000;2;1;2; ;1;0; ; ;05;0;06;05;1190,52494481797
5468978;1;4;1;10;4;2;8;1973;47;6;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;4; ;2;1;2; ;3;5; ; ;05;5;06;05;1190,52494481797
5468979;1;1;1;10;1;2;6;1975;45;1;6; ;4;2; ;2; ; ; ;1; ; ; ; ;1; ; ; ; ; ; ;2;1; ; ;1;1;36000;2;1;2; ;5;11;2; ;05;11;06;05;1776,62538218154
5468979;1;2;1;10;1;1;3;2004;17;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;5;10;1; ;05;10;06;05;1776,62538218154
5468979;1;3;1;10;1;1;10;2012;8;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;2; ; ;05;2;06;05;1776,62538218154
5468979;1;4;1;10;1;1;1;2015;6;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;3;0; ; ;05;0;06;05;1776,62538218154
5468979;1;5;1;10;5;2;2;2002;19;5;6; ;4;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1776,62538218154
5468980;1;1;1;10;1;1;12;1991;29;1;6; ;2;2; ;1;5;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;44000;2;1;2; ;6;1;2;2;05;12;06;05;1339,38293117031
5468980;1;2;1;10;2;2;4;1990;31;2;6; ;2;2; ;2; ;1;1; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;1339,38293117031
5468980;1;3;1;10;2;2;5;2018;3;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;2; ;1;0; ; ;05;0;06;05;1339,38293117031
5468980;1;4;1;10;4;1;12;1954;66;5;6; ;2;2; ;2; ;1;5; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;2;72682;2;1;2; ;3;5; ; ;05;5;06;05;1339,38293117031
5468980;1;5;1;10;5;2;7;1973;47;5;6; ;2;2; ;2; ;1;4; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;05;5;06;05;1339,38293117031
5468981;1;1;1;10;1;2;4;1997;24;1;6; ;6;2; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;3; ; ;2;1;2; ;4;8; ; ;05;8;06;05;1607,0136246672
5468981;1;2;1;10;1;1;11;2013;7;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;05;1;06;05;1607,0136246672
5468981;1;3;1;10;1;2;2;2018;3;3;6; ; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;05;0;06;05;1607,0136246672
5468982;1;1;1;10;1;1;11;1976;44;1;6; ;2;2; ;3; ;1;2; ; ;1;1; ; ;1; ;1; ; ; ;1;2;1;7; ; ; ;1;1;2; ;3;5; ; ;05;5;06;05;1363,06303445538
5468982;1;2;1;10;2;2;7;1996;24;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;2;1;7; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1363,06303445538
5468982;1;3;1;10;2;1;8;2018;2;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;7; ; ; ;2; ; ; ; ; ; ; ;05; ;06;05;1363,06303445538
5468983;1;1;1;10;1;2;10;1968;52;1;6; ;3;2; ;3; ;2; ; ;1;1; ; ; ;1; ;1; ; ; ;1;1; ; ;3; ; ;1;1;2; ;4;6; ; ;05;6;06;05;1105,82946094444
5468983;1;2;1;10;2;1;9;1998;22;3;6; ;6;2; ;1;1; ; ; ;1;1; ; ;1; ; ;1; ; ; ; ;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;05;11;06;05;1105,82946094444
5468984;1;1;1;10;1;2;11;2000;20;1;6; ;2;3; ;2; ;1;2; ; ; ; ; ; ; ; ;1; ; ; ;1;2;1;27; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1447,92098410973
5468984;1;2;1;10;2;1;11;2002;18;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;48; ; ; ;2;1;2; ;4;9; ; ;05;9;06;05;1447,92098410973
5468984;1;3;1;10;1;2;2;2015;6;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;27; ; ; ;2;1;1;1;3;0; ; ;05;0;06;05;1447,92098410973
5468984;1;4;1;10;1;1;8;2017;3;3;6; ; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;1;27; ; ; ;2;2;1;1;2;0; ; ;05;0;06;05;1447,92098410973
5468984;1;5;1;10;1;2;4;2006;15;5;6; ;6;2; ;3; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;12; ; ; ;2;1;2; ;4;8; ; ;05;8;06;05;1447,92098410973
5468986;1;1;1;10;1;1;2;1988;33;1;6; ;2;2; ;3; ;1;2; ;1;1;1; ; ; ; ;1; ; ; ;2;1; ; ;1;1;36341;2;1;2; ;3;5; ; ;05;5;06;05;1195,30537084732
5468986;1;2;1;10;2;2;9;1995;25;2;6; ;2;2; ;2; ;1;1; ;1;1; ; ; ; ; ;1; ; ; ; ;1; ; ;1;5; ;2;1;2; ;6;2;3; ;05;13;06;05;1195,30537084732
5468986;1;3;1;10;2;2;3;2012;9;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;3;3; ; ;05;3;06;05;1195,30537084732
5468987;1;1;1;10;1;2;1;1963;58;1;6; ;4;3; ;2; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;1;5; ;2;1;2; ;6;5;4; ;05;16;06;05;1115,4480593825
5468988;1;1;1;10;1;1;9;1980;40;1;6; ;2;2; ;3; ;1;2; ; ; ; ; ; ;1; ;1; ; ; ;1;2;1;24; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;967,503620401465
5468988;1;2;1;10;2;2;11;1988;32;2;6; ;2;2; ;1;5;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;54; ; ; ;1;1;2; ;6;2;3; ;05;13;06;05;967,503620401465
5468988;1;3;1;10;2;2;2;2008;13;3;6; ;6;3; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;2;1;24; ; ; ;2;1;1;1;4;6; ; ;05;6;06;05;967,503620401465
5468988;1;4;1;10;2;2;6;2017;3;3;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2;2;2; ;1;0; ; ;05;0;06;05;967,503620401465
5468988;1;5;1;10;5;2;10;1972;48;5;6; ;6;3; ;2; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;2;1;36; ; ; ;2;1;2; ;6;8;4; ;05;19;06;05;967,503620401465
5468988;1;6;1;10;6;2;4;1995;26;5;6; ;2;3; ;1;5;1;7; ; ; ;1; ; ; ; ;1; ; ; ; ;2;1;52; ; ; ;2;1;2; ;6;2;3; ;05;13;06;05;967,503620401465
5468988;1;7;1;10;7;1;6;1994;27;9;6; ;2;2; ;2; ;1;6; ; ; ; ; ; ; ; ;1; ; ; ; ;2;1;36; ; ; ;2;1;2; ;5;11;2; ;05;11;06;05;967,503620401465
5468988;1;8;1;10;6;2;8;2020;0;9;6; ; ;1;7;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;2; ; ; ; ;2; ; ; ; ; ; ; ;05; ;06;05;967,503620401465
5468989;1;1;1;10;1;2;2;1963;58;1;6; ;6;3; ;3; ; ; ;1; ; ; ; ; ; ; ;1; ; ; ;2;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;1618,48631701154
5468989;1;2;1;10;2;2;12;1990;30;3;6; ;6;2; ;1;1; ; ; ; ; ;1; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;10;1; ;05;10;06;05;1618,48631701154
5468989;1;3;1;10;1;2;4;2010;11;4;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;3; ; ;05;3;06;05;1618,48631701154
5468989;1;4;1;10;1;1;7;2015;5;4;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;05;0;06;05;1618,48631701154
5468990;1;1;1;10;1;1;9;1982;38;1;6; ;2;3; ;2; ;1;2; ; ; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;74000;2;1;2; ;3;5; ; ;05;5;06;05;1443,53640168725
5468990;1;2;1;10;2;2;5;1990;31;2;6; ;2;2; ;2; ;1;1; ; ;1; ;1; ; ; ;1; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;1443,53640168725
5468990;1;3;1;10;2;1;8;2009;11;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;1;5; ;2;1;1;1;4;0; ; ;05;5;06;05;1443,53640168725
5468991;1;1;1;10;1;1;12;1967;53;1;6; ;3;2; ;3; ;1;2; ;1; ;1; ; ; ; ; ; ; ; ;2;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;05;11;06;05;886,26545160041
5468991;1;2;1;10;2;2;12;1963;57;2;6; ;3;3; ;2; ;1;1; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;4;7; ; ;05;7;06;05;886,26545160041
5468991;1;3;1;10;3;2;1;1999;22;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1;1;99;2;1;2; ;6;2;3; ;05;13;06;05;886,26545160041
5468991;1;4;1;10;3;2;3;2016;5;4;6; ; ;2; ;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;05;0;06;05;886,26545160041
5468991;1;5;1;10;5;2;9;2002;18;3;6; ;6;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;05;11;06;05;886,26545160041
5468992;1;1;1;10;1;2;5;1960;61;1;6; ;4;2; ;2; ; ; ; ;1;1;1; ; ; ; ;1; ; ; ;1;1; ; ;3; ; ;2;1;2; ;3;3; ; ;05;3;06;05;876,789672359364
5468992;1;2;1;10;2;2;11;1981;39;3;6; ;6;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ; ;3; ; ;2;1;2; ;5;11;2; ;05;11;06;05;876,789672359364
