DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6060;P6060S1;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6180;P6180S1;P6180S2;P6190;P6190S1;P6200;P6200S1;P6210;P6210S1;P6220;CLASE;DPTO;fex_c_2011
449999;1;1;10;1;1;1;1;1930;77;1;6; ;2; ;6;1; ; ;1;2;100000;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;1181,91830617127
449999;1;2;10;2;2;1;8;1936;71;2;6; ;2; ;6;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;2;19;1181,91830617127
450000;1;1;10;1;1;1;2;1934;73;1;6; ;2; ;6;1; ; ;1;2;70000;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;960,762237914163
450000;1;2;10;2;2;1;12;1938;68;2;6; ;2; ;6;1; ; ;1;5; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;2;19;960,762237914163
450000;1;3;10;3;2;1;5;1979;28;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;19;960,762237914163
450000;1;4;10;4;1;1;12;1980;26;3;6; ;2; ;5;1; ; ;1;1;45000;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;19;960,762237914163
450000;1;5;10;3;2;1;12;2001;5;4;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;100;1000;2; ;2; ;2;1; ;2;19;960,762237914163
450001;1;1;10;1;2;1;12;1963;43;1;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ;2;19;1651,70479021295
450001;1;2;10;2;1;1;4;1983;24;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;3; ;2;19;1651,70479021295
450001;1;3;10;3;2;1;12;1990;16;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;19;1651,70479021295
450001;1;4;10;4;1;1;5;1993;14;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;3; ;2;19;1651,70479021295
450001;1;5;10;5;2;1;9;1994;13;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;4; ;2;19;1651,70479021295
450002;1;1;10;1;1;1;1;1959;48;1;6; ;2; ;2;1; ; ;1;1;17348;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;19;1406,53949736922
450002;1;2;10;2;2;1;11;1966;40;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;19;1406,53949736922
450002;1;3;10;3;1;1;7;1987;20;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;8; ;2;19;1406,53949736922
450002;1;4;10;2;1;1;4;2005;2;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;19;1406,53949736922
456573;1;1;10;1;1;1;1;1971;36;1;6; ;2; ;3;2;1;46; ; ; ; ;2;2; ; ; ; ; ; ; ; ;1;0; ;2;23;1540,83069170525
456573;1;2;10;2;1;1;4;1988;19;9;6; ;2; ;5;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;8; ;2;23;1540,83069170525
456574;1;1;10;1;1;1;8;1975;32;1;6; ;2; ;2;1; ; ;1;4; ;2;1;2; ; ; ; ;2; ;2; ;3;1; ;2;23;1224,42337946605
456574;1;2;10;2;2;1;11;1976;30;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;2;23;1224,42337946605
456574;1;3;10;1;2;1;7;1997;10;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;1500;2; ;2; ;3;3; ;2;23;1224,42337946605
456574;1;4;10;1;1;1;5;1999;8;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;1300;2; ;2; ;3;2; ;2;23;1224,42337946605
456575;1;1;10;1;1;1;6;1969;38;1;6; ;2; ;2;1; ; ;1;1;36000;2;2;2; ; ; ; ; ; ; ; ;3;2; ;2;23;1495,46787219184
456575;1;2;10;2;2;1;5;1977;30;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;23;1495,46787219184
456575;1;3;10;3;1;1;3;1994;13;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;100;5000;2; ;2; ;4;6; ;2;23;1495,46787219184
456575;1;4;10;4;1;1;10;1996;10;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;200;2000;2; ;2; ;3;4; ;2;23;1495,46787219184
456575;1;5;10;2;2;1;5;1999;8;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;1;200;2000;2; ;2; ;3;1; ;2;23;1495,46787219184
456576;1;1;10;1;1;1;5;1960;47;1;6; ;2; ;2;2;2; ; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;3; ;2;23;1546,54805338292
456576;1;2;10;2;2;1;12;1971;35;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;23;1546,54805338292
456576;1;3;10;2;2;1;3;1997;10;3;6; ;2; ;5;2;2; ; ; ; ; ;1;1;1;1;40;500;2; ;2; ;3;4; ;2;23;1546,54805338292
456576;1;4;10;2;1;1;1;1999;8;3;6; ;2; ; ;2;2; ; ; ; ; ;1;1;1;1;40;500;2; ;2; ;3;1; ;2;23;1546,54805338292
456576;1;5;10;2;1;1;4;2001;6;3;6; ;2; ; ;2;2; ; ; ; ; ;2;1;1;1;40;500;2; ;2; ;3;0; ;2;23;1546,54805338292
456577;1;1;10;1;1;1;3;1953;54;1;6; ;2; ;2;1; ; ;1;4; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;2;23;1421,09743405825
456577;1;2;10;2;2;1;1;1972;35;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;23;1421,09743405825
456577;1;3;10;3;1;1;8;1990;17;3;6; ;2; ;5;2;1;48; ; ; ; ;1;2; ; ; ; ;2; ;2; ;3;5; ;2;23;1421,09743405825
456577;1;4;10;4;1;1;2;1997;10;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;40;1000;2; ;2; ;3;4; ;2;23;1421,09743405825
456578;1;1;10;1;1;1;8;1962;45;1;5; ;2; ;2;1; ; ;1;4; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;23;1764,9060195214
456578;1;2;10;2;2;1;1;1966;41;2;5; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;4;9; ;2;23;1764,9060195214
456578;1;3;10;1;1;1;6;1991;16;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;0;1200;2; ;2; ;5;10;1;2;23;1764,9060195214
456578;1;4;10;1;1;1;5;1994;13;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;0;1200;2; ;2; ;4;6; ;2;23;1764,9060195214
456578;1;5;10;1;1;1;12;1995;11;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;1;0;1200;2; ;2; ;4;0; ;2;23;1764,9060195214
459532;1;1;10;1;2;1;1;1930;77;1;6; ;2; ;4;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;3;1; ;2;66;396,362582305932
459533;1;1;10;1;1;1;2;1972;35;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;321,715773441286
459533;1;2;10;2;2;1;3;1977;30;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;66;321,715773441286
459533;1;3;10;2;2;1;11;1998;8;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;300;3000;2; ;2; ;3;2; ;2;66;321,715773441286
459533;1;4;10;4;2;1;2;1982;25;5;6; ;2; ;3;1; ; ;1;5; ;2;1;2; ; ; ; ;2; ;2; ;5;10;1;2;66;321,715773441286
459533;1;5;10;4;1;1;3;2007;0;9;6; ;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;66;321,715773441286
459535;1;1;10;1;1;1;12;1960;46;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;4; ;2;66;405,399990992664
459535;1;2;10;2;2;1;3;1960;47;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;405,399990992664
459535;1;3;10;2;1;1;12;1990;16;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;9; ;2;66;405,399990992664
459535;1;4;10;2;1;1;10;1992;14;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;8; ;2;66;405,399990992664
459538;1;1;10;1;1;1;3;1970;37;1;6; ;2; ;6;1; ; ;3; ; ;1;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;374,049704414864
459538;1;2;10;2;2;1;3;1979;28;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;66;374,049704414864
459538;1;3;10;2;2;1;9;1998;9;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;1; ;2;66;374,049704414864
459538;1;4;10;2;1;1;11;2000;6;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;2;1; ;2;66;374,049704414864
459538;1;5;10;2;1;1;11;2004;2;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;66;374,049704414864
459539;1;1;10;1;1;1;10;1950;56;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;370,287586246882
459539;1;2;10;2;2;1;8;1955;52;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;370,287586246882
459539;1;3;10;2;2;1;11;1998;8;4;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;3; ;2;66;370,287586246882
459540;1;1;10;1;1;1;3;1955;52;1;6; ;2; ;2;1; ; ;1;1;12500;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;66;436,230897423096
459540;1;2;10;2;2;1;7;1966;41;2;6; ;2; ;2;1; ; ;1;5; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;436,230897423096
459540;1;3;10;2;1;1;12;1994;12;3;6; ;2; ;5;1; ; ;1;5; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;66;436,230897423096
459540;1;4;10;2;1;1;7;1996;11;3;6; ;2; ;5;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ;2;66;436,230897423096
459540;1;5;10;2;1;1;10;1998;8;3;6; ;2; ; ;1; ; ;1;5; ;2;1;1;1;2; ; ;2; ;2; ;3;2; ;2;66;436,230897423096
459541;1;1;10;1;1;1;1;1960;47;1;6; ;2; ;5;1; ; ;1;1;60000;2;1;2; ; ; ; ; ; ; ; ;6;8;5;2;66;375,151984984217
459541;1;2;10;1;2;1;9;1930;77;5;6; ;2; ;4;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;2;66;375,151984984217
459542;1;1;10;1;2;1;7;1968;39;1;6; ;2; ;4;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;2;66;337,811312670189
459542;1;2;10;2;1;1;5;1988;19;3;6; ;2; ;5;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;5; ;2;66;337,811312670189
459542;1;3;10;1;2;1;8;1997;10;3;6; ;2; ;5;1; ; ;3; ; ;1;1;1;1;1;240;3000;2; ;2; ;3;3; ;2;66;337,811312670189
459544;1;1;10;1;1;1;10;1964;42;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;2;66;341,951506626066
459544;1;2;10;2;2;1;11;1969;37;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;341,951506626066
459544;1;3;10;2;1;1;10;1998;8;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;1; ;2;66;341,951506626066
459545;1;1;10;1;1;1;5;1952;55;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;1; ;2;66;284,939519999412
459545;1;2;10;2;2;1;9;1955;52;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;284,939519999412
459545;1;3;10;2;1;1;12;1974;32;3;6; ;2; ;5;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;66;284,939519999412
459545;1;4;10;4;1;1;12;1979;27;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;5; ;2;66;284,939519999412
459545;1;5;10;5;2;1;4;1986;21;3;6; ;2; ;5;1; ; ;1;1;14000;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;66;284,939519999412
459548;1;1;10;1;1;1;6;1960;47;1;1;EMBERACHAMI;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;316,600715348474
459548;1;2;10;2;2;1;8;1961;46;2;1;EMBERA CHAMY;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;316,600715348474
459548;1;3;10;3;2;1;1;1989;18;3;1;EMBERA CHAMY;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;66;316,600715348474
459548;1;4;10;2;1;1;10;1993;13;3;1;EMBERA CHAMY;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;6; ;2;66;316,600715348474
459549;1;1;10;1;1;1;10;1962;45;1;1;EMBERA CHAMY;2; ;2;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;3;1; ;2;66;425,402223607854
459549;1;2;10;2;2;1;4;1957;50;2;1;EMBERA CHAMY;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;66;425,402223607854
459549;1;3;10;2;1;1;10;1995;11;3;1;EMBERA CHAMY;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;3; ;2;66;425,402223607854
459549;2;1;10;1;1;1;12;1986;20;1;6; ;2; ;2;2;2; ; ; ; ; ;1;2; ; ; ; ;2; ;2; ;4;6; ;2;66;425,402223607854
459549;2;2;10;2;2;1;7;1986;21;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;5;11;2;2;66;425,402223607854
459549;2;3;10;2;1;1;9;2005;2;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;66;425,402223607854
459549;2;4;10;2;1;1;11;2006;0;3;6; ;2; ; ;1; ; ;3; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2;66;425,402223607854
459550;1;1;10;1;1;1;10;1946;60;1;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;66;369,020294888516
459550;1;2;10;2;2;1;7;1955;52;2;6; ;2; ;2;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;369,020294888516
459551;1;1;10;1;1;1;7;1971;36;1;1;EMBERA CHAMI;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;5; ;2;66;274,941135102799
459551;1;2;10;2;2;1;11;1974;32;2;1;EMBERACHAMI;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;8; ;2;66;274,941135102799
459551;1;3;10;2;2;1;1;1994;13;3;1;EMBERACHAMI;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;4;6; ;2;66;274,941135102799
459551;1;4;10;2;2;1;4;1996;11;3;1;EMBERA CHAMI;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;5; ;2;66;274,941135102799
459551;1;5;10;2;1;1;8;1997;10;3;1;EMBERA;2; ;5;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;3; ;2;66;274,941135102799
459552;1;1;10;1;1;1;6;1959;48;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;271,99560266669
459552;1;2;10;2;2;1;12;1967;39;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;3; ;2;66;271,99560266669
459552;1;3;10;2;2;1;11;1991;15;3;6; ;2; ;5;1; ; ;3; ; ;2;1;1;1;1;200;2500;2; ;2; ;4;9; ;2;66;271,99560266669
459552;1;4;10;2;2;1;9;1998;9;3;6; ;2; ; ;1; ; ;3; ; ;2;1;1;1;1;200;2500;2; ;2; ;3;2; ;2;66;271,99560266669
459552;1;5;10;2;2;1;10;2003;3;3;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;2;0; ;2;66;271,99560266669
459553;1;1;10;1;1;1;6;1979;28;1;6; ;1;2;6;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;1; ;2;66;293,498627209836
459553;1;2;10;2;2;1;5;1983;24;2;6; ;1;2;6;1; ; ;3; ; ;1;1;2; ; ; ; ;2; ;2; ;3;1; ;2;66;293,498627209836
459553;1;3;10;2;2;1;8;1998;9;3;6; ;1;2; ;1; ; ;3; ; ;2;1;1;1;1;200;2000;2; ;2; ;3;2; ;2;66;293,498627209836
459553;1;4;10;2;2;1;7;1999;8;3;6; ;1;2; ;1; ; ;3; ; ;2;1;1;1;1;200;2000;2; ;2; ;3;1; ;2;66;293,498627209836
459554;1;1;10;1;1;1;9;1931;76;1;1;EMBERA CHAMI;2; ;6;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;2;66;442,379561564386
459554;1;2;10;2;2;1;5;1936;71;2;1;EMBERA CHAMI;2; ;6;1; ; ;3; ; ;2;2;2; ; ; ; ; ; ; ; ;1;0; ;2;66;442,379561564386
459554;1;3;10;3;2;1;1;1975;32;3;1;EMBERA CHAMI;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;3;4; ;2;66;442,379561564386
459554;1;4;10;3;1;1;10;1997;9;4;1;EMBERA CHAMI;2; ; ;1; ; ;3; ; ;2;1;1;1;2; ; ;2; ;2; ;3;4; ;2;66;442,379561564386
459555;1;1;10;1;2;1;10;1946;60;1;1;EMBERA CHAMI;2; ;3;2;1;18; ; ; ; ;1;2; ; ; ; ; ; ; ; ;3;3; ;2;66;443,502277704447
459555;1;2;10;2;1;1;3;1984;23;3;1;EMBERA CHAMI;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;9; ;2;66;443,502277704447
459556;1;1;10;1;1;1;4;1943;64;1;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;395,924257102251
459556;1;2;10;2;2;1;11;1962;44;2;6; ;2; ;6;1; ; ;3; ; ;2;1;2; ; ; ; ; ; ; ; ;3;2; ;2;66;395,924257102251
459556;1;3;10;3;2;1;12;1980;26;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;6; ;2;66;395,924257102251
459556;1;4;10;4;1;1;6;1987;20;3;6; ;2; ;5;1; ; ;3; ; ;2;1;2; ; ; ; ;2; ;2; ;4;7; ;2;66;395,924257102251
459556;1;5;10;3;2;1;1;2004;3;4;6; ;2; ; ;1; ; ;3; ; ;2;2;2; ; ; ; ;2; ;2; ;1;0; ;2;66;395,924257102251
