DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5214593;1;2;1;70;17;10;36;3; ;2;15;3; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;97;54;54;1;1;9700;09;17;188,310227128124
5214636;1;2;1;70;23;30;48;1; ;2;30;3; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;97;32;54;1;2;9700;09;23;249,649831439876
5214641;1;4;1;70;17;30;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877802; ; ; ;38; ;1;2;.;09;17;174,284691981599
5214649;1;2;1;70;17;48;48;1; ;2;48;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;4000000;2; ;84;11;11;1;2;8412;09;17;164,922608320437
5214650;1;1;1;70;05;200;48;1; ;2;200;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;41;95;95;1;2;4112;09;05;1068,04082536826
5214653;1;2;1;70;54;32;48;1; ;2;32;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;13;79;79;1;2;1313;09;54;364,151938853103
5214655;1;2;1;70;05;1;48;1; ;2;15;4; ;1;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;850000;2; ;47;45;45;1;1;4781;09;05;1115,54471997392
5214656;1;1;1;70;05;20;48;1; ;2;20;5; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;56;30;51;1;2;5619;09;05;1109,65847738232
5214657;1;4;1;70;05;3;48;1; ;2;32;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;42;53;39;1;1;4210;09;05;1234,69655378821
5214663;1;1;1;70;54;6;54;4; ;2;58;6; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;877802;2; ;47;79;45;1;1;4759;09;54;387,904116341375
5214665;1;2;1;70;54;36;48;4; ;2;36;4; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;3000000;2; ;84;12;12;1;2;8412;09;54;325,426012107471
