DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6006;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011;AREA
4161827;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;3; ;3;2; ;1;1;1;4;1;1;1;1;1;2;1;1;01;1;10;05;1890,68233138717;05
4161828;1;8;7;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;3; ;11;2; ;1;2;1;4;1;1;1;1;1;3;1;1;01;1;10;05;979,427121096815;05
4161829;1;3;2;1;1;1;1;1;4;1; ; ;99;300000; ;2;2;2;2;1;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;4;2; ;1;2;1;2;1;3;2;1;1;2;1;1;01;1;10;05;2330,07751928899;05
4161830;1;4;2;1;1;1;1;1;3;1; ; ;120000000;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;972,004947065285;05
4161831;1;5;3;1;1;1;1;1;4;1; ; ;50000000;400000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;1;2;1;1;2;1;1;01;1;10;05;2578,23716401408;05
4161832;1;4;2;1;1;1;1;1;4;3; ; ; ; ;329000;1;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;1090,62554382278;05
4161833;1;5;3;1;1;1;1;1;3;3; ; ; ; ;370000;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;2;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1162,13360802979;05
4161834;1;2;1;1;1;1;1;1;3;3; ; ; ; ;200000;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1131,16036150355;05
4161835;1;5;1;1;1;1;1;1;4;1; ; ;30000000;98; ;1;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ;1;2; ;1;2;1;2;1;2;2;1;1;2;1;1;01;1;10;05;2080,0831118552;05
4161836;1;4;3;1;1;1;1;1;4;3; ; ; ; ;380000;1;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;2; ;7;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;10;05;2200,39766677979;05
4161837;1;1;1;1;1;1;1;1;4;4; ; ; ;200000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;2;1;2;2;1;1;2;1;1;01;1;10;05;2262,3207230071;05
4161838;1;3;2;1;1;1;1;1;4;3; ; ; ; ;480000;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;1;2;2;1;3; ;3;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;945,341165693587;05
4161839;1;5;2;1;1;1;1;1;3;1; ; ;98;500000; ;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1163,36800908541;05
4161840;1;3;2;1;1;1;1;1;4;1; ; ;40000000;350000; ;1;1;1;1;1;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2; ;3;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;10;05;2094,3711490546;05
4161841;1;5;4;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;2;1;2;2;1;6; ;6;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1061,94060114202;05
4161842;1;5;4;1;1;1;1;1;3;1; ; ;98;400000; ;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;2;2;2;1;4; ;5;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;839,674890765203;05
4161843;1;6;3;1;1;1;1;1;1;4; ; ; ;700000; ;1;1;1;1;1;1;1;2;1;2;1;2;1;1;2;2;1;1;1;2;2;1;5; ;6;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;1164,36232660113;05
4161844;1;2;1;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1087,72039220807;05
4161845;1;3;2;1;1;1;1;1;3;3; ; ; ; ;300000;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;1; ;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1283,64531396642;05
4161846;1;3;3;1;1;1;1;1;3;1; ; ;70000000;500000; ;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;2;2;2;1;1;2;1;3; ;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1211,04684536588;05
4161847;1;3;1;1;1;1;1;1;3;1; ; ;98;900000; ;1;1;2;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1163,36800908541;05
4161848;1;2;1;1;1;1;1;1;4;3; ; ; ; ;400000;2;1;2;1;1;1;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;10;05;1203,90282676618;05
4161849;1;4;2;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1090,62554382278;05
4161850;1;5;2;1;1;1;1;1;3;1; ; ;200000000;1000000; ;1;1;2;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1020,98878257093;05
4161850;2;1;1;1;2;1;1;6; ;3; ; ; ; ;300000;1;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;2;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1020,98878257093;05
4161851;1;5;2;1;1;1;1;1;3;1; ; ;500000000;1200000; ;1;1;1;1;1;1;1;2;1;1;1;1;2;1;2;2;2;2;2;1;2;1;2; ;3;2; ;1;1;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1018,08363095622;05
4161852;1;5;2;1;1;1;1;1;3;4; ; ; ;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;2; ;4;2; ;1;1;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1334,2293018616;05
4161853;1;4;3;1;1;1;1;1;3;1; ; ;98;900000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;2;2;2;1;2;1;4; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1151,24465949679;05
4161854;1;3;1;1;1;1;1;1;3;1; ; ;98;98; ;1;1;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1040,0415559276;05
4161855;1;3;1;1;1;1;1;1;3;3; ; ; ; ;630000;1;1;1;1;1;1;1;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1040,0415559276;05
4161856;1;4;2;1;1;1;1;1;3;3; ; ; ; ;800000;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1090,62554382278;05
4161857;1;4;3;1;1;1;1;1;3;3; ; ; ; ;624000;1;1;2;1;1;1;1;2;1;1;1;1;1;2;2;2;2;1;2;2;2;1;3; ;3;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;851,317208502935;05
4161858;1;4;3;1;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;4; ;12;2; ;1;2;1;2;1;3;1;1;1;3;1;1;01;1;10;05;1294,87354314831;05
4161859;1;4;1;1;2;1;1;1;3;1; ; ;20000000;800000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1377,81326781917;05
4161859;2;1;1;1;2;1;1;1;3;3; ; ; ; ;200000;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;2;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1377,81326781917;05
4161859;3;1;1;1;2;1;1;1;3;3; ; ; ; ;250000;1;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;1;1; ;1;2; ;3;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1377,81326781917;05
4161860;1;5;3;1;1;1;1;1;3;4; ; ; ;600000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;1;2; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1054,79658254232;05
4161861;1;4;3;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;974,643661660744;05
4161862;1;4;1;1;1;1;1;1;3;3; ; ; ; ;750000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1087,72039220807;05
4161863;1;1;1;1;1;1;1;1;1;3; ; ; ; ;60000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;2;1;2;1;2;2;1;1;2;1;1;01;1;10;05;2309,97917886018;05
4161864;1;4;3;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;982,878084653971;05
4161865;1;6;4;1;1;1;1;3;3;1; ; ;98;700000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;4; ;6;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1424,91832514307;05
4161866;1;4;3;1;1;1;1;1;3;1; ; ;180000000;800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;4; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1100,67471403718;05
4161867;1;4;2;1;1;1;1;1;3;3; ; ; ; ;460000;1;1;2;1;1;1;1;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1160,46285747071;05
4161868;1;3;2;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1090,62554382278;05
4161869;1;1;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;2;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1087,72039220807;05
4161870;1;3;2;1;1;1;1;1;3;3; ; ; ; ;360000;1;1;1;1;1;1;1;1;2;2;1;2;1;2;2;2;2;2;1;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1066,02890425594;05
4161871;1;2;1;1;1;1;1;1;4;3; ; ; ; ;130000;1;1;2;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2; ;5;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;1181,04753592798;05
4161872;1;3;2;1;1;1;1;1;4;3; ; ; ; ;200000;1;1;1;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;10;05;2302,48931899358;05
4161874;1;4;3;1;1;1;1;1;3;1; ; ;98;600000; ;1;1;1;1;1;1;1;2;1;2;1;1;2;1;2;2;1;1;2;1;2;1;2; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1334,2293018616;05
4161875;1;3;2;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;972,004947065285;05
4161876;1;3;3;1;1;1;1;1;3;4; ; ; ;350000; ;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;2;1;1;2;2;1;1; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;829,625720550801;05
4161877;1;5;3;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;2;1;2; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1334,2293018616;05
4161878;1;3;1;1;1;1;1;1;1;2; ;450000;85000000;450000; ;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;1181,74434939872;05
4161880;1;6;4;1;1;1;1;1;3;3; ; ; ; ;600000;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;2;2;1;6; ;6;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;965,425463686829;05
4161881;1;3;2;1;1;1;1;1;3;3; ; ; ; ;400000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;1;2;1;1; ;2;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1165,79212884923;05
4161882;1;3;2;1;1;1;1;1;4;3; ; ; ; ;600000;2;2;1;2;1;1;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2; ;2;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;1087,72039220807;05
4161883;1;4;3;1;1;1;1;1;3;1; ; ;130000000;750000; ;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;1;2;2;2;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;1122,83319140464;05
4161884;1;2;1;1;1;1;1;1;1;3; ; ; ; ;800000;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1037,1364043129;05
4161885;1;4;3;1;1;1;1;1;3;3; ; ; ; ;700000;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;3; ;6;2; ;1;2;1;4;1;4;1;1;1;3;1;1;01;1;10;05;1011,00317295672;05
4161889;1;4;2;1;1;1;1;1;3;1; ; ;85000000;500000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;1;2; ;3;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;1205,57357732527;05
4161890;1;5;4;1;1;1;1;1;3;3; ; ; ; ;500000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;3; ;4;2; ;1;2;1;4;1;3;1;1;1;3;1;1;01;1;10;05;687,246494036316;05
4161891;1;3;1;1;1;1;1;6; ;3; ; ; ; ;450000;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;3;2;1;1;3;1;1;01;1;10;05;1203,90282676618;05
4161892;1;5;3;1;1;1;1;1;3;1; ; ;98;800000; ;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;1;4; ;4;2; ;1;2;1;4;1;3;1;1;1;2;1;1;01;1;10;05;1063,19435081078;05
4161893;1;3;3;1;1;1;1;1;4;3; ; ; ; ;530000;2;2;1;1;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;2;2;1;3; ;3;2; ;1;2;1;4;1;3;2;1;1;2;1;1;01;1;10;05;807,934232598666;05
4161895;1;4;3;1;1;1;1;1;3;1; ; ;60000000;350000; ;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;2;1;1;1;2;2;1;3; ;4;2; ;1;2;1;4;1;2;1;1;1;3;1;1;01;1;10;05;904,806348012814;05
4161896;1;5;3;1;1;1;1;1;3;1; ; ;120000000;550000; ;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;1;1; ;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1170,51202768511;05
4161897;1;7;5;1;1;1;1;1;3;2; ;680000;90000000;600000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;6; ;6;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;960,096192308307;05
4161898;1;4;3;1;1;1;1;1;3;3; ; ; ; ;430000;1;1;1;2;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2; ;5;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1207,56791479461;05
4161899;1;7;3;1;1;1;1;1;1;1; ; ;250000000;1000000; ;1;1;1;1;1;1;1;2;1;2;1;1;2;2;2;2;1;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;4;2;1;1;2;1;1;01;1;10;05;1066,09950242549;05
4161900;1;5;3;1;1;1;1;1;3;2; ;315000;80000000;450000; ;1;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;2;1;2;2;2;1;3; ;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1151,24465949679;05
4161901;1;4;2;1;1;1;1;1;3;1; ; ;150000000;900000; ;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;1090,62554382278;05
4161902;1;5;3;1;1;1;1;1;3;3; ; ; ; ;360000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;1;2;2;2;1;2; ;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1140,44212007766;05
4161903;1;4;1;1;1;1;1;1;3;3; ; ; ; ;1000000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;1160,46285747071;05
4161904;1;4;1;1;1;1;1;1;3;1; ; ;250000000;800000; ;1;1;2;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;2;2;2;1;2; ;2;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;1163,36800908541;05
4161905;1;5;2;1;1;1;1;3;3;3; ; ; ; ;808000;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;2;1;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;945,341165693587;05
4161906;1;4;3;1;1;1;1;1;3;1; ; ;60000000;400000; ;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;2;2;2;2;2;2;1;3; ;7;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1061,58716085189;05
4161907;1;4;2;1;1;1;1;1;1;1; ; ;100000000;600000; ;1;2;2;2;2;2;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2; ; ;2;2; ;1;2;1;4;1;2;2;1;1;2;1;1;01;1;10;05;1327,22927992399;05
4161908;1;5;3;1;1;1;1;1;3;3; ; ; ; ;950000;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;3; ;3;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;945,341165693587;05
4161910;1;5;1;1;1;1;1;1;3;1; ; ;165000000;800000; ;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1; ;1;2; ;1;2;1;4;1;4;1;1;1;2;1;1;01;1;10;05;1040,0415559276;05
4161911;1;4;3;1;1;1;1;1;3;2; ;500000;100000000;500000; ;2;1;1;1;1;1;1;2;1;1;1;2;2;1;2;2;2;1;2;2;2;1;2; ;4;2; ;1;2;1;4;1;2;1;1;1;2;1;1;01;1;10;05;1063,19435081078;05
