DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P388;P6440;P6450;P6460;P6460S1;P6400;P6410;P6422;P6424S1;P6424S2;P6424S3;P6426;P6430S1;P6480;P6480S1;P9440;P6500;P6510;P6510S1;P6510S2;P6590;P6590S1;P6600;P6600S1;P6610;P6610S1;P6620;P6620S1;P6585S1;P6585S1A1;P6585S1A2;P6585S2;P6585S2A1;P6585S2A2;P6585S3;P6585S3A1;P6585S3A2;P6585S4;P6585S4A1;P6585S4A2;P6545;P6545S1;P6545S2;P6580;P6580S1;P6580S2;P6630S1;P6630S1A1;P6630S2;P6630S2A1;P6630S3;P6630S3A1;P6630S4;P6630S4A1;P6630S6;P6630S6A1;P6640;P6640S1;P1800;P1800S1;P1801S1;P1801S2;P1801S3;P1802;P6765;P6765S1;P6772;P6772S1;P6773S1;P6775;P6750;P6760;P550;P6780;P6780S1;P1879;P1805;P6790;P6800;P6810;P6810S1;P6850;P6830;P6830S1;P3148;P6870;P6880;P6880S1;P6915;P6915S1;P6920;P6930;P6940;P6960;P6980S1;P6980S2;P6980S3;P6980S4;P6980S5;P6980S6;P6980S7;P6980S7A1;P6980S8;P6990;P9450;P7020;P760;P7026;P7028;P7028S1;P1880;P7040;P390;P7045;P7050;P7050S1;P7070;P7075;P7077;P7090;P7100;P7110;P7120;P7130;P7140S1;P7140S2;P7140S3;P7140S4;P7140S5;P7140S6;P7140S7;P7140S8;P7140S9;P7140S9A1;P7150;P7160;P7170S1;P7170S5;P7170S6;P7180;P514;P515;P1881;P1882;P7240;P7240S1;P6980;P7140;OFICIO;RAMA2D_R4;OCI;MES;P6430;RAMA4D_R4;INGLABO;DPTO;fex_c_2011;RAMA4DP8_R4
6,000,596;1;1;1;60;2;15;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;7;;2;;;2;300,000;1;6,000,000;3;;3;2;12;50;;.;50;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;60;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;10;9;;1;;61;01;1;11;4;0121;300000;15;2737.4329128;
6,000,596;1;3;1;60;2;15;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;100,000;1;99;1;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;60;4;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;15;9;;1;;61;01;1;11;4;0161;100000;15;2737.4329128;
6,000,596;1;4;1;60;2;15;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;125,000;1;99;3;;3;2;12;50;;.;50;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;15;4;;13;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;2;2;2;1;3;5;8;;1;;61;01;1;11;4;0161;125000;15;2737.4329128;
6,000,596;1;5;1;60;2;15;2;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;100,000;1;99;3;;1;2;12;38;1;;38;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;1;10;1;1;2;;;;;;;;;;;;;1;2;2;2;2;1;3;20;8;;1;;61;01;1;11;4;0161;100000;15;2737.4329128;
6,000,598;1;1;1;60;2;15;2;;;;;;;;;;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;200,000;1;99;3;;5;2;12;30;2;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;2;2;2;2;2;2;3;20;8;;1;;61;01;1;11;4;0161;200000;15;1446.2152989;
6,000,604;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;908,526;1;10,000,000;3;;9;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;1;;;;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;11;20;3;;1;;61;01;1;11;4;0161;908526;15;1698.0269879;
6,000,606;1;2;1;60;2;15;2;;;;;;;;;;350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;0;0;2;7;;2;;;2;0;1;15,000,000;3;;3;2;12;48;;.;0;1;;2;3;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;16;3;;1;;61;01;1;11;5;0111;0;15;809.52275679;
6,000,608;1;2;1;60;2;15;2;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;450,000;1;1,800,000;2;;1;2;4;35;2;;35;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;7;120;1;;5;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;11;15;3;;1;;61;01;1;11;4;0161;450000;15;1749.9837677;
6,000,611;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500,000;1;6,500,000;3;;9;2;12;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;70;6;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;10;18;5;;1;;61;01;1;11;4;0161;500000;15;1446.2152989;
6,000,612;1;1;1;60;2;15;1;1;;;1;;1;2;2;2;400;;1;;2;;2;;;2;;2;;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;2;;2;;2;;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;40;;.;40;;;;3;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;28;2;;1;;60;01;1;11;1;0111;;15;1211.6337959;
6,000,613;1;1;1;60;2;15;2;;;;;;;;;;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;0;0;2;7;;2;;;2;0;1;12,000,000;3;;3;2;12;40;;.;0;7;ACTIVIDADES DE MEJORAS EN SU VIVIENDA;;2;8;;2;;2;;;;;;1;;;;;;;2;2;1;12;48;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;15;2;;1;;61;01;1;11;5;0121;0;15;1989.4242646;
6,000,615;1;2;1;60;2;15;2;;;;;;;;;;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;600,000;1;7,000,000;3;;9;2;12;30;2;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;20;3;;1;;61;01;1;11;4;0161;600000;15;809.52275679;
6,000,616;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;600,000;1;6,500,000;3;;1;2;12;48;;.;48;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;50;6;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;16;3;;1;;61;01;1;11;4;0161;600000;15;809.52275679;
6,000,618;1;1;1;60;2;15;2;;;;;;;;;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500,000;1;7,200,000;3;;4;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;17;2;;1;;61;01;1;11;4;0161;500000;15;1246.1350132;
6,000,618;1;2;1;60;2;15;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500,000;1;6,000,000;3;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;17;2;;1;;61;01;1;11;4;0161;500000;15;1246.1350132;
6,000,618;1;3;1;60;2;15;2;;;;;;;;;;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500,000;1;6,000,000;3;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;48;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;17;2;;1;;61;01;1;11;4;0161;500000;15;1246.1350132;
6,000,619;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;350,000;1;4,000,000;3;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;30;3;;1;;61;01;1;11;4;0161;350000;15;2327.6939507;
6,000,620;1;2;1;60;2;15;2;;;;;;;;;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;600,000;1;7,200,000;3;;1;2;12;35;2;;0;1;;1;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;40;3;;1;;61;01;1;11;4;0161;600000;15;2367.0541618;
6,000,621;1;2;1;60;2;15;2;;;;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;300,000;1;4,000,000;3;;4;2;12;24;2;;24;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;11;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;3;18;3;;1;;61;01;1;11;4;0161;300000;15;809.52275679;
6,000,622;1;2;1;60;2;15;2;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;500,000;1;6,500,000;3;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;12;2;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;18;2;;1;;61;01;1;11;4;0161;500000;15;1418.9652279;
6,000,623;1;1;1;60;2;15;2;;;;;;;;;;540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;450,000;1;4,800,000;3;;9;2;12;35;2;;35;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;30;3;;1;;61;01;1;11;4;0161;450000;15;1552.7870456;
6,000,627;1;1;1;60;2;15;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;100,000;1;1,500,000;1;;1;2;12;15;1;;15;;;;1;9;;2;;2;;;;;;;;;;;;1;2;2;1;0;15;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;11;20;3;;1;;95;41;1;11;4;4111;100000;15;2946.5550338;
6,000,628;1;1;1;60;2;15;2;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;870,000;1;9,000,000;3;;10;1;12;65;;.;65;;;;1;8;;2;;2;;;;;;1;;;;;;;2;2;1;0;36;6;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;11;35;2;;1;;61;01;1;11;4;0161;870000;15;2881.7396435;
6,000,630;1;3;1;60;2;15;2;;;;;;;;;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;150,000;1;2,000,000;2;;9;2;12;24;2;;24;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;3;;1;;61;01;1;11;4;0161;150000;15;1454.7840034;
6,000,631;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;6;;;;;2;900,000;1;98;3;;1;1;12;50;;.;50;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;5;13;1;;9;2;;;;;;;;2;;;;1;2;1;2;2;2;2;1;1;2;;2;1;1;2;1;2;2;2;3;40;5;;1;1;61;01;1;11;4;0161;900000;15;2946.5550338;
6,000,632;1;1;1;60;2;15;2;;;;;;;;;;360;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;0;1;5,000,000;2;;9;2;12;20;2;;20;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;3;3;;1;;61;01;1;11;4;0113;0;15;3347.0326181;
6,000,633;1;1;1;60;2;15;1;2;2;12;1;;1;1;1;1;46;;1;;2;908,500;2;;;2;;1;200,000;2;;2;;2;;;2;;;2;;;2;;;2;;;2;;;1;454,200;1;414,000;1;414,000;2;;2;;2;;;;;;;;;.;;;;;;;;;.;;;12;70;;.;70;;;;2;8;;1;;1;1;1;6;1;;;;;;;;;1;9;1;3;24;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;14;;2;;1;;60;01;1;11;1;0141;1108500;15;3276.0319706;
6,000,635;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;150,000;1;2,000,000;2;;9;2;12;15;2;;15;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;3;3;;1;;61;01;1;11;4;0141;150000;15;1333.0602624;
6,000,636;1;1;1;60;2;15;2;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;1,000,000;1;10,000,000;3;;3;2;12;55;;.;55;;;;1;8;;2;;2;;;;;;1;;;;;;;2;2;1;5;26;1;;10;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;20;2;;1;;61;01;1;11;4;0141;1000000;15;2406.11302;
6,000,636;1;3;1;60;2;15;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;0;1;3,000,000;3;;3;1;12;50;;.;35;6;;2;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;20;2;;1;;61;01;1;11;4;0111;0;15;2406.11302;
6,000,637;1;4;1;60;2;15;2;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;3;7;;2;;;2;950,000;1;98;3;;1;2;12;60;;.;60;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;36;1;;1;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;3;10;2;;1;;61;01;1;11;4;0113;950000;15;1333.0602624;
6,000,638;1;1;1;60;2;15;2;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;7;;2;;;2;500,000;1;7,000,000;3;;1;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;16;3;;1;;61;01;1;11;4;0121;500000;15;809.52275679;
6,000,639;1;1;1;60;2;15;2;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;400,000;12;4,800,000;2;;4;2;12;30;2;;30;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;20;3;;1;;61;01;1;11;4;0161;400000;15;2058.5189648;
6,000,639;1;2;1;60;2;15;2;;;;;;;;;;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;6;;;;;2;700,000;1;8,400,000;3;;4;2;12;40;;.;40;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;10;180;1;;3;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;30;3;;1;;61;01;1;11;4;0161;700000;15;2058.5189648;
6,000,641;1;2;1;60;2;15;2;;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;200,000;1;2,500,000;2;;9;2;12;15;2;;15;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;3;;1;;61;01;1;11;4;0141;200000;15;1333.0602624;
6,000,643;1;2;1;60;2;15;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;600,000;1;7,000,000;2;;7;2;12;20;2;;20;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;3;;1;;61;01;1;11;4;0141;600000;15;1333.0602624;
6,000,644;1;1;1;60;2;15;2;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;3;0;0;2;7;;2;;;2;1,000,000;1;19,000,000;3;;3;2;12;40;;.;40;;;;3;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;2;3;10;3;;1;;61;01;1;11;5;0121;1000000;15;809.52275679;
6,000,646;1;1;1;60;2;15;2;;;;;;;;;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;0;0;2;7;;2;;;2;0;1;18,000,000;2;;3;2;12;50;;.;50;;;;2;8;;2;;2;;;;;;;1;;;;;;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;10;2;;1;;61;01;1;11;5;0121;0;15;2501.7958465;
6,000,647;1;1;1;60;2;15;2;;;;;;;;;;370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;4;0;0;3;7;;2;;;2;1,500,000;1;18,000,000;3;;3;2;12;40;;.;40;;;;3;8;;2;;2;;;;;;;;;;;;1;2;2;2;;;;;;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;1;1;3;16;2;;1;;61;01;1;11;5;0121;1500000;15;809.52275679;
6,000,648;1;1;1;60;2;15;2;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;7;;2;;;2;300,000;1;2,500,000;2;;9;2;12;15;2;;15;;;;1;8;;2;;2;;;;;;;;;;;;1;2;2;1;0;24;1;;9;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;1;1;2;1;1;3;2;2;;1;;61;01;1;11;4;0141;300000;15;2381.5169242;
6,000,649;1;2;1;60;2;15;1;2;1;;1;;1;2;2;2;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;1;;;;;2;;1;98;3;;4;2;12;30;2;;30;;;;6;7;;1;;1;1;2;98;1;;;;;;;;;1;2;1;0;120;4;;8;2;;;;;;;;2;;;;2;;;;;;;;;;;;;1;2;1;2;2;1;8;40;2;;1;;20;84;1;11;4;8412;;15;2395.7036016;
