DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500S1;P7500S1A1;P7500S2;P7500S2A1;P7500S3;P7500S3A1;P7505;P7510S1;P7510S1A1;P7510S2;P7510S2A1;P7510S3;P7510S3A1;P750S1A1;P750S2A1;P750S1;P750S2;P750S3;P750S4;P1661S1;P1661S2;P1661S3;P1661S4;P1661S1A1;P1661S2A1;P1661S3A1;P1661S4A1;P1661S4A2;P750S3A1;P7510S5;P7510S5A1;P7510S6;P7510S6A1;P7510S7;P7510S7A1;AREA;MES;DPTO;fex_c_2011
6,000,017;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;200,000;05;11;05;1129.3258068
6,000,017;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;300,000;05;11;05;1129.3258068
6,000,018;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1179.6408463
6,000,019;1;1;1;95;1;1;700,000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,019;1;2;1;95;1;2;;1;908,526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,020;1;1;1;95;1;2;;1;908,526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;199.03286623
6,000,021;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;297.9196065
6,000,021;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;297.9196065
6,000,021;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;297.9196065
6,000,021;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;297.9196065
6,000,022;1;1;1;95;1;2;;1;919,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;133.56471853
6,000,022;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;133.56471853
6,000,022;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;133.56471853
6,000,022;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;133.56471853
6,000,023;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;221.82824445
6,000,024;1;1;1;95;1;1;1,000,000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;145.1275896
6,000,024;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;145.1275896
6,000,024;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;145.1275896
6,000,026;1;1;1;95;1;2;;1;908,526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;147.70428805
6,000,026;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;147.70428805
6,000,026;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;147.70428805
6,000,026;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;147.70428805
6,000,026;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;147.70428805
6,000,027;1;1;1;95;2;;;;;;;1;1;6,000,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;17;11;17;200.3636819
6,000,027;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;200.3636819
6,000,027;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;200.3636819
6,000,028;1;1;1;95;1;2;;1;4,000,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,028;1;2;1;95;1;2;;1;2,000,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,029;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;236.58205029
6,000,029;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;236.58205029
6,000,029;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;236.58205029
6,000,030;1;1;1;95;1;2;;1;908,526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;177.56830368
6,000,030;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;177.56830368
6,000,030;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;177.56830368
6,000,031;1;1;1;95;1;2;;1;908,526;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;199.03286623
6,000,032;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,032;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;157.93634345
6,000,033;1;1;1;95;1;1;300,000;2;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;234.64551841
6,000,034;1;1;1;95;2;;;;;;;1;2;;2;;1;420,000;;420,000;;1;;;;;;1;;;;INGRESO DEL IVA;420,000;;2;;2;;2;;17;11;17;169.76630277
6,000,034;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;169.76630277
6,000,034;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;169.76630277
6,000,034;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;169.76630277
6,000,034;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;169.76630277
6,000,035;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;256.82319352
6,000,035;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;256.82319352
6,000,036;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;186.22411238
6,000,036;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;186.22411238
6,000,037;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;256.69890323
6,000,037;1;2;1;95;2;;;;;;;1;2;;2;;1;840,000;;840,000;;1;;;;;;1;;;;PROGRAMA DEVOLUCION DE IVA;840,000;;2;;2;;2;;17;11;17;256.69890323
6,000,037;1;3;1;95;1;2;;2;;1;960,000;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;11;17;256.69890323
6,000,038;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;483.94985307
6,000,038;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;483.94985307
6,000,038;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;483.94985307
6,000,039;1;1;1;95;2;;;;;;;1;1;1,200,000;2;;1;1,080,000;;1,080,000;;1;;;;;1;;;;1,080,000;;;;2;;2;;2;;54;11;54;384.266675
6,000,039;1;2;1;95;2;;;;;;;1;2;;2;;1;1,080,000;;1,080,000;;1;;;;;1;;;;1,080,000;;;;2;;2;;2;;54;11;54;384.266675
6,000,040;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;522.06872014
6,000,040;1;2;1;95;2;;;;;;;1;1;3,000,000;2;;1;150,000;;150,000;;1;;;1;;;;150,000;;;;;;2;;2;;2;;54;11;54;522.06872014
6,000,040;1;3;1;95;2;;;;;;;1;2;;2;;1;800,000;;800,000;;1;;;;1;;;;800,000;;;;;2;;2;;2;;54;11;54;522.06872014
6,000,040;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;522.06872014
6,000,040;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;522.06872014
6,000,041;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;219.52449711
6,000,041;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;219.52449711
6,000,041;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;219.52449711
6,000,041;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;219.52449711
6,000,042;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;514.23235938
6,000,043;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;228.04795128
6,000,043;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;228.04795128
6,000,043;1;3;1;95;2;;;;;;;1;2;;2;;1;450,000;;450,000;;1;;;;;;1;;;;INGRESO SOLIDARIO;450,000;;2;;2;;2;;54;11;54;228.04795128
6,000,043;1;4;1;95;2;;;;;;;1;2;;2;;1;450,000;;450,000;;1;;;;;;1;;;;DEVOLUCION IVA;450,000;;2;;2;;2;;54;11;54;228.04795128
6,000,043;1;7;1;95;2;;;;;;;1;2;;2;;1;960,000;;960,000;;1;;;;;1;;;;960,000;;;;2;;2;;2;;54;11;54;228.04795128
6,000,044;1;1;1;95;2;;;;;;;1;2;;2;;1;1,680,000;;1,680,000;;1;;;;;1;;;;1,680,000;;;;2;;2;;2;;54;11;54;523.09490992
6,000,044;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;523.09490992
6,000,044;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;523.09490992
6,000,044;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;523.09490992
6,000,044;2;1;2;95;2;;;;;;;1;2;;2;;1;1,920,000;;1,920,000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1,920,000;;2;;2;;2;;54;11;54;523.09490992
6,000,044;2;2;2;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;523.09490992
6,000,045;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54;11;54;483.0644086
6,000,046;1;1;1;95;2;;;;;;;1;1;4,200,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;54;11;54;443.9597935
6,000,047;1;1;1;95;2;;;;;;;1;1;6,000,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;54;11;54;439.5542981
6,000,048;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;524.64649103
6,000,048;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;524.64649103
6,000,048;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;524.64649103
6,000,049;1;1;1;95;1;1;8,000,000;1;3,500,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,049;1;2;1;95;1;1;8,000,000;1;5,000,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,050;1;1;1;95;1;2;;1;6,160,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,050;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,051;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;656.29085127
6,000,051;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;656.29085127
6,000,051;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;656.29085127
6,000,051;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;656.29085127
6,000,052;1;1;1;95;1;2;;1;98;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;555.60081404
6,000,052;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;555.60081404
6,000,052;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;555.60081404
6,000,053;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,053;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,054;1;1;1;95;1;1;1,500,000;1;7,200,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,054;1;2;1;95;1;2;;1;5,700,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;558.36164289
6,000,055;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68;11;68;692.00102336
6,000,655;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109,800;2;;05;11;05;971.77239807
6,000,655;1;2;1;95;2;;;;;;;1;2;;2;;1;960,000;;960,000;;1;;;;;1;;;;960,000;;;;2;;2;;2;;05;11;05;971.77239807
6,000,655;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;971.77239807
6,000,655;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;971.77239807
6,000,656;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1021.2852528
6,000,656;1;2;1;95;1;2;;1;908,000;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1021.2852528
6,000,656;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1021.2852528
6,000,657;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1130.0475499
6,000,657;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1130.0475499
6,000,657;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1130.0475499
6,000,658;1;1;1;95;1;2;;1;1,300,000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;1;1,300,000;2;;2;;05;11;05;894.3979112
6,000,658;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;894.3979112
6,000,658;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;894.3979112
6,000,658;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;894.3979112
6,000,658;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;894.3979112
6,000,659;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,659;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,659;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,659;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,659;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,659;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;871.94450378
6,000,660;1;1;1;95;1;2;;1;908,526;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908,526;05;11;05;1138.3350993
6,000,660;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;109,023;2;;05;11;05;1138.3350993
6,000,660;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1138.3350993
6,000,661;1;1;1;95;2;;;;;;;1;1;750,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;11;05;1181.386344
6,000,662;1;1;1;95;2;;;;;;;1;2;;2;;1;80,000;;80,000;;1;;;;;1;;;;80,000;;;;2;;2;;2;;05;11;05;1526.3683925
6,000,662;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1526.3683925
6,000,663;1;1;1;95;2;;;;;;;1;1;1,000,000;2;;1;1,920,000;;1,920,000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1,920,000;;2;;2;;2;;05;11;05;1189.5934516
6,000,663;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1189.5934516
6,000,664;1;1;1;95;1;2;;1;908,526;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;908,526;05;11;05;1129.3258068
6,000,664;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;200,000;2;;05;11;05;1129.3258068
6,000,665;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1080.9382469
6,000,665;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1080.9382469
6,000,665;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1080.9382469
6,000,665;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1080.9382469
6,000,665;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1080.9382469
6,000,666;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1062.7729819
6,000,666;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1062.7729819
6,000,666;1;3;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;1,100,000;2;;05;11;05;1062.7729819
6,000,667;1;1;1;95;2;;;;;;;1;2;;2;;1;1,920,000;;1,920,000;;1;;;;;;1;;;;INGRESO SOLIDARIO;1,920,000;;2;;2;;2;;05;11;05;1023.2182845
6,000,667;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1023.2182845
6,000,667;1;3;1;95;2;;;;;;;1;2;;2;;1;600,000;;600,000;;1;;;;1;;;;600,000;;;;;2;;2;;2;;05;11;05;1023.2182845
6,000,667;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1023.2182845
6,000,667;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1023.2182845
6,000,668;1;1;1;95;2;;;;;;;1;2;;2;;1;960,000;;960,000;;1;;;;;1;;;;960,000;;;;2;;2;;2;;05;11;05;1320.1705522
6,000,668;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;165,600;2;;05;11;05;1320.1705522
6,000,668;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1320.1705522
6,000,668;1;5;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1320.1705522
6,000,668;1;6;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1320.1705522
6,000,668;2;1;2;95;2;;;;;;;1;2;;2;;1;960,000;;960,000;;1;;;;;1;;;;960,000;;;;2;;2;;2;;05;11;05;1320.1705522
6,000,670;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1130.6677527
6,000,671;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;680,000;2;;05;11;05;1179.6408463
6,000,672;1;1;1;95;2;;;;;;;1;1;15,000,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;11;05;1179.6408463
6,000,673;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1071.7822744
6,000,673;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1071.7822744
6,000,673;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1071.7822744
6,000,673;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1071.7822744
6,000,674;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1179.6408463
6,000,675;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1468.9715401
6,000,675;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1468.9715401
6,000,675;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1468.9715401
6,000,675;1;5;1;95;1;2;;1;1,000,000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2,000,000;05;11;05;1468.9715401
6,000,676;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1197.4774493
6,000,677;1;1;1;95;2;;;;;;;1;1;18,000,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;11;05;1138.1531173
6,000,678;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1138.1531173
6,000,679;1;1;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;1;452,140;2;;05;11;05;1129.3258068
6,000,679;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;1;300,000;1;7,000,000;1;197,500,000;05;11;05;1129.3258068
6,000,680;1;1;1;95;1;2;;1;835,844;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1081.154898
6,000,680;1;2;1;95;2;;;;;;;1;1;1,800,000;2;;2;;;;;;;;;;;;;;;;;;2;;2;;2;;05;11;05;1081.154898
6,000,681;1;1;1;95;1;2;;1;7,300,000;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;19,500,000;05;11;05;1130.6677527
6,000,682;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1129.3258068
6,000,682;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1129.3258068
6,000,683;1;1;1;95;2;;;;;;;1;2;;2;;1;400,000;;400,000;;1;;;1;;;;400,000;;;;;;2;;2;;2;;05;11;05;1138.3350993
6,000,683;1;2;1;95;2;;;;;;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;2,000,000;05;11;05;1138.3350993
6,000,683;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1138.3350993
6,000,684;1;1;1;95;2;;;;;;;1;2;;2;;1;960,000;;960,000;;1;;;;;1;;;;960,000;;;;2;;2;;2;;05;11;05;1062.7729819
6,000,684;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1062.7729819
6,000,684;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1062.7729819
6,000,685;1;1;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1066.1890875
6,000,685;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1066.1890875
6,000,685;1;3;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1066.1890875
6,000,685;1;4;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1066.1890875
6,000,686;1;1;1;95;1;2;;1;835,600;2;;1;2;;2;;2;;;;;;;;;;;;;;;;;;2;;2;;1;890,000;05;11;05;1139.6770452
6,000,686;1;2;1;95;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05;11;05;1139.6770452
