DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7250;P7260;P7280;P7280S1;P7290;P7300;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P7424;P7424S1;CLASE;OFICIO1;OFICIO2;RAMA4D_D;RAMA2D_D;DSI;DPTO;fex_c_2011
518632;1;1;70;2;35;1; ;1;1;2;2;1; ;4;1; ; ; ; ; ; ; ;1; ; ; ;1;250000;1;2700000;2;62;62;0140;01;1;15;930,240299666959
518732;1;2;70;3;48;8; ;1;1;2;5;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0116;01;1;15;955,068041520927
518733;1;2;70;1;24;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;15;977,36881835398
518738;1;2;70;16;48;1; ;1;1;2;70;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;64000;1;640000;2;59;54;8532;85;1;15;1319,96162716034
518772;1;1;70;8;40;1; ;1;1;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;45;38;6421;64;1;15;772,206733234647
518791;1;2;70;10;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;15;845,483974089827
518800;1;2;70;5;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;15;943,733626801102
519052;1;2;70;40;50;8; ;1;1;2;44;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;400000;2;62;62;0111;01;1;17;621,263894721791
519058;1;4;70;8;50;8; ;1;1;2;8;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1000000;2;62;62;0111;01;1;17;833,483782856881
519105;1;5;70;20;48;1; ;1;1;2;20;1; ;3;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1540000;2;45;45;5211;52;1;17;580,151390248194
519180;1;2;70;28;45;8; ;1;1;2;28;4; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;900000;2;62;54;8532;85;1;17;979,87994122654
519214;1;3;70;4;50;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;17;956,048942068648
519835;1;3;70;12;48;1; ;1;1;2;12;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;6000000;2;58;58;7492;74;1;23;1802,36142370304
520029;1;4;70;2;40;1; ;1;1;2;2;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;2;95;95;4521;45;1;41;1496,31282813083
520040;1;2;70;2;48;4; ;1;1;2;5;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1100000;2;41;61;0117;01;1;41;1553,93637716294
520040;1;6;70;8;48;4; ;1;1;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;680000;2;41;53;5529;55;1;41;1553,93637716294
520159;1;1;70;8;40;1; ;1;1;2;8;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;7000000;2;58;58;7492;74;1;44;2272,5134619032
520163;1;2;70;60;50;4; ;1;1;2;48;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;98;98;6021;60;1;44;1824,44907087033
520163;1;3;70;20;50;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;44;1824,44907087033
520163;1;5;70;15;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;03; ; ; ;1;44;1824,44907087033
520163;1;6;70;5;60;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;98; ; ; ;1;44;1824,44907087033
520232;1;2;70;20;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;55; ; ; ;1;50;1447,34087920564
521576;1;3;70;12;48;1; ;1;1;2;100;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;54;9500;95;1;17;799,496301364071
521698;1;1;70;8;70;1; ;1;1;2;104;1; ;6;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;95;98;6112;61;1;05;1405,74986066321
521732;1;1;70;104;48;4; ;2;2;2;604;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;41;33;6331;63;1;05;2619,86725814988
521760;1;3;70;8;48;1; ;1;1;2;8;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;32;32;1810;18;1;05;3147,01178076593
521781;1;2;70;8;50;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;05;2785,70654427081
521783;1;2;70;2;48;8; ;1;1;2;52;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0111;01;1;05;2785,70654427081
521789;1;3;70;2;50;8; ;1;1;2;4;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;62;62;0114;01;1;05;3179,85658286988
521811;1;2;70;3;48;1; ;2;2;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3850000;2;53;53;5521;55;1;05;4450,44241206924
521831;1;5;70;8;48;8; ;1;1;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;300000;2;62;62;0140;01;1;05;5456,49569788511
521831;1;6;70;12;48;1; ;1;1;2;12;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;95;62;0116;01;1;05;5456,49569788511
522048;1;2;70;4;40;8; ;1;1;2;40;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;250000;2;62;62;0111;01;1;05;1288,73896757514
522050;1;2;70;4;25;8; ;1;1;2;35;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;100000;2;62;62;0111;01;1;05;1301,66243078492
522056;1;1;70;4;40;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;05;1234,75559695689
522067;1;1;70;24;48;1; ;1;1;2;72;1; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;63;79;1810;18;1;05;927,068050551493
522069;1;2;70;12;40;2; ;1;1;2;72;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;53;62;0111;01;1;05;1752,24853787949
522117;1;1;70;24;60;8; ;1;1;2;24;8; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;20000;1;350000;2;62;62;0118;01;1;05;1178,38840235178
522268;1;6;70;4;50;4; ;1;1;2;8;1; ;8;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;2;41;98;6021;60;1;08;9610,13755733295
522269;1;3;70;12;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;39; ; ; ;1;08;9760,00058985338
522304;1;2;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;1;08;9045,0027024054
522304;1;3;70;48;50;1; ;1;1;2;48;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;91;5244;52;1;08;9045,0027024054
522308;1;3;70;3;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;08;11625,6215210149
522308;1;4;70;16;50;1; ;1;1;2;16;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;62;9500;95;1;08;11625,6215210149
522353;1;1;70;12;48;1; ;1;1;2;12;1; ;2;1; ; ; ; ; ; ; ;1; ; ; ;2; ;1;960000;2;97;97;5153;51;1;25;3085,30469910606
522369;1;3;70;5;48;4; ;2;1;2;6;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;150000;1;600000;2;85;85;4542;45;1;25;3216,97291833643
522374;1;2;70;4;24;1; ;1;1;2;40;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;240000;2;53;53;8532;85;1;25;3891,59086669571
522401;1;1;70;1;30;3; ;1;1;2;32;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;320000;2;54;53;8532;85;1;25;3187,43902496244
522414;4;4;70;60;60;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;1072,98400842603
522428;1;2;70;12;40;1; ;2;2;2;12;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;33;33;6512;65;1;25;2253,97784551421
522487;1;4;70;120;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;25;2221,59023764162
522507;1;1;70;8;40;8; ;1;1;2;9;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;80000;1;1500000;2;62;62;0121;01;1;25;3074,30648192136
522566;1;3;70;4;40;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;1;27;2006,33150785111
522578;1;4;70;4;40;2; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;13; ; ; ;1;27;690,16676297907
522590;1;2;70;12;40;1; ;1;2;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;8532;85;1;18;191,706299375164
522592;1;3;70;3;40;1; ;1;1;2;36;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;13;45;5125;51;1;18;463,649585004312
522597;1;1;70;6;40;8; ;1;1;2;6;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2000000;2;62;62;0118;01;1;18;379,533341497791
522624;1;1;70;4;10;8; ;1;1;2;4;8; ;2;8; ; ; ; ; ; ; ; ; ;1; ;1;140000;1;4800000;2;62;62;0118;01;1;18;354,901844953612
522625;1;5;70;2;8;4; ;1;2;2;12;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;71;71;1320;13;1;27;1310,02808138654
522666;1;1;70;8;70;8; ;1;1;2;8;8; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;62;62;0118;01;1;18;329,832242141089
522703;1;4;70;15;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;18;422,346677728872
522730;1;2;70;8;40;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;358,216423292519
522730;1;4;70;4;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;358,216423292519
522761;1;3;70;20;40;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;18;336,895430021034
522900;1;3;70;1;50;1; ;2;2;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;380000;1;4560000;2;77;77;1530;15;1;47;1746,61054696899
522900;1;7;70;8;50;3; ;1;1;2;8;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2500000;2;54;54;9500;95;1;47;1746,61054696899
522968;1;2;70;2;30;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;1;47;2571,6699328277
522970;1;6;70;24;40;3; ;1;1;2;84;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;47;1716,29523646737
523018;1;2;70;15;48;2; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;1;47;1360,81801006737
523110;1;3;70;8;48;1; ;1;1;2;12;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;58;7492;74;1;18;315,422499470891
523111;1;2;70;4;48;3; ;1;1;2;40;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;240000;2;54;54;9500;95;1;18;255,93775250855
523126;1;7;70;8;48;3; ;1;1;2;72;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;18;495,030762723691
523141;1;3;70;4;40;3; ;1;1;2;4;3; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;18;343,01431158437
523153;1;3;70;48;40;1; ;1;1;2;48;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;45;45;5211;52;1;18;419,204833244533
523166;1;3;70;3;48;4; ;1;1;2;5;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;61;61;0121;01;1;18;282,999877114572
523167;1;3;70;8;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;37; ; ; ;1;18;268,631432303325
523176;1;3;70;5;50;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;482,081842567062
523176;1;4;70;50;50;8; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;62; ; ; ;1;18;482,081842567062
523177;1;3;70;6;50;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;274,525297973684
523213;1;5;70;2;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;18;418,973583553975
523259;1;3;70;4;60;1; ;1;1;2;5;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;3000000;2;62;62;0121;01;1;18;268,631432303325
523269;1;3;70;2;60;1; ;1;1;2;4;1; ;2;9;FICHA DE SISBEN; ; ; ; ; ; ; ; ;1; ;1;150000;1;1500000;2;54;54;9500;95;1;18;289,278584990775
523452;1;3;70;16;40;1; ;1;1;2;24;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;97;55;5529;55;1;19;1139,70767286329
523464;1;1;70;13;48;1; ;1;1;2;13;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;600000;2;45;53;5521;55;1;19;2310,7926946314
523491;1;3;70;3;40;3; ;2;1;2;3;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;1;170000;1;1000000;2;54;53;5521;55;1;19;1727,08262659622
523545;1;3;70;44;40;3; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;54; ; ; ;1;19;819,91468061738
523558;1;1;70;6;40;8; ;1;1;2;6;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;670000;2;62;62;0111;01;1;19;991,293908482022
523563;1;7;70;8;48;1; ;1;1;2;8;1; ;7;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1100000;2;33;33;9242;92;1;19;1542,70038726401
523598;1;3;70;2;40;1; ;1;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;19;1169,41195879181
523606;1;2;70;12;40;1; ;1;1;2;36;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;1;500000;1;1000000;2;36;53;5521;55;1;19;1278,31863548429
523628;1;3;70;12;48;3; ;2;2;2;32;1; ;2;6; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;54;54;9500;95;1;19;745,175413249025
523628;1;8;70;1;48;1; ;2;2;2;40;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;45;7499;74;1;19;745,175413249025
523637;1;1;70;1;40;8; ;1;1;2;2;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;1;1000000;2;62;62;0111;01;1;19;2604,65411348716
523655;1;2;70;4;40;1; ;1;1;2;36;1; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;45;45;5211;52;1;19;986,593672711499
523660;1;2;70;8;40;8; ;1;1;2;8;8; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;800000;2;62;62;0121;01;1;23;1065,42903643581
523670;1;2;70;3;20;1; ;1;1;2;30;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;150000;2;45;45;5262;52;1;23;1809,84180786214
523672;2;1;70;2;36;8; ;1;1;2;2;4; ;1;6; ; ; ; ; ; ; ;1; ; ; ;1;120000;1;1900000;2;62;62;0140;01;1;23;1984,90016737693
523675;1;1;70;4;48;2; ;1;1;2;4;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;150000;1;2000000;2;58;41;5223;52;1;23;1478,26560267931
523676;1;4;70;4;30;8; ;1;1;2;4;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1200000;2;62;62;0140;01;1;23;971,722741961097
523679;1;1;70;2;36;8; ;1;1;2;2;1; ;7;6; ; ; ; ; ; ; ;1; ; ; ;1;170000;1;1500000;2;62;99;4530;45;1;23;1580,57211391159
523694;1;2;70;6;30;3; ;1;1;2;3;4; ;1;1; ; ; ; ; ; ; ;1; ; ; ;1;20000;1;320000;2;54;77;1551;15;1;23;1950,75957027722
523694;1;6;70;8;48;3; ;1;1;2;21;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;500000;2;54;45;5261;52;1;23;1950,75957027722
523703;1;2;70;48;40;2; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;00; ; ; ;1;27;1142,34877106823
523749;1;5;70;5;56;4; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;81; ; ; ;1;27;1774,57278930571
523884;1;3;70;7;30;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;1;27;1954,23540789571
523885;1;4;70;2;8;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;73; ; ; ;1;27;1550,60919761648
523890;1;3;70;4;30;1; ;2;2;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;95; ; ; ;1;27;1052,54806328845
523997;1;2;70;4;48;1; ;1;2;2;96;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;62;9500;95;1;44;8398,12649904877
524348;1;3;70;48;8;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;45; ; ; ;1;44;5126,29637639225
524352;1;4;70;24;8;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;32; ; ; ;1;44;4529,49259753275
524413;1;3;70;40;40;3; ;1;1;2;58;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;52;4981,14948128613
524416;1;2;70;24;24;4; ;1;1;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;50000;1;250000;2;56;56;9301;93;1;52;10135,3132260845
524474;1;6;70;6;48;1; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;53; ; ; ;1;52;7607,81677028765
524474;1;10;70;13;40;4; ;1;1;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ; ;2;59; ; ; ;1;52;7607,81677028765
524532;1;3;70;48;40;1; ;1;1;2;52;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;33;79;1810;18;1;52;4981,14948128613
524532;1;4;70;52;48;1; ;1;1;2;72;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;34;32;5231;52;1;52;4981,14948128613
524678;1;2;70;8;48;1; ;1;1;2;32;8; ;6;1; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1600000;2;55;62;0111;01;1;66;1133,2870555307
524681;1;1;70;4;48;3; ;1;1;2;52;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;66;902,091019277987
524685;1;1;70;4;48;1; ;1;1;2;16;8; ;4;3; ; ;1; ; ; ; ; ; ; ; ;2; ;1;1800000;2;60;62;0121;01;1;66;968,363389675939
524685;1;4;70;1;48;1; ;2;2;2;5;8; ;4;7; ; ; ; ; ; ; ; ; ;1; ;2; ;1;160000;2;45;62;0121;01;1;66;968,363389675939
524685;1;6;70;4;48;1; ;1;1;2;4;3; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2; ;2;45;55;9500;95;1;66;968,363389675939
524695;1;3;70;12;48;1; ;1;1;2;24;2; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;1;200000;2;59;59;8511;85;1;66;883,595030960977
524699;1;2;70;50;20;3; ;1;1;2;104;3; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;54;54;9500;95;1;66;1176,65919411997
524996;1;2;70;1;48;8; ;1;1;2;1;4; ;1;7; ; ; ; ; ; ; ; ; ;1; ;1;140000;1;1200000;2;62;71;1320;13;1;73;3888,07071900131
525024;1;1;70;2;48;8; ;1;1;2;2;8; ;4;4; ; ; ; ; ; ; ; ; ;1; ;1;240000;1;2400000;2;62;62;0111;01;1;73;1608,43563443475
525127;1;3;70;52;60;1; ;1;1;2;52;9;SUBCONTRATISTA;2;4; ; ; ; ; ; ; ; ;1; ;VALIDANDO EL BACHILLERATO;2; ;2; ;2;53;53;5529;55;1;73;2026,00381542177
525189;1;2;70;104;48;1; ;1;1;2;104;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;58;62;0122;01;1;73;583,768370441655
525189;1;4;70;156;48;1; ;1;1;2;204;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2; ;2;55;55;8513;85;1;73;583,768370441655
525192;1;3;70;28;48;1; ;2;2;2;28;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;2; ;1;2800000;2;32;32;8060;80;1;73;1351,86161388256
525203;1;2;70;12;60;3; ;1;1;2;20;3; ;2;4; ; ; ; ; ; ; ; ; ;1; ;2; ;1;1080000;2;54;54;9500;95;1;76;2539,15495781221
525331;1;2;70;2;48;8; ;1;1;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;433700;1;1300000;2;62;99;4530;45;1;05;1256,75032024073
