Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
3173874;1;3;1;70;2;4;24;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;03;52;1638,18579029172
3173876;1;2;1;70;2;1;50;4; ;2;1;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;200000;2;99;87;50;1;1;5020;03;52;1457,59274730694
3173895;1;6;1;70;2;4;48;4; ;2;4;4; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;61;61;01;1;1;0140;03;52;1373,3583584324
3173900;1;2;1;70;2;52;40;2; ;2;52;4; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;33;75;1;2;7512;03;52;2090,26704327006
3173914;1;1;1;70;2;52;40;2; ;2;52;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;85;1;2;8511;03;52;2078,43952458054
3173915;1;1;1;70;2;3;40;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;61;61;01;1;1;0114;03;52;1685,1918798522
3173918;1;3;1;70;2;34;40;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;03;52;1917,79678519096
3174176;1;2;1;70;2;4;40;3; ;2;84;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;80;1;1;8044;03;27;1111,79441559855
3174185;1;1;1;70;2;4;40;4; ;2;4;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;1;5239;03;27;977,323271845009
3174225;1;3;1;70;2;84;40;2; ;2;14;4; ;3;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;95;45;1;2;4522;03;27;760,273095837327
3174227;1;3;1;70;2;21;40;4; ;2;420;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;85;1;2;8532;03;27;681,693592215256
3174378;1;2;1;70;2;20;40;3; ;2;44;2; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;99;75;1;2;7512;03;63;1150,49437078441
3174474;1;3;1;70;2;1;48;1; ;2;12;1; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;59;54;85;1;1;8532;03;63;2107,02450693781
3174636;1;1;1;70;2;6;48;8; ;2;6;8; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0115;03;50;929,607172595499
3174670;1;4;1;70;2;16;48;8; ;2;16;8; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;2;0115;03;50;827,4386714374
3174686;1;1;1;70;2;12;48;8; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;58;74;1;1;7492;03;50;1557,64296049818
3174686;1;2;1;70;2;12;56;1; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;03;50;1557,64296049818
3174686;1;4;1;70;2;12;48;8; ;2;12;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;97;52;1;1;5229;03;50;1557,64296049818
3174710;1;1;1;70;2;16;48;8; ;2;16;1; ;2;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;95;45;1;2;4521;03;50;1015,58194420624
3174718;1;1;1;70;2;2;50;8; ;2;2;8; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0121;03;50;1246,58638737227
3174732;1;3;1;70;2;2;50;8; ;2;16;8; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0117;03;50;592,834635633669
3174817;1;1;1;70;2;5;54;8; ;2;5;8; ;1;3; ; ; ; ; ; ; ; ; ;1; ;2; ;2;62;62;01;1;1;0121;03;50;592,834635633669
3175050;1;2;1;70;2;8;40;3; ;2;25;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;53;55;1;1;5521;03;66;389,563275254964
3175054;1;2;1;70;2;96;48;1; ;2;24;1; ;8;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;98;45;1;2;4530;03;66;1622,44264140249
3175055;1;5;1;70;2;8;54;1; ;2;104;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;03;66;640,01225216182
3175057;1;4;1;70;2;32;54;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;2; ;03;66;1828,66827868042
3175057;1;6;1;70;2;4;4;1; ;2;24;1; ;2;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5522;03;66;1828,66827868042
3175057;1;8;1;70;2;4;54;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;45;1;1;4521;03;66;1828,66827868042
3175062;1;2;1;70;2;52;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;03;66;1018,98622813179
3175080;1;5;1;70;2;1;50;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;54; ; ;1;1; ;03;66;244,918181717601
3175094;1;4;1;70;2;16;48;1; ;2;53;4; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;75;1;2;7513;03;66;507,674282114909
3175121;1;1;1;70;2;32;48;1; ;2;32;4; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;03;01;1;2;0113;03;66;301,349807188506
