DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7495;P7500;P7500S1;P7500S2;P7500S3A1;P7500S2A1;P7500S1A1;P7500S3;P7505;P7510S3;P7510S6;P7510S2A1;P7510S6A1;P7510S5A1;P7510S3A1;P7510S1A1;P7510S5;P7510S1;P7510S2;CLASE;FT;P7510S7A1;P7510S7;DPTO;AREA;fex_c_2011
973743;1;10;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;619.407.820.443.342
973743;1;11;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;619.407.820.443.342
973744;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;353.797.128.028.376
973744;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;353.797.128.028.376
973744;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;353.797.128.028.376
973744;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;353.797.128.028.376
973744;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;353.797.128.028.376
973746;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;483.797.765.611.197
973746;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;483.797.765.611.197
973746;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;483.797.765.611.197
973746;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;483.797.765.611.197
973747;1;1;1;95;1;;1;2;;;100000;2;1;2;2;;;;;3600000;2;1;2;1;1;;2;8;8;450.657.528.378.759
973747;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;450.657.528.378.759
973748;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;554.165.867.419.113
973748;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;554.165.867.419.113
973749;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973749;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973749;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973749;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973749;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973749;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;577.273.455.390.758
973750;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;523.248.207.547.155
973750;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;523.248.207.547.155
973751;1;1;1;95;2;;;;;;;;1;2;2;;;;;8600000;2;1;2;1;1;;2;8;8;405.211.067.772.965
973751;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;405.211.067.772.965
973751;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;405.211.067.772.965
973751;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;405.211.067.772.965
973752;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;477.653.527.038.872
973753;1;1;1;95;1;;2;1;;1000000;;2;2;;;;;;;;;;;1;1;;;8;8;383.948.846.739.462
973753;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;383.948.846.739.462
973753;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;383.948.846.739.462
973753;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;383.948.846.739.462
973753;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;383.948.846.739.462
973754;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.515.940.809.523
973754;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.515.940.809.523
973754;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.515.940.809.523
973754;2;1;2;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.515.940.809.523
973754;2;2;2;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.515.940.809.523
973755;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;525.080.765.374.122
973755;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;525.080.765.374.122
973755;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;525.080.765.374.122
973756;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973756;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973756;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973756;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973756;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973756;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;517.083.908.788.699
973757;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.283.304.343.807
973757;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.283.304.343.807
973757;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.283.304.343.807
973757;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.283.304.343.807
973758;1;1;1;95;1;;2;1;;580000;;2;2;;;;;;;;;;;1;1;;;8;8;509.556.138.117.743
973758;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;509.556.138.117.743
973758;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;509.556.138.117.743
973760;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;431.479.149.867.441
973760;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;431.479.149.867.441
973760;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;431.479.149.867.441
973762;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.552.136.777.856
973762;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.552.136.777.856
973763;1;1;1;95;2;;;;;;;;1;2;2;;;;;;2;2;2;1;1;98;1;8;8;575.429.967.787.418
973763;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;575.429.967.787.418
973763;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;575.429.967.787.418
973764;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;482.166.738.396.227
973764;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;482.166.738.396.227
973764;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;482.166.738.396.227
973764;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;482.166.738.396.227
973764;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;482.166.738.396.227
973765;1;1;1;95;1;;2;1;;461500;;2;2;;;;;;;;;;;1;1;;;8;8;491.499.077.233.465
973765;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;491.499.077.233.465
973765;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;491.499.077.233.465
973766;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;583.979.375.113.106
973766;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;583.979.375.113.106
973766;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;583.979.375.113.106
973766;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;583.979.375.113.106
973767;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;435.144.265.521.376
973767;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;435.144.265.521.376
973767;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;435.144.265.521.376
973767;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;435.144.265.521.376
973767;1;5;1;95;1;;2;1;;98;;2;2;;;;;;;;;;;1;1;;;8;8;435.144.265.521.376
973768;1;1;1;95;1;;2;1;;1000000;;2;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973768;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973768;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;446.752.492.428.602
973768;1;4;1;95;2;;;;;;;;1;2;2;;;;;;2;2;2;1;1;98;1;8;8;446.752.492.428.602
973769;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;538.789.460.065.223
973769;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;538.789.460.065.223
973769;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;538.789.460.065.223
973769;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;538.789.460.065.223
973769;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;538.789.460.065.223
973770;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;552.592.169.107.481
973770;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;552.592.169.107.481
973770;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;552.592.169.107.481
973771;1;1;1;95;1;;2;1;;98;;2;2;;;;;;;;;;;1;1;;;8;8;339.880.249.318.618
973771;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;339.880.249.318.618
973771;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;339.880.249.318.618
973771;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;339.880.249.318.618
973771;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;339.880.249.318.618
973772;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;4;1;95;1;;1;2;;;150000;2;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;6;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;30.745.313.162.091
973772;1;7;1;95;2;;;;;;;;1;2;2;;;;;;2;2;2;1;1;1100000;1;8;8;30.745.313.162.091
973773;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.927.990.100.428
973773;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;597.927.990.100.428
973774;1;1;1;95;1;;1;2;;;1500000;2;2;;;;;;;;;;;1;1;;;8;8;373.461.937.459.275
973774;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;373.461.937.459.275
973774;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;373.461.937.459.275
973774;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;373.461.937.459.275
973774;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;373.461.937.459.275
973776;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;632.900.785.159.834
973776;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;632.900.785.159.834
973776;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;632.900.785.159.834
973776;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;632.900.785.159.834
973776;1;5;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;632.900.785.159.834
973777;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;562.126.038.556.717
973777;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;562.126.038.556.717
973777;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;562.126.038.556.717
973778;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.956.902.238.255
973778;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.956.902.238.255
973778;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.956.902.238.255
973778;1;4;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;536.956.902.238.255
973779;1;1;1;95;2;;;;;;;;1;2;2;;;;;4800000;2;1;2;1;1;;2;8;8;482.406.658.692.448
973780;1;1;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;1;2;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;1;3;1;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
973780;2;1;2;95;2;;;;;;;;2;;;;;;;;;;;1;1;;;8;8;532.479.255.361.703
