DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;FT;DPTO;fex_c_2011
973733;1;3;1;50;8;1;6;no hace nada;esta de vacaciones escolares;2;2;2;2;;;2;;;;;;;;1;8;467.573.262.553.886
973733;1;5;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;467.573.262.553.886
973733;1;6;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;467.573.262.553.886
973735;1;1;1;50;8;1;4;;2;2;2;1;2;;;;;;;;;1;1;8;550.397.686.972.449
973735;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;550.397.686.972.449
973735;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;550.397.686.972.449
973735;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;550.397.686.972.449
973736;1;1;1;50;8;1;2;;2;2;2;1;2;;;;;;;;;1;1;8;523.248.207.547.155
973736;1;2;1;50;8;2;2;;2;2;2;1;1;;;;;;;;;1;1;8;523.248.207.547.155
973738;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;495.404.113.183.621
973739;1;1;1;50;8;1;2;;2;2;2;1;1;;;;;;;;;1;1;8;530.240.052.739.534
973739;1;2;1;50;8;1;6;no hace nada;esta de vacaciones escolares;2;2;2;2;;;2;;;;;;;;1;8;530.240.052.739.534
973739;1;3;1;50;8;3;4;;2;2;2;2;;;2;;;;;;;;1;8;530.240.052.739.534
973739;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;530.240.052.739.534
973740;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;625.779.170.200.714
973740;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;625.779.170.200.714
973740;1;6;1;50;8;6;1;;;;;;;;;;;;;;;;1;8;625.779.170.200.714
973741;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;624.351.377.834.146
973741;1;2;1;50;8;1;4;;2;2;2;2;;;1;10;;;;;;;1;8;624.351.377.834.146
973741;1;3;1;50;8;1;6;no hace nada;esta de vacaciones escolares;2;2;2;2;;;2;;;;;;;;1;8;624.351.377.834.146
973741;1;6;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;624.351.377.834.146
973742;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;597.338.753.912.344
973742;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;597.338.753.912.344
973743;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;619.407.820.443.342
973743;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;619.407.820.443.342
973743;1;3;1;50;8;3;4;;2;2;2;2;;;1;10;;;;;;;1;8;619.407.820.443.342
973743;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;619.407.820.443.342
973743;1;7;1;50;8;7;1;;;;;;;;;;;;;;;;1;8;619.407.820.443.342
973743;1;8;1;50;8;8;1;;;;;;;;;;;;;;;;1;8;619.407.820.443.342
973743;1;10;1;50;8;10;4;;2;2;2;2;;;2;;;;;;;;1;8;619.407.820.443.342
973743;1;11;1;50;8;11;1;;;;;;;;;;;;;;;;1;8;619.407.820.443.342
973744;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;353.797.128.028.376
973744;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;353.797.128.028.376
973744;1;3;1;50;8;3;4;;2;2;2;2;;;1;10;;;;;;;1;8;353.797.128.028.376
973744;1;4;1;50;8;4;3;;2;2;2;2;;;2;;;;;;;;1;8;353.797.128.028.376
973744;1;6;1;50;8;6;4;;2;2;2;2;;;1;5;;2;;1;5;1;1;8;353.797.128.028.376
973746;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;483.797.765.611.197
973746;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;483.797.765.611.197
973746;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;483.797.765.611.197
973746;1;4;1;50;8;4;4;;2;2;2;2;;;1;10;;;;;;;1;8;483.797.765.611.197
973747;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;450.657.528.378.759
973747;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;450.657.528.378.759
973748;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;554.165.867.419.113
973748;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;554.165.867.419.113
973749;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;577.273.455.390.758
973749;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;577.273.455.390.758
973749;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;577.273.455.390.758
973749;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;577.273.455.390.758
973749;1;5;1;50;8;5;4;;2;2;2;2;;;1;10;;;;;;;1;8;577.273.455.390.758
973749;1;6;1;50;8;6;3;;2;2;2;2;;;2;;;;;;;;1;8;577.273.455.390.758
973750;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;523.248.207.547.155
973750;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;523.248.207.547.155
973751;1;1;1;50;8;1;4;;2;2;2;2;;;1;10;;;;;;;1;8;405.211.067.772.965
973751;1;2;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;405.211.067.772.965
973751;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;405.211.067.772.965
973751;1;4;1;50;8;4;3;;2;2;2;2;;;2;;;;;;;;1;8;405.211.067.772.965
973752;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;477.653.527.038.872
973753;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;383.948.846.739.462
973753;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;383.948.846.739.462
973753;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;383.948.846.739.462
973753;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;383.948.846.739.462
973753;1;5;1;50;8;5;3;;2;2;2;2;;;1;12;;;;;;;1;8;383.948.846.739.462
973754;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;532.515.940.809.523
973754;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;532.515.940.809.523
973754;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;532.515.940.809.523
973754;2;1;2;50;8;1;1;;;;;;;;;;;;;;;;1;8;532.515.940.809.523
973754;2;2;2;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;532.515.940.809.523
973755;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;525.080.765.374.122
973755;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;525.080.765.374.122
973755;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;525.080.765.374.122
973756;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;517.083.908.788.699
973756;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;517.083.908.788.699
973756;1;3;1;50;8;3;3;;2;2;2;2;;;1;12;;;;;;;1;8;517.083.908.788.699
973756;1;4;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;517.083.908.788.699
973756;1;5;1;50;8;5;3;;2;2;2;2;;;2;;;;;;;;1;8;517.083.908.788.699
973756;1;6;1;50;8;6;4;;2;2;2;2;;;2;;;;;;;;1;8;517.083.908.788.699
973757;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;597.283.304.343.807
973757;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;597.283.304.343.807
973757;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;597.283.304.343.807
973757;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;597.283.304.343.807
973758;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;509.556.138.117.743
973758;1;2;1;50;8;2;2;;2;2;2;1;1;;;;;;;;;1;1;8;509.556.138.117.743
973758;1;3;1;50;8;3;2;;2;2;2;1;2;;;;;;;;;1;1;8;509.556.138.117.743
973760;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;431.479.149.867.441
973760;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;431.479.149.867.441
973760;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;431.479.149.867.441
973762;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;536.552.136.777.856
973762;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;536.552.136.777.856
973763;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;575.429.967.787.418
973763;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;575.429.967.787.418
973763;1;3;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;575.429.967.787.418
973764;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;482.166.738.396.227
973764;1;2;1;50;8;2;4;;2;2;2;2;;;1;2;;2;;2;;;1;8;482.166.738.396.227
973764;1;3;1;50;8;3;4;;2;2;2;2;;;2;;;;;;;;1;8;482.166.738.396.227
973764;1;4;1;50;8;4;4;;2;2;2;2;;;2;;;;;;;;1;8;482.166.738.396.227
973764;1;5;1;50;8;5;4;;2;2;2;2;;;2;;;;;;;;1;8;482.166.738.396.227
973765;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;491.499.077.233.465
973765;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;491.499.077.233.465
973765;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;491.499.077.233.465
973766;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;583.979.375.113.106
973766;1;2;1;50;8;2;2;;2;2;2;1;2;;;;;;;;;1;1;8;583.979.375.113.106
973766;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;583.979.375.113.106
973766;1;4;1;50;8;4;2;;2;2;2;1;2;;;;;;;;;1;1;8;583.979.375.113.106
973767;1;1;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;435.144.265.521.376
973767;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;435.144.265.521.376
973767;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;435.144.265.521.376
973767;1;4;1;50;8;4;4;;2;2;2;2;;;2;;;;;;;;1;8;435.144.265.521.376
973767;1;5;1;50;8;2;6;no hace nada;tiene multiples problemas fisicos debido a su avanzada edad;2;2;2;2;;;2;;;;;;;;1;8;435.144.265.521.376
973768;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;446.752.492.428.602
973768;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;446.752.492.428.602
973768;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;446.752.492.428.602
973768;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;446.752.492.428.602
973769;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;538.789.460.065.223
973769;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;538.789.460.065.223
973769;1;3;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;538.789.460.065.223
973769;1;4;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;538.789.460.065.223
973769;1;5;1;50;8;2;6;no hace nada;esta de vacaciones;2;2;2;2;;;2;;;;;;;;1;8;538.789.460.065.223
973770;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;552.592.169.107.481
973770;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;552.592.169.107.481
973770;1;5;1;50;8;5;4;;2;2;2;2;;;2;;;;;;;;1;8;552.592.169.107.481
973771;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;339.880.249.318.618
973771;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;339.880.249.318.618
973771;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;339.880.249.318.618
973771;1;4;1;50;8;3;6;no hace nada;esta de vacaciones escolares;2;2;2;2;;;2;;;;;;;;1;8;339.880.249.318.618
973771;1;5;1;50;8;5;1;;;;;;;;;;;;;;;;1;8;339.880.249.318.618
973772;1;1;1;50;8;2;6;no hace nada;esta invalido;2;2;2;2;;;2;;;;;;;;1;8;30.745.313.162.091
973772;1;2;1;50;8;2;6;se dedica a uidar a su esposo invalido y ciego;2;2;2;2;;;2;;;;;;;;1;8;30.745.313.162.091
973772;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;30.745.313.162.091
973772;1;4;1;50;8;4;6;no hace nada;esta operado del corazon;2;2;2;2;;;2;;;;;;;;1;8;30.745.313.162.091
973772;1;5;1;50;8;5;2;;2;2;2;1;2;;;;;;;;;1;1;8;30.745.313.162.091
973772;1;6;1;50;8;6;1;;;;;;;;;;;;;;;;1;8;30.745.313.162.091
973772;1;7;1;50;8;7;1;;;;;;;;;;;;;;;;1;8;30.745.313.162.091
973773;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;597.927.990.100.428
973773;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;597.927.990.100.428
973774;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;373.461.937.459.275
973774;1;2;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;373.461.937.459.275
973774;1;3;1;50;8;3;6;VACACIONES;2;2;2;2;;;2;;;;;;;;1;8;373.461.937.459.275
973774;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;373.461.937.459.275
973774;1;5;1;50;8;5;1;;;;;;;;;;;;;;;;1;8;373.461.937.459.275
973776;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;632.900.785.159.834
973776;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;632.900.785.159.834
973776;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;632.900.785.159.834
973776;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;632.900.785.159.834
973776;1;5;1;50;8;5;2;;2;2;2;1;2;;;;;;;;;1;1;8;632.900.785.159.834
973777;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;562.126.038.556.717
973777;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;562.126.038.556.717
973777;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;562.126.038.556.717
973778;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;536.956.902.238.255
973778;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;536.956.902.238.255
973778;1;3;1;50;8;3;3;;2;2;2;2;;;1;12;;;;;;;1;8;536.956.902.238.255
973778;1;4;1;50;8;4;3;;2;2;2;2;;;2;;;;;;;;1;8;536.956.902.238.255
973779;1;1;1;50;8;1;4;;2;2;2;2;;;1;13;LA EDAD;;;;;;1;8;482.406.658.692.448
973780;1;1;1;50;8;1;4;;2;2;2;2;;;1;13;POR LA EDAD;;;;;;1;8;532.479.255.361.703
973780;1;2;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;532.479.255.361.703
973780;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;532.479.255.361.703
973780;2;1;2;50;8;1;1;;;;;;;;;;;;;;;;1;8;532.479.255.361.703
973780;2;2;2;50;8;2;6;VACACIONES;2;2;2;2;;;1;12;;;;;;;1;8;532.479.255.361.703
973780;3;1;3;50;8;1;1;;;;;;;;;;;;;;;;1;8;532.479.255.361.703
973780;3;2;3;50;8;2;6;VACACIONES;2;2;2;2;;;2;;;;;;;;1;8;532.479.255.361.703
973780;4;1;4;50;8;1;1;;;;;;;;;;;;;;;;1;8;532.479.255.361.703
973780;4;2;4;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;532.479.255.361.703
973781;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;549.856.066.008.557
973781;1;2;1;50;8;2;4;;2;2;2;2;;;1;10;;;;;;;1;8;549.856.066.008.557
973782;1;1;1;50;8;1;6;CONVALECIENTE POR ENFERMEDAD;2;2;2;2;;;2;;;;;;;;1;8;671.521.635.988.862
973782;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;671.521.635.988.862
973782;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;671.521.635.988.862
973782;1;4;1;50;8;4;2;;2;2;2;1;1;;;;;;;;;1;1;8;671.521.635.988.862
973782;1;5;1;50;8;5;4;;2;2;2;2;;;1;10;;;;;;;1;8;671.521.635.988.862
973782;1;6;1;50;8;6;1;;;;;;;;;;;;;;;;1;8;671.521.635.988.862
973783;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;443.355.286.731.575
973783;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;443.355.286.731.575
973783;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;443.355.286.731.575
973783;1;4;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;443.355.286.731.575
973785;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;535.124.344.411.288
973785;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;535.124.344.411.288
973785;1;3;1;50;8;1;3;;2;2;2;2;;;2;;;;;;;;1;8;535.124.344.411.288
973786;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;522.553.592.608.915
973786;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;522.553.592.608.915
973786;1;3;1;50;8;1;5;;;;;;;;;;;;;;;;1;8;522.553.592.608.915
973787;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;536.552.136.777.856
973787;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;536.552.136.777.856
973788;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;446.752.492.428.602
973788;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;446.752.492.428.602
973788;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;446.752.492.428.602
973788;1;4;1;50;8;4;2;;2;2;2;1;2;;;;;;;;;1;1;8;446.752.492.428.602
973789;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;586.051.853.236.295
973790;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;490.957.456.269.573
973791;1;1;1;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;518.567.150.723.804
973791;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;518.567.150.723.804
973791;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;518.567.150.723.804
973793;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;595.921.891.322.149
973793;1;2;1;50;8;2;1;;;;;;;;;;;;;;;;1;8;595.921.891.322.149
973793;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;595.921.891.322.149
973793;1;4;1;50;8;1;6;NO HACE NADA;2;2;2;2;;;2;;;;;;;;1;8;595.921.891.322.149
973793;1;5;1;50;8;1;3;;2;2;2;2;;;2;;;;;;;;1;8;595.921.891.322.149
973795;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;505.651.102.167.586
973795;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;505.651.102.167.586
973795;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;505.651.102.167.586
973795;1;4;1;50;8;4;1;;;;;;;;;;;;;;;;1;8;505.651.102.167.586
973795;1;5;1;50;8;5;1;;;;;;;;;;;;;;;;1;8;505.651.102.167.586
973796;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;336.926.373.864.611
973796;1;2;1;50;8;2;5;;;;;;;;;;;;;;;;1;8;336.926.373.864.611
973796;1;3;1;50;8;3;6;HACIENDO VUELTAS PARA ESTUDIAR;2;2;2;2;;;2;;;;;;;;1;8;336.926.373.864.611
973796;1;4;1;50;8;4;4;;2;2;2;2;;;2;;;;;;;;1;8;336.926.373.864.611
973796;1;5;1;50;8;5;5;;;;;;;;;;;;;;;;1;8;336.926.373.864.611
973797;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;399.140.783.365.667
973797;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;399.140.783.365.667
973797;1;3;1;50;8;3;1;;;;;;;;;;;;;;;;1;8;399.140.783.365.667
973797;1;5;1;50;8;5;1;;;;;;;;;;;;;;;;1;8;399.140.783.365.667
973798;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;536.956.902.238.255
973798;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;536.956.902.238.255
973798;1;3;1;50;8;2;6;ESTA HACIENDO DILIGENCIAS PARA ESTUDIAR;2;2;2;2;;;2;;;;;;;;1;8;536.956.902.238.255
973798;1;4;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;536.956.902.238.255
973799;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;62.109.102.764.061
973799;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;62.109.102.764.061
973799;1;3;1;50;8;3;3;;2;2;2;2;;;2;;;;;;;;1;8;62.109.102.764.061
973799;1;4;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;62.109.102.764.061
973800;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;701.316.273.053.188
973800;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;701.316.273.053.188
973800;2;1;2;50;8;1;4;;2;2;2;2;;;2;;;;;;;;1;8;701.316.273.053.188
973800;2;8;2;50;8;1;6;ESTA DESCANSANDO;2;2;2;2;;;2;;;;;;;;1;8;701.316.273.053.188
973801;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;528.745.881.028.057
973801;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;528.745.881.028.057
973801;1;3;1;50;8;2;6;TIENE PROBLEMAS NEUROLOGICOS;2;2;2;2;;;2;;;;;;;;1;8;528.745.881.028.057
973801;1;4;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;528.745.881.028.057
973801;1;5;1;50;8;5;3;;2;2;2;2;;;2;;;;;;;;1;8;528.745.881.028.057
973802;1;1;1;50;8;1;1;;;;;;;;;;;;;;;;1;8;577.262.525.614.385
973802;1;2;1;50;8;2;4;;2;2;2;2;;;2;;;;;;;;1;8;577.262.525.614.385
973802;1;3;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;577.262.525.614.385
973802;1;4;1;50;8;2;3;;2;2;2;2;;;2;;;;;;;;1;8;577.262.525.614.385
