DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;AREA;fex_c_2011
974273;1;3;1;70;1;2;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;37;;;1;1;;11;11;259.358.406.677.488
974280;1;1;1;70;1;1;48;1;;2;2;1;;2;4;;;;;;;;;;1;;1;250000;2;98;50;55;1;1;5530;11;11;312.634.234.149.157
974288;1;5;1;70;1;6;48;1;;2;6;1;;8;4;;;;;;;;;;1;;2;;2;39;39;74;1;1;7492;11;11;296.837.371.032.513
974311;1;3;1;70;1;26;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;32;;;1;2;;13;13;347.319.976.021.228
974311;1;4;1;70;1;13;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;37;;;1;1;;13;13;347.319.976.021.228
974326;1;2;1;70;1;52;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;53;;;1;2;;13;13;352.157.491.023.796
974332;1;3;1;70;1;52;48;1;;2;52;1;;5;4;;;;;;;;;;1;;2;;2;21;40;52;1;2;5233;13;13;298.684.735.286.903
974341;1;6;1;70;1;26;26;1;;1;;;.;;;.;.;;;;;;;;;.;;;;45;;;1;2;;13;13;270.672.554.728.121
974344;1;2;1;70;1;52;48;1;;2;52;1;;8;1;;;;;;;;1;;;;2;;2;54;54;55;1;2;5511;13;13;366.058.149.026.258
974358;1;1;1;70;1;12;56;1;;2;12;1;;9;4;;;;;;;;;;1;;2;;2;53;53;55;1;1;5511;13;13;323.236.226.405.158
974358;1;2;1;70;1;12;48;1;;1;;;.;;;.;.;;;;;;;;;.;;;;39;;;1;1;;13;13;323.236.226.405.158
974360;1;5;1;70;1;12;60;1;;2;12;4;;1;1;;;;;;;;;;1;;2;;2;45;41;52;1;1;5221;13;13;351.470.185.121.853
974364;1;2;1;70;1;16;56;1;;2;16;1;;9;1;;;;;;;;;;1;;2;;2;77;77;15;1;2;1512;13;13;309.956.041.698.985
974369;1;3;1;70;1;18;72;1;;2;72;1;;9;4;;;;;;;;;;1;;2;;2;97;97;63;1;2;6332;13;13;312.466.766.399.617
