DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,DPTO,fex_c_2011
1005985,1,2,1,70,2,4,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,54,,,1,1,,68,175.881.753.112.682
1005985,1,3,1,70,2,4,48,1,,2,2,1,,7,1,,,,,,,,,,1,,1,500000,2,55,54,11,1,1,1120,68,175.881.753.112.682
1005992,1,1,1,70,2,4,48,3,,2,3,1,,4,1,,,,,,,,,,1,,2,,2,54,62,1,1,1,123,68,207.411.398.870.295
1005993,1,1,1,70,2,3,48,4,,2,3,4,,1,1,,,,,,,,,,1,,1,60000,2,56,56,93,1,1,9301,68,191.199.322.518.691
1005993,1,4,1,70,2,4,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,53,,,1,1,,68,191.199.322.518.691
1005994,1,2,1,70,2,1,48,1,,2,6,1,,2,1,,,,,,,,,,1,,2,,2,53,36,61,1,1,6120,68,147.789.680.495.969
1006521,1,2,1,70,2,15,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,58,,,1,2,,73,97.046.338.485.267
1006524,1,2,1,70,2,1,20,1,,2,36,1,,6,1,,,,,,,,,,1,,2,,2,45,45,51,1,1,5132,73,132.040.850.708.045
1006524,1,3,1,70,2,1,40,8,,2,4,8,,4,1,,,,,,,,,,1,,1,24000,2,62,62,1,1,1,115,73,132.040.850.708.045
1006530,1,5,1,70,2,1,20,1,,2,2,8,,7,5,,,,,,,,1,,,,1,300000,2,57,62,1,1,1,111,73,130.936.510.006.479
1006539,1,1,1,70,2,2,40,8,,2,3,4,,1,8,,,,,,,,,,1,,1,100000,2,62,61,1,1,1,111,73,467.892.984.151.714
