Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Clase;Mes;Dpto;Fex_c_2011;Area
3791279;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;10; ; ; ; ; ; ; ; ;1;08;15;86,1246755395279;15
3791279;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;08;15;86,1246755395279;15
3791280;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;15;90,6992684077118;15
3791280;1;2;1;90;2;1;2;2;1;2;2;2;2;2; ;25; ; ;21; ; ; ; ; ;1;08;15;90,6992684077118;15
3791280;1;3;1;90;2;1;2;2;1;2;2;2;2;2; ;18; ; ;7; ; ; ; ; ;1;08;15;90,6992684077118;15
3791281;1;1;1;90;2;1;2;2;1;2;2;2;2;2; ;5; ; ;30; ; ; ; ; ;1;08;15;108,51857244241;15
3791281;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;1;08;15;108,51857244241;15
3791282;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;3; ;5; ; ; ; ; ; ;1;08;15;81,0365961987745;15
3791282;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;60; ;40; ; ; ; ; ; ;1;08;15;81,0365961987745;15
3791282;1;3;1;90;2;1;2;2;2;2;2;2;2;1; ;2; ; ; ; ; ; ; ;25;1;08;15;81,0365961987745;15
3791283;1;1;1;90;2;2;2;1;2;2;2;2;2;2; ; ; ;10; ; ; ; ; ; ;1;08;41;128,141977215306;41
3791283;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;48; ;28; ; ; ; ; ; ;1;08;41;128,141977215306;41
3791283;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;10; ;20; ; ; ; ; ; ;1;08;41;128,141977215306;41
3791284;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;18; ; ; ; ; ; ; ; ;1;08;41;134,503958392661;41
3791284;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;48; ; ; ; ; ; ; ; ;1;08;41;134,503958392661;41
3791285;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;48; ;28; ; ; ; ; ; ;1;08;41;150,721525107087;41
3791285;1;2;1;90;2;1;2;1;2;2;2;2;2;2; ;28; ;38; ; ; ; ; ; ;1;08;41;150,721525107087;41
3791287;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;14; ; ; ; ; ; ; ; ;1;08;17;311,56051761892;17
3791287;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;8; ; ; ; ; ; ; ; ;1;08;17;311,56051761892;17
3791288;1;1;1;90;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;08;17;156,139538617554;17
3791288;1;2;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;156,139538617554;17
3791288;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;28; ; ; ; ; ; ; ; ;1;08;17;156,139538617554;17
3791289;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;08;17;210,301462136815;17
